Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
rplO,P31160,-0.259,0.501,0.653, 50S ribosomal protein L15 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplO PE=3 SV=2,Synpcc7942_2215,tier1:Gene Name
Synpcc7942_1056,Q31PD3,-0.257,0.376,0.53," Transcriptional regulator, XRE family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1056 PE=4 SV=1",Synpcc7942_1056,locus_tag:Gene Name
Synpcc7942_0896,Q31PU3,-0.25,0.192,0.315, Site-determining protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0896 PE=3 SV=1,Synpcc7942_0896,locus_tag:Gene Name
rpsD,Q31N52,-0.248,0.584,0.717, 30S ribosomal protein S4 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsD PE=3 SV=1,Synpcc7942_1487,tier1:Gene Name
Synpcc7942_1613,Q31MS6,-0.239,0.504,0.656, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1613 PE=4 SV=1,Synpcc7942_1613,locus_tag:Gene Name
dnaN,P52023,-0.23,0.249,0.38, Beta sliding clamp OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dnaN PE=3 SV=1,Synpcc7942_0001,tier1:Gene Name
purA,Q31KI0,-0.229,0.546,0.689, Adenylosuccinate synthetase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purA PE=3 SV=1,Synpcc7942_2409,tier1:Gene Name
dapF,Q31LW2,-0.224,0.299,0.444, Diaminopimelate epimerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dapF PE=3 SV=1,Synpcc7942_1927,tier1:Gene Name
pgl,Q31QV8,-0.224,0.539,0.686, 6-phosphogluconolactonase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pgl PE=3 SV=1,Synpcc7942_0529,tier1:Gene Name
Synpcc7942_0956,Q31PN3,-0.223,0.285,0.426, CobW C-terminal domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0956 PE=4 SV=1,Synpcc7942_0956,locus_tag:Gene Name
rpsA,O33698,-0.219,0.583,0.717, 30S ribosomal protein S1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsA PE=3 SV=1,Synpcc7942_1591,tier1:Gene Name
Synpcc7942_0270,P42460,-0.204,0.493,0.649, TPR repeat-containing protein Synpcc7942_0270 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0270 PE=4 SV=1,Synpcc7942_0270,locus_tag:Gene Name
Synpcc7942_1466,Q31N73,-0.204,0.473,0.632, Cysteine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1466 PE=3 SV=1,Synpcc7942_1466,locus_tag:Gene Name
SEM0037,Q79N42,-0.202,0.322,0.468," ATP-binding region, ATPase-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEM0037 PE=4 SV=1",Synpcc7942_1813,multi:Protein ID
der,Q31KP9,-0.197,0.481,0.636, GTPase Der OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=der PE=3 SV=1,Synpcc7942_2340,tier1:Gene Name
ftsY,Q8GIR8,-0.195,0.651,0.784, Signal recognition particle receptor FtsY OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN,Synpcc7942_2472,tier1:Gene Name
atpG,Q31RF0,-0.191,0.576,0.713, ATP synthase gamma chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpG PE=3 SV=1,Synpcc7942_0333,tier1:Gene Name
rpsJ,Q31PV6,-0.186,0.474,0.633, 30S ribosomal protein S10 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsJ PE=3 SV=1,Synpcc7942_0883,tier1:Gene Name
Synpcc7942_0788,Q31Q49,-0.174,0.358,0.511, Glutathione S-transferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0788 PE=4 SV=1,Synpcc7942_0788,locus_tag:Gene Name
dapB,Q31LA3,-0.172,0.665,0.793, 4-hydroxy-tetrahydrodipicolinate reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dapB PE=3 SV=1,Synpcc7942_2136,tier1:Gene Name
ndhJ,Q31P07,-0.171,0.376,0.53, NAD(P)H-quinone oxidoreductase subunit J OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhJ PE=3 SV=1,Synpcc7942_1182,multi:Gene Name
nusA,Q31LL7,-0.169,0.66,0.79, Transcription termination/antitermination protein NusA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nusA PE=3 SV=1,Synpcc7942_2022,tier1:Gene Name
katG,Q31MN3,-0.168,0.721,0.835, Catalase-peroxidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=katG PE=1 SV=1,Synpcc7942_1656,tier1:Gene Name
rpiA,Q31QQ3,-0.158,0.55,0.691, Ribose-5-phosphate isomerase A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpiA PE=3 SV=1,Synpcc7942_0584,multi:Gene Name
Synpcc7942_2368,Q31KM1,-0.151,0.698,0.818, Secretion protein HlyD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2368 PE=3 SV=1,Synpcc7942_2368,locus_tag:Gene Name
tr|Q31QC5|Q31QC5_SYNE7 C-terminal processing,Q31QC5,-0.151,0.66,0.79, C-terminal processing peptidase-2. Serine peptidase. MEROPS family S41A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0712 PE=3 SV=1,Synpcc7942_0712,multi:Protein ID
nirA,P39661,-0.149,0.47,0.63, Ferredoxin--nitrite reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nirA PE=3 SV=1,Synpcc7942_1240,multi:Gene Name
purF,Q55038,-0.132,0.568,0.705, Amidophosphoribosyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purF PE=3 SV=1,Synpcc7942_0004,tier1:Gene Name
Synpcc7942_0235,Q31RQ2,-0.13,0.725,0.838, Cyclic nucleotide-binding domain (CNMP-BD) protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0235 PE=4 SV=1,Synpcc7942_0235,locus_tag:Gene Name
Synpcc7942_2400,Q31KI9,-0.13,0.822,0.901, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2400 PE=4 SV=1,Synpcc7942_2400,locus_tag:Gene Name
ppa,Q31NF6,-0.126,0.671,0.797, Inorganic pyrophosphatase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ppa PE=3 SV=1,Synpcc7942_1383,multi:Protein ID
Synpcc7942_1609,Q31MT0,-0.126,0.701,0.82, Protein splicing (Intein) site OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1609 PE=4 SV=1,Synpcc7942_1609,locus_tag:Gene Name
dapA,Q31M42,-0.12,0.676,0.798, 4-hydroxy-tetrahydrodipicolinate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dapA PE=3 SV=1,Synpcc7942_1847,tier1:Gene Name
Synpcc7942_2444,Q31KE5,-0.117,0.529,0.677, Phosphate binding protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2444 PE=4 SV=1,Synpcc7942_2444,locus_tag:Gene Name
psbB,P31094,-0.108,0.711,0.827, Photosystem II CP47 reaction center protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbB PE=3 SV=1,Synpcc7942_0697,tier1:Gene Name
Synpcc7942_0761,Q31Q76,-0.108,0.761,0.87, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0761 PE=4 SV=1,Synpcc7942_0761,locus_tag:Gene Name
SEA0005,Q935Z1,-0.101,0.811,0.901," Nucleotide binding protein, PINc OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEA0005 PE=4 SV=1",Synpcc7942_2521,tier1:Gene Name
ispG,Q31QC4,-0.0987,0.866,0.927, 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ispG PE=3 SV=1,Synpcc7942_0713,tier1:Gene Name
leuB,Q31N34,-0.0986,0.56,0.699, 3-isopropylmalate dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=leuB PE=3 SV=1,Synpcc7942_1505,tier1:Gene Name
Synpcc7942_0246,Q31RP1,-0.0962,0.76,0.87," Extracellular solute-binding protein, family 3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0246 PE=3 SV=1",Synpcc7942_0246,locus_tag:Gene Name
Synpcc7942_2281,Q31KV8,-0.0935,0.795,0.888, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2281 PE=4 SV=1,Synpcc7942_2281,locus_tag:Gene Name
recA,Q31RD9,-0.0884,0.786,0.887, Protein RecA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=recA PE=3 SV=1,Synpcc7942_0348,tier1:Gene Name
glgC,Q31QN4,-0.0819,0.685,0.804, Glucose-1-phosphate adenylyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glgC PE=3 SV=1,Synpcc7942_0603,multi:Gene Name
Synpcc7942_1059,Q31PD0,-0.0777,0.89,0.945, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1059 PE=4 SV=1,Synpcc7942_1059,locus_tag:Gene Name
dapL,Q31PY6,-0.0668,0.761,0.87, LL-diaminopimelate aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dapL PE=3 SV=1,Synpcc7942_0853,tier1:Gene Name
rpsB,Q31K59,-0.0659,0.853,0.921, 30S ribosomal protein S2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsB PE=3 SV=1,Synpcc7942_2530,tier1:Gene Name
tr|Q31S62|Q31S62_SYNE7 Aminopeptidase P. Metallo,Q31S62,-0.0621,0.874,0.934, Aminopeptidase P. Metallo peptidase. MEROPS family M24B OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0075 PE=3 SV=1,Synpcc7942_0075,multi:Protein ID
Synpcc7942_1105,Q31P84,-0.0599,0.838,0.912, Iron-sulfur cluster carrier protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1105 PE=3 SV=1,Synpcc7942_1105,locus_tag:Gene Name
Synpcc7942_1525,Q31N14,-0.0559,0.914,0.957, GTP-binding protein TypA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1525 PE=4 SV=1,Synpcc7942_1525,locus_tag:Gene Name
rpsF,Q31SC5,-0.0473,0.883,0.939, 30S ribosomal protein S6 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsF PE=3 SV=1,Synpcc7942_0012,tier1:Gene Name
synR,Q31KD0,-0.0468,0.906,0.951, SynR OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=synR PE=4 SV=1,Synpcc7942_2459,tier1:Gene Name
Synpcc7942_2069,Q31LH0,-0.0372,0.879,0.937, Fimbrial assembly protein PilC-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2069 PE=3 SV=1,Synpcc7942_2069,locus_tag:Gene Name
Synpcc7942_1246,Q31NU3,-0.0332,0.907,0.951, Carotene isomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1246 PE=4 SV=1,Synpcc7942_1246,locus_tag:Gene Name
kaiC,Q79PF4,-0.0307,0.939,0.97, Circadian clock protein kinase KaiC OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=kaiC PE=1 SV=1,Synpcc7942_1216,tier1:Gene Name
rplU,Q9Z3H5,-0.0286,0.948,0.972, 50S ribosomal protein L21 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplU PE=3 SV=1,Synpcc7942_1219,tier1:Gene Name
hisG,Q31Q54,-0.0285,0.943,0.97, ATP phosphoribosyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hisG PE=3 SV=1,Synpcc7942_0783,tier1:Gene Name
rnj,Q31M43,-0.0264,0.942,0.97, Ribonuclease J OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rnj PE=3 SV=1,Synpcc7942_1846,tier1:Gene Name
Synpcc7942_0383,Q31RA4,-0.0207,0.959,0.981, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0383 PE=4 SV=1,Synpcc7942_0383,locus_tag:Gene Name
pstB,Q31KE8,-0.0118,0.962,0.983, Phosphate import ATP-binding protein PstB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pstB PE=3 SV=1,Synpcc7942_2441,tier1:Gene Name
Synpcc7942_1338,Q31NK1,-0.00942,0.974,0.99, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1338 PE=4 SV=1,Synpcc7942_1338,locus_tag:Gene Name
Synpcc7942_0499,Q31QY8,-0.00925,0.987,0.993, Hydroxyneurosporene-O-methyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0499 PE=4 SV=1,Synpcc7942_0499,locus_tag:Gene Name
ftsH.2,Q31NM5,-0.00526,0.987,0.993, ATP-dependent zinc metalloprotease FtsH OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ftsH PE=3 SV=1,Synpcc7942_1314,multi:Protein ID
purC,Q31PR2,-0.00457,0.99,0.993, Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purC PE=3 SV=1,Synpcc7942_0927,multi:Protein ID
Synpcc7942_2453,Q31KD6,-0.00362,0.993,0.993, Type IV pilus assembly protein PilM OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2453 PE=4 SV=1,Synpcc7942_2453,locus_tag:Gene Name
acsF,Q31LY2,0.00349,0.993,0.993, Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=acsF PE=3 SV=1,Synpcc7942_1907,tier1:Gene Name
rpsG,Q31PV3,0.00372,0.99,0.993, 30S ribosomal protein S7 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsG PE=3 SV=1,Synpcc7942_0886,tier1:Gene Name
argJ,Q31LZ3,0.0057,0.985,0.993, Arginine biosynthesis bifunctional protein ArgJ OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argJ PE=3 SV=1,Synpcc7942_1896,multi:Protein ID
Synpcc7942_1268,Q31NS1,0.00706,0.989,0.993, Phosphoglucomutase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1268 PE=3 SV=1,Synpcc7942_1268,locus_tag:Gene Name
murE,Q31N55,0.0108,0.968,0.986," UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=murE PE=3 SV=1",Synpcc7942_1484,multi:Gene Name
psbO,P11472,0.0142,0.933,0.969, Photosystem II manganese-stabilizing polypeptide OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbO PE=1 SV=1,Synpcc7942_0294,tier1:Gene Name
Synpcc7942_0191,Q31RU6,0.0193,0.982,0.993, Serine--glyoxylate transaminase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0191 PE=3 SV=1,Synpcc7942_0191,locus_tag:Gene Name
acsA,Q31NI7,0.0208,0.941,0.97, Acetyl-coenzyme A synthetase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=acsA PE=3 SV=1,Synpcc7942_1352,tier1:Gene Name
ispE,Q31RH7,0.0223,0.935,0.969, 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ispE PE=3 SV=1,Synpcc7942_0310,tier1:Gene Name
clpP1,P54415,0.0258,0.948,0.972, ATP-dependent Clp protease proteolytic subunit 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=clpP1 PE=3 SV=1,,unresolved
Synpcc7942_1149,Q31P40,0.0272,0.965,0.984, dTDP-glucose 46-dehydratase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1149 PE=4 SV=1,Synpcc7942_1149,locus_tag:Gene Name
rplN,Q31L17,0.035,0.898,0.949, 50S ribosomal protein L14 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplN PE=3 SV=1,Synpcc7942_2222,tier1:Gene Name
rplE,Q31L19,0.0364,0.932,0.969, 50S ribosomal protein L5 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplE PE=3 SV=1,Synpcc7942_2220,tier1:Gene Name
purD,Q31PR4,0.0367,0.928,0.968, Phosphoribosylamine--glycine ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purD PE=3 SV=1,Synpcc7942_0925,multi:Protein ID
psbD1,P11005,0.0403,0.906,0.951, Photosystem II D2 protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbD1 PE=3 SV=2,,unresolved
surE,Q31LH6,0.0429,0.903,0.951, 5-nucleotidase SurE OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=surE PE=3 SV=1,Synpcc7942_2063,tier1:Gene Name
hslO,Q31QS8,0.0479,0.897,0.949, 33 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hslO PE=3 SV=1,Synpcc7942_0559,tier1:Gene Name
proA,Q31KX4,0.051,0.892,0.946, Gamma-glutamyl phosphate reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=proA PE=3 SV=1,,ambiguous
Synpcc7942_0156,Q31RY1,0.0536,0.752,0.865, Phosphoglucomutase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0156 PE=3 SV=1,Synpcc7942_0156,locus_tag:Gene Name
Synpcc7942_1412,Q31NC7,0.0608,0.925,0.965, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1412 PE=4 SV=1,Synpcc7942_1412,locus_tag:Gene Name
argG,Q31SC8,0.0641,0.823,0.901, Argininosuccinate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argG PE=3 SV=1,Synpcc7942_0009,tier1:Gene Name
Synpcc7942_2258,Q31KY1,0.0658,0.79,0.887, Aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2258 PE=4 SV=1,Synpcc7942_2258,locus_tag:Gene Name
psbC,P11004,0.07,0.77,0.875, Photosystem II CP43 reaction center protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psbC PE=3 SV=3,Synpcc7942_0656,multi:Gene Name
Synpcc7942_2417,Q31KH2,0.0702,0.805,0.897," Transcriptional regulator, ABC transporter OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2417 PE=4 SV=1",Synpcc7942_2417,locus_tag:Gene Name
atpF,Q31RF3,0.0751,0.847,0.918, ATP synthase subunit b OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpF PE=3 SV=1,Synpcc7942_0334,tier1:Gene Name
argC,Q31NA6,0.0774,0.856,0.922, N-acetyl-gamma-glutamyl-phosphate reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argC PE=3 SV=1,Synpcc7942_1433,tier1:Gene Name
ndhM,Q31LQ7,0.0795,0.841,0.913, NAD(P)H-quinone oxidoreductase subunit M OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhM PE=3 SV=1,Synpcc7942_1982,tier1:Gene Name
clpB2,O34209,0.0801,0.822,0.901, Chaperone protein ClpB 2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=clpB2 PE=3 SV=1,Synpcc7942_0637,tier1:Gene Name
Synpcc7942_1137,Q31P52,0.0827,0.812,0.901, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1137 PE=4 SV=1,Synpcc7942_1137,locus_tag:Gene Name
nirB,Q55283,0.0857,0.785,0.887, NirB protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nirB PE=4 SV=1,Synpcc7942_1241,tier1:Gene Name
rplB,Q31L10,0.0865,0.852,0.921, 50S ribosomal protein L2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplB PE=3 SV=1,Synpcc7942_2229,tier1:Gene Name
rplM,Q31L33,0.0927,0.823,0.901, 50S ribosomal protein L13 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplM PE=3 SV=1,Synpcc7942_2206,tier1:Gene Name
fcl,Q31MI9,0.0931,0.765,0.873, GDP-L-fucose synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=fcl PE=3 SV=1,Synpcc7942_1700,tier1:Gene Name
trpA,Q31R76,0.102,0.779,0.882, Tryptophan synthase alpha chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=trpA PE=3 SV=1,Synpcc7942_0411,tier1:Gene Name
ccmK,Q03511,0.104,0.674,0.798, Carbon dioxide-concentrating mechanism protein CcmK OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ccmK PE=1 SV=1,Synpcc7942_1421,tier1:Gene Name
cysA,P14788,0.107,0.777,0.881, Sulfate/thiosulfate import ATP-binding protein CysA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cysA PE=2 SV=1,Synpcc7942_1680,multi:Gene Name
aroA,Q31RQ5,0.112,0.823,0.901, 3-phosphoshikimate 1-carboxyvinyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=aroA PE=3 SV=1,Synpcc7942_0232,tier1:Gene Name
groL.1,Q31QF2,0.112,0.603,0.732, 60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=groL PE=3 SV=1,Synpcc7942_0685,multi:Protein ID
Synpcc7942_1889,Q31M00,0.114,0.791,0.887, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1889 PE=3 SV=1,Synpcc7942_1889,locus_tag:Gene Name
Synpcc7942_0552,Q31QT5,0.12,0.795,0.888, UDP-N-Acetylglucosamine 2-epimerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0552 PE=3 SV=1,Synpcc7942_0552,locus_tag:Gene Name
Synpcc7942_1375,Q31NG4,0.122,0.858,0.922, FMN_red domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1375 PE=4 SV=1,Synpcc7942_1375,locus_tag:Gene Name
rplT,Q31NR2,0.127,0.866,0.927, 50S ribosomal protein L20 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplT PE=3 SV=1,Synpcc7942_1277,tier1:Gene Name
Synpcc7942_0385,Q31RA2,0.127,0.541,0.686, Geranylgeranyl reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0385 PE=4 SV=1,Synpcc7942_0385,locus_tag:Gene Name
atpA,Q31RF1,0.128,0.498,0.65, ATP synthase subunit alpha OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpA PE=3 SV=1,Synpcc7942_0336,tier1:Gene Name
Synpcc7942_1794,Q31M95,0.128,0.815,0.901, Aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1794 PE=3 SV=1,Synpcc7942_1794,locus_tag:Gene Name
ndhI,Q31NJ5,0.129,0.859,0.922, NAD(P)H-quinone oxidoreductase subunit I OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhI PE=3 SV=1,Synpcc7942_1344,tier1:Gene Name
Synpcc7942_1932,Q31LV7,0.129,0.721,0.835, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1932 PE=4 SV=1,Synpcc7942_1932,locus_tag:Gene Name
Synpcc7942_0940,Q31PP9,0.131,0.747,0.861," Transcriptional regulator, XRE family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0940 PE=4 SV=1",Synpcc7942_0940,locus_tag:Gene Name
atpD,Q31KS4,0.136,0.377,0.53, ATP synthase subunit beta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=atpD PE=3 SV=1,Synpcc7942_0335,tier1:Gene Name
Synpcc7942_0173,Q31RW4,0.136,0.595,0.728, 3-Phosphoadenosine 5-phosphosulfate (PAPS) 3-phosphatase-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0173 PE=4 SV=1,Synpcc7942_0173,locus_tag:Gene Name
Synpcc7942_1106,Q31P83,0.136,0.792,0.887, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1106 PE=4 SV=1,Synpcc7942_1106,locus_tag:Gene Name
rplA,Q31QK4,0.139,0.54,0.686, 50S ribosomal protein L1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplA PE=3 SV=1,Synpcc7942_0633,tier1:Gene Name
tr|Q31M28|Q31M28_SYNE7,Q31M28,0.152,0.705,0.823, Periplasmic binding protein of ABC transporter for natural amino acids OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1861 PE=4 SV=1,,unresolved
Synpcc7942_0954,Q31PN5,0.154,0.838,0.912, Glycine cleavage T-protein-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0954 PE=3 SV=1,Synpcc7942_0954,locus_tag:Gene Name
Synpcc7942_2545,Q31K44,0.157,0.671,0.797, Aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2545 PE=3 SV=1,Synpcc7942_2545,locus_tag:Gene Name
Synpcc7942_0300,Q31RI7,0.164,0.408,0.561, Rod shape-determining protein MreB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0300 PE=4 SV=1,Synpcc7942_0300,locus_tag:Gene Name
Synpcc7942_2548,Q31K41,0.167,0.77,0.875, 3-isopropylmalate dehydratase small subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2548 PE=3 SV=1,Synpcc7942_2548,locus_tag:Gene Name
Synpcc7942_2089,Q31LF0,0.168,0.719,0.835, Thioredoxin domain 2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2089 PE=4 SV=1,Synpcc7942_2089,locus_tag:Gene Name
Synpcc7942_2255,Q31KY4,0.172,0.545,0.689, SpoVT-AbrB domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2255 PE=4 SV=1,Synpcc7942_2255,locus_tag:Gene Name
groL,P22879,0.175,0.518,0.668, 60 kDa chaperonin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=groL PE=3 SV=2,Synpcc7942_0685,tier1:Gene Name
Synpcc7942_0026,Q31SB1,0.176,0.822,0.901, Aldo_ket_red domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0026 PE=4 SV=1,Synpcc7942_0026,locus_tag:Gene Name
