gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags
BSR22_RS05350,,BSR22_RS05350,BSR22_05335,Protein Homology,975879,976880,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817959.1,heme o synthase,WP_077141705.1,"GO:0048034,GO:0008495,GO:0016020",membrane|0016020||IEA,protoheme IX farnesyltransferase activity|0008495||IEA,heme O biosynthetic process|0048034||IEA,BSR22_05335
BSR22_RS05355,,BSR22_RS05355,BSR22_05340,Protein Homology,976920,977936,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376008.1,ABC transporter ATP-binding protein,WP_077141704.1,GO:0005524,,ATP binding|0005524||IEA,,BSR22_05340
BSR22_RS05360,,BSR22_RS05360,BSR22_05345,Protein Homology,977985,978809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817961.1,ABC transporter permease,WP_077141703.1,"GO:0140359,GO:0016020",membrane|0016020||IEA,ABC-type transporter activity|0140359||IEA,,BSR22_05345
BSR22_RS05365,,BSR22_RS05365,BSR22_05350,Protein Homology,978817,979248,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862473.1,glycoprotein,WP_077141702.1,,,,,BSR22_05350
groL,groL,BSR22_RS05370,BSR22_05355,Protein Homology,979252,980997,-,60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds,,COORDINATES: similar to AA sequence:RefSeq:WP_011862474.1,chaperonin GroEL,WP_077141701.1,"GO:0042026,GO:0140662",,ATP-dependent protein folding chaperone|0140662||IEA,protein refolding|0042026||IEA,BSR22_05355
BSR22_RS05375,,BSR22_RS05375,BSR22_05360,Protein Homology,981129,981308,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817964.1,hypothetical protein,WP_011862475.1,,,,,BSR22_05360
fabG,fabG,BSR22_RS05380,BSR22_05365,Protein Homology,981309,982058,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376013.1,3-oxoacyl-[acyl-carrier-protein] reductase,WP_025931480.1,"GO:0006633,GO:0004316,GO:0051287",,"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|0004316||IEA,NAD binding|0051287||IEA",fatty acid biosynthetic process|0006633||IEA,BSR22_05365
ispD,ispD,BSR22_RS05385,BSR22_05370,Protein Homology,982151,982822,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376014.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_077141700.1,"GO:0008299,GO:0019288,GO:0050518",,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity|0050518||IEA,"isoprenoid biosynthetic process|0008299||IEA,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway|0019288||IEA",BSR22_05370
BSR22_RS05390,,BSR22_RS05390,BSR22_05375,Protein Homology,982823,983692,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807925.1,LD-carboxypeptidase,WP_077141699.1,,,,,BSR22_05375
BSR22_RS05395,,BSR22_RS05395,BSR22_05380,Protein Homology,983702,984610,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807724.1,4-hydroxybenzoate polyprenyltransferase,WP_077141698.1,,,,,BSR22_05380
BSR22_RS05400,,BSR22_RS05400,BSR22_05385,Protein Homology,984715,986310,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376017.1,Ppx/GppA phosphatase family protein,WP_077141697.1,GO:0000166,,nucleotide binding|0000166||IEA,,BSR22_05385
BSR22_RS05405,,BSR22_RS05405,BSR22_05390,Protein Homology,986303,986797,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007285.1,helix-turn-helix domain-containing protein,WP_077141696.1,GO:0003677,,DNA binding|0003677||IEA,,BSR22_05390
cobM,cobM,BSR22_RS05410,BSR22_05395,Protein Homology,986853,987608,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817971.1,precorrin-4 C(11)-methyltransferase,WP_077142642.1,"GO:0009236,GO:0046026",,precorrin-4 C11-methyltransferase activity|0046026||IEA,cobalamin biosynthetic process|0009236||IEA,BSR22_05395
lgt,lgt,BSR22_RS05415,BSR22_05400,Protein Homology,987601,988494,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817972.1,prolipoprotein diacylglyceryl transferase,WP_077141695.1,"GO:0009249,GO:0008961,GO:0016020",membrane|0016020||IEA,phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity|0008961||IEA,protein lipoylation|0009249||IEA,BSR22_05400
petA,petA,BSR22_RS05420,BSR22_05405,Protein Homology,988505,989437,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011933749.1,cytochrome f,WP_423246164.1,,,,,BSR22_05405
petC,petC,BSR22_RS05425,BSR22_05410,Protein Homology,989463,989999,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007289.1,cytochrome b6-f complex iron-sulfur subunit,WP_011817974.1,"GO:0015979,GO:0009496,GO:0045158",,"plastoquinol--plastocyanin reductase activity|0009496||IEA,electron transporter%2C transferring electrons within cytochrome b6/f complex of photosystem II activity|0045158||IEA",photosynthesis|0015979||IEA,BSR22_05410
BSR22_RS05430,,BSR22_RS05430,BSR22_05415,Protein Homology,990123,990440,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862486.1,DUF3067 family protein,WP_025890486.1,,,,,BSR22_05415
tatC,tatC,BSR22_RS05435,BSR22_05420,Protein Homology,990409,991167,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007291.1,twin-arginine translocase subunit TatC,WP_077141694.1,"GO:0015628,GO:0005886",plasma membrane|0005886||IEA,,protein secretion by the type II secretion system|0015628||IEA,BSR22_05420
BSR22_RS05440,,BSR22_RS05440,BSR22_05425,Protein Homology,991248,991508,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807054.1,hypothetical protein,WP_011376025.1,,,,,BSR22_05425
BSR22_RS05445,,BSR22_RS05445,BSR22_05430,Protein Homology,991537,993237,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007292.1,Rqc2 family fibronectin-binding protein,WP_077142640.1,"GO:0072344,GO:0001968,GO:1990112",RQC complex|1990112||IEA,fibronectin binding|0001968||IEA,rescue of stalled ribosome|0072344||IEA,BSR22_05430
gmk,gmk,BSR22_RS05450,BSR22_05435,Protein Homology,993311,993865,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132103.1,guanylate kinase,WP_077141693.1,"GO:0006163,GO:0004385",,guanylate kinase activity|0004385||IEA,purine nucleotide metabolic process|0006163||IEA,BSR22_05435
psaJ,psaJ,BSR22_RS05455,BSR22_05440,Protein Homology,993880,994014,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819849.1,photosystem I reaction center subunit IX,WP_011862490.1,,,,,BSR22_05440
BSR22_RS05460,,BSR22_RS05460,BSR22_05445,Protein Homology,994042,994596,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011124622.1,photosystem I PsaF protein (subunit III),WP_011817979.1,,,,,BSR22_05445
tsaD,tsaD,BSR22_RS05465,BSR22_05450,Protein Homology,994671,995741,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007295.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,WP_077141692.1,GO:0002949,,,tRNA threonylcarbamoyladenosine modification|0002949||IEA,BSR22_05450
BSR22_RS05470,,BSR22_RS05470,BSR22_05455,Protein Homology,995747,995923,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862492.1,high light inducible protein,WP_025933243.1,,,,,BSR22_05455
BSR22_RS05475,,BSR22_RS05475,BSR22_05460,Protein Homology,996085,997290,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817982.1,cation:proton antiporter,WP_077141691.1,"GO:0006812,GO:1902600,GO:0015078,GO:0015297,GO:0016020",membrane|0016020||IEA,"proton transmembrane transporter activity|0015078||IEA,antiporter activity|0015297||IEA","monoatomic cation transport|0006812||IEA,proton transmembrane transport|1902600||IEA",BSR22_05460
gltX,gltX,BSR22_RS05480,BSR22_05465,Protein Homology,997291,998721,-,,,COORDINATES: protein motif:HMM:TIGR00464.1,glutamate--tRNA ligase,WP_077141690.1,"GO:0006424,GO:0000166,GO:0004818,GO:0005524",,"nucleotide binding|0000166||IEA,glutamate-tRNA ligase activity|0004818||IEA,ATP binding|0005524||IEA",glutamyl-tRNA aminoacylation|0006424||IEA,BSR22_05465
BSR22_RS05490,,BSR22_RS05490,BSR22_05475,Protein Homology,998962,999156,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807701.1,hypothetical protein,WP_002807701.1,,,,,BSR22_05475
rplS,rplS,BSR22_RS05500,BSR22_05485,Protein Homology,999318,999797,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007299.1,50S ribosomal protein L19,WP_077141689.1,"GO:0006412,GO:0003735,GO:0000311,GO:0022625","plastid large ribosomal subunit|0000311||IEA,cytosolic large ribosomal subunit|0022625||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,BSR22_05485
BSR22_RS05505,,BSR22_RS05505,BSR22_05490,Protein Homology,999821,1000129,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862496.1,PepSY domain-containing protein,WP_077141688.1,,,,,BSR22_05490
map,map,BSR22_RS05510,BSR22_05495,Protein Homology,1000225,1001064,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806216.1,type I methionyl aminopeptidase,WP_077141687.1,"GO:0006508,GO:0070006",,metalloaminopeptidase activity|0070006||IEA,proteolysis|0006508||IEA,BSR22_05495
BSR22_RS05515,,BSR22_RS05515,BSR22_05500,Protein Homology,1001068,1001787,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806705.1,SDR family oxidoreductase,WP_077141686.1,,,,,BSR22_05500
BSR22_RS05520,,BSR22_RS05520,BSR22_05505,Protein Homology,1001942,1003051,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817988.1,phosphotransacetylase family protein,WP_077141685.1,,,,,BSR22_05505
BSR22_RS05525,,BSR22_RS05525,BSR22_05510,Protein Homology,1003077,1003589,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132115.1,DNA recombination-mediator protein A,WP_077141684.1,,,,,BSR22_05510
BSR22_RS05530,,BSR22_RS05530,BSR22_05515,Protein Homology,1003655,1004152,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376040.1,YajQ family cyclic di-GMP-binding protein,WP_025931500.1,,,,,BSR22_05515
BSR22_RS05535,,BSR22_RS05535,BSR22_05520,Protein Homology,1004180,1004389,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862502.1,hypothetical protein,WP_025931501.1,,,,,BSR22_05520
BSR22_RS05540,,BSR22_RS05540,BSR22_05525,Protein Homology,1004499,1005302,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817992.1,prohibitin family protein,WP_077141683.1,"GO:0005743,GO:0016020,GO:0035632","mitochondrial inner membrane|0005743||IEA,membrane|0016020||IEA,mitochondrial prohibitin complex|0035632||IEA",,,BSR22_05525
hemL,hemL,BSR22_RS05545,BSR22_05530,Protein Homology,1005374,1006675,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817993.1,glutamate-1-semialdehyde 2%2C1-aminomutase,WP_077141682.1,"GO:0033014,GO:0042286",,glutamate-1-semialdehyde 2%2C1-aminomutase activity|0042286||IEA,tetrapyrrole biosynthetic process|0033014||IEA,BSR22_05530
xth,xth,BSR22_RS05550,BSR22_05535,Protein Homology,1006902,1007747,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376044.1,exodeoxyribonuclease III,WP_077141681.1,"GO:0006281,GO:0008311",,double-stranded DNA 3'-5' DNA exonuclease activity|0008311||IEA,DNA repair|0006281||IEA,BSR22_05535
BSR22_RS05555,,BSR22_RS05555,BSR22_05540,Protein Homology,1007819,1008112,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817995.1,hypothetical protein,WP_025971829.1,,,,,BSR22_05540
BSR22_RS05560,,BSR22_RS05560,BSR22_05545,Protein Homology,1008144,1008755,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862507.1,hypothetical protein,WP_077141680.1,,,,,BSR22_05545
larC,larC,BSR22_RS05565,BSR22_05550,Protein Homology,1008794,1010026,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007311.1,nickel pincer cofactor biosynthesis protein LarC,WP_077141679.1,,,,,BSR22_05550
BSR22_RS05570,,BSR22_RS05570,BSR22_05555,Protein Homology,1010023,1010979,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817998.1,hypothetical protein,WP_077141678.1,,,,,BSR22_05555
BSR22_RS05575,,BSR22_RS05575,BSR22_05560,Protein Homology,1010976,1012514,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007313.1,ABC transporter permease,WP_077141677.1,"GO:0055085,GO:0042626,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transmembrane transport|0055085||IEA,BSR22_05560
BSR22_RS05580,,BSR22_RS05580,BSR22_05565,Protein Homology,1012541,1013587,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807288.1,CobW family GTP-binding protein,WP_077143815.1,"GO:0003924,GO:0005525,GO:0046872",,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,metal ion binding|0046872||IEA",,BSR22_05565
BSR22_RS05585,,BSR22_RS05585,BSR22_05570,Protein Homology,1013617,1013907,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805992.1,4a-hydroxytetrahydrobiopterin dehydratase,WP_077141675.1,"GO:0006729,GO:0008124",,4-alpha-hydroxytetrahydrobiopterin dehydratase activity|0008124||IEA,tetrahydrobiopterin biosynthetic process|0006729||IEA,BSR22_05570
BSR22_RS05590,,BSR22_RS05590,BSR22_05575,Protein Homology,1013944,1014399,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807666.1,secondary thiamine-phosphate synthase enzyme YjbQ,WP_077141674.1,"GO:0003824,GO:0005737",cytoplasm|0005737||IEA,catalytic activity|0003824||IEA,,BSR22_05575
BSR22_RS05595,,BSR22_RS05595,BSR22_05580,Protein Homology,1014508,1016013,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805816.1,carboxypeptidase M32,WP_077141673.1,"GO:0006508,GO:0004181,GO:0008270",,"metallocarboxypeptidase activity|0004181||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,BSR22_05580
BSR22_RS05600,,BSR22_RS05600,BSR22_05585,Protein Homology,1016077,1016664,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850060.1,inorganic diphosphatase,WP_077141672.1,,,,,BSR22_05585
hemC,hemC,BSR22_RS05605,BSR22_05590,Protein Homology,1016671,1017621,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132130.1,hydroxymethylbilane synthase,WP_077141671.1,"GO:0033014,GO:0004418",,hydroxymethylbilane synthase activity|0004418||IEA,tetrapyrrole biosynthetic process|0033014||IEA,BSR22_05590
rpoD,rpoD,BSR22_RS05610,BSR22_05595,Protein Homology,1017719,1018900,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805209.1,RNA polymerase sigma factor RpoD,WP_077141670.1,,,,,BSR22_05595
priA,priA,BSR22_RS05615,BSR22_05600,Protein Homology,1019222,1021498,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818006.1,replication restart helicase PriA,WP_077141669.1,"GO:0006260,GO:0003677,GO:0003678",,"DNA binding|0003677||IEA,DNA helicase activity|0003678||IEA",DNA replication|0006260||IEA,BSR22_05600
BSR22_RS05620,,BSR22_RS05620,BSR22_05605,Protein Homology,1021499,1022608,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818007.1,DUF3153 domain-containing protein,WP_077141668.1,,,,,BSR22_05605
argB,argB,BSR22_RS05625,BSR22_05610,Protein Homology,1022612,1023463,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807414.1,acetylglutamate kinase,WP_012007323.1,"GO:0006592,GO:0003991,GO:0005737",cytoplasm|0005737||IEA,acetylglutamate kinase activity|0003991||IEA,ornithine biosynthetic process|0006592||IEA,BSR22_05610
BSR22_RS05630,,BSR22_RS05630,BSR22_05615,Protein Homology,1023528,1024058,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862520.1,DUF2854 domain-containing protein,WP_025894150.1,,,,,BSR22_05615
BSR22_RS05635,,BSR22_RS05635,BSR22_05620,Protein Homology,1024101,1024283,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808126.1,hypothetical protein,WP_025894151.1,,,,,BSR22_05620
BSR22_RS05640,,BSR22_RS05640,BSR22_05625,Protein Homology,1024285,1024710,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808072.1,single-stranded DNA-binding protein,WP_077141667.1,"GO:0006260,GO:0003697",,single-stranded DNA binding|0003697||IEA,DNA replication|0006260||IEA,BSR22_05625
cobK,cobK,BSR22_RS05645,BSR22_05630,Protein Homology,1024739,1025536,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818012.1,precorrin-6A reductase,WP_077141666.1,"GO:0009236,GO:0016994",,precorrin-6A reductase activity|0016994||IEA,cobalamin biosynthetic process|0009236||IEA,BSR22_05630
cutA,cutA,BSR22_RS05650,BSR22_05635,Protein Homology,1025550,1025855,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818013.1,divalent cation tolerance protein CutA,WP_077141665.1,GO:0010038,,,response to metal ion|0010038||IEA,BSR22_05635
BSR22_RS05655,,BSR22_RS05655,BSR22_05640,Protein Homology,1025861,1026865,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818014.1,adenosine kinase,WP_077141664.1,,,,,BSR22_05640
BSR22_RS05660,,BSR22_RS05660,BSR22_05645,Protein Homology,1026881,1028191,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475992.1,adenylosuccinate synthase,WP_077141663.1,"GO:0006164,GO:0004019,GO:0005525",,"adenylosuccinate synthase activity|0004019||IEA,GTP binding|0005525||IEA",purine nucleotide biosynthetic process|0006164||IEA,BSR22_05645
psb27,psb27,BSR22_RS05665,BSR22_05650,Protein Homology,1028273,1028710,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376067.1,photosystem II protein Psb27,WP_025894157.1,"GO:0010206,GO:0010207,GO:0009523",photosystem II|0009523||IEA,,"photosystem II repair|0010206||IEA,photosystem II assembly|0010207||IEA",BSR22_05650
BSR22_RS05670,,BSR22_RS05670,BSR22_05655,Protein Homology,1028742,1030538,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376068.1,proline--tRNA ligase,WP_077141662.1,"GO:0006418,GO:0006433,GO:0000166,GO:0002161,GO:0004812,GO:0004827,GO:0005524",,"nucleotide binding|0000166||IEA,aminoacyl-tRNA editing activity|0002161||IEA,aminoacyl-tRNA ligase activity|0004812||IEA,proline-tRNA ligase activity|0004827||IEA,ATP binding|0005524||IEA","tRNA aminoacylation for protein translation|0006418||IEA,prolyl-tRNA aminoacylation|0006433||IEA",BSR22_05655
BSR22_RS05675,,BSR22_RS05675,BSR22_05660,Protein Homology,1030714,1031064,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376069.1,hypothetical protein,WP_025971848.1,,,,,BSR22_05660
BSR22_RS05680,,BSR22_RS05680,BSR22_05665,Protein Homology,1031161,1031400,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818019.1,hypothetical protein,WP_077141661.1,,,,,BSR22_05665
BSR22_RS05685,,BSR22_RS05685,BSR22_05670,Protein Homology,1031405,1031959,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862531.1,inorganic diphosphatase,WP_077141660.1,,,,,BSR22_05670
BSR22_RS05690,,BSR22_RS05690,BSR22_05675,Protein Homology,1031956,1032312,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806067.1,Spx/MgsR family RNA polymerase-binding regulatory protein,WP_077141659.1,,,,,BSR22_05675
lepB,lepB,BSR22_RS05695,BSR22_05680,Protein Homology,1032342,1033001,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862533.1,signal peptidase I,WP_025894163.1,"GO:0006465,GO:0009306,GO:0004252,GO:0016020",membrane|0016020||IEA,serine-type endopeptidase activity|0004252||IEA,"signal peptide processing|0006465||IEA,protein secretion|0009306||IEA",BSR22_05680
BSR22_RS05700,,BSR22_RS05700,BSR22_05685,Protein Homology,1033054,1034382,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818023.1,histidine phosphatase family protein,WP_077141658.1,GO:0003824,,catalytic activity|0003824||IEA,,BSR22_05685
BSR22_RS05705,,BSR22_RS05705,BSR22_05690,Protein Homology,1034499,1035860,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007339.1,CPBP family intramembrane glutamic endopeptidase,WP_077141657.1,,,,,BSR22_05690
BSR22_RS05710,,BSR22_RS05710,BSR22_05695,Protein Homology,1035945,1036373,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805784.1,hypothetical protein,WP_077141656.1,,,,,BSR22_05695
BSR22_RS05715,,BSR22_RS05715,BSR22_05700,Protein Homology,1036373,1038124,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818026.1,peptidoglycan D%2CD-transpeptidase FtsI family protein,WP_077141655.1,"GO:0009252,GO:0051301,GO:0071555,GO:0008658,GO:0008955,GO:0009002,GO:0016787,GO:0005886,GO:0016020","plasma membrane|0005886||IEA,membrane|0016020||IEA","penicillin binding|0008658||IEA,peptidoglycan glycosyltransferase activity|0008955||IEA,serine-type D-Ala-D-Ala carboxypeptidase activity|0009002||IEA,hydrolase activity|0016787||IEA","peptidoglycan biosynthetic process|0009252||IEA,cell division|0051301||IEA,cell wall organization|0071555||IEA",BSR22_05700
tal,tal,BSR22_RS05720,BSR22_05705,Protein Homology,1038217,1039218,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805504.1,transaldolase,WP_077141654.1,"GO:0006098,GO:0004801,GO:0005737",cytoplasm|0005737||IEA,transaldolase activity|0004801||IEA,pentose-phosphate shunt|0006098||IEA,BSR22_05705
BSR22_RS05725,,BSR22_RS05725,BSR22_05710,Protein Homology,1039242,1040375,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806165.1,NAD(P)/FAD-dependent oxidoreductase,WP_077141653.1,"GO:0000166,GO:0016491,GO:0071949",,"nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA,FAD binding|0071949||IEA",,BSR22_05710
frr,frr,BSR22_RS05730,BSR22_05715,Protein Homology,1040372,1040920,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807007.1,ribosome recycling factor,WP_011818029.1,"GO:0006412,GO:0008135",,translation factor activity%2C RNA binding|0008135||IEA,translation|0006412||IEA,BSR22_05715
pyrH,pyrH,BSR22_RS05735,BSR22_05720,Protein Homology,1040943,1041647,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019477263.1,UMP kinase,WP_077141652.1,"GO:0006221,GO:0015949,GO:0033862,GO:0005737",cytoplasm|0005737||IEA,UMP kinase activity|0033862||IEA,"pyrimidine nucleotide biosynthetic process|0006221||IEA,nucleobase-containing small molecule interconversion|0015949||IEA",BSR22_05720
cobO,cobO,BSR22_RS05740,BSR22_05725,Protein Homology,1041776,1042468,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818031.1,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_077141651.1,"GO:0009236,GO:0008817",,corrinoid adenosyltransferase activity|0008817||IEA,cobalamin biosynthetic process|0009236||IEA,BSR22_05725
BSR22_RS05745,,BSR22_RS05745,BSR22_05730,Protein Homology,1042503,1043672,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007346.1,site-specific integrase,WP_077141650.1,"GO:0006310,GO:0015074,GO:0003677",,DNA binding|0003677||IEA,"DNA recombination|0006310||IEA,DNA integration|0015074||IEA",BSR22_05730
hemH,hemH,BSR22_RS05750,BSR22_05735,Protein Homology,1043738,1044913,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132160.1,ferrochelatase,WP_077141649.1,"GO:0006779,GO:0004325",,ferrochelatase activity|0004325||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,BSR22_05735
ilvB,ilvB,BSR22_RS05755,BSR22_05740,Protein Homology,1045050,1046813,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007348.1,biosynthetic-type acetolactate synthase large subunit,WP_077141648.1,"GO:0009082,GO:0000287,GO:0003984,GO:0030976,GO:0050660",,"magnesium ion binding|0000287||IEA,acetolactate synthase activity|0003984||IEA,thiamine pyrophosphate binding|0030976||IEA,flavin adenine dinucleotide binding|0050660||IEA",branched-chain amino acid biosynthetic process|0009082||IEA,BSR22_05740
BSR22_RS05760,,BSR22_RS05760,BSR22_05745,Protein Homology,1046882,1047232,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862546.1,hypothetical protein,WP_077141647.1,,,,,BSR22_05745
pgeF,pgeF,BSR22_RS05765,BSR22_05750,Protein Homology,1047239,1048021,-,,,COORDINATES: protein motif:HMM:TIGR00726.1,peptidoglycan editing factor PgeF,WP_335681604.1,,,,,BSR22_05750
BSR22_RS05770,,BSR22_RS05770,BSR22_05755,Protein Homology,1048044,1048949,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818037.1,Tab2 family RNA-binding protein,WP_077141645.1,,,,,BSR22_05755
BSR22_RS05775,,BSR22_RS05775,BSR22_05760,Protein Homology,1048946,1050151,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807114.1,S1 RNA-binding domain-containing protein,WP_077141644.1,GO:0003676,,nucleic acid binding|0003676||IEA,,BSR22_05760
BSR22_RS05780,,BSR22_RS05780,BSR22_05765,Protein Homology,1050218,1051012,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862550.1,creatininase family protein,WP_077141643.1,,,,,BSR22_05765
BSR22_RS05785,,BSR22_RS05785,BSR22_05770,Protein Homology,1051124,1051852,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476446.1,aldehyde oxygenase (deformylating),WP_025953569.1,GO:0043447,,,alkane biosynthetic process|0043447||IEA,BSR22_05770
BSR22_RS05790,,BSR22_RS05790,BSR22_05775,Protein Homology,1051961,1053001,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806394.1,long-chain acyl-[acyl-carrier-protein] reductase,WP_077141642.1,"GO:0043447,GO:0016491",,oxidoreductase activity|0016491||IEA,alkane biosynthetic process|0043447||IEA,BSR22_05775
BSR22_RS05795,,BSR22_RS05795,BSR22_05780,Protein Homology,1053005,1054012,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862553.1,acetyl-CoA carboxylase carboxyltransferase subunit alpha,WP_077141641.1,"GO:0006633,GO:0003989,GO:0009317",acetyl-CoA carboxylase complex|0009317||IEA,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA,BSR22_05780
BSR22_RS05800,,BSR22_RS05800,BSR22_05785,Protein Homology,1053987,1054721,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007357.1,SDR family oxidoreductase,WP_077142639.1,,,,,BSR22_05785
