Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Marinobacter_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,FC G nM/L,FC GmM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
E4PKF6,7,7,40.0917,Nucleoside diphosphate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ndk PE=3 SV=1,2997394,2965868,2088471,790733,2846819,3509053,1.50E+07,1954429,4251536,1.80E+07,8264167,2.70E+07,5.50E+07,1046292,4478032,766026,2659315,911221,5345858,2112223,4727471,1284735,3051123,1858849,8689973,1.20E+07,1.10E+07,0.00368,0.00124,0.0018,0.00347,0.00184,0.00113,0.01336,0.00851,0.02336,0.00116,0.00163,0.00165,0.00249,0.00154,0.00144,0.00836,0.0187,0.01843,Nucleoside diphosphate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ndk PE=3 SV=1,0.00224,0.00215,0.01507,0.00148,0.00182,0.01517,0.96,6.73,1.23,10.22,0.47,0.02,0.21,0.01
E4PNJ4,3,3,8.92573,"Glutathione S-transferase, N-terminal domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_548 PE=3 SV=1",119626,116973,155219,45444.9,80730.3,193581,442118,70590.1,94968.8,788225,306180,1324130,2190443,28346.4,64302.7,17963.9,40406.4,30200.3,373217,123383,140036,50193,96513.8,59497.8,392152,542713,558687,0.00015,9.20E-05,5.10E-05,0.00019,6.70E-05,2.50E-05,0.00058,0.00041,0.00093,3.20E-05,3.80E-05,5.50E-05,0.00015,6.00E-05,4.60E-05,0.00038,0.00087,0.0009,"Glutathione S-transferase, N-terminal domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_548 PE=3 SV=1",9.70E-05,9.40E-05,0.00064,4.20E-05,8.40E-05,0.00071,0.98,6.62,2.02,17.21,0.49,0.01,0.13,0.01
E4PJV9,3,3,13.3844,"Lipoprotein, YaeC family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3905 PE=3 SV=1",19366.3,55968,170904,27322.3,62207.8,19196.4,78878.4,44507,54073.7,232070,54252.2,81111.5,1994210,34548.3,106927,22978,47460.7,43571.9,38004.5,83547.4,34324.8,32374.9,93421.5,73295.1,103059,740460,481369,2.40E-05,0.0001,3.90E-05,1.90E-05,4.20E-05,1.40E-05,0.00017,2.50E-05,0.00084,3.80E-05,4.90E-05,7.90E-05,9.90E-05,3.90E-05,5.70E-05,9.90E-05,0.00118,0.00078,"Lipoprotein, YaeC family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3905 PE=3 SV=1",5.50E-05,2.50E-05,0.00035,5.50E-05,6.50E-05,0.00069,0.46,6.31,1.17,12.36,0.15,0.16,0.35,0.06
E4PJC2,2,2,12.2649,Thiosulfate transporter subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1344 PE=4 SV=1,53527.6,53658,44888.1,5223.9,10521.2,61281.2,8294.25,588.591,28843.9,670007,7184.53,452.452,299821,149.149,27729.5,4522.49,970.269,34616.9,40536.1,52693,60915.6,4818.86,2676.59,47325.3,40008.8,13741,13410,6.60E-05,2.70E-05,6.70E-06,6.10E-05,5.60E-07,7.60E-06,0.0005,1.40E-07,0.00013,1.70E-07,9.70E-06,6.30E-05,6.20E-05,5.80E-06,3.70E-05,3.90E-05,2.20E-05,2.20E-05,Thiosulfate transporter subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1344 PE=4 SV=1,3.30E-05,2.30E-05,0.00021,2.40E-05,3.50E-05,2.70E-05,0.7,6.29,1.44,1.13,0.36,0.15,0.35,0.44
E4PNU4,5,5,23.9977,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisA PE=3 SV=1,29507.2,34979.2,92447.1,40828.1,122350,33459.4,205191,44041.7,315317,520507,41369.4,1059903,663098,12334.7,37146.2,13906.9,114677,37634.4,202526,10753.1,32977.4,214978,29969.2,52570,72013.6,111967,533983,3.60E-05,5.50E-05,7.70E-05,3.30E-05,4.20E-05,8.30E-05,0.00039,0.00033,0.00028,1.40E-05,3.00E-05,6.80E-05,1.30E-05,0.00026,4.10E-05,6.90E-05,0.00018,0.00086,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hisA PE=3 SV=1,5.60E-05,5.30E-05,0.00033,3.70E-05,0.0001,0.00037,0.94,5.9,2.78,9.94,0.43,0,0.22,0.13
E4PIW6,23,23,112.502,Isocitrate dehydrogenase [NADP] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3800 PE=3 SV=1,3107572,4959307,6891447,2655234,1.00E+07,4100006,1.80E+07,3041884,1.40E+07,3.10E+07,3.70E+07,1.20E+08,5.70E+07,1721022,5335846,1054794,3781435,1432098,6684248,3075405,5946350,2610106,1.30E+07,3438099,3.80E+07,1.30E+07,8538608,0.00381,0.0041,0.0065,0.00406,0.00287,0.00361,0.02301,0.03624,0.02428,0.00192,0.00225,0.0026,0.00363,0.00312,0.00266,0.03624,0.02078,0.01378,Isocitrate dehydrogenase [NADP] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3800 PE=3 SV=1,0.00481,0.00351,0.02784,0.00225,0.00314,0.0236,0.73,5.79,1.39,10.47,0.12,0,0.03,0.02
E4PRD4,2,2,6.9512,Translation initiation factor IF-1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=infA PE=3 SV=1,31863.7,36443.7,51978.5,156094,14089.6,103722,218466,83104.9,28044.4,69177.5,87780,506481,549223,23996.5,3446.65,58050.3,72728.3,29564.3,23150.6,62234.2,190460,26305.6,19366.7,127215,109570,82687.4,3167.18,3.90E-05,3.10E-05,8.90E-06,0.0001,7.80E-05,7.40E-06,5.10E-05,0.00016,0.00023,2.70E-05,0.00012,5.40E-05,7.30E-05,3.10E-05,9.80E-05,0.00011,0.00013,5.10E-06,Translation initiation factor IF-1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=infA PE=3 SV=1,2.60E-05,6.30E-05,0.00015,6.80E-05,6.80E-05,8.10E-05,2.39,5.58,1,1.19,0.14,0.04,0.5,0.4
E4PMR4,8,8,58.2948,Glutamine synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_428 PE=3 SV=1,1466079,1432804,1918115,804090,2229747,1155002,4020224,740228,3875199,2.40E+07,2386653,7639110,1.00E+07,462370,913884,211079,328859,470774,4658410,639777,999984,426378,860083,1279466,3866642,3850761,1000131,0.0018,0.00114,0.00141,0.00114,0.0007,0.00103,0.01746,0.00237,0.00423,0.00051,0.00045,0.00085,0.00076,0.00051,0.00099,0.00372,0.00614,0.00161,Glutamine synthetase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_428 PE=3 SV=1,0.00145,0.00096,0.00802,0.00061,0.00075,0.00383,0.66,5.53,1.24,6.31,0.05,0.12,0.24,0.04
E4PK86,8,8,30.2999,ABC transporter periplasmic amino acid-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1419 PE=4 SV=1,1665315,2155863,432163,136064,1044112,3168518,1.70E+07,225957,1699306,1.20E+07,3444889,1.40E+07,7619379,291617,530662,302923,984855,149887,4235431,440119,3465885,273468,1984988,340951,2770873,2403702,2950437,0.00204,0.00026,0.00066,0.00314,0.00021,0.00045,0.00883,0.00429,0.00322,0.00032,0.00065,0.00027,0.00052,0.00033,0.00026,0.00267,0.00384,0.00476,ABC transporter periplasmic amino acid-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1419 PE=4 SV=1,0.00099,0.00127,0.00544,0.00041,0.00037,0.00375,1.28,5.52,0.89,9.06,0.4,0.03,0.38,0
E4PQC0,2,2,5.23607,Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3221 PE=4 SV=1,452492,225140,1166595,89598.9,2167036,377875,3708572,596749,3680468,378399,6737984,3.50E+07,7272441,485374,1972415,80945.1,947172,344860,5920289,1155074,9999710,580750,3153543,666703,604724,1784605,4045898,0.00056,0.00069,0.00137,0.00037,0.00056,0.00097,0.00028,0.01078,0.00307,0.00054,0.00017,0.00063,0.00136,0.00069,0.00052,0.00058,0.00285,0.00653,Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3221 PE=4 SV=1,0.00087,0.00064,0.00471,0.00045,0.00086,0.00332,0.73,5.39,1.92,7.44,0.24,0.15,0.12,0.09
E4PRA5,5,5,19.2243,GMP synthase [glutamine-hydrolyzing] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=guaA PE=3 SV=1,348644,256637,652602,359502,1242330,322907,822360,545577,1929629,9807973,1056067,2277682,1512035,185958,526344,344950,834775,259188,1344202,386811,329035,831254,1074539,623861,2076752,348775,357442,0.00043,0.00039,0.00079,0.00032,0.00051,0.00051,0.00726,0.00071,0.00064,0.00021,0.00074,0.00047,0.00046,0.00099,0.00048,0.002,0.00056,0.00058,GMP synthase [glutamine-hydrolyzing] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=guaA PE=3 SV=1,0.00053,0.00045,0.00287,0.00047,0.00064,0.00104,0.84,5.37,1.37,2.22,0.29,0.17,0.25,0.16
E4PF63,6,6,21.1895,Glucose-6-phosphate 1-dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=zwf PE=3 SV=1,58323.8,140893,1212311,151251,302353,237666,275857,722461,601228,2089213,513809,3398200,6082699,250181,470898,154218,106791,332481,1824604,80102.4,1073412,371203,161047,238830,111358,861277,1530166,7.20E-05,0.00072,0.00019,0.00024,0.00068,0.00016,0.00155,0.00105,0.00257,0.00028,0.00033,0.0006,9.50E-05,0.00044,0.00018,0.00011,0.00137,0.00247,Glucose-6-phosphate 1-dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=zwf PE=3 SV=1,0.00033,0.00036,0.00172,0.0004,0.00024,0.00132,1.09,5.26,0.6,3.26,0.46,0.02,0.16,0.13
E4PFQ6,2,2,13.0717,Acyl carrier protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=acpP PE=3 SV=1,702353,718906,465808,194854,178234,818530,2319072,305110,577543,3833640,995458,2554370,6945240,58660,374838,120714,146497,198127,270427,436368,614478,94468.4,182064,333834,798047,1459424,548998,0.00086,0.00028,0.00011,0.00081,0.00029,0.00015,0.00284,0.00079,0.00293,6.50E-05,0.00026,0.00036,0.00052,0.00011,0.00026,0.00077,0.00233,0.00089,Acyl carrier protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=acpP PE=3 SV=1,0.00042,0.00042,0.00219,0.00023,0.0003,0.00133,1,5.25,1.3,5.84,0.5,0.04,0.33,0.05
E4PND4,2,2,7.52335,Energy-dependent translational throttle protein EttA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=yjjK PE=3 SV=1,596.523,5965.93,14779.9,6181.83,26042.6,2417.1,23150.9,8486.56,25264.8,30266.3,23321.4,18454.1,238402,1438.42,3101.58,1221.78,4606.92,1014.93,8984.04,5054.61,13596.8,4649.98,4742.33,5887.82,14880.5,5981.59,1656.62,7.30E-07,8.80E-06,1.60E-05,2.40E-06,8.00E-06,6.70E-06,2.20E-05,5.70E-06,0.0001,1.60E-06,2.60E-06,1.80E-06,6.00E-06,5.60E-06,4.50E-06,1.40E-05,9.50E-06,2.70E-06,Energy-dependent translational throttle protein EttA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=yjjK PE=3 SV=1,8.70E-06,5.70E-06,4.30E-05,2.00E-06,5.40E-06,8.80E-06,0.66,4.96,2.66,4.39,0.29,0.16,0,0.06
E4PF66,3,3,12.0412,Histone-like bacterial DNA-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2182 PE=3 SV=1,811671,368126,293958,106367,316443,1456876,3019442,224497,611374,7283539,428223,2283079,1200514,73285.1,57835,65028.5,119428,107994,425003,128887,497286,133041,154818,241655,702121,702670,4809406,0.001,0.00017,0.0002,0.00144,0.00021,0.00016,0.00539,0.00071,0.00051,8.20E-05,0.00014,0.0002,0.00015,0.00016,0.00019,0.00068,0.00112,0.00776,Histone-like bacterial DNA-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2182 PE=3 SV=1,0.00046,0.00061,0.0022,0.00014,0.00017,0.00319,1.32,4.82,1.2,22.97,0.39,0.17,0.24,0.13
E4PMG5,3,3,13.8056,Transketolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tkt1 PE=3 SV=1,78185.9,344518,159470,47539,58755.3,80390.7,545480,95561,427621,150349,405770,1061939,1463580,46173.2,275185,22255.7,85700.8,43895.3,2043352,89538.3,320910,73909.6,46243.1,103149,409624,416174,314649,9.60E-05,9.50E-05,3.70E-05,8.00E-05,9.00E-05,0.00011,0.00011,0.00033,0.00062,5.10E-05,4.70E-05,8.00E-05,0.00011,8.80E-05,8.00E-05,0.00039,0.00066,0.00051,Transketolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tkt1 PE=3 SV=1,7.60E-05,9.40E-05,0.00035,5.90E-05,9.10E-05,0.00052,1.24,4.65,1.53,8.77,0.22,0.07,0.03,0
E4PND6,5,5,20.641,Serine hydroxymethyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glyA PE=3 SV=1,343433,483840,363964,180324,473053,653615,1323731,217319,2721205,2328985,2152602,2632578,4271479,76482.8,115652,48787.1,248846,130411,1.50E+07,311433,563450,56623.1,208391,236780,1499442,1453319,1175558,0.00042,0.00022,0.0003,0.00065,0.00021,0.00072,0.00172,0.00082,0.0018,8.50E-05,0.0001,0.00024,0.00037,6.80E-05,0.00018,0.00144,0.00232,0.0019,Serine hydroxymethyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glyA PE=3 SV=1,0.00031,0.00052,0.00145,0.00014,0.00021,0.00189,1.68,4.64,1.45,13.29,0.14,0.01,0.28,0
E4PNX8,4,4,26.5297,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3044 PE=4 SV=1,568507,1025537,1797570,729910,1695606,810731,1962486,1677472,2421413,2900771,1726190,3633622,2.30E+07,469642,3271640,411785,325259,697389,9648214,984298,7926313,768077,1657359,1241607,2008469,3036220,1082255,0.0007,0.00107,0.00107,0.0008,0.00158,0.00064,0.00215,0.00113,0.00981,0.00052,0.00088,0.00126,0.00116,0.00092,0.00096,0.00193,0.00484,0.00175,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3044 PE=4 SV=1,0.00095,0.00101,0.00436,0.00089,0.00101,0.00284,1.07,4.61,1.14,3.2,0.43,0.14,0.31,0.06
E4PMP0,8,8,39.1418,DNA-directed RNA polymerase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoA PE=3 SV=1,926909,686679,458762,87372.6,972451,958766,3860246,205206,1684593,6303925,2240327,3800091,7946035,108788,1003204,56150.6,319479,61510.6,1650444,138025,754640,110288,371338,220557,1769619,2066774,2008093,0.00114,0.00027,0.00061,0.00095,0.00019,0.00045,0.00467,0.00118,0.00336,0.00012,0.00012,0.00011,0.00016,0.00013,0.00017,0.0017,0.0033,0.00324,DNA-directed RNA polymerase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoA PE=3 SV=1,0.00068,0.00053,0.00307,0.00012,0.00016,0.00275,0.78,4.54,1.32,23.38,0.34,0.04,0.02,0
E4PQ15,2,2,6.12408,Citrate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1931 PE=3 SV=1,7312.93,47613.9,2919.18,1146.3,43784.5,14961.1,30274.7,4722.21,3566.05,23358.8,28463.2,7273.27,354100,1202.78,6054.2,4.27107,4855.02,1056.9,0,5890.06,6026.45,117.741,5877.65,165.421,1062.77,37129.1,12577.5,9.00E-06,1.70E-06,2.80E-05,1.50E-05,4.50E-06,9.40E-07,1.70E-05,2.30E-06,0.00015,1.30E-06,9.10E-09,1.90E-06,7.00E-06,1.40E-07,1.30E-07,1.00E-06,5.90E-05,2.00E-05,Citrate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1931 PE=3 SV=1,1.30E-05,6.70E-06,5.60E-05,1.10E-06,2.40E-06,2.70E-05,0.53,4.41,2.21,24.68,0.26,0.21,0.3,0.1
E4PI65,3,3,15.9443,L-ectoine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ectC PE=3 SV=1,210151,119091,131840,30076.5,178705,387367,1767436,111477,527496,1152684,231214,3407668,144391,34464.5,44773.1,45150.4,86986.5,27419.7,66685.4,87286.2,215360,55291.3,239166,65645,367528,253418,1777990,0.00026,7.80E-05,0.00011,0.00038,0.00011,0.00014,0.00085,0.00106,6.10E-05,3.80E-05,9.60E-05,5.00E-05,0.0001,6.60E-05,5.10E-05,0.00035,0.0004,0.00287,L-ectoine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ectC PE=3 SV=1,0.00015,0.00021,0.00066,6.10E-05,7.30E-05,0.00121,1.4,4.39,1.19,19.67,0.3,0.09,0.32,0.12
E4PMV8,5,5,14.3546,"Malate dehydrogenase (Oxaloacetate-decarboxylating), NADP(+) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_472 PE=3 SV=1",7043.61,67750.3,33539.7,10686.2,78179,10585.6,16977.5,18671.6,46611.6,148173,16089.4,412356,238027,9536.16,31024.8,2407.29,33681.6,11384.3,63784.7,6654.26,13382.7,4657.34,37996,14843.1,4487,83115.6,711778,8.60E-06,2.00E-05,4.90E-05,1.00E-05,1.80E-05,1.20E-05,0.00011,0.00013,0.0001,1.10E-05,5.10E-06,2.10E-05,7.90E-06,5.60E-06,1.10E-05,4.30E-06,0.00013,0.00115,"Malate dehydrogenase (Oxaloacetate-decarboxylating), NADP(+) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_472 PE=3 SV=1",2.60E-05,1.30E-05,0.00011,1.20E-05,8.30E-06,0.00043,0.52,4.33,0.68,35.33,0.18,0,0.24,0.16
E4PPB0,2,2,7.36208,3-isopropylmalate dehydratase small subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuD PE=3 SV=1,29702.5,45473.1,70437.6,20197.1,21114.3,37929.7,26956.5,30047.1,20764.7,216517,64001.1,39863.9,513040,11092.9,309384,6783.66,17867.9,19731.9,25542.4,42078.3,20266.1,17704.5,19877.5,47983.3,122838,130141,35679.5,3.60E-05,4.20E-05,1.30E-05,3.80E-05,2.80E-05,5.50E-06,0.00016,1.20E-05,0.00022,1.20E-05,1.40E-05,3.60E-05,5.00E-05,2.10E-05,3.70E-05,0.00012,0.00021,5.80E-05,3-isopropylmalate dehydratase small subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuD PE=3 SV=1,3.10E-05,2.40E-05,0.00013,2.10E-05,3.60E-05,0.00013,0.78,4.25,1.72,6.13,0.31,0.09,0.12,0.04
E4PLX7,2,2,5.71697,50S ribosomal protein L11 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplK PE=3 SV=1,62445,127738,24156.1,6057.36,9020.01,178165,232893,12929.5,26936.6,88485.3,595884,343298,532677,7318.05,6126.58,7822.44,12906,12673.1,141501,5025.94,49447.5,17186.3,6678.99,10180.3,110695,768677,10587.1,7.70E-05,1.40E-05,5.70E-06,0.00018,1.20E-05,7.10E-06,6.60E-05,0.00011,0.00023,8.10E-06,1.70E-05,2.30E-05,5.90E-06,2.10E-05,7.90E-06,0.00011,0.00123,1.70E-05,50S ribosomal protein L11 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplK PE=3 SV=1,3.20E-05,6.50E-05,0.00013,1.60E-05,1.10E-05,0.00045,2.02,4.11,0.72,28.23,0.31,0.07,0.26,0.16
E4PHG9,4,4,12.4194,DNA gyrase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gyrB PE=3 SV=1,141306,156499,196420,65780.9,258084,50983.4,1574886,73810.8,185150,462712,1089834,3853785,713741,90506.9,194648,29562.5,64606.1,44861.5,774450,76179.3,731117,59710.5,89226.4,139203,2634035,404752,177750,0.00017,0.00012,0.00016,5.00E-05,7.00E-05,4.90E-05,0.00034,0.0012,0.0003,0.0001,6.30E-05,8.10E-05,9.00E-05,7.10E-05,0.00011,0.00253,0.00065,0.00029,DNA gyrase subunit B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gyrB PE=3 SV=1,0.00015,5.60E-05,0.00061,8.20E-05,9.00E-05,0.00116,0.37,4.06,1.1,14.14,0,0.09,0.31,0.1
E4PJE4,13,13,63.3238,30S ribosomal protein S1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1366 PE=3 SV=1,926689,2641538,1829291,522165,2650162,1695850,7303642,939599,8358010,1.20E+07,2329033,1.10E+07,7339971,420944,4706967,312665,2307116,661244,6574795,1047798,8492484,585381,2983688,1135865,2223877,3751802,3637240,0.00114,0.00109,0.00168,0.00168,0.00089,0.00221,0.0088,0.00349,0.0031,0.00047,0.00067,0.0012,0.00124,0.0007,0.00088,0.00214,0.00599,0.00587,30S ribosomal protein S1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1366 PE=3 SV=1,0.0013,0.00159,0.00513,0.00078,0.00094,0.00467,1.22,3.95,1.21,5.99,0.27,0.05,0.29,0.02
E4PNY9,11,11,69.9001,High-affinity leucine-specific leucine-specific-binding periplasmic protein of high-affinity branched-chain amino acid ABC transporter transport system periplasmic binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3055 PE=3 SV=1,4649911,4140557,3905075,1415547,5268224,3555854,1.70E+07,2311514,4470567,3.00E+07,7900554,1.80E+07,3.90E+07,562375,3687291,591981,1675041,591367,2647177,1795060,2373919,1169307,2376360,1392431,9533602,6001641,5089326,0.00571,0.00232,0.00333,0.00352,0.00218,0.00118,0.02232,0.00548,0.01647,0.00063,0.00126,0.00107,0.00212,0.0014,0.00108,0.00917,0.00958,0.00821,High-affinity leucine-specific leucine-specific-binding periplasmic protein of high-affinity branched-chain amino acid ABC transporter transport system periplasmic binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3055 PE=3 SV=1,0.00379,0.0023,0.01476,0.00099,0.00153,0.00899,0.61,3.9,1.55,9.1,0.14,0.05,0.1,0
E4PP91,4,4,23.1663,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1814 PE=3 SV=1,169823,69420.2,95747.6,36425.5,14423.7,185071,709176,106319,302949,58233.5,120270,44343.3,2286669,5490.31,13375.9,11322.1,61387.5,6681.18,136651,18033.3,48011.2,20901.1,35435.8,22914.8,180555,82180.5,18664.1,0.00021,5.70E-05,9.10E-06,0.00018,0.0001,8.00E-05,4.30E-05,1.40E-05,0.00097,6.10E-06,2.40E-05,1.20E-05,2.10E-05,2.50E-05,1.80E-05,0.00017,0.00013,3.00E-05,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1814 PE=3 SV=1,9.10E-05,0.00012,0.00034,1.40E-05,2.10E-05,0.00011,1.33,3.73,1.51,7.9,0.34,0.24,0.14,0.04
E4PN64,4,4,15.2919,"Serine protein kinase, PrkA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2933 PE=4 SV=1",183564,81678.6,92660.8,9948.91,10091.5,42589.1,192549,15627.6,28403.4,1220972,1205.27,519838,3274.12,29540.2,26897.2,7148.03,3310.47,5775.26,299118,91434.7,33792.4,17220.2,13491.7,28354.7,7419.12,54238.1,97347.6,0.00023,5.50E-05,6.40E-06,4.20E-05,1.50E-05,7.50E-06,0.0009,0.00016,1.40E-06,3.30E-05,1.50E-05,1.00E-05,0.00011,2.10E-05,2.20E-05,7.10E-06,8.70E-05,0.00016,"Serine protein kinase, PrkA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2933 PE=4 SV=1",9.60E-05,2.10E-05,0.00036,2.00E-05,5.00E-05,8.40E-05,0.22,3.72,2.57,4.28,0.17,0.21,0.18,0.11
E4PNB1,3,3,10.173,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2980 PE=3 SV=1,256470,760913,405446,215088,755437,384838,2492547,359240,1856033,3841739,994868,205221,2047500,88487.8,637215,97355.6,434285,233505,656236,207367,905982,147679,716121,285578,1353561,1063075,1812580,0.00031,0.00024,0.00048,0.00038,0.00034,0.00049,0.00284,6.40E-05,0.00087,9.90E-05,0.00021,0.00042,0.00024,0.00018,0.00022,0.0013,0.0017,0.00292,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2980 PE=3 SV=1,0.00034,0.0004,0.00126,0.00024,0.00021,0.00197,1.17,3.65,0.88,8.12,0.26,0.17,0.39,0.01
