Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D
E4PQY7,3.0,3.0,11.4415867,Chaperone SurA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=surA PE=3 SV=1,27476.69,96401.2912,47358.4142,57709.0233,23137.3614,81984.8587,225298.498,249498.855,244863.871,79278.9166,29911.8581,73580.4779,25359.3839,28698.3043,20432.3579,154864.912,183121.665,132173.22,0.000415038,0.000483551,0.000271807,0.000652424,0.000320341,0.000474753,0.000559935,0.000642932,0.000455517,0.00058777,0.000362513,0.000734464,0.000347652,0.000361907,0.000186401,0.000483911,0.000476103,0.000471148,Chaperone SurA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=surA PE=3 SV=1,0.000390132,0.000482506,0.000552795,0.000561582,0.000298653,0.000477054,1.24,1.42,0.53,0.85,0.273,0.002,0.119,0.26,0.3103401206121505,0.5058909297299573,-0.9159357352115255,-0.23446525363702297
E4PNI9,8.0,8.0,28.426796,50S ribosomal protein L13 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplM PE=3 SV=1,97292.596,730275.209,106409.809,364439.46,177007.8,367780.284,1680442.71,1391423.93,176025.648,427411.624,282006.782,88871.8609,133551.465,294317.938,298903.902,1215402.49,2542905.25,531089.082,0.001469615,0.003663076,0.000610724,0.004120135,0.002450702,0.002129719,0.004176412,0.003585549,0.000327458,0.003168811,0.003417745,0.000887099,0.001830859,0.003711564,0.002726847,0.003797802,0.006611375,0.001893133,50S ribosomal protein L13 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplM PE=3 SV=1,0.001914471,0.002900185,0.002696473,0.002491218,0.002756423,0.00410077,1.51,1.41,1.11,1.65,0.24,0.251,0.4,0.091,0.5945485495503542,0.49569516262406876,0.15055967657538138,0.722466024471091
E4PG75,2.0,2.0,5.4082396,"Two component transcriptional regulator, LuxR family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1053 PE=4 SV=1",2925.06994,52773.8681,31024.6358,2794.68875,3946.25138,22257.9439,29016.1875,195533.515,58918.3693,9361.99065,9602.80949,14245.3261,3878.9003,6866.04215,22681.38,41360.4924,94436.9897,86660.6852,4.42e-05,0.000264715,0.000178062,3.16e-05,5.46e-05,0.00012889,7.21e-05,0.000503869,0.000109605,6.94e-05,0.00011638,0.000142194,5.32e-05,8.66e-05,0.000206918,0.00012924,0.00024553,0.000308913,"Two component transcriptional regulator, LuxR family OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1053 PE=4 SV=1",0.00016232,7.17e-05,0.000228529,0.000109328,0.00011556,0.000227894,0.44,1.41,1.06,2.08,0.137,0.271,0.426,0.032,-1.1844245711374275,0.49569516262406876,0.08406426478847455,1.0565835283663676
E4PNU7,3.0,3.0,13.281814,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3013 PE=4 SV=1,80732.5335,180544.092,140182.953,63177.3784,103437.524,171770.79,160312.668,494332.626,1316907.42,191143.33,241417.359,101147.255,93790.4822,353563.848,226224.164,243836.09,263442.525,797188.204,0.001219473,0.000905613,0.00080456,0.000714246,0.00143211,0.00099468,0.000398426,0.001273842,0.002449828,0.001417128,0.002925827,0.001009629,0.001285775,0.004458698,0.002063803,0.000761921,0.000684932,0.002841676,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3013 PE=4 SV=1,0.000976549,0.001047012,0.001374032,0.001784195,0.002602759,0.00142951,1.07,1.41,1.46,0.8,0.419,0.316,0.12,0.396,0.09761079662642233,0.49569516262406876,0.5459683691052925,-0.3219280948873623
E4PP55,2.0,2.0,7.81859922,Ribosomal silencing factor RsfS OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rsfS PE=3 SV=1,7413.95355,121305.54,42018.2154,18369.3345,22278.1661,27476.1623,173682.037,196387.262,220226.284,25024.3308,3183.67785,32932.1812,12515.2841,4278.24797,15338.068,134439.231,315555.805,200826.517,0.000111989,0.000608471,0.000241158,0.000207673,0.000308445,0.000159107,0.000431653,0.000506069,0.000409684,0.000185529,3.86e-05,0.000328722,0.000171572,5.4e-05,0.000139926,0.000420086,0.000820423,0.000715871,Ribosomal silencing factor RsfS OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rsfS PE=3 SV=1,0.000320539,0.000225075,0.000449135,0.000184278,0.000121817,0.000652127,0.7,1.4,0.66,3.54,0.246,0.203,0.215,0.052,-0.5145731728297583,0.48542682717024166,-0.5994620704162712,1.8237493603082728
E4PHR0,2.0,2.0,6.08732581,Acireductone dioxygenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=mtnD PE=3 SV=1,1797.19768,62939.0112,4205.28677,8264.13278,3309.57876,10809.0335,3160.90575,128074.652,94313.2759,7465.26385,2507.58509,8677.76197,4595.94512,3951.89474,3491.39928,29099.808,53312.9213,35468.4186,2.71e-05,0.000315703,2.41e-05,9.34e-05,4.58e-05,6.26e-05,7.86e-06,0.000330035,0.00017545,5.53e-05,3.04e-05,8.66e-05,6.3e-05,4.98e-05,3.19e-05,9.09e-05,0.00013861,0.000126432,Acireductone dioxygenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=mtnD PE=3 SV=1,0.000122329,6.73e-05,0.000171113,5.75e-05,4.82e-05,0.000118657,0.55,1.4,0.84,2.07,0.33,0.224,0.364,0.061,-0.862496476250065,0.48542682717024166,-0.25153876699596445,1.0496307677246004
E4PL25,2.0,2.0,5.92195988,Guanylate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gmk PE=3 SV=1,5216.50885,4522.85495,8751.78123,2605.93089,6141.50642,3862.78457,1778.81866,9550.6868,98106.38,14028.5009,2646.86327,3759.68821,2787.82261,3695.24528,3782.82549,1739.49011,1248.14533,11283.414,7.88e-05,2.27e-05,5.02e-05,2.95e-05,8.5e-05,2.24e-05,4.42e-06,2.46e-05,0.000182506,0.000104007,3.21e-05,3.75e-05,3.82e-05,4.66e-05,3.45e-05,5.44e-06,3.25e-06,4.02e-05,Guanylate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gmk PE=3 SV=1,5.06e-05,4.56e-05,7.05e-05,5.79e-05,3.98e-05,1.63e-05,0.9,1.39,0.69,0.28,0.449,0.386,0.268,0.15,-0.15200309344504995,0.47508488294878265,-0.5353317329965558,-1.8365012677171204
E4PF80,11.0,11.0,56.2609234,"Glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2196 PE=4 SV=1",237644.344,1097638.04,1477244.09,344381.678,366023.872,1642459.96,3929169.39,2178948.75,4845716.88,441044.132,517092.771,294094.635,406114.054,451787.51,297576.528,1928994.82,2599021.85,2433761.42,0.003589642,0.005505775,0.008478434,0.003893373,0.005067661,0.009511054,0.009765182,0.005614916,0.009014432,0.003269881,0.00626684,0.002935587,0.005567423,0.00569737,0.002714738,0.006027584,0.006757274,0.008675443,"Glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2196 PE=4 SV=1",0.005857951,0.006157363,0.00813151,0.004157436,0.004659844,0.007153434,1.05,1.39,1.12,1.72,0.277,0.182,0.317,0.094,0.070389327891398,0.47508488294878265,0.16349873228287956,0.7824085649273732
E4PF84,5.0,5.0,18.0085459,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,47554.9938,707589.34,42137.1732,41214.74,72086.1851,17685.7724,626065.032,1494115.63,449713.525,74448.8793,42539.2459,32216.8106,28427.5096,36948.4954,15264.7033,371045.249,315021.899,175393.373,0.000718323,0.003549283,0.00024184,0.000465949,0.000998045,0.000102414,0.001555962,0.003850175,0.000836597,0.000551961,0.000515549,0.000321581,0.000389713,0.000465947,0.000139257,0.001159415,0.000819035,0.000625211,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,0.001503149,0.000522136,0.002080911,0.00046303,0.000331639,0.000867887,0.35,1.38,0.72,1.87,0.169,0.033,0.043,0.029,-1.5145731728297582,0.46466826700344427,-0.4739311883324124,0.903038270112912
E4PNW5,6.0,6.0,30.3418038,"Extracellular solute-binding protein, family 3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3031 PE=3 SV=1",199699.348,1372067.87,360225.008,258780.019,269037.354,405766.4,2274016.5,3269832.79,1235560.88,817650.404,357345.882,151983.258,236776.837,269728.72,189361.553,2163531.79,2465261.79,773752.046,0.003016479,0.006882321,0.002067461,0.002925612,0.003724866,0.002349687,0.005651623,0.008426006,0.0022985,0.006062023,0.004330808,0.001517063,0.003245977,0.003401476,0.001727512,0.006760448,0.006409507,0.002758135,"Extracellular solute-binding protein, family 3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3031 PE=3 SV=1",0.003988754,0.003000055,0.00545871,0.003969965,0.002791655,0.005309363,0.75,1.37,0.7,1.34,0.23,0.084,0.157,0.04,-0.4150374992788438,0.45417589318580215,-0.5145731728297583,0.4222330006830478
E4PF42,16.0,16.0,70.5845625,"ABC-type sugar transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2158 PE=4 SV=1",130564.991,994077.106,804224.226,136121.048,108493.453,1015031.93,1964485.77,2252933.61,2615599.93,390381.769,193507.838,128657.455,226321.789,170179.896,209558.628,1440581.99,2685126.33,1055375.79,0.001972197,0.004986311,0.004615732,0.001538903,0.00150211,0.005877783,0.004882345,0.005805567,0.004865771,0.002894273,0.002345194,0.00128423,0.003102649,0.002146092,0.001911766,0.004501427,0.00698114,0.003762017,"ABC-type sugar transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2158 PE=4 SV=1",0.00385808,0.002972932,0.005184561,0.002174565,0.002386836,0.005081528,0.77,1.34,1.1,2.34,0.295,0.121,0.234,0.042,-0.3770696490798233,0.4222330006830478,0.13750352374993502,1.2265085298086797
E4PJE0,5.0,5.0,15.7897394,Bifunctional chorismate mutase/prephenate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1362 PE=4 SV=1,24761.4437,129593.071,70681.6855,60197.3362,53884.5615,97061.8678,133316.195,338378.273,380200.247,28677.5984,52851.7009,56347.5865,42637.4457,47943.7824,148016.792,130109.829,186600.08,230092.462,0.000374024,0.000650042,0.000405668,0.000680555,0.000746041,0.00056206,0.000331331,0.000871964,0.000707282,0.000212614,0.000640529,0.000562449,0.000584517,0.000604606,0.001350331,0.000406558,0.000485147,0.000820193,Bifunctional chorismate mutase/prephenate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1362 PE=4 SV=1,0.000476578,0.000662885,0.000636859,0.000471864,0.000846485,0.000570633,1.39,1.34,1.79,1.21,0.048,0.132,0.128,0.261,0.47508488294878265,0.4222330006830478,0.8399595874895318,0.27500704749986976
E4PK76,5.0,5.0,17.7840128,Argininosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argH PE=3 SV=1,29237.2088,40628.3671,26942.8466,18386.4608,23492.4353,16823.0796,59520.4835,162609.708,268032.397,29461.5101,24946.7378,12907.255,25787.6638,26735.9664,8814.98132,69716.7931,62660.6803,199782.389,0.000441631,0.000203793,0.000154635,0.000207866,0.000325257,9.74e-05,0.000147927,0.000419028,0.000498618,0.000218426,0.000302339,0.000128837,0.000353523,0.00033716,8.04e-05,0.000217846,0.000162913,0.000712149,Argininosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argH PE=3 SV=1,0.000266686,0.00021018,0.000355191,0.000216534,0.000257034,0.000364303,0.79,1.33,1.19,1.68,0.318,0.347,0.262,0.287,-0.3400754415976217,0.41142624572646497,0.25096157353321874,0.7484612330040356
E4PG88,4.0,4.0,12.1881014,Secreted protein containing DUF1329 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1066 PE=4 SV=1,12468.6644,130630.365,83431.5316,22971.9357,36942.0108,59352.3763,284981.661,290423.323,161521.014,30440.6883,31773.8601,49970.0689,25149.6919,23002.3379,24263.983,233098.789,494176.452,85859.0148,0.00018834,0.000655245,0.000478844,0.000259707,0.000511468,0.000343694,0.000708266,0.00074839,0.000300476,0.000225686,0.000385079,0.00049879,0.000344777,0.000290076,0.000221356,0.00072837,0.001284824,0.000306055,Secreted protein containing DUF1329 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1066 PE=4 SV=1,0.00044081,0.000371623,0.00058571,0.000369852,0.000285403,0.000773083,0.84,1.33,0.77,2.09,0.214,0.275,0.269,0.167,-0.25153876699596445,0.41142624572646497,-0.3770696490798233,1.063502942306158
E4PFX7,3.0,3.0,6.85216856,"Acyl-coA-binding protein, ACBP OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3477 PE=4 SV=1",1016.96741,56025.2831,26350.4565,15090.6376,7818.78548,16515.062,43867.992,123586.348,88209.1171,50163.645,5598.64463,3995.00872,3737.97747,10434.611,4465.5193,77296.4707,115704.3,53588.3466,1.54e-05,0.000281024,0.000151235,0.000170606,0.000108252,9.56e-05,0.000109025,0.000318469,0.000164094,0.000371911,6.79e-05,3.99e-05,5.12e-05,0.000131588,4.07e-05,0.00024153,0.000300823,0.000191022,"Acyl-coA-binding protein, ACBP OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3477 PE=4 SV=1",0.000149207,0.000124831,0.000197196,0.00015988,7.45e-05,0.000244459,0.84,1.32,0.47,1.53,0.412,0.091,0.274,0.261,-0.25153876699596445,0.4005379295837288,-1.0892673380970874,0.6135316529179271
E4PHT2,2.0,2.0,10.1823585,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gatC PE=3 SV=1,17623.4481,28444.7158,13496.326,24421.4893,32239.4376,8316.08787,59028.1372,73861.8157,163640.684,43276.0092,21119.9201,5971.28089,21004.3532,19438.6972,14342.5019,23747.2376,27040.9914,57477.3424,0.000266204,0.000142679,7.75e-05,0.000276095,0.00044636,4.82e-05,0.000146703,0.000190334,0.000304419,0.000320846,0.00025596,5.96e-05,0.000287949,0.000245136,0.000130844,7.42e-05,7.03e-05,0.000204885,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gatC PE=3 SV=1,0.000162115,0.00025687,0.000213819,0.000212137,0.00022131,0.000116464,1.58,1.32,1.04,0.55,0.231,0.328,0.4,0.257,0.6599245584023783,0.4005379295837288,0.056583528366367514,-0.862496476250065
E4PJW0,7.0,6.0,25.3776615,Alkyl hydroperoxide reductase C OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3906 PE=3 SV=1,6263.61606,528636.347,184531.825,63125.3798,11230.284,228827.715,175013.252,1448047.8,456317.015,192901.766,4472.47267,18580.8861,7370.47353,3679.26648,121053.861,105863.916,577844.322,500917.743,9.46e-05,0.002651651,0.001059094,0.000713658,0.000155485,0.001325081,0.000434961,0.003731463,0.000848881,0.001430165,5.42e-05,0.00018547,0.000101042,4.64e-05,0.001104353,0.000330796,0.001502355,0.001785583,Alkyl hydroperoxide reductase C OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3906 PE=3 SV=1,0.001268453,0.000731408,0.001671768,0.000556613,0.000417264,0.001206245,0.58,1.32,0.75,2.17,0.32,0.197,0.425,0.268,-0.7858751946471527,0.4005379295837288,-0.4150374992788438,1.1176950426697545
E4PQ15,4.0,4.0,12.180778,Citrate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1931 PE=3 SV=1,14864.5385,51641.7536,45990.8447,8310.08434,13643.3428,60760.3578,48381.3377,211216.611,164817.728,63672.5604,37207.3669,14796.5585,12213.5704,38608.6294,17322.3299,47810.3027,66474.0907,198620.029,0.00022453,0.000259036,0.000263958,9.39e-05,0.000188894,0.000351847,0.000120242,0.000544282,0.000306609,0.000472066,0.00045093,0.000147696,0.000167436,0.000486883,0.000158029,0.000149394,0.000172828,0.000708006,Citrate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1931 PE=3 SV=1,0.000249175,0.000211563,0.000323711,0.000356897,0.000270782,0.000343409,0.85,1.3,0.76,0.96,0.311,0.29,0.257,0.483,-0.23446525363702297,0.37851162325372983,-0.3959286763311392,-0.058893689053568565
E4PG18,6.0,6.0,23.8745338,Histidine kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3518 PE=4 SV=1,24861.8689,209066.167,64174.6931,47855.623,46983.8184,64400.4781,392104.905,173186.368,481277.249,34398.1761,34393.9709,20685.3171,33412.1714,31387.0585,30827.1312,286089.962,236222.427,174651.028,0.000375541,0.00104868,0.000368322,0.000541027,0.000650499,0.000372926,0.0009745,0.000446283,0.000895315,0.000255027,0.000416833,0.000206476,0.000458048,0.000395814,0.00028123,0.000893953,0.000614162,0.000622565,Histidine kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3518 PE=4 SV=1,0.000597514,0.000521484,0.000772032,0.000292779,0.000378364,0.000710227,0.87,1.29,1.29,2.43,0.347,0.349,0.159,0.041,-0.2009126939259964,0.36737106564852945,0.36737106564852945,1.2809563138310562
E4PLZ1,7.0,7.0,25.1646851,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,58646.1305,1493107.13,438305.662,59665.7546,65061.0126,349403.443,2684680.02,2422127.08,519650.06,579036.594,124854.785,245977.552,67293.9223,105064.829,172527.89,1439166.85,4380096.35,1941339.89,0.000885856,0.007489456,0.002515594,0.000674545,0.00090078,0.002023304,0.006672247,0.00624156,0.000966699,0.004292951,0.001513162,0.002455293,0.000922533,0.001324944,0.001573941,0.004497005,0.011387942,0.006920146,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,0.003630302,0.001199543,0.004626835,0.002753802,0.001273806,0.007601698,0.33,1.27,0.46,2.76,0.182,0.359,0.133,0.113,-1.5994620704162712,0.34482849699744117,-1.1202942337177118,1.4646682670034443
E4PJD8,11.0,11.0,45.556169,DNA gyrase subunit A OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gyrA PE=3 SV=1,73692.7273,378305.191,151671.493,64878.2619,99927.1911,126750.497,231247.389,834651.885,1178444.06,203482.868,135869.58,243278.66,99037.4614,103193.865,40406.3952,900289.395,790260.358,324667.896,0.001113136,0.001897587,0.000870497,0.000733475,0.001383508,0.000733979,0.00057472,0.002150808,0.002192246,0.001508613,0.001646654,0.002428353,0.001357706,0.00130135,0.00036862,0.002813159,0.002054621,0.001157319,DNA gyrase subunit A OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gyrA PE=3 SV=1,0.00129374,0.000950321,0.001639258,0.001861207,0.001009225,0.002008366,0.73,1.27,0.54,1.08,0.045,0.294,0.148,0.432,-0.4540316308947075,0.34482849699744117,-0.888968687611256,0.11103131238874395
E4PHB1,6.0,6.0,22.5091527,Ribonucleoside-diphosphate reductase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3648 PE=3 SV=1,30080.677,92187.0856,59239.7801,38935.8005,20922.079,57790.8667,154475.082,364751.852,138634.747,41009.1282,13627.2669,53568.2656,17647.3555,13891.3288,57858.4152,52155.2116,72109.4653,225843.294,0.000454372,0.000462412,0.000339998,0.000440185,0.00028967,0.000334652,0.000383918,0.000939926,0.000257901,0.00030404,0.000165154,0.000534706,0.000241928,0.00017518,0.000527832,0.000162971,0.00018748,0.000805046,Ribonucleoside-diphosphate reductase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3648 PE=3 SV=1,0.000418927,0.000354835,0.000527248,0.000334633,0.00031498,0.000385166,0.85,1.26,0.94,1.15,0.18,0.308,0.231,0.357,-0.23446525363702297,0.3334237337251918,-0.08926733809708741,0.2016338611696504
E4PF37,6.0,5.0,17.9958885,Extracellular ligand-binding receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2153 PE=3 SV=1,12915.7119,154912.238,114695.091,13536.5803,103173.556,58089.7954,305082.8,134128.562,505293.79,15235.512,90508.0315,89462.7851,41523.4047,157264.388,75898.4277,391185.871,492496.174,207460.592,0.000195093,0.000777043,0.000658276,0.000153036,0.001428455,0.000336383,0.000758224,0.000345635,0.000939992,0.000112955,0.001096901,0.000892997,0.000569245,0.001983218,0.000692408,0.001222349,0.001280455,0.000739519,Extracellular ligand-binding receptor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2153 PE=3 SV=1,0.000543471,0.000639291,0.000681284,0.000700951,0.001081624,0.001080775,1.18,1.25,1.54,1.54,0.386,0.344,0.176,0.21,0.23878685958711648,0.32192809488736235,0.6229303509201767,0.6229303509201767
E4PFZ8,4.0,4.0,15.1901412,Phosphoenolpyruvate carboxykinase (ATP) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pckA PE=3 SV=1,12942.9685,15727.72,25518.449,11309.0524,9808.17708,155563.058,27040.211,55171.8171,170827.517,22395.1804,8691.50963,30126.5959,7816.43413,7728.80117,24626.3123,20569.4747,33527.8282,177271.01,0.000195505,7.89e-05,0.00014646,0.000127853,0.000135796,0.000900825,6.72e-05,0.000142172,0.000317788,0.000166037,0.000105336,0.000300717,0.000107156,9.75e-05,0.000224661,6.43e-05,8.72e-05,0.000631904,Phosphoenolpyruvate carboxykinase (ATP) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pckA PE=3 SV=1,0.000140285,0.000388158,0.000175721,0.000190696,0.000143094,0.000261116,2.77,1.25,0.75,1.37,0.217,0.363,0.073,0.324,1.4698859762744636,0.32192809488736235,-0.4150374992788438,0.45417589318580215
E4PPQ4,10.0,10.0,42.7846756,Homocysteine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_641 PE=3 SV=1,118212.011,528191.663,115279.079,65504.1992,152617.932,101479.243,574818.496,1343082.78,758603.046,1998510.57,333154.711,21452.5494,78720.588,284920.522,43977.9461,639451.589,3102849.3,513460.104,0.001785604,0.00264942,0.000661628,0.000740551,0.00211302,0.00058764,0.001428599,0.003460979,0.001411221,0.014816868,0.004037626,0.000214135,0.001079182,0.003593055,0.000401203,0.001998112,0.00806719,0.001830292,Homocysteine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_641 PE=3 SV=1,0.001698884,0.00114707,0.002100266,0.006356209,0.001691147,0.003965198,0.68,1.24,0.27,0.62,0.094,0.201,0.206,0.347,-0.5563933485243852,0.3103401206121505,-1.8889686876112561,-0.6896598793878495
E4PNB1,6.0,6.0,28.1445513,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2980 PE=3 SV=1,68690.8504,358432.851,266244.95,190878.548,126802.587,165904.99,671501.715,503219.876,1304218.75,122926.307,117709.34,107373.83,115281.483,112275.315,240404.266,1103614.04,338262.514,502729.916,0.001037582,0.001797907,0.001528075,0.002157959,0.001755603,0.000960712,0.001668886,0.001296743,0.002426223,0.00091137,0.001426563,0.001071781,0.001580396,0.001415874,0.002193165,0.003448494,0.000879459,0.001792043,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2980 PE=3 SV=1,0.001454521,0.001624758,0.001797284,0.001136572,0.001729811,0.002039998,1.12,1.24,1.52,1.79,0.383,0.254,0.107,0.21,0.16349873228287956,0.3103401206121505,0.6040713236688608,0.8399595874895318
E4PM04,4.0,4.0,12.0969896,50S ribosomal protein L18 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplR PE=3 SV=1,75056.7729,315492.412,117829.524,92985.3795,126642.22,111821.548,640628.205,948234.702,79208.5042,398022.262,177848.502,71964.7354,70655.0123,174163.984,55599.0223,288907.699,1179140.53,216004.883,0.00113374,0.001582516,0.000676266,0.001051237,0.001753382,0.000647529,0.001592156,0.002443498,0.000147351,0.002950919,0.002155412,0.000718336,0.000968611,0.002196335,0.00050722,0.000902758,0.003065682,0.000769976,50S ribosomal protein L18 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplR PE=3 SV=1,0.001130841,0.001150716,0.001394335,0.001941556,0.001224055,0.001579472,1.02,1.23,0.63,0.81,0.41,0.294,0.188,0.36,0.02856915219677092,0.29865831556451516,-0.6665762662748083,-0.3040061868900999
E4PKH0,4.0,4.0,13.1043876,TRAP dicarboxylate transporter-DctP subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2682 PE=4 SV=1,58815.0376,155011.264,246867.592,75163.0797,52081.6433,394958.224,503385.205,559693.709,559570.846,142548.282,57442.2979,63621.293,60786.6953,58820.5786,135699.554,440780.451,534863.521,206973.681,0.000888407,0.00077754,0.001416862,0.000849749,0.000721079,0.002287099,0.001251065,0.00144227,0.001040963,0.001056847,0.000696165,0.000635053,0.000833326,0.00074177,0.001237963,0.001377319,0.001390608,0.000737783,TRAP dicarboxylate transporter-DctP subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2682 PE=4 SV=1,0.001027603,0.001285976,0.001244766,0.000796022,0.000937686,0.00116857,1.25,1.21,1.18,1.47,0.244,0.278,0.31,0.082,0.32192809488736235,0.27500704749986976,0.23878685958711648,0.5558161550616397
