Accession,Peptide count,Unique peptides,Confidence score,Description,Control Light 1,Control Light 2,Control Light 3,Light+100 nM glucose 1,Light+100 nM glucose 2,Light+100 nM glucose 3,Light+5 mM glucose 1,Light+5 mM glucose 2,Light+5 mM glucose 3,Control Dark 1,Control Dark 2,Control Dark 3,Dark + 100 nM glucose 1,Dark + 100 nM glucose 2,Dark + 100 nM glucose 3,Dark + 5 mM glucose 1,Dark + 5 mM glucose 2,Dark + 5 mM glucose 3,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_8102,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,t.test G nM/L,FC G nM/L,t.test G mM/L,FC G mM/L,t.test G nM/D,FC G nM/D,t.test G mM/D,FC G mM/D,Alteromonas_8102.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K7X4,5,5,26.06472564,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,1076192.94282034,1778664.66422881,2984663.8099164,2072519.3874513,3299012.6460767,6541653.04435448,5550358.1544009,8592589.3776476,743524.2962301,1004555.88188151,1368798.9451875,2940358.99500541,4261224.597,4690956.7543351,71741.6726021776,3322317.051985,5667694.227116,802158.91063112,0.001146141,0.002290762,0.001762349,0.001204962,0.001434139,0.005277147,0.002607705,0.00244418,0.001020492,0.000922147,0.001343074,0.002613866,0.002220385,0.001726648,0.000903054,0.001711547,0.001739515,0.001121272,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,0.001733084,0.002638749,0.002024126,0.001626362,0.001616696,0.001524111,0.283,1.52,0.347,1.17,0.496,0.99,0.449,0.94,Asparagine--tRNA ligase OS=Alteromonas sp. OX=232 GN=asnS PE=3 SV=1,,0.6040713236688608,0.22650852980867975,-0.014499569695115089,-0.08926733809708741,0.283,0.347,0.496,0.449
A0A359K8V6,2,2,14.24363804,Aspartate aminotransferase family protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_17990 PE=4 SV=1,972069.220334711,3064748.98941154,209189.375902298,1838612.35034626,3074930.7571707,170376.892288162,2865892.83283414,3375718.51564893,256755.49799657,783097.237121742,2066828.96092114,714037.308689295,3416155.44805295,4086871.75237144,3033.07283783967,2704439.5849397,3772947.92163,246840.179330506,0.00103525,0.003947124,0.00012352,0.001068968,0.001336727,0.000137443,0.001346472,0.00096023,0.000352399,0.000718856,0.002027985,0.000634752,0.001780047,0.001504296,3.8179e-05,0.001393237,0.001157984,0.000345038,Aspartate aminotransferase family protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_17990 PE=4 SV=1,0.001701965,0.000847713,0.000886367,0.001127198,0.001107508,0.00096542,0.217,0.5,0.265,0.52,0.487,0.98,0.377,0.86,Aspartate aminotransferase family protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_17990 PE=4 SV=1,DEH24_17990,-1.0,-0.9434164716336325,-0.029146345659516508,-0.2175914350726268,0.217,0.265,0.487,0.377
A0A359K499,2,2,6.659043312,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,156345.102898075,389533.62491674,252105.214850091,235045.246258383,196021.99835494,66356.30079393,820789.719609988,808326.85792435,90361.739651465,200734.293806481,122214.094774604,284510.681690057,273044.898105903,445950.50678003,27332.85288,365147.90471278,1084591.98875826,175452.92677453,0.000166507,0.000501685,0.00014886,0.000136655,8.52142e-05,5.35296e-05,0.000385629,0.00022993,0.000124022,0.000184267,0.000119917,0.000252919,0.000142275,0.000164146,0.000344054,0.000188112,0.00033288,0.000245251,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,0.000272351,9.17997e-05,0.000246527,0.000185701,0.000216825,0.000255415,0.135,0.34,0.436,0.91,0.254,1.17,0.217,1.38,Aspartate transcarbamylase OS=Alteromonas sp. OX=232 GN=DEH24_08800 PE=3 SV=1,DEH24_08800,-1.5563933485243853,-0.13606154957602837,0.22650852980867975,0.46466826700344427,0.135,0.436,0.254,0.217
A0A359K1H2,2,2,6.400799274,Aspartate--tRNA ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04320 PE=4 SV=1,380860.6789,672026.8264,387658.4262,1041305.809,1661368.545,436253.749,1682132.914,3349747.07,825351.6889,966228.6442,275035.3337,838833.0062,841235.7986,2539489.181,45268.85764,1660695.64,4355281.261,1705717.444,0.000405615,0.000865511,0.0002289,0.000605415,0.000722226,0.000351926,0.000790311,0.000952842,0.001132801,0.000886964,0.000269866,0.00074569,0.000438341,0.000934735,0.000569825,0.000855535,0.001336713,0.002384282,Aspartate--tRNA ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04320 PE=4 SV=1,0.000500009,0.000559856,0.000958651,0.000634174,0.000647634,0.00152551,0.311,1.12,0.097,1.92,0.486,1.02,0.105,2.41,Aspartate--tRNA ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04320 PE=4 SV=1,DEH24_04320,0.16349873228287956,0.9411063109464314,0.02856915219677092,1.269033146455237,0.311,0.097,0.486,0.105
A0A359K070,3,3,10.34755468,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,240492.3415,229109.074,349569.0904,2516385.842,8249542.707,423028.963,6108841.905,18242649.69,6122222.984,317740.9246,416563.0657,163931.6681,5934659.392,11806071.87,12895.72333,7440896.694,17114321.38,7164346.879,0.000256123,0.000295072,0.000206409,0.001463026,0.003586223,0.000341257,0.002870096,0.005189159,0.008402795,0.000291675,0.000408734,0.000145729,0.003092358,0.00434558,0.000162326,0.003833302,0.005252687,0.010014451,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,0.000252535,0.001796835,0.00548735,0.000282046,0.002533421,0.006366813,0.119,7.12,0.042,21.73,0.096,8.98,0.044,22.57,Aspartate-semialdehyde dehydrogenase OS=Alteromonas sp. OX=232 GN=asd PE=3 SV=1,,2.8318772411916733,4.441616269406558,3.1667154449664223,4.4963345134171115,0.119,0.042,0.096,0.044
A0A359K568,15,15,80.2504251,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,14088556.22,16577845.68,31095480.01,44245303.04,109328176.5,23827234.65,103427765.4,158650121.4,29444153.38,13093845.87,16551135.83,8754663.288,45581992.24,72795992.97,264921.7871,65599417.2,130846850.6,29162550.11,0.015004254,0.021350791,0.018360896,0.025724198,0.0475269,0.019221413,0.048593105,0.045128354,0.040412311,0.012019694,0.016240073,0.007782559,0.023751292,0.026794756,0.003334723,0.033794634,0.040159204,0.04076393,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,0.018238647,0.03082417,0.044711257,0.012014108,0.017960257,0.038239256,0.115,1.69,0.009,2.45,0.186,1.49,0.008,3.18,ATP synthase subunit beta OS=Alteromonas sp. OX=232 GN=atpD PE=3 SV=1,,0.7570232465074596,1.292781749227846,0.5753123306874368,1.6690267655096307,0.115,0.009,0.186,0.008
A0A359K068,3,3,7.986119747,ATP-dependent Clp protease ATP-binding subunit ClpA OS=Alteromonas sp. OX=232 GN=DEH24_02480 PE=3 SV=1,84771.18536,116357.4424,159844.6088,182416.1034,421851.1827,209068.7537,348478.6025,851297.0122,424576.0131,127514.2736,70339.79466,60534.13412,327636.993,410380.7872,1730.015134,307096.1958,809202.9534,700949.2752,9.0281e-05,0.000149858,9.43832e-05,0.000106057,0.000183386,0.000168656,0.000163724,0.000242153,0.000582734,0.000117054,6.90178e-05,5.38125e-05,0.000170721,0.000151053,2.17767e-05,0.000158206,0.000248359,0.000979799,ATP-dependent Clp protease ATP-binding subunit ClpA OS=Alteromonas sp. OX=232 GN=DEH24_02480 PE=3 SV=1,0.000111507,0.000152699,0.000329537,7.99613e-05,0.000114517,0.000462121,0.07,1.37,0.124,2.96,0.21,1.43,0.149,5.78,ATP-dependent Clp protease ATP-binding subunit ClpA OS=Alteromonas sp. OX=232 GN=DEH24_02480 PE=3 SV=1,DEH24_02480,0.45417589318580215,1.565597175854225,0.5160151470036647,2.5310694927259543,0.07,0.124,0.21,0.149
A0A359K462,2,2,5.850851059,ATP-dependent metalloprotease (Fragment) OS=Alteromonas sp. OX=232 GN=hflB PE=4 SV=1,13987386.61,12430295.2,4507261.833,7998857.994,3189622.566,7008572.909,1790722.817,869584.8308,1757692.304,11878242.84,11300482.08,9231815.491,3166110.978,2282058.338,62924.99241,3431036.71,2024845.242,1744341.65,0.014896509,0.016009115,0.002661395,0.004650532,0.001386586,0.005653811,0.000841329,0.000247355,0.002412445,0.010903812,0.0110881,0.008206729,0.001649757,0.00083998,0.000792073,0.001767556,0.000621461,0.002438272,ATP-dependent metalloprotease (Fragment) OS=Alteromonas sp. OX=232 GN=hflB PE=4 SV=1,0.011189006,0.003896976,0.001167043,0.010066214,0.001093937,0.001609096,0.151,0.35,0.089,0.1,0.004,0.11,0.013,0.16,ATP-dependent metalloprotease (Fragment) OS=Alteromonas sp. OX=232 GN=hflB PE=4 SV=1,,-1.5145731728297582,-3.321928094887362,-3.1844245711374275,-2.643856189774725,0.151,0.089,0.004,0.013
A0A359K5N7,3,3,8.861658812,ATP-dependent RNA helicase DeaD OS=Alteromonas sp. OX=232 GN=deaD PE=3 SV=1,49114.05684,44336.99869,7946.966268,160840.5637,352319.25,21556.42298,489788.2396,951328.7214,75825.61506,19068.97856,24921.22666,5812.167217,172855.2159,322218.4963,1598.255024,243355.6026,477047.205,193192.5153,5.23063e-05,5.71021e-05,4.69243e-06,9.35126e-05,0.000153159,1.73896e-05,0.000230115,0.000270607,0.000104071,1.75047e-05,2.44529e-05,5.16679e-06,9.00692e-05,0.000118602,2.01182e-05,0.000125369,0.000146414,0.000270048,ATP-dependent RNA helicase DeaD OS=Alteromonas sp. OX=232 GN=deaD PE=3 SV=1,3.80336e-05,8.80205e-05,0.000201598,1.57081e-05,7.62632e-05,0.00018061,0.089,2.31,0.02,5.3,0.062,4.86,0.041,11.5,ATP-dependent RNA helicase DeaD OS=Alteromonas sp. OX=232 GN=deaD PE=3 SV=1,,1.207892851641333,2.4059923596758366,2.2809563138310565,3.523561956057013,0.089,0.02,0.062,0.041
A0A359K7E3,3,3,10.15151381,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,12656.32726,83878.12739,143107.406,934001.6409,979208.0016,75538.26072,1704386.13,3400829.627,281897.4797,89547.48167,73771.48828,294185.7419,1330407.937,2358810.854,1616.576866,2019588.095,4472127.839,527783.2356,1.34789e-05,0.000108028,8.45004e-05,0.000543028,0.000425679,6.09367e-05,0.000800766,0.000967373,0.000386906,8.22015e-05,7.2385e-05,0.00026152,0.000693232,0.000868231,2.03488e-05,0.001040424,0.001372575,0.000737745,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,6.8669e-05,0.000343215,0.000718348,0.000138702,0.000527271,0.001050248,0.115,5.0,0.033,10.46,0.174,3.8,0.031,7.57,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,DEH24_11560,2.321928094887362,3.3868109464722167,1.925999418556223,2.920293300211007,0.115,0.033,0.174,0.031
A0A359K1I4,3,3,10.35732341,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,14629671.5911158,21272101.8014551,1558577.95775778,10897634.6219549,7463194.92052959,5255201.27621503,3875701.02780352,3574331.3975613,4359400.60852584,11544455.5024006,11142107.8686061,906739.76593863,5828238.03297235,3629308.72262988,45606.4641139152,4437071.40220823,3098508.45628659,3354806.44703924,0.01558054,0.027396576,0.000920291,0.00633588,0.003244383,0.004239367,0.001820907,0.001016726,0.005983308,0.010597407,0.010932702,0.000806057,0.003036905,0.001335876,0.000574075,0.002285831,0.000950987,0.004689408,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,0.014632469,0.004606543,0.002940314,0.007445389,0.001648952,0.002642075,0.167,0.31,0.164,0.2,0.089,0.22,0.193,0.35,Beta sliding clamp OS=Alteromonas sp. OX=232 GN=DEH24_01275 PE=3 SV=1,DEH24_01275,-1.6896598793878495,-2.321928094887362,-2.1844245711374275,-1.5145731728297582,0.167,0.164,0.089,0.193
A0A359K2G9,2,2,7.81109333,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,207859.723151597,25773.9661800684,15100.653458738,139676.661673483,383784.249928223,22677.1207479674,676869.720716627,1979965.90645894,85566.8794565153,103856.641143,24081.3847219658,61717.0972758319,318659.822159954,571168.024736881,122.89828294981,548514.366072928,1303828.18548036,101031.484278532,0.00022137,3.31946e-05,8.91646e-06,8.12079e-05,0.000166838,1.82936e-05,0.000318011,0.000563205,0.000117441,9.53368e-05,2.36288e-05,5.48641e-05,0.000166043,0.000210236,1.54699e-06,0.000282576,0.000400168,0.000141224,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,8.78269e-05,8.87798e-05,0.000332886,5.79432e-05,0.000125942,0.000274656,0.496,1.01,0.114,3.79,0.215,2.17,0.063,4.74,Bifunctional aspartokinase/homoserine dehydrogenase OS=Alteromonas sp. OX=232 GN=DEH24_06550 PE=3 SV=1,DEH24_06550,0.014355292977070054,1.922197848396367,1.1176950426697545,2.2448870591235344,0.496,0.114,0.215,0.063
A0A359K1F8,2,2,6.202804327,Bifunctional chorismate mutase/prephenate dehydratase OS=Alteromonas sp. OX=232 GN=pheA PE=4 SV=1,137247.6712,91175.21282,37504.97565,1264928.745,1027391.937,109138.8287,3319569.189,4238728.942,312019.6837,114427.8594,184719.908,106080.6029,3538546.562,2420484.841,2738.751351,3148178.161,2141699.901,241763.1557,0.000146168,0.000117426,2.21455e-05,0.000735429,0.000446626,8.80422e-05,0.001559622,0.001205715,0.000428249,0.000105041,0.000181248,9.43016e-05,0.001843821,0.000890932,3.44742e-05,0.001621836,0.000657325,0.000337941,Bifunctional chorismate mutase/prephenate dehydratase OS=Alteromonas sp. OX=232 GN=pheA PE=4 SV=1,9.52464e-05,0.000423366,0.001064529,0.000126864,0.000923076,0.000872368,0.081,4.44,0.041,11.18,0.133,7.28,0.099,6.88,Bifunctional chorismate mutase/prephenate dehydratase OS=Alteromonas sp. OX=232 GN=pheA PE=4 SV=1,,2.1505596765753814,3.4828482830684653,2.8639384504239715,2.782408564927373,0.081,0.041,0.133,0.099
A0A359K6K3,6,6,31.12235045,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,1730412.381,1187077.549,2660264.154,5330656.021,9318730.708,1192286.634,10038401.86,14595847.01,1107407.896,798683.9045,874204.1017,380035.9396,12308813.81,13805067.17,64701.40137,9271167.235,17071429.85,888271.256,0.001842882,0.00152885,0.001570802,0.003099241,0.004051018,0.000961817,0.004716307,0.004151819,0.001519925,0.000733164,0.000857774,0.000337837,0.006413722,0.00508137,0.000814434,0.004776196,0.005239523,0.001241641,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,0.001647511,0.002704025,0.003462684,0.000642925,0.004103175,0.003752453,0.183,1.64,0.096,2.1,0.078,6.38,0.053,5.84,Bifunctional purine biosynthesis protein PurH OS=Alteromonas sp. OX=232 GN=purH PE=3 SV=1,,0.7136958148433589,1.070389327891398,2.673556423990145,2.5459683691052923,0.183,0.096,0.078,0.053
A0A359K5E0,2,2,6.334069014,Carbamoyl phosphate synthase large subunit (Fragment) OS=Alteromonas sp. OX=232 GN=carB PE=4 SV=1,46366.47881,15272.77294,68785.59474,420107.09,1898885.38,49064.4156,1367713.336,3325430.686,1192343.216,75308.33122,116105.1674,90301.91,508924.8849,1301770.638,9354.830075,551848.2466,3190028.292,1387128.783,4.93801e-05,1.967e-05,4.06157e-05,0.00024425,0.000825479,3.95802e-05,0.000642588,0.000945926,0.0016365,6.91304e-05,0.000113923,8.02749e-05,0.000265184,0.000479156,0.000117755,0.000284294,0.000979076,0.001938953,Carbamoyl phosphate synthase large subunit (Fragment) OS=Alteromonas sp. OX=232 GN=carB PE=4 SV=1,3.65553e-05,0.00036977,0.001075004,8.77761e-05,0.000287365,0.001067441,0.152,10.12,0.036,29.41,0.085,3.27,0.088,12.16,Carbamoyl phosphate synthase large subunit (Fragment) OS=Alteromonas sp. OX=232 GN=carB PE=4 SV=1,,3.339137384919585,4.878234879112339,1.709290635723358,3.604071323668861,0.152,0.036,0.085,0.088
A0A359JZC5,2,2,5.039139032,Chaperone protein DnaJ OS=Alteromonas sp. OX=232 GN=dnaJ PE=3 SV=1,29558.933630886,59297.058500701,44703.74022041,56976.0372002,90659.26571147,18812.24421641,101525.9198407,454436.9368666,10991.28946106,57040.402698902,50890.036028316,34412.273611122,53005.74787216,513995.8231995,977.1954915683,126974.5006016,527661.9442805,5652.12175159,3.14801e-05,7.63693e-05,2.63961e-05,3.31258e-05,3.94112e-05,1.51758e-05,4.76996e-05,0.000129266,1.50856e-05,5.23611e-05,4.99336e-05,3.05912e-05,2.76196e-05,0.000189192,1.23005e-05,6.5413e-05,0.000161949,7.90064e-06,Chaperone protein DnaJ OS=Alteromonas sp. OX=232 GN=dnaJ PE=3 SV=1,4.47485e-05,2.92376e-05,6.40169e-05,4.42953e-05,7.63706e-05,7.84208e-05,0.153,0.65,0.205,1.43,0.305,1.72,0.243,1.77,Chaperone protein DnaJ OS=Alteromonas sp. OX=232 GN=dnaJ PE=3 SV=1,,-0.6214883767462701,0.5160151470036647,0.7824085649273732,0.8237493603082727,0.153,0.205,0.305,0.243
A0A359JZP2,14,14,95.70080781,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,4380858.791,8973970.644,19672567.01,24429169.87,41125304.18,13919459.32,41594781.22,144739873.3,19289611.47,5060968.17,6934887.847,7074091.107,44505328.82,128777007.5,508066.8675,52956609.83,129947738.1,28015312.32,0.004665596,0.011557676,0.011616028,0.014203108,0.0178779,0.011228818,0.01954233,0.041171555,0.02647513,0.004645792,0.006804553,0.006288595,0.023190277,0.047400253,0.00639533,0.027281481,0.03988325,0.0391603,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,0.009279767,0.014436608,0.029063005,0.00591298,0.025661954,0.035441677,0.11,1.56,0.028,3.13,0.117,4.34,0.007,5.99,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,,0.6415460290875237,1.6461626571578936,2.1176950426697547,2.582556003014061,0.11,0.028,0.117,0.007
A0A359K737,4,4,22.21079516,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,397108.4844,2993402.325,708892.3019,11148341.36,16544010.84,812651.0312,17262169.46,26814928.16,5464722.161,735730.8697,1152029.892,1206598.807,24446113.76,23036189.49,19274.77133,14905673.06,29330574.61,6834480.461,0.000422919,0.003855236,0.000418578,0.00648164,0.007191975,0.000655565,0.008110225,0.007627562,0.00750037,0.000675375,0.001130379,0.00107262,0.012738074,0.008479163,0.000242623,0.007678906,0.00900207,0.009553358,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,0.001565578,0.004776394,0.007746052,0.000959458,0.007153286,0.008744778,0.098,3.05,0.018,4.95,0.121,7.46,0.002,9.11,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,DEH24_14130,1.6088092426755238,2.3074285251922473,2.899175630480513,3.187451054027326,0.098,0.018,0.121,0.002
A0A359K937,4,4,26.72574925,Chemotaxis protein OS=Alteromonas sp. OX=232 GN=DEH24_17530 PE=4 SV=1,300145.091238464,729579.234456739,196733.76276666,6436875.05428181,9790726.66128427,307471.867858048,433359.7569329,293478.42713077,217497.752185852,569549.102371107,487347.15396068,252123.863074333,6051632.9218418,1529904.0733197,2747.6626007708,386493.15619255,540334.39444574,284777.9357297,0.000319653,0.000939633,0.000116165,0.003742396,0.004256203,0.000248037,0.000203604,8.34805e-05,0.000298517,0.000522826,0.000478188,0.000224128,0.003153309,0.000563127,3.45864e-05,0.000199108,0.000165838,0.000398068,Chemotaxis protein OS=Alteromonas sp. OX=232 GN=DEH24_17530 PE=4 SV=1,0.000458484,0.002748879,0.000195201,0.000408381,0.001250341,0.000254338,0.084,6.0,0.242,0.43,0.224,3.06,0.223,0.62,Chemotaxis protein OS=Alteromonas sp. OX=232 GN=DEH24_17530 PE=4 SV=1,DEH24_17530,2.584962500721156,-1.2175914350726267,1.613531652917927,-0.6896598793878495,0.084,0.242,0.224,0.223
A0A359K1Y4,5,5,37.77360129,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,1506482.404,2432504.739,1549746.708,12747120.04,19873386.14,1483581.562,23509266.43,33345389.85,3977024.798,1826144.62,1614406.564,1896160.316,22526590.52,20621299.89,65403.60962,33460401.5,25269383.78,3326842.693,0.001604398,0.00313285,0.000915076,0.007411169,0.008639314,0.001196804,0.011045276,0.009485165,0.005458495,0.001676337,0.001584065,0.001685614,0.011737873,0.00759029,0.000823273,0.017237684,0.007755619,0.00465032,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,0.001884108,0.005749096,0.008662979,0.001648672,0.006717145,0.009881208,0.082,3.05,0.021,4.6,0.126,4.07,0.081,5.99,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,,1.6088092426755238,2.2016338611696504,2.0250287944915226,2.582556003014061,0.082,0.021,0.126,0.081
A0A359K8E7,2,2,14.91869211,Citrulline--aspartate ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_14245 PE=4 SV=1,38233.63316,63529.98327,76107.48222,1153797.902,2241795.886,144717.1428,6395787.359,7513034.573,762323.2565,43742.68826,48286.98703,46073.82311,2812722.982,4874525.231,4898.700812,3415594.751,4573081.004,1882369.811,4.07187e-05,8.1821e-05,4.49391e-05,0.000670818,0.000974548,0.000116743,0.00300491,0.002137098,0.001046294,4.01543e-05,4.73795e-05,4.09579e-05,0.001465618,0.001794216,6.16628e-05,0.001759601,0.001403559,0.00263121,Citrulline--aspartate ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_14245 PE=4 SV=1,5.58262e-05,0.00058737,0.002062768,4.28305e-05,0.001107166,0.001931457,0.08,10.52,0.036,36.95,0.091,25.85,0.018,45.1,Citrulline--aspartate ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_14245 PE=4 SV=1,DEH24_14245,3.3950627995175777,5.207502459258789,4.692092375427572,5.4950555283680185,0.08,0.036,0.091,0.018
A0A359JZ44,3,3,12.00025201,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,2076619.54944099,6896213.46269784,6639067.91501846,1597959.54694389,3522929.5528673,7544847.240449021,1787332.9924503,4180813.98457354,1419385.62939819,1989060.15576119,6985391.61813661,1850308.06049591,491862.73605378,1208169.13751806,91306.3972214968,822399.48582376,6600792.71585722,1353375.90328125,0.002211591,0.00888171,0.003920159,0.000929053,0.00153148,0.006086423,0.000839736,0.001189241,0.001948117,0.001825888,0.006854108,0.001644853,0.000256294,0.000444703,0.001149326,0.000423673,0.0020259,0.001891773,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,0.005004487,0.002848985,0.001325698,0.003441616,0.000616774,0.001447115,0.26,0.57,0.105,0.26,0.13,0.18,0.157,0.42,Clp R domain-containing protein (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00190 PE=3 SV=1,DEH24_00190,-0.8109661756099832,-1.9434164716336324,-2.473931188332412,-1.2515387669959646,0.26,0.105,0.13,0.157
A0A359K7L3,2,2,6.65813756,Cold-shock protein OS=Alteromonas sp. OX=232 GN=DEH24_15040 PE=4 SV=1,553372.636,545402.8515,319061.4856,2887025.492,5339243.432,367726.6687,8658011.896,15822962.25,1194889.319,441779.186,385369.629,85404.3153,5131746.351,10607813.38,5624.45959,8005552.346,10895925.06,891963.3507,0.00058934,0.00070243,0.000188396,0.001678515,0.002321064,0.000296645,0.004067763,0.004500874,0.001639994,0.000405538,0.000378127,7.59212e-05,0.002673986,0.003904525,7.07983e-05,0.004124194,0.003344151,0.001246802,Cold-shock protein OS=Alteromonas sp. OX=232 GN=DEH24_15040 PE=4 SV=1,0.000493389,0.001432075,0.003402877,0.000286529,0.002216436,0.002905049,0.084,2.9,0.029,6.9,0.101,7.74,0.037,10.14,Cold-shock protein OS=Alteromonas sp. OX=232 GN=DEH24_15040 PE=4 SV=1,DEH24_15040,1.5360529002402097,2.786596361890807,2.9523335663696857,3.341985747228616,0.084,0.029,0.101,0.037
A0A359K805,2,2,6.989071846,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,9818.500376,24591.29323,36479.78562,573433.2354,814161.4412,45127.28129,571995.4863,160290.4354,86109.61215,15996.7549,27007.91707,23323.34735,774794.3538,281350.7826,1545.796231,196624.4341,65981.32476,80053.3599,1.04567e-05,3.16714e-05,2.15402e-05,0.000333394,0.00035393,3.64041e-05,0.000268739,4.55949e-05,0.000118186,1.46845e-05,2.65003e-05,2.07336e-05,0.00040372,0.00010356,1.94578e-05,0.000101294,2.02508e-05,0.0001119,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,2.12227e-05,0.000241243,0.000144173,2.06395e-05,0.000175579,7.78151e-05,0.083,11.37,0.114,6.79,0.162,8.51,0.107,3.77,Competence protein ComFB OS=Alteromonas sp. OX=232 GN=DEH24_13535 PE=4 SV=1,DEH24_13535,3.507160349117523,2.763411574470007,3.089159131911238,1.9145645234939397,0.083,0.114,0.162,0.107
A0A359K053,5,5,31.36575568,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,70855281.76,86697957.1,72785933.98,53839231.58,26369403.18,77332621.58,27044849.93,25156650.83,16427476.56,63166951.53,44109925.96,43868941.57,20150144.17,23214302.1,574956.3668,24717324.12,31866086.41,8995346.983,0.075460581,0.111659262,0.042977789,0.031302103,0.011463248,0.062384169,0.012706387,0.007155861,0.022546829,0.057985057,0.043280921,0.038997802,0.010499584,0.008544723,0.007237307,0.012733542,0.009780263,0.012573855,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,0.07669921,0.03504984,0.014136359,0.046754594,0.008760538,0.011695887,0.176,0.46,0.062,0.18,0.008,0.19,0.012,0.25,Cysteine synthase OS=Alteromonas sp. OX=232 GN=cysK PE=3 SV=1,,-1.1202942337177118,-2.473931188332412,-2.395928676331139,-2.0,0.176,0.062,0.008,0.012
