 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SputW3181_3706,hslR,9.3,31.1,120.9,3.34,12.99,3.89,heat shock protein HslR,Protein fate,Protein folding and stabilization,Stress respone - Heat shock,Cytoplasm,,Sputw3181_3706,tier1:Gene abbreviation
SputW3181_1780,cspD,909.1,7138.5,3956.3,7.85,4.35,0.55,DNA-binding cold shock protein CspD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - cold shock,Cytoplasm,,Sputw3181_1780,tier1:Gene abbreviation
SputW3181_1298,phrB,164.7,37.8,39.2,0.23,0.24,1.04,deoxyribodipyrimidine photolyase PhrB,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,,Sputw3181_1298,tier1:Gene abbreviation
SputW3181_1083,umuD,9.3,2.7,15.2,0.29,1.64,5.63,DNA polymerase V subunit UmuD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,LexA,Sputw3181_1083,tier1:Gene abbreviation
SputW3181_0735,uvrD,2.8,8.1,0.0,2.9,0.04,0.02,DNA helicase II UvrD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,,Sputw3181_0568,tier1:Gene abbreviation
SputW3181_3646,,94.0,20.3,18.4,0.22,0.2,0.91,deoxyribodipyrimidine photolyase-related protein,DNA metabolism,"DNA replication, recombination, and repair",Stress response - UV,Cytoplasm,,Sputw3181_3646,locus_tag_ci: Locus tag
SputW3181_3385,relV,58.6,8.1,4.0,0.14,0.07,0.49,(p)ppGpp synthetase RelV,Regulatory functions,Small molecule interactions,Stringent response,Inner Membrane (1 transmembrane span),,Sputw3181_3385,locus_tag_ci: Locus tag
SputW3181_0902,cysD,75.4,155.3,68.1,2.06,0.9,0.44,sulfate adenylyltransferase small subunit CysD,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,Sputw3181_0902,tier1:Gene abbreviation
SputW3181_0010,,379.6,90.5,37.6,0.24,0.1,0.42,MOSC domain protein,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,Sputw3181_0010,locus_tag_ci: Locus tag
SputW3181_3095,fimT,8.4,27.0,0.0,3.23,0.01,0.0,type IV minor pilin protein FimT,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,,Sputw3181_3095,locus_tag_ci: Locus tag
SputW3181_0517,pilA,142.4,768.6,405.2,5.4,2.85,0.53,type IV pilin protein PilA,Cell envelope,Surface structures,T2bSS,Surface structure,,Sputw3181_0517,locus_tag_ci: Locus tag
SputW3181_0516,pilB,7.4,32.4,13.6,4.35,1.83,0.42,type IV pilus assembly ATPase PilB,Transport and binding proteins,Secretion systems,T2bSS,Cytoplasm,,Sputw3181_0516,tier1:Gene abbreviation
SputW3181_3098,pilE,52.1,116.2,52.0,2.23,1.0,0.45,type IV minor pilin protein PilE,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,,Sputw3181_3098,locus_tag_ci: Locus tag
SputW3181_3854,pilM,41.9,268.8,92.1,6.42,2.2,0.34,type IV pilus biogenesis protein PilM,Transport and binding proteins,Secretion systems,T2bSS,Cytoplasm,,Sputw3181_3854,locus_tag_ci: Locus tag
SputW3181_3102,pilV,81.0,460.6,161.7,5.69,2.0,0.35,type IV pilin modification protein PilV,Protein fate,Protein modification and repair,T2bSS,Periplasm,,Sputw3181_3102,tier1:Gene abbreviation
SputW3181_3101,pilW,31.6,175.6,104.9,5.55,3.32,0.6,type IV minor pilin protein PilW,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,,Sputw3181_1353,tier1:Gene abbreviation
SputW3181_3100,pilX,43.7,239.1,142.5,5.47,3.26,0.6,type IV minor pilin protein PilX,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,,Sputw3181_3100,locus_tag_ci: Locus tag
SputW3181_3099,pilY,30.7,129.7,33.6,4.22,1.1,0.26,type IV pili system adhesin PilY,Cellular structures and extracellular matrix,Cell adhesion,T2bSS,Extracellular,,Sputw3181_3099,locus_tag_ci: Locus tag
SputW3181_3097,,50.2,151.3,116.1,3.01,2.31,0.77,type IV pilin system protein,Transport and binding proteins,Secretion systems,T2bSS,Periplasm,,Sputw3181_3097,locus_tag_ci: Locus tag
SputW3181_2085,thiDE,492.2,243.1,32.8,0.49,0.07,0.14,bifunctional hydroxy-(phospho)methylpyrimidine kinase/thiamine-phosphate pyrophosphorylase ThiDE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,Tpp riboswitch,Sputw3181_2085,locus_tag_ci: Locus tag
SputW3181_2082,thiG,206.6,104.0,12.8,0.5,0.06,0.12,thiazole-phosphate synthase ThiG,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,Tpp riboswitch,Sputw3181_2082,locus_tag_ci: Locus tag
SputW3181_3542,tonB,9.3,24.3,30.4,2.61,3.27,1.25,TonB mediated energy transduction system energy transducer component TonB,Energy metabolism,TonB energy transduction system,TonB energy transduction system,Periplasm,,Sputw3181_3542,locus_tag_ci: Locus tag
SputW3181_2902,,185.2,480.9,154.5,2.6,0.83,0.32,toxin-antitoxin system toxin RelE family,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,Sputw3181_2902,locus_tag_ci: Locus tag
SputW3181_2903,,265.2,722.6,94.5,2.73,0.36,0.13,toxin-antitoxin system antidote Phd family,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,Sputw3181_2903,locus_tag_ci: Locus tag
SputW3181_2614,cysS,135.8,275.5,120.9,2.03,0.89,0.44,cysteinyl-tRNA synthetase CysS,Protein synthesis,tRNA aminoacylation,tRNA biogenesis,Cytoplasm,,Sputw3181_2614,tier1:Gene abbreviation
SputW3181_0496,dusB,108.9,272.8,529.3,2.51,4.86,1.94,tRNA-dihydrouridine synthase DusB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,Sputw3181_0496,tier1:Gene abbreviation
SputW3181_0891,rumB,61.4,25.7,46.4,0.42,0.76,1.81,23S rRNA (uracil747-C5)-methyltransferase RumB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,Sputw3181_0891,locus_tag_ci: Locus tag
SputW3181_1600,trpA,269.8,97.3,135.3,0.36,0.5,1.39,tryptophan synthase alpha subunit TrpA,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1600,tier1:Gene abbreviation
SputW3181_1601,trpB,259.6,43.2,112.1,0.17,0.43,2.59,tryptophan synthase beta subunit TrpB,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1601,tier1:Gene abbreviation
SputW3181_1602,trpCF,234.5,39.2,74.5,0.17,0.32,1.9,bifunctional indole-3-glycerolphosphate synthetase/phosphoribosylanthranilate isomerase TrpCF,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1602,tier1:Gene abbreviation
SputW3181_1603,trpD,295.0,51.3,68.9,0.17,0.23,1.34,anthranilate phosphoribosyltransferase TrpD,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1603,tier1:Gene abbreviation
SputW3181_1605,trpE,285.7,47.3,63.3,0.17,0.22,1.34,anthranilate synthase component I TrpE,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1605,locus_tag_ci: Locus tag
SputW3181_1604,trpG,244.7,28.4,73.7,0.12,0.3,2.6,anthranilate synthase component II glutamine amido-transferase TrpG,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,,Sputw3181_1604,locus_tag_ci: Locus tag
SputW3181_3946,ubiC,6.5,2.7,5.6,0.41,0.86,2.07,chorismate-pyruvate lyase UbiC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Ubiquinone biosynthesis,Cytoplasm,,Sputw3181_3946,locus_tag_ci: Locus tag
SputW3181_2860,adhB,42.8,113.5,14.4,2.65,0.34,0.13,alcohol dehydrogenase II AdhB,Energy metabolism,Glycolysis/gluconeogenesis,,Cytoplasm,HexR,Sputw3181_2860,locus_tag_ci: Locus tag
SputW3181_1999,ald,232.6,771.3,554.9,3.32,2.39,0.72,alanine dehydrogenase Ald,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,,Sputw3181_1999,tier1:Gene abbreviation
SputW3181_0089,arcD,44.7,5.4,0.0,0.12,0.0,0.02,arginine:ornithine antiporter ArcD,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (12 transmembrane spans),MetJ,Sputw3181_0089,locus_tag_ci: Locus tag
SputW3181_2430,asnB,60.5,252.6,48.8,4.18,0.81,0.19,asparagine synthase glutamine-hydrolyzing AsnB,Amino acid biosynthesis,Aspartate family,,Cytoplasm,,Sputw3181_2430,tier1:Gene abbreviation
SputW3181_0799,attE,100.5,28.4,25.6,0.28,0.25,0.9,ABC-type export system ATPase component AttE,Transport and binding proteins,Unknown substrate,,Cytoplasm,,Sputw3181_0799,locus_tag_ci: Locus tag
SputW3181_0798,attFG,51.2,14.9,25.6,0.29,0.5,1.72,ABC-type export system permease component AttFG,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),,Sputw3181_0798,locus_tag_ci: Locus tag
SputW3181_0797,attH,51.2,17.6,19.2,0.34,0.38,1.09,hydroxyneurosporene synthase AttH,Unknown function,Enzymes of unknown specificity,,Extracelllular,,Sputw3181_0797,locus_tag_ci: Locus tag
SputW3181_3744,creD,10.2,2.7,6.4,0.26,0.63,2.37,membrane protein CreD,Unknown function,General,,Inner Membrane (7 transmembrane spans),,Sputw3181_3744,tier1:Gene abbreviation
SputW3181_3160,cysP,289.4,584.9,241.8,2.02,0.84,0.41,ABC-type sulfate/thiosulfate uptake system substrate-binding component CysP,Transport and binding proteins,Anions,,Periplasm,,Sputw3181_3160,tier1:Gene abbreviation
SputW3181_2368,deoD,4.7,1.4,9.6,0.29,2.07,7.11,purine nucleoside phosphorylase DeoD,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,,Cytoplasm,,Sputw3181_1192,tier1:Gene abbreviation
SputW3181_0209,dhc,12.1,5.4,36.0,0.45,2.98,6.67,diheme cytochrome c Dhc,Energy metabolism,Electron transport,,Periplasm,,Sputw3181_0209,locus_tag_ci: Locus tag
SputW3181_0815,dksA,202.8,494.4,605.3,2.44,2.98,1.22,RNA polymerase-binding protein DksA,Transcription,Transcription factors,,Cytoplasm,,Sputw3181_0815,tier1:Gene abbreviation
SputW3181_2133,efp,431.7,1045.5,957.6,2.42,2.22,0.92,translation elongation factor P Efp,Protein synthesis,Translation factors,,Cytoplasm,,Sputw3181_2133,tier1:Gene abbreviation
SputW3181_0242,etfQ,44.7,21.6,60.1,0.48,1.34,2.78,electron transfer flavoprotein-ubiquinone oxidoreductase EtfQ,Energy metabolism,Electron transport,,Cytoplasm,PsrA and Crp,Sputw3181_0242,locus_tag_ci: Locus tag
SputW3181_1619,gltS,27.9,8.1,2.4,0.29,0.09,0.3,sodium:glutamate symporter GltS,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (11 transmembrane spans),,Sputw3181_1619,tier1:Gene abbreviation
SputW3181_1783,infA,127.5,306.6,741.5,2.41,5.82,2.42,translation initiation factor IF-1 InfA,Protein synthesis,Translation factors,,Cytoplasm,,Sputw3181_1783,tier1:Gene abbreviation
SputW3181_1250,metE,123.8,12.2,0.0,0.1,0.0,0.01,B12-independent methonine synthase C-terminal domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_0771,tier1:Gene abbreviation
SputW3181_3617,mshH,14.0,31.1,17.6,2.23,1.26,0.57,signalling protein with GGDEF and EAL domains MshH,Regulatory functions,Small molecule interactions,,Inner Membrane (2 transmembrane spans),,Sputw3181_3617,locus_tag_ci: Locus tag
SputW3181_1262,nlpD,226.1,1469.6,392.3,6.5,1.74,0.27,lipoprotein NlpD,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Outer Membrane Lipoprotein,,Sputw3181_1262,locus_tag_ci: Locus tag
SputW3181_2709,ompW,69.8,14.9,25.6,0.21,0.37,1.72,outer membrane protein OmpW,Transport and binding proteins,Porins and secretins,,Outer Membrane,NarP,Sputw3181_2709,tier1:Gene abbreviation
SputW3181_1752,phoQ,40.0,17.6,17.6,0.44,0.44,1.0,two component signal transduction system histidine kinase PhoQ,Signal transduction,Two-component systems,,Inner Membrane (3 transmembrane spans),,Sputw3181_1752,locus_tag_ci: Locus tag
SputW3181_0880,pntA,214.0,94.6,96.9,0.44,0.45,1.02,NAD(P) transhydrogenase alpha subunit PntA,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane spans),,Sputw3181_0880,locus_tag_ci: Locus tag
SputW3181_2600,pspF,36.3,97.3,56.9,2.68,1.57,0.58,Sigma 54-dependent transcriptional activator of phage shock response PspF,Regulatory functions,DNA interactions,,Cytoplasm,,Sputw3181_2600,tier1:Gene abbreviation
SputW3181_2162,rnfD,61.4,28.4,28.8,0.46,0.47,1.02,ion (H+ or Na+)-translocating NADH:ferredoxin oxidoreductase subunit RnfD,Energy metabolism,Electron transport,,Inner Membrane (9 transmembrane spans),,Sputw3181_2162,locus_tag_ci: Locus tag
SputW3181_3011,rpoE,656.0,2049.0,695.8,3.12,1.06,0.34,RNA polymerase sigma factor 24 RpoE,Transcription,Transcription factors,,Cytoplasm,,Sputw3181_3011,tier1:Gene abbreviation
SputW3181_3440,sbp,16.7,33.8,9.6,2.02,0.57,0.28,ABC-type sulfate/thiosulfate uptake system substrate-binding subunit Sbp,Transport and binding proteins,Anions,,Periplasm,,Sputw3181_3440,locus_tag_ci: Locus tag
SputW3181_2285,srtA,20.5,6.8,55.2,0.33,2.7,8.18,sortase SrtA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (1 transmembrane span),,Sputw3181_2285,locus_tag_ci: Locus tag
SputW3181_1858,suhB,125.6,540.3,547.7,4.3,4.36,1.01,inositol-phosphate phosphatase SuhB,Central intermediary metabolism,Phosphorus compounds,,Cytoplasm,,Sputw3181_1858,tier1:Gene abbreviation
SputW3181_0551,trxC,7.4,17.6,0.0,2.36,0.02,0.01,thioredoxin 2 TrxC,Energy metabolism,Electron transport,,Cytoplasm,,Sputw3181_0551,tier1:Gene abbreviation
SputW3181_3719,xerC,101.4,41.9,56.0,0.41,0.55,1.34,tyrosine recombinase XerC,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,,Sputw3181_3719,tier1:Gene abbreviation
SputW3181_2976,ydhY,2.8,1.4,4.8,0.48,1.72,3.56,4Fe-4S ferredoxin YdhY,Energy metabolism,Electron transport,,Outer Membrane Lipoprotein,,Sputw3181_2976,locus_tag_ci: Locus tag
SputW3181_1288,yeeN,37.2,74.3,132.9,2.0,3.57,1.79,DNA-binding regulatory protein YeeN,Regulatory functions,DNA interactions,,Cytoplasm,,Sputw3181_1288,locus_tag_ci: Locus tag
SputW3181_2800,yfaZ,440.1,64.8,24.8,0.15,0.06,0.38,outer membrane protein YfaZ,Unknown function,General,,Outer Membrane,,Sputw3181_2800,locus_tag_ci: Locus tag
SputW3181_1620,yfcH,183.3,56.7,41.6,0.31,0.23,0.73,predicted nucleoside-diphosphate sugar epimerase YfcH,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_1620,locus_tag_ci: Locus tag
SputW3181_0943,yghX,10.2,28.4,16.8,2.77,1.64,0.59,dienelactone hydrolase family protein YghX,Unknown function,Enzymes of unknown specificity,,Periplasm,,Sputw3181_0943,locus_tag_ci: Locus tag
SputW3181_3760,yjjG,57.7,21.6,31.2,0.37,0.54,1.44,5' nucleotide phosphatase YjjG,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,,Sputw3181_3760,tier1:Gene abbreviation
SputW3181_3693,yrfG,8.4,18.9,39.2,2.26,4.69,2.07,HAD-superfamily hydrolase subfamily IA variant 3 protein family YrfG,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3693,tier1:Gene abbreviation
SputW3181_0280,ysnE,3.7,9.5,14.4,2.54,3.87,1.52,acteyltransferase GNAT family YsnE,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_0280,locus_tag_ci: Locus tag
SputW3181_1613,,58.6,154.0,294.7,2.63,5.03,1.91,Pla-1/cef family extracellular lipase,Cell envelope,General,,Extracellular Lipoprotein,,Sputw3181_1613,locus_tag_ci: Locus tag
SputW3181_2965,,183.3,27.0,16.8,0.15,0.09,0.62,ROK family protein,Central intermediary metabolism,Sugars,,Cytoplasm,,Sputw3181_2965,locus_tag_ci: Locus tag
SputW3181_0270,,2.8,1.4,5.6,0.48,2.01,4.15,iron-sulfur cluster-binding protein,Energy metabolism,Electron transport,,Inner Membrane (7 transmembrane spans),,Sputw3181_0270,locus_tag_ci: Locus tag
SputW3181_2433,,80.0,39.2,89.7,0.49,1.12,2.29,acyl-CoA dehydrogenase,Fatty acid and phospholipid metabolism,Degradation,,Cytoplasm,,Sputw3181_2433,locus_tag_ci: Locus tag
SputW3181_4089,,1.9,0.0,8.8,0.07,4.73,71.61,plasmid excisionase,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,Sputw3181_4089,locus_tag_ci: Locus tag
SputW3181_2916,,3.7,10.8,9.6,2.9,2.58,0.89,HP1-like phage integrase,Mobile and extrachromosomal element functions,Prophage functions,,Cytoplasm,,Sputw3181_2916,locus_tag_ci: Locus tag
SputW3181_0102,,96.8,43.2,56.9,0.45,0.59,1.32,propeptide PepSY amd peptidase M4 domain protein,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Periplasm,,Sputw3181_0102,locus_tag_ci: Locus tag
SputW3181_1687,,138.6,31.1,30.4,0.22,0.22,0.98,ATP-dependent protease La (LON) domain protein,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,Sputw3181_1687,locus_tag_ci: Locus tag
SputW3181_2315,,14.0,6.8,16.8,0.48,1.2,2.49,DJ-1/PfpI family protein,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,Sputw3181_2315,locus_tag_ci: Locus tag
SputW3181_2684,,25.1,54.0,72.9,2.15,2.9,1.35,autocatalytic aspartic peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,Sputw3181_2684,locus_tag_ci: Locus tag
SputW3181_3828,,23.3,50.0,18.4,2.15,0.79,0.37,ThiJ/PfpI family protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (2 transmembrane spans),,Sputw3181_3828,locus_tag_ci: Locus tag
SputW3181_3963,,3.7,10.8,4.8,2.9,1.29,0.44,Zn-dependent protease with chaperone function,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (3 transmembrane spans),,Sputw3181_3963,locus_tag_ci: Locus tag
SputW3181_0545,,4.7,17.6,38.4,3.77,8.26,2.19,putative negative regulator of univalent cation permeability,Regulatory functions,DNA interactions,,Inner Membrane (1 transmembrane span),,Sputw3181_0545,locus_tag_ci: Locus tag
SputW3181_0919,,12.1,0.0,19.2,0.01,1.59,156.24,LysR family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,Sputw3181_0919,locus_tag_ci: Locus tag
SputW3181_1877,,32.6,16.2,15.2,0.5,0.47,0.94,bifunctional transcriptional repressor of amino acid efflux GntR family / aminotransferase,Regulatory functions,DNA interactions,,Cytoplasm,,Sputw3181_1877,locus_tag_ci: Locus tag
SputW3181_2683,,5.6,13.5,17.6,2.42,3.16,1.3,transmembrane transcriptional regulator,Regulatory functions,DNA interactions,,Inner Membrane (1 transmembrane span),,Sputw3181_2683,locus_tag_ci: Locus tag
SputW3181_2286,,31.6,6.8,136.9,0.21,4.33,20.27,inter-alpha-trypsin inhibitor family protein,Regulatory functions,Protein interactions,,Periplasm,,Sputw3181_2286,locus_tag_ci: Locus tag
SputW3181_0373,,7.4,16.2,7.2,2.18,0.97,0.44,GGDEF domain protein,Regulatory functions,Small molecule interactions,,Inner Membrane (1 transmembrane span),Crp,Sputw3181_0373,locus_tag_ci: Locus tag
SputW3181_2158,,7.4,27.0,12.0,3.63,1.61,0.44,bifunctional diguanylate cyclase/phosphodiesterase,Regulatory functions,Small molecule interactions,,Inner Membrane (2 transmembrane spans),,Sputw3181_2158,locus_tag_ci: Locus tag
SputW3181_3359,,14.0,28.4,10.4,2.03,0.75,0.37,diguanylate phosphodiesterase,Regulatory functions,Small molecule interactions,,Inner Membrane (2 transmembrane spans),,Sputw3181_3359,locus_tag_ci: Locus tag
SputW3181_0647,,72.6,182.3,144.1,2.51,1.99,0.79,chemotaxis signal transduction system methyl accepting sensory transducer with PAS sensory domain,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),Crp,Sputw3181_0647,locus_tag_ci: Locus tag
SputW3181_0835,,15.8,40.5,4.0,2.56,0.25,0.1,methyl-accepting chemotaxis sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_0835,locus_tag_ci: Locus tag
SputW3181_1286,,8.4,20.3,16.8,2.42,2.01,0.83,methyl accepting sensory transducer with PAS sensory domain,Signal transduction,Taxis,,Inner Membrane (1 transmembrane span),,Sputw3181_1286,locus_tag_ci: Locus tag
SputW3181_1586,,63.3,186.4,47.2,2.95,0.75,0.25,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (1 transmembrane span),,Sputw3181_1586,locus_tag_ci: Locus tag
SputW3181_1661,,10.2,48.6,6.4,4.75,0.63,0.13,methyl accepting sensory transducer with Cache_2 sensory domain,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_1661,locus_tag_ci: Locus tag
SputW3181_1890,,7.4,17.6,4.8,2.36,0.65,0.27,methyl-accepting chemotaxis protein with Cache_1 sensory domain,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_1890,locus_tag_ci: Locus tag
SputW3181_2182,,7.4,28.4,24.8,3.81,3.33,0.88,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_2182,locus_tag_ci: Locus tag
SputW3181_2790,,7.4,17.6,3.2,2.36,0.43,0.18,methyl-accepting chemotaxis sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_2790,locus_tag_ci: Locus tag
SputW3181_3061,,27.0,54.0,14.4,2.0,0.53,0.27,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),,Sputw3181_3061,locus_tag_ci: Locus tag
SputW3181_3251,,14.9,37.8,14.4,2.54,0.97,0.38,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Inner Membrane (1 transmembrane span),,Sputw3181_3251,locus_tag_ci: Locus tag
SputW3181_3885,,115.4,48.6,51.2,0.42,0.44,1.05,methyl-accepting chemotaxis protein with Cache sensory domain,Signal transduction,Taxis,,Inner Membrane (2 transmembrane spans),HexR,Sputw3181_3885,locus_tag_ci: Locus tag
SputW3181_0101,,71.6,35.1,14.4,0.49,0.2,0.41,two component signal transduction system OmpR family response regulator,Signal transduction,Two-component systems,,Cytoplasm,,Sputw3181_0101,locus_tag_ci: Locus tag
SputW3181_0611,,17.7,60.8,8.8,3.44,0.5,0.14,two component signal transduction system histidine kinase with CHASE and PAS sensory domains,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane spans),Crp,Sputw3181_0611,locus_tag_ci: Locus tag
SputW3181_0612,,26.1,83.7,15.2,3.21,0.58,0.18,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,Crp,Sputw3181_0612,locus_tag_ci: Locus tag
SputW3181_0613,,25.1,78.3,17.6,3.12,0.7,0.22,two component signal transduction system response regulator with diguanylate cyclase/phosphodiesterase acitivity,Signal transduction,Two-component systems,,Cytoplasm,,Sputw3181_0613,locus_tag_ci: Locus tag
SputW3181_0802,,205.6,82.4,56.9,0.4,0.28,0.69,two component signal transduction system response regulator with HD domain,Signal transduction,Two-component systems,,Cytoplasm,,Sputw3181_0802,locus_tag_ci: Locus tag
SputW3181_2287,,16.7,6.8,44.0,0.4,2.63,6.52,two component signal transduction system controlling sortase system response regulator,Signal transduction,Two-component systems,,Cytoplasm,,Sputw3181_2287,locus_tag_ci: Locus tag
SputW3181_2288,,10.2,4.1,18.4,0.4,1.8,4.54,two component signal transduction system controlling sortase system histidine kinase,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane spans),,Sputw3181_2288,locus_tag_ci: Locus tag
SputW3181_1686,,539.7,127.0,113.7,0.24,0.21,0.9,RNA polymerase sigma factor ECF family 11,Transcription,Transcription factors,,Cytoplasm,,Sputw3181_1686,locus_tag_ci: Locus tag
SputW3181_1878,,18.6,2.7,0.0,0.15,0.01,0.05,putative amino acid efflux permease RhtB family,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (6 transmembrane spans),,Sputw3181_1878,locus_tag_ci: Locus tag
SputW3181_3113,,190.7,83.7,104.1,0.44,0.55,1.24,alanine/glycine:cation symporter (AGCS) family protein,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (9 transmembrane spans),,Sputw3181_3113,locus_tag_ci: Locus tag
SputW3181_1650,,69.8,371.4,594.1,5.32,8.51,1.6,putative solute:sodium symporter small subunit,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (2 transmembrane spans),,Sputw3181_1650,locus_tag_ci: Locus tag
SputW3181_1651,,73.5,228.3,586.1,3.11,7.97,2.57,putative solute:sodium symporter large subunit,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (12 transmembrane spans),,Sputw3181_1651,locus_tag_ci: Locus tag
SputW3181_0103,,64.2,12.2,7.2,0.19,0.11,0.59,putative bifunctional autotransporter / extracellular effector,Transport and binding proteins,Porins and secretins,,Outer Membrane & Extracellular,,Sputw3181_0103,locus_tag_ci: Locus tag
SputW3181_1636,,143.3,47.3,37.6,0.33,0.26,0.8,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,,Sputw3181_1636,locus_tag_ci: Locus tag
SputW3181_2584,,739.7,3453.8,6725.9,4.67,9.09,1.95,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,,Sputw3181_2584,locus_tag_ci: Locus tag
SputW3181_3237,,10.2,35.1,9.6,3.43,0.94,0.27,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,,Sputw3181_3237,locus_tag_ci: Locus tag
SputW3181_3577,,25.1,86.4,1.6,3.44,0.06,0.02,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,,Sputw3181_3577,locus_tag_ci: Locus tag
SputW3181_0686,,22.3,2.7,0.0,0.12,0.01,0.05,HAE1 family effllux pump MFP component,Transport and binding proteins,Unknown substrate,,Periplasm,,Sputw3181_0686,locus_tag_ci: Locus tag
