NATL2_09131,PMN2A_RS04405,PMN2A_0295,0.004,1.109***,2.042***,0.011,0.555,0.607,pykF,pyruvate kinase,Pyruvate kinase (EC 2.7.1.40),
NATL2_09141,PMN2A_RS04410,PMN2A_0296,-0.135,-2.081***,-7.491***,-0.054,-0.168,-0.938***,,hypothetical protein,FIG00940686: hypothetical protein,
NATL2_09151,PMN2A_RS04415,PMN2A_0297,0.217,0.249,3.433***,0.105,0.123,0.651,,membrane protein,"Cell division protein YlmG/Ycf19 (putative), YggT family",
NATL2_09161,PMN2A_RS04420,PMN2A_0298,0.713,3.933***,-1.203***,1.015,1.598***,0.174,,SMC-Scp complex subunit ScpB,Predicted transcriptional regulator containing the HTH domain,
NATL2_09171,PMN2A_RS04425,PMN2A_0299,-0.692,-1.251***,-0.332,-0.517,-0.166,-1.684***,ilvA,threonine dehydratase,Threonine dehydratase biosynthetic (EC 4.3.1.19),
NATL2_09181,PMN2A_RS04430,PMN2A_0300,0.06,1.562***,3.31***,0.144,0.901***,2.168***,dxs,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),
NATL2_09191,PMN2A_RS04435,PMN2A_0301,0.254,1.654***,3.648***,0.401,0.799***,2.171***,psaK,photosystem I PsaK protein (subunit X),"photosystem I subunit X (PsaK, PsaK1)",
NATL2_09201,PMN2A_RS04440,PMN2A_0302,-0.888,2.006***,-0.336,-0.63,0.97,2.703***,,hypothetical protein,FIG00941471: hypothetical protein,
NATL2_09211,PMN2A_RS04445,PMN2A_0303,-0.002,-0.427,5.16***,-0.477,0.367,1.888***,,hypothetical protein,FIG00942767: hypothetical protein,
NATL2_09221,PMN2A_RS04450,PMN2A_0304,-0.636,-0.033,1.436***,0.101,1.568***,2.628***,,peroxiredoxin,Alkyl hydroperoxide reductase subunit C-like protein,
NATL2_09231,,PMN2A_1956,-1.402,4.556***,0,-1.073,-1.263,-0.778,,,FIG00943169: hypothetical protein,
NATL2_09241,PMN2A_RS04455,PMN2A_0305,-0.39,1.444***,3.113***,0.192,0.172,3.05***,rpmB,50S ribosomal protein L28,LSU ribosomal protein L28p,
NATL2_09251,PMN2A_RS04460,PMN2A_0306,0.145,-3.595***,-2.32***,0.796,-2.528***,-3.55***,htpG,heat-shock protein Hsp90,Chaperone protein HtpG,
NATL2_09261,PMN2A_RS04465,PMN2A_0307,-0.437,0.363,0.544,-0.312,0.771,-1.523***,hisZ,ATP phosphoribosyltransferase regulatory subunit,ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17),
NATL2_09271,PMN2A_RS04470,PMN2A_0308,0.046,-0.294,-6.306***,0.146,-0.407,-1.819***,suhB,inositol monophosphatase,Inositol-1-monophosphatase (EC 3.1.3.25),
NATL2_09281,PMN2A_RS04480,PMN2A_0309,-0.265,-1.277***,-5.919***,0,0.983,0.887,pstB,phosphate import ATP-binding protein PstB,Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1),
NATL2_09291,PMN2A_RS04485,PMN2A_0310,-0.542,0.608,4.015***,-0.585,-0.044,-0.068,pstA,phosphate ABC transporter permease,Phosphate transport system permease protein PstA (TC 3.A.1.7.1),
NATL2_09301,PMN2A_RS04490,PMN2A_0311,0.479,3.227***,1.618***,0.323,0.871,0.32,pstC,phosphate ABC transporter permease,Phosphate transport system permease protein PstC (TC 3.A.1.7.1),
NATL2_09311,PMN2A_RS04495,PMN2A_0312,0.026,-0.265,-6.504***,0.136,-0.17,-2.187***,dnaK,molecular chaperone DnaK,Chaperone protein DnaK,
NATL2_09331,PMN2A_RS04505,PMN2A_0314,0.933,1.154,1.525***,0.328,1.191,0.284,,hypothetical protein,FIG00940620: hypothetical protein,
NATL2_09341,PMN2A_RS04510,PMN2A_0315,0.707,-0.469,1.478***,0.387,1.874***,1.147,murQ,N-acetylmuramic acid-6-phosphate etherase,N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-),
NATL2_09351,PMN2A_RS04515,PMN2A_0316,0.291,-1.444***,-6.478***,0.536,-0.719,-2.952***,,cyclophilin,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),
NATL2_09361,PMN2A_RS04520,PMN2A_0317,-0.106,2.401***,4.081***,0.318,1.546***,1.91***,ribB,"3,4-dihydroxy-2-butanone 4-phosphate synthase","3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)",
NATL2_09371,PMN2A_RS04525,PMN2A_0318,-0.902,-1.671***,-6.668***,-0.477,-0.887,-2.177***,argC,n-acetyl-gamma-glutamyl-phosphate reductase,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),
NATL2_09381,PMN2A_RS04530,PMN2A_0319,-0.97,0.537,-5.291***,1.859,0.044,-1.99***,purN,phosphoribosylglycinamide formyltransferase,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2),
NATL2_09391,PMN2A_RS04535,PMN2A_0320,0.48,0.063,2.562***,0.68,1.184***,0.175,pgi,glucose-6-phosphate isomerase,Glucose-6-phosphate isomerase (EC 5.3.1.9),
NATL2_09401,PMN2A_RS04540,PMN2A_0321,-0.388,-0.264,3.549***,-0.345,-0.356,1.608***,leuS,leucine--tRNA ligase,Leucyl-tRNA synthetase (EC 6.1.1.4),
NATL2_09411,PMN2A_RS04545,PMN2A_0322,-0.914,-0.779,-6.469***,-0.821,0.629,0.375,dapF,diaminopimelate epimerase,Diaminopimelate epimerase (EC 5.1.1.7),
NATL2_09421,PMN2A_RS04550,PMN2A_0323,-0.446,-1.48***,1.96***,-0.382,0.009,-1.971***,,aminotransferase V,Cysteine desulfurase (EC 2.8.1.7),
NATL2_09431,PMN2A_RS04555,PMN2A_0324,-1.109,-4.924***,-7.467***,-0.952,-1.283***,-2.578***,,hypothetical protein,All3116 protein,
NATL2_09441,PMN2A_RS04560,PMN2A_0325,-0.961,-1.838***,-6.347***,-0.066,-0.571,-2.578***,dacB,D-alanyl-D-alanine carboxypeptidase,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),
NATL2_09461,PMN2A_RS04570,PMN2A_0327,-0.392,-0.149,-6.571***,-0.007,0.019,1.056***,,diguanylate cyclase,DIM6/NTAB family protein,
NATL2_09471,PMN2A_RS04575,PMN2A_0328,-0.402,1.108***,2.691***,-0.339,0.786,1.08***,uvrC,UvrABC system protein C,Excinuclease ABC subunit C,
NATL2_09481,PMN2A_RS04580,PMN2A_0329,0.643,3.232***,-4.637***,0.761,1.019,0.119,,membrane protein,"Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)",
NATL2_09501,PMN2A_RS04590,PMN2A_0331,-0.339,-1.51***,0.683,-0.47,0.116,-0.521,cobN,cobaltochelatase,CobN component of cobalt chelatase involved in B12 biosynthesis,
NATL2_09511,PMN2A_RS04595,PMN2A_0332,-0.515,-1.383***,1.035,-0.381,-0.327,-1.423***,ilvE,branched-chain amino acid aminotransferase,Branched-chain amino acid aminotransferase (EC 2.6.1.42),
NATL2_09531,PMN2A_RS04605,PMN2A_0334,-0.248,2.299***,-4.327***,-0.006,0.308,1.5***,,hypothetical protein,FIG00940369: hypothetical protein,
NATL2_09551,PMN2A_RS04615,PMN2A_0335,0.709,1.677***,-5.445***,0.137,1.908***,0.061,apa2,ATP adenylyltransferase,possible ATP adenylyltransferase,
NATL2_09561,PMN2A_RS04620,PMN2A_0336,-0.511,0,0,0.441,-2.307***,-1.898***,,hypothetical protein,FIG00941006: hypothetical protein,
NATL2_09571,PMN2A_RS04625,PMN2A_0337,0.034,-1.752***,0.585,-0.063,0.393,-0.262,,molecular chaperone DnaJ,possible DnaJ domain,
NATL2_09581,PMN2A_RS04630,PMN2A_0338,-1.087***,0.113,2.112***,-0.833***,0.022,1.143***,pheT,phenylalanine--tRNA ligase subunit beta,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),
NATL2_09591,PMN2A_RS04635,PMN2A_0339,-0.813,1.732***,3.173***,-0.433,-0.994,0.823,rpmG,50S ribosomal protein L33,LSU ribosomal protein L33p,
NATL2_09601,PMN2A_RS04640,PMN2A_0340,-0.839,-0.946***,2.845***,-0.859,-0.845***,1.603***,rpsR,30S ribosomal protein S18,SSU ribosomal protein S18p,
NATL2_09611,PMN2A_RS04645,PMN2A_0341,-0.706,-0.639,1.866***,-0.509,0.36,1.563***,rnb,ribonuclease II,Exoribonuclease II (EC 3.1.13.1),
NATL2_09621,PMN2A_RS04650,PMN2A_0342,-0.33,-0.573,-5.61***,0.255,0.422,0.569,metG,methionyl-tRNA synthetase,Methionyl-tRNA synthetase (EC 6.1.1.10),
NATL2_09631,PMN2A_RS04655,PMN2A_0343,-0.055,1.937***,-6.204***,0.337,1.44,1.89***,,chromosome segregation protein SMC,possible SMC domain N terminal domain,
NATL2_09641,PMN2A_RS04660,PMN2A_0344,-0.609,2.317***,-4.899***,-0.108,1.079,1.412,,hypothetical protein,FIG00940579: hypothetical protein,
NATL2_09651,PMN2A_RS04665,PMN2A_0345,0.585,1.816***,0.869,0.721,1.161,0.034,cobU,adenosylcobinamide kinase,Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62),
NATL2_09661,PMN2A_RS04670,PMN2A_0346,0.653,0.58,-5.16***,0.861,2.257***,2.276***,cspR,rRNA methyltransferase,tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-),
NATL2_09671,PMN2A_RS04675,PMN2A_1958,0.181,-5.186***,0,0.92,1.282***,2.31***,,hypothetical protein,hypothetical protein,
NATL2_09681,PMN2A_RS04680,PMN2A_1959,3.03***,0.108,3.74***,3.178***,1.295,4.354***,,hypothetical protein,FIG00944170: hypothetical protein,
NATL2_09691,PMN2A_RS04685,PMN2A_1960,-1.158,-1.029,5.629***,-0.388,-2.004***,2.778***,,hypothetical protein,FIG00941186: hypothetical protein,
NATL2_09701,PMN2A_RS04690,PMN2A_1961,0.482,-0.463,1.949***,0.488,0.318,1.011,,hypothetical protein,FIG00943770: hypothetical protein,
NATL2_09711,PMN2A_RS04695,PMN2A_0347,0.845,-4.247***,-4.049***,0.567,0.873,-1.194,,hypothetical protein,hypothetical protein,
NATL2_09721,PMN2A_RS04700,PMN2A_0348,1.301,5.823***,5.804***,2.883,1.798,5.535***,,hypothetical protein,FIG00942652: hypothetical protein,
NATL2_09731,,PMN2A_1962,-0.348,-7.469***,-6.289***,-0.909,-0.225,-3.964***,,,FIG00940230: hypothetical protein,
NATL2_09741,,PMN2A_1963,-0.49,-2.479***,0,-0.063,-1.283***,0.246,,,FIG00942296: hypothetical protein,
NATL2_09751,PMN2A_RS04705,PMN2A_0349,0.707,1.168,-5.964***,1.129,1.896***,2.894***,,hypothetical protein,FIG00940167: hypothetical protein,
NATL2_09761,,PMN2A_1964,0.969,2.503***,5.093***,0.608,1.292***,3.399***,,,FIG00942650: hypothetical protein,
NATL2_09771,PMN2A_RS04710,PMN2A_0350,1.055,4.158***,4.608***,1.732,2.662***,2.259***,,hypothetical protein,FIG00943774: hypothetical protein,
NATL2_09791,PMN2A_RS04720,PMN2A_0351,-0.062,-2.391***,-4.155***,-0.419,0.355,0.504,,hypothetical protein,FIG00941032: hypothetical protein,
NATL2_09801,PMN2A_RS04725,PMN2A_0352,-0.482***,-0.657***,-0.124,-0.518***,-0.708***,0.316***,ahpC,peroxiredoxin,Alkyl hydroperoxide reductase subunit C-like protein,
NATL2_09811,PMN2A_RS04730,PMN2A_0353,-0.748,2.021***,-5.443***,-0.492,-0.266,-1.279***,ftsH,cell division protein FtsH,Cell division protein FtsH (EC 3.4.24.-),
NATL2_09821,PMN2A_RS04735,PMN2A_0354,-0.032,2.4***,-3.381***,0.203,0.687,2.328***,rpmF,50S ribosomal protein L32,LSU ribosomal protein L32p,
NATL2_09831,PMN2A_RS04740,PMN2A_0355,-0.901,0.104,-3.604***,-1.361,-1.201,-0.713,,hypothetical protein,FIG00940874: hypothetical protein,
NATL2_09841,PMN2A_RS04745,PMN2A_0356,0.1,-2.293***,-5.749***,-0.173,-0.69,-1.725***,,haloacid dehalogenase,Hypothetical protein CbbY,
NATL2_09851,PMN2A_RS04750,PMN2A_0357,-0.536,-0.655,-6.331***,-0.53,0.364,-0.956***,recJ,exonuclease RecJ,Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-),
NATL2_09871,PMN2A_RS04755,PMN2A_0358,-0.06,-6.02***,-3.837***,-0.249,-0.081,0.291,,hypothetical protein,FIG00940821: hypothetical protein,
NATL2_09891,PMN2A_RS04765,PMN2A_0360,-0.73,-1.179***,-1.229***,-0.294,-0.101,-0.864***,vacB,RNA-binding protein S1,3'-to-5' exoribonuclease RNase R,
NATL2_09901,PMN2A_RS04770,PMN2A_0361,-0.619,-2.411***,1.001,-0.458,0.108,-0.512,,amino acid decarboxylase,3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-),
NATL2_09911,PMN2A_RS04775,PMN2A_0362,0.718,0.467,-6.356***,0.658,1.734***,1.432***,,hypothetical protein,"possible Uncharacterized secreted proteins, Ya",
NATL2_09931,PMN2A_RS04785,PMN2A_0364,-1.617***,1.635***,-4.82***,-1.015,-1.565***,-1.651***,tldD,hypothetical protein,"TldD protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)",
NATL2_09941,PMN2A_RS04790,PMN2A_0365,-0.978,1.928***,1.977***,-0.222,-0.939,-0.89***,pmbA,modulator of DNA gyrase,"TldE/PmbA protein, part of proposed TldE/TldD proteolytic complex (PMID 12029038)",
NATL2_09951,PMN2A_RS04795,PMN2A_0366,0.004,-0.64,-3.553***,0.177,0.44,1.083***,fmt,methionyl-tRNA formyltransferase,Methionyl-tRNA formyltransferase (EC 2.1.2.9),
NATL2_09961,PMN2A_RS04800,PMN2A_0367,0.123,-1.94***,0,0.181,0.393,0.06,terC,membrane protein,Conserved membrane protein TerC,
NATL2_09971,PMN2A_RS04805,PMN2A_0368,-0.805,0.485,1.557***,-0.636,-0.085,-0.603,,hypothetical protein,FIG00941191: hypothetical protein,
NATL2_09981,PMN2A_RS04810,PMN2A_0369,-0.08,0.225,2.103***,0.277,0.937,1.78***,mfd,transcription-repair coupling factor,Transcription-repair coupling factor,
NATL2_09991,PMN2A_RS04815,PMN2A_0370,-2.078,-3.666***,0,-0.822,-3.843***,1.781***,,hypothetical protein,FIG01276757: hypothetical protein,
NATL2_10001,PMN2A_RS04820,PMN2A_0371,-0.054,-0.699,-6.389***,0.253,0.991,-0.149,,hypothetical protein,FIG00944261: hypothetical protein,
NATL2_10011,PMN2A_RS04825,PMN2A_0372,-0.13,-6.994***,-5.025***,-0.169,-1.541***,-1.909***,,SAM-dependent methyltransferase,FIG01152565: hypothetical protein,
NATL2_10021,PMN2A_RS04830,PMN2A_0373,-0.711,-2.287***,1.553***,-0.753,-2.182***,-1.969***,,hypothetical protein,FIG00941009: hypothetical protein,
NATL2_10031,PMN2A_RS04835,PMN2A_0374,-0.525,-7.357***,-7.103***,-0.273,-3.069***,-2.047***,,hypothetical protein,FIG00940097: hypothetical protein,
NATL2_10041,PMN2A_RS04840,PMN2A_0375,0.147,-2.066***,-6.838***,0.733,1.671***,0.043,apt,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase (EC 2.4.2.7),
NATL2_10045,PMN2A_RS04845,PMN2A_0376,-0.967,-5.882***,0,-1.249,0.47,2.995***,,hypothetical protein,FIG00940800: hypothetical protein,
NATL2_10051,PMN2A_RS04850,PMN2A_0377,-0.498,1.167,1.603***,0.006,0.415,2.007***,ubiH,2-polyprenyl-6-methoxyphenol hydroxylase,2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-),
NATL2_10061,PMN2A_RS04855,PMN2A_0378,-0.786,-4.02***,-7.16***,-0.318,-0.849,-1.262***,,hypothetical protein,FIG00940478: hypothetical protein,
NATL2_10071,PMN2A_RS04860,PMN2A_0379,-0.095,0.112,-7.366***,0.23,-0.237,-0.41,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Dihydrodipicolinate reductase (EC 1.3.1.26),
NATL2_10081,PMN2A_RS04865,PMN2A_0380,-0.603,-0.234,0.06,-0.746,-1.333***,-1.275***,chlH,magnesium chelatase,Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1),
NATL2_10091,PMN2A_RS04870,PMN2A_0381,-0.174,1.157,2.611***,-0.105,0.731,-0.106,folP,dihydropteroate synthase,Dihydropteroate synthase (EC 2.5.1.15),
NATL2_10101,PMN2A_RS04875,PMN2A_0382,0.204,2.34***,1.694***,0.235,0.971***,1.074***,tpiA,triosephosphate isomerase,Triosephosphate isomerase (EC 5.3.1.1),
NATL2_10111,PMN2A_RS04880,PMN2A_0383,0.359,-1.741***,-0.158,0.541,0.348,0.383,,RNA-binding protein,FIG002958: hypothetical protein,
NATL2_10121,PMN2A_RS04885,PMN2A_0384,-0.304,-0.91,3.818***,-0.481,0.57,0.653,,multidrug ABC transporter,"ABC transporter, possibly multidrug efflux",
NATL2_10131,PMN2A_RS04890,PMN2A_0385,0.153,0.888***,-6.271***,0.456,0.267,0.58,,hypothetical protein,FIG00940463: hypothetical protein,
NATL2_10141,PMN2A_RS04895,PMN2A_0386,0.447,1.998***,3.169***,1.284***,3.925***,5.21***,,hypothetical protein,FIG00944614: hypothetical protein,
NATL2_10151,PMN2A_RS04900,PMN2A_0387,0.549,5.383***,5.057***,0.336,3.463***,4.07***,,hypothetical protein,FIG00942733: hypothetical protein,
NATL2_10161,PMN2A_RS04905,PMN2A_0388,2.489***,5.483***,4.887***,2.04***,4.86***,3.47***,,uridine kinase,ATP/GTP-binding site motif A,
NATL2_10171,,PMN2A_1967,-1.632***,-4.893***,-5.354***,-1.075,-2.542***,-1.502***,,,FIG00940653: hypothetical protein,
NATL2_10181,PMN2A_RS04910,PMN2A_1968,-1.582,-3.325***,-3.572***,-1.827***,-3.413***,-1.654***,,hypothetical protein,FIG00942405: hypothetical protein,
NATL2_10191,PMN2A_RS04915,PMN2A_0389,0.174,0.424,-5.382***,-0.279,-0.066,0.773,,hypothetical protein,FIG00942244: hypothetical protein,
NATL2_10201,PMN2A_RS04920,PMN2A_1969,2.618***,3.117***,1.951***,2.315***,4.018***,1.799***,,hypothetical protein,FIG00940311: hypothetical protein,
NATL2_10211,PMN2A_RS04925,PMN2A_0390,-2.423***,-2.842***,3.103***,-1.517,-1.686***,3.151***,,NADH-ubiquinone oxidoreductase subunit 6,NADPH-dependent reductase,
NATL2_10221,,PMN2A_1970,0.332,4.985***,-4.219***,0.395,1.807,-1.826,,,FIG00941731: hypothetical protein,
NATL2_10231,PMN2A_RS04930,PMN2A_1971,3.464***,-4.723***,-3.972***,1.608,2.342,-2.617***,,hypothetical protein,FIG00940645: hypothetical protein,
NATL2_10251,,PMN2A_1973,0.674,-1.836***,-5.471***,0.307,-0.679,-1.406***,,,FIG00944183: hypothetical protein,
NATL2_10255,PMN2A_RS04935,PMN2A_0391,-0.418,-5.182***,-6.437***,-0.82,-5.147***,-6.748***,,hypothetical protein,FIG00942226: hypothetical protein,
NATL2_10281,PMN2A_RS04940,PMN2A_0392,-1.083,3.431***,-5.023***,-1.166,-2.082***,-2.453***,,hypothetical protein,FIG00940153: hypothetical protein,
NATL2_10291,PMN2A_RS04945,PMN2A_0393,-0.065,-2.703***,-6.44***,-0.207,0.378,1.353***,,fatty acid desaturase,"Fatty acid desaturase, type 2 (EC 1.14.99.-)",
NATL2_10301,PMN2A_RS04950,PMN2A_1975,-0.639,-6.097***,-3.61***,0.139,-0.66,-2.395***,,hypothetical protein,hypothetical protein,
NATL2_10311,PMN2A_RS04955,PMN2A_0394,0.258,-1.95***,-1.257***,0.436,1.106,1.127***,,hypothetical protein,hypothetical protein,
NATL2_10321,PMN2A_RS04960,PMN2A_0395,-0.376,-3.318***,0,-0.533,-0.732,1.95***,,short-chain dehydrogenase,"Cell-cell signaling protein, C-factor",
NATL2_10331,PMN2A_RS04965,PMN2A_0396,-0.326,-1.488***,2.162***,0.578,-0.679,0.554,,hypothetical protein,FIG00940531: hypothetical protein,
NATL2_10341,PMN2A_RS04970,PMN2A_0397,-0.334,-0.365,-7.139***,-0.135,0.278,0.445,,hypothetical protein,FIG00942057: hypothetical protein,
NATL2_10351,PMN2A_RS04975,PMN2A_0398,-0.266,-0.299,-5.936***,0.35,0.267,-1.13,,hypothetical protein,FIG00942206: hypothetical protein,
NATL2_10361,PMN2A_RS04980,PMN2A_0399,-0.065,1.306,-3.653***,0.216,0.305,-1.926***,,Nif11-like leader peptide family natural product precursor,hypothetical protein,
NATL2_10371,PMN2A_RS04985,PMN2A_0400,-0.191,4.07***,-4.996***,-0.511,0.601,-1.603,,hypothetical protein,FIG00941086: hypothetical protein,
NATL2_10381,PMN2A_RS04990,PMN2A_0401,0.07,-2.321***,-4.891***,0.49,0.859,-2.474***,,hypothetical protein,FIG00943190: hypothetical protein,
NATL2_10391,PMN2A_RS04995,PMN2A_1976,0.332,-0.217,-4.363***,0.409,0.549,-0.21,,hypothetical protein,FIG00942412: hypothetical protein,
NATL2_10401,PMN2A_RS05000,PMN2A_0402,-0.298,1.941***,-4.131***,-0.211,-0.257,0.454,,hypothetical protein,hypothetical protein,
NATL2_10411,PMN2A_RS05005,PMN2A_0403,-0.113,0.125,-6.363***,0.131,0.844***,-0.656,,VIC family potassium channel protein,"putative potassium channel, VIC family",
NATL2_10421,PMN2A_RS05010,PMN2A_0404,-0.203,-2.842***,-4.026***,1.565,-2.754***,1.79***,,hypothetical protein,FIG00943812: hypothetical protein,
NATL2_10431,,PMN2A_0405,-0.702,-9.393***,-2.785***,0.956,0.844,1.096,,,FIG00942327: hypothetical protein,
NATL2_10441,PMN2A_RS05015,PMN2A_0406,0.417,0.594,-3.423***,0,-0.629,1.835,,membrane protein,FIG00940797: hypothetical protein,
NATL2_10451,,PMN2A_1977,-0.016,-5.467***,-6.4***,0.333,0.131,-1.384,,,FIG00941452: hypothetical protein,
NATL2_10461,PMN2A_RS05020,PMN2A_0407,0.934,0.871,-5.808***,0.206,-0.81,-3.471***,,hypothetical protein,FIG00940976: hypothetical protein,
NATL2_10471,PMN2A_RS05025,PMN2A_0408,-0.554,-6.731***,-7.397***,-0.728,1.202,-2.255***,,hypothetical protein,FIG00942360: hypothetical protein,
NATL2_10481,PMN2A_RS05030,PMN2A_0409,0.149,-0.407,-6.431***,0.424,0.608,-1.756***,,hypothetical protein,FIG00941379: hypothetical protein,
NATL2_10491,PMN2A_RS05035,PMN2A_1978,-2.707***,-8.17***,0,-0.881,-3.294***,-1.404,,hypothetical protein,hypothetical protein,
NATL2_10501,PMN2A_RS05040,PMN2A_0410,1.052,1.19***,2.496***,0.425,1.19***,1.546***,,hypothetical protein,FIG00941148: hypothetical protein,
NATL2_10521,PMN2A_RS05045,PMN2A_1980,-1.647,-5.697***,0,-2.254,-1.056,-1.591,,hypothetical protein,FIG00942498: hypothetical protein,
NATL2_10531,PMN2A_RS05050,PMN2A_0411,-0.542,0.92***,-1.834***,-0.327,-0.262,-3.723***,,transcriptional regulator,AbrB family transciptional regulator,
NATL2_10535,,,-0.382,1.291,-4.972***,0.561,0.104,-0.611,,,FIG00943144: hypothetical protein,
NATL2_10541,PMN2A_RS05060,PMN2A_1981,-0.017,-1.68***,-4.676***,0.112,-0.843,-1.132***,,hypothetical protein,FIG00943999: hypothetical protein,
NATL2_10551,PMN2A_RS05065,PMN2A_0413,-0.792,-2.085***,-2.573***,-0.331,-0.038,-2.013***,,NAD-dependent DNA ligase,DNA ligase (EC 6.5.1.2),
NATL2_10571,PMN2A_RS05070,PMN2A_0414,1.014,3.882***,-4.817***,2.016,1.913***,-3.464***,,hypothetical protein,FIG00942343: hypothetical protein,
NATL2_10581,PMN2A_RS05075,PMN2A_0415,0.022,0.184,-7.232***,0.638,-1.609***,-4.179***,,hypothetical protein,hypothetical protein,
NATL2_10591,PMN2A_RS05080,PMN2A_0416,-1.317***,-6.368***,-5.903***,-0.568,-0.612,-4.992***,,hypothetical protein,FIG00942237: hypothetical protein,
NATL2_10601,PMN2A_RS05085,PMN2A_0417,0.47,-2.304***,5.982***,0.611,-1.482***,6.507***,,high light inducible protein,possible high light inducible protein,
NATL2_10611,PMN2A_RS05090,PMN2A_0418,0.77,-0.476,6.123***,0.116,-0.507,6.656***,,high light inducible protein,FIG00940228: hypothetical protein,
NATL2_10621,PMN2A_RS05095,PMN2A_0419,1.452***,-0.057,6.411***,0.283,-0.784,5.855***,,high light inducible protein,possible high light inducible protein,
NATL2_10631,PMN2A_RS05100,PMN2A_1983,1.327***,0.198,4.247***,1.305,-2.371***,3.162***,,high light inducible protein,hypothetical protein,
NATL2_10651,PMN2A_RS05110,PMN2A_0421,-0.078,0.261,-5.78***,-0.043,0.576,0.676,,hypothetical protein,FIG01149195: hypothetical protein,
NATL2_10661,PMN2A_RS05115,PMN2A_0422,-0.283,-5.557***,-4.697***,-1.712,-1.5***,-1.008,,SAM-dependent methyltransferase,SAM-dependent methyltransferases,
NATL2_10671,PMN2A_RS05120,PMN2A_0423,-0.596,-3.487***,-6.353***,-0.348,-1.194,0.115,,hypothetical protein,FIG00940612: hypothetical protein,
NATL2_10681,PMN2A_RS05125,PMN2A_0424,0.67,-4.552***,-5.141***,1.726,-0.048,-0.711,,epimerase,DNA ligase (EC 6.5.1.2),
NATL2_10691,,PMN2A_1984,-0.3,0,-0.528,0.245,0.236,-2.628***,,,hypothetical protein,
NATL2_10701,PMN2A_RS05130,PMN2A_0425,-0.066,-5.882***,-6.799***,-0.269,-0.378,-2.114***,,hypothetical protein,FIG00941938: hypothetical protein,
NATL2_10711,,PMN2A_1985,-0.073,1.294,-4.047***,-0.133,0.419,1.457,,,hypothetical protein,
NATL2_10721,PMN2A_RS05135,PMN2A_0426,0.851,-2.601***,0.868,1.215,1.244,0.673,,hypothetical protein,FIG00941936: hypothetical protein,
NATL2_10731,,PMN2A_1986,1.502,0.354,-5.202***,2.186***,1.268***,-0.149,,,FIG00940992: hypothetical protein,
NATL2_10741,,PMN2A_1987,0.775,0,-5.831***,0.369,0.586,-1.99***,,,FIG00942591: hypothetical protein,
NATL2_10751,,PMN2A_1988,3.368***,-1.278,7.196***,0.648,1.232,0.479,,,FIG00943961: hypothetical protein,
NATL2_10761,PMN2A_RS05140,PMN2A_1989,3.386***,0,0,2.22,1.491,6.207***,,hypothetical protein,hypothetical protein,
NATL2_10771,PMN2A_RS05145,PMN2A_0427,1.099,-2.976***,-4.396***,1.178,1.482,1.183,,hypothetical protein,FIG00942139: hypothetical protein,
NATL2_10781,PMN2A_RS05150,PMN2A_0428,1.286,-5.174***,3.356***,1.334,0.581,-1.767***,,hypothetical protein,FIG00942946: hypothetical protein,
NATL2_10791,PMN2A_RS05155,PMN2A_0429,-2.254***,-4.521***,-3.922***,-1.629***,-3.781***,-0.876,,plastoquinol terminal oxidase,hypothetical protein,
NATL2_10801,,PMN2A_0430,1.609,-0.396,4.052***,1.575,-1.179,5.061***,,,hypothetical protein,
NATL2_10811,PMN2A_RS05160,PMN2A_0431,-0.14,-6.434***,-4.524***,0.714,-0.352,-0.675,,hypothetical protein,FIG00941176: hypothetical protein,
NATL2_10821,PMN2A_RS05165,PMN2A_0432,2.325***,-0.293,3.176***,2.383***,0.912,3.106***,,hypothetical protein,FIG00940284: hypothetical protein,
NATL2_10841,,PMN2A_0433,-1.141,-0.87,4.18***,-1.122,-2.209***,2.81***,,,FIG00940767: hypothetical protein,
NATL2_10851,,,-1.69,-3.916***,0,-1.172,-3.268***,0.145,,,high light inducible protein hli11,
NATL2_10861,,PMN2A_1992,-3.003***,-3.6***,0,-1.763,-7.021***,1.249,,,hypothetical protein,
