RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster,resolved_locus_tag,resolution_method
2756,MIT1002_2738 ,contig00030_32462_33787,"Peptidase, M23/M37 family",Y,,coculture_LD,MIT1002_03152,tier1:Locus ID
2761,MIT1002_2744 ,contig00030_39947_41068,xenobiotic reductase B,Y,,coculture_LD,MIT1002_03157,tier1:Locus ID
2771,MIT1002_2754 ,contig00030_50696_49323,Fumarate hydratase class II (EC 4.2.1.2),Y,,coculture_LD,MIT1002_03167,tier1:Locus ID
2772,MIT1002_2755 ,contig00030_51188_50850,hypothetical protein,Y,,coculture_LD,MIT1002_03168,tier1:Locus ID
2773,MIT1002_2756 ,contig00030_51379_51828,Azurin,Y,,coculture_LD,MIT1002_03169,tier1:Locus ID
2774,MIT1002_2757 ,contig00030_51905_53140,"Predicted manganese transporter, 11 TMS",Y,,coculture_LD,MIT1002_03170,tier1:Locus ID
2778,MIT1002_2761 ,contig00030_56316_56507,hypothetical protein,Y,,coculture_LD,MIT1002_03174,tier1:Locus ID
2801,MIT1002_2786 ,contig00031_21391_22401,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD,MIT1002_03255,tier1:Locus ID
2806,MIT1002_2790 ,contig00031_28209_27049,transport protein,Y,,coculture_LD,MIT1002_03251,tier1:Locus ID
2808,MIT1002_2791 ,contig00031_28868_29956,Glucose-fructose oxidoreductase,Y,,coculture_LD,MIT1002_03250,tier1:Locus ID
2809,MIT1002_2792 ,contig00031_31114_30041,hypothetical protein,Y,,coculture_LD,MIT1002_03249,tier1:Locus ID
2821,MIT1002_2804 ,contig00031_43274_43393,hypothetical protein,Y,,coculture_LD,,unresolved
2822,MIT1002_2805 ,contig00031_43648_44280,Cobalt-zinc-cadmium resistance protein,Y,,coculture_LD,MIT1002_03237,tier1:Locus ID
2823,MIT1002_2806 ,contig00031_44484_45293,PROBABLE INTEGRAL MEMBRANE PROTEIN,Y,,coculture_LD,MIT1002_03236,tier1:Locus ID
2825,MIT1002_2808 ,contig00031_46477_47772,Mobile element protein,Y,,coculture_LD,MIT1002_03233,tier1:Locus ID
2839,MIT1002_2823 ,contig00032_5818_6168,hypothetical protein,Y,,coculture_LD,MIT1002_02120,tier1:Locus ID
2843,MIT1002_2827 ,contig00032_9501_7870,Ferredoxin-dependent glutamate synthase (EC 1.4.7.1),Y,,coculture_LD,MIT1002_02124,tier1:Locus ID
2848,MIT1002_2832 ,contig00032_13324_14757,Cytochrome c oxidase subunit CcoN (EC 1.9.3.1),Y,,coculture_LD,MIT1002_02129,tier1:Locus ID
2869,MIT1002_2852 ,contig00032_33688_31871,Excinuclease ABC subunit C,Y,,coculture_LD,MIT1002_02153,tier1:Locus ID
2873,MIT1002_2856 ,contig00032_37834_37082,Conserved domain protein,Y,,coculture_LD,,unresolved
2877,MIT1002_2859 ,contig00032_42358_41909,"Membrane protein, distant similarity to thiosulphate:quinone oxidoreductase DoxD",Y,,coculture_LD,MIT1002_02163,tier1:Locus ID
2885,MIT1002_2867 ,contig00032_47998_48435,hypothetical protein,Y,,coculture_LD,MIT1002_02172,tier1:Locus ID
2888,MIT1002_2870 ,contig00033_1380_205,Putative aminotransferase,Y,,coculture_LD,MIT1002_03179,tier1:Locus ID
2890,MIT1002_2872 ,contig00033_4215_2383,GTP-binding protein TypA/BipA,Y,,coculture_LD,MIT1002_03181,tier1:Locus ID
2897,MIT1002_2879 ,contig00033_10972_11697,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),Y,,coculture_LD,MIT1002_03188,tier1:Locus ID
2910,MIT1002_2892 ,contig00033_26559_28634,"Outer membrane receptor proteins, mostly Fe transport",Y,,coculture_LD,MIT1002_03201,tier1:Locus ID
2966,MIT1002_2949 ,contig00034_35196_36077,"protein of unknown function, Spy-related",Y,,coculture_LD,MIT1002_00476,tier1:Locus ID
2975,MIT1002_2958 ,contig00034_42188_43099,Ornithine carbamoyltransferase (EC 2.1.3.3),Y,,coculture_LD,MIT1002_00469,tier1:Locus ID
2979,MIT1002_2962 ,contig00034_47378_47250,hypothetical protein,Y,,coculture_LD,MIT1002_00465,tier1:Locus ID
2982,MIT1002_2964 ,contig00034_48642_48385,FIG00952173: hypothetical protein,Y,,coculture_LD,MIT1002_00463,tier1:Locus ID
2995,MIT1002_2977 ,contig00035_10741_9467,Na+/H+ antiporter NhaA type,Y,,coculture_LD,MIT1002_00520,tier1:Locus ID
2999,MIT1002_2981 ,contig00035_13582_14055,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),Y,,coculture_LD,MIT1002_00525,tier1:Locus ID
3008,MIT1002_2990 ,contig00035_23894_25300,Aldehyde dehydrogenase (EC 1.2.1.3),Y,,coculture_LD,MIT1002_00534,tier1:Locus ID
3019,MIT1002_3001 ,contig00035_36552_37628,Alanine racemase (EC 5.1.1.1),Y,,coculture_LD,MIT1002_00544,tier1:Locus ID
3022,MIT1002_3004 ,contig00035_39313_39002,hypothetical protein,Y,,coculture_LD,MIT1002_00546,tier1:Locus ID
3025,MIT1002_3007 ,contig00035_40440_41558,hypothetical protein,Y,,coculture_LD,MIT1002_00549,tier1:Locus ID
3026,MIT1002_3008 ,contig00035_41578_42375,"probable ABC transporter, periplasmic substrate-binding",Y,,coculture_LD,MIT1002_00550,tier1:Locus ID
3027,MIT1002_3009 ,contig00035_42759_43955,FIG01200038: hypothetical protein,Y,,coculture_LD,MIT1002_00551,tier1:Locus ID
3035,MIT1002_3017 ,contig00035_49104_48670,TonB family protein,Y,,coculture_LD,MIT1002_00559,tier1:Locus ID
3058,MIT1002_3041 ,contig00036_27638_26595,Rod shape-determining protein MreB,Y,,coculture_LD,MIT1002_00220,tier1:Locus ID
3105,MIT1002_3090 ,contig00037_33576_32377,Polysaccharide deacetylase family protein,Y,,coculture_LD,MIT1002_04024,tier1:Locus ID
3118,MIT1002_3103 ,contig00037_49009_46661,Transcription accessory protein (S1 RNA-binding domain),Y,,coculture_LD,MIT1002_04012,tier1:Locus ID
3121,MIT1002_3106 ,contig00037_49866_50117,hypothetical protein,Y,,coculture_LD,MIT1002_04010,tier1:Locus ID
3156,MIT1002_3143 ,contig00038_43960_41264,FIG01125695: hypothetical protein,Y,,coculture_LD,MIT1002_03308,tier1:Locus ID
3167,MIT1002_3156 ,contig00039_7850_9181,Xaa-Pro dipeptidase PepQ (EC 3.4.13.9),Y,,coculture_LD,MIT1002_00577,tier1:Locus ID
3168,MIT1002_3157 ,contig00039_9462_10178,ZIP zinc transporter family protein,Y,,coculture_LD,MIT1002_00578,tier1:Locus ID
3225,MIT1002_3212 ,contig00040_25175_26992,Sodium/hydrogen exchanger family protein,Y,,coculture_LD,MIT1002_00396,tier1:Locus ID
3241,MIT1002_3228 ,contig00040_40583_37866,Aconitate hydratase (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99),Y,,coculture_LD,MIT1002_00380,tier1:Locus ID
3260,MIT1002_3247 ,contig00041_12731_13366,glutathione S-transferase-like protein,Y,,coculture_LD,MIT1002_02102,tier1:Locus ID
3280,MIT1002_3267 ,contig00041_35141_35254,hypothetical protein,Y,,coculture_LD,MIT1002_02081,tier1:Locus ID
3287,MIT1002_3273 ,contig00041_41879_40575,predicted membrane protein,Y,,coculture_LD,MIT1002_02075,tier1:Locus ID
3293,MIT1002_3280 ,contig00042_5996_7027,"Transcriptional regulator of maltose utilization, LacI family",Y,,coculture_LD,MIT1002_01963,tier1:Locus ID
3300,MIT1002_3287 ,contig00042_17648_16788,hypothetical protein,Y,,coculture_LD,MIT1002_01956,tier1:Locus ID
3315,MIT1002_3301 ,contig00042_42371_42793,hypothetical protein,Y,,coculture_LD,MIT1002_01942,tier1:Locus ID
3326,MIT1002_3312 ,contig00043_10027_10974,conserved protein of unknown function,Y,,coculture_LD,MIT1002_02650,tier1:Locus ID
3328,MIT1002_3314 ,contig00043_11820_13742,Chaperone protein HtpG,Y,,coculture_LD,MIT1002_02648,tier1:Locus ID
3336,MIT1002_3322 ,contig00043_22980_23825,putative transporter (formate/nitrite transporter family) protein,Y,,coculture_LD,MIT1002_02641,tier1:Locus ID
3337,MIT1002_3323 ,contig00043_23917_24777,IroE protein,Y,,coculture_LD,MIT1002_02640,tier1:Locus ID
3342,MIT1002_3328 ,contig00043_27709_27080,Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-),Y,,coculture_LD,MIT1002_02636,tier1:Locus ID
3347,MIT1002_3333 ,contig00043_32544_32714,hypothetical protein,Y,,coculture_LD,MIT1002_02630,tier1:Locus ID
3350,MIT1002_3336 ,contig00043_33972_33400,putative lipoprotein,Y,,coculture_LD,MIT1002_02627,tier1:Locus ID
3351,MIT1002_3337 ,contig00043_34398_34153,hypothetical protein,Y,,coculture_LD,MIT1002_02626,tier1:Locus ID
3352,MIT1002_3338 ,contig00043_35021_34539,hypothetical protein,Y,,coculture_LD,MIT1002_02625,tier1:Locus ID
3354,MIT1002_3340 ,contig00043_36197_37501,Maltodextrin glucosidase (EC 3.2.1.20),Y,,coculture_LD,MIT1002_02623,tier1:Locus ID
3355,MIT1002_3341 ,contig00043_37587_37805,putative orphan protein,Y,,coculture_LD,MIT1002_02622,tier1:Locus ID
3356,MIT1002_3342 ,contig00043_38071_38934,Mobile element protein,Y,,coculture_LD,,unresolved
3361,MIT1002_3348 ,contig00044_2549_2085,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",Y,,coculture_LD,MIT1002_02209,tier1:Locus ID
3372,MIT1002_3359 ,contig00044_13188_12451,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD,MIT1002_02198,tier1:Locus ID
3379,MIT1002_3366 ,contig00044_18719_21433,DNA gyrase subunit A (EC 5.99.1.3),Y,,coculture_LD,MIT1002_02193,tier1:Locus ID
3380,MIT1002_3367 ,contig00044_21564_22664,Phosphoserine aminotransferase (EC 2.6.1.52),Y,,coculture_LD,MIT1002_02192,tier1:Locus ID
3387,MIT1002_3374 ,contig00044_29896_31065,"Heat shock (predicted periplasmic) protein YciM, precursor",Y,,coculture_LD,MIT1002_02185,tier1:Locus ID
3411,MIT1002_3398 ,contig00045_18574_18212,hypothetical protein,Y,,coculture_LD,MIT1002_03383,tier1:Locus ID
3418,MIT1002_3406 ,contig00045_24160_24831,hypothetical protein,Y,,coculture_LD,MIT1002_03390,tier1:Locus ID
3432,MIT1002_3421 ,contig00046_2647_3096,hypothetical protein,Y,,coculture_LD,MIT1002_01839,tier1:Locus ID
3437,MIT1002_3426 ,contig00046_6750_7301,Protein ydjA,Y,,coculture_LD,MIT1002_01842,tier1:Locus ID
3445,MIT1002_3434 ,contig00046_13998_12976,Rare lipoprotein A precursor,Y,,coculture_LD,MIT1002_01849,tier1:Locus ID
3457,MIT1002_3446 ,contig00046_28045_28749,hypothetical protein,Y,,coculture_LD,MIT1002_01861,tier1:Locus ID
3460,MIT1002_3449 ,contig00046_30097_30726,Cell division protein FtsJ / Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.-),Y,,coculture_LD,MIT1002_01864,tier1:Locus ID
3467,MIT1002_3456 ,contig00046_39376_39534,hypothetical protein,Y,,coculture_LD,MIT1002_01872,tier1:Locus ID
3478,MIT1002_3467 ,contig00047_10795_11418,Oxidoreductase (EC 1.1.1.-),Y,,coculture_LD,MIT1002_03443,tier1:Locus ID
3479,MIT1002_3468 ,contig00047_11559_12377,tRNA (adenine37-N(6)-)-methyltransferase TrmN6,Y,,coculture_LD,MIT1002_03442,tier1:Locus ID
3495,MIT1002_3483 ,contig00047_29427_29822,Cell division inhibitor,Y,,coculture_LD,MIT1002_03428,tier1:Locus ID
3496,MIT1002_3484 ,contig00047_29833_30537,Short-chain dehydrogenase/reductase SDR,Y,,coculture_LD,MIT1002_03427,tier1:Locus ID
3504,MIT1002_3492 ,contig00047_38067_38909,S-formylglutathione hydrolase (EC 3.1.2.12),Y,,coculture_LD,MIT1002_03419,tier1:Locus ID
3505,MIT1002_3493 ,contig00048_1771_173,sensor histidine kinase,Y,,coculture_LD,MIT1002_01722,tier1:Locus ID
3515,MIT1002_3503 ,contig00048_11673_12638,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)",Y,,coculture_LD,MIT1002_01731,tier1:Locus ID
3520,MIT1002_3508 ,contig00048_16381_17232,Aminodeoxychorismate lyase (EC 4.1.3.38),Y,,coculture_LD,MIT1002_01736,tier1:Locus ID
3524,MIT1002_3512 ,contig00048_20050_20832,Putative deoxyribonuclease YcfH,Y,,coculture_LD,MIT1002_01740,tier1:Locus ID
3525,MIT1002_3513 ,contig00048_20869_21426,"Pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein",Y,,coculture_LD,MIT1002_01741,tier1:Locus ID
3526,MIT1002_3514 ,contig00048_22244_21612,NAD-dependent epimerase/dehydratase,Y,,coculture_LD,MIT1002_01742,tier1:Locus ID
3534,MIT1002_3522 ,contig00048_31275_33398,Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),Y,,coculture_LD,MIT1002_01750,tier1:Locus ID
3535,MIT1002_3523 ,contig00048_33559_34740,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),Y,,coculture_LD,MIT1002_01751,tier1:Locus ID
3542,MIT1002_3532 ,contig00049_8018_3846,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),Y,,coculture_LD,MIT1002_03732,tier1:Locus ID
3543,MIT1002_3533 ,contig00049_12128_8100,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),Y,,coculture_LD,MIT1002_03733,tier1:Locus ID
3561,MIT1002_3551 ,contig00049_27622_27080,lipoprotein Blc,Y,,coculture_LD,MIT1002_03751,tier1:Locus ID
3562,MIT1002_3552 ,contig00049_27878_28828,"oxidoreductase, aldo/keto reductase family",Y,,coculture_LD,MIT1002_03752,tier1:Locus ID
3563,MIT1002_3553 ,contig00049_28852_29235,Hypothetical protein YaeR with similarity to glyoxylase family,Y,,coculture_LD,MIT1002_03753,tier1:Locus ID
3569,MIT1002_3559 ,contig00049_35216_35923,FolM Alternative dihydrofolate reductase 1,Y,,coculture_LD,MIT1002_03759,tier1:Locus ID
3608,MIT1002_3599 ,contig00051_14181_11134,Acriflavin resistance protein,Y,,coculture_LD,MIT1002_01561,tier1:Locus ID
3609,MIT1002_3600 ,contig00051_15318_14185,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD,MIT1002_01562,tier1:Locus ID
3623,MIT1002_3614 ,contig00051_29886_28441,"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (1.17.1.4)",Y,,coculture_LD,MIT1002_01575,tier1:Locus ID
3625,MIT1002_3616 ,contig00051_30294_30938,Transcriptional regulator RutR of pyrimidine catabolism (TetR family),Y,,coculture_LD,MIT1002_01576,tier1:Locus ID
3645,MIT1002_3636 ,contig00052_18832_16796,High-affinity choline uptake protein BetT,Y,,coculture_LD,MIT1002_03328,tier1:Locus ID
3648,MIT1002_3639 ,contig00052_23040_21307,D-Lactate dehydrogenase (EC 1.1.2.5),Y,,coculture_LD,MIT1002_03331,tier1:Locus ID
3676,MIT1002_3667 ,contig00053_20151_21404,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD,MIT1002_01599,tier1:Locus ID
3677,MIT1002_3668 ,contig00053_22739_21558,hypothetical protein,Y,,coculture_LD,MIT1002_01600,tier1:Locus ID
3678,MIT1002_3669 ,contig00053_23485_22736,FolM Alternative dihydrofolate reductase 1,Y,,coculture_LD,MIT1002_01601,tier1:Locus ID
3680,MIT1002_3671 ,contig00053_24939_26855,Threonyl-tRNA synthetase (EC 6.1.1.3),Y,,coculture_LD,MIT1002_01603,tier1:Locus ID
3685,MIT1002_3676 ,contig00053_30244_28805,"Capsular polysaccharide synthesis enzyme CpsA, sugar transferase",Y,,coculture_LD,MIT1002_01608,tier1:Locus ID
3686,MIT1002_3678 ,contig00054_419_303,hypothetical protein,Y,,coculture_LD,,unresolved
3687,MIT1002_3679 ,contig00054_630_448,hypothetical protein,Y,,coculture_LD,ALT831_RS07285,tier1:Locus ID
3688,MIT1002_3680 ,contig00054_879_1049,hypothetical protein,Y,,coculture_LD,MIT1002_01488,tier1:Locus ID
3700,MIT1002_3692 ,contig00054_13970_12969,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD,MIT1002_01507,tier1:Locus ID
3720,MIT1002_3713 ,contig00055_2454_1489,Cysteine synthase (EC 2.5.1.47),Y,,coculture_LD,MIT1002_02237,tier1:Locus ID
3721,MIT1002_3714 ,contig00055_2726_3562,"ATPase associated with various cellular activities, AAA_5",Y,,coculture_LD,MIT1002_02236,tier1:Locus ID
3722,MIT1002_3715 ,contig00055_3562_4743,hypothetical protein,Y,,coculture_LD,MIT1002_02235,tier1:Locus ID
3748,MIT1002_3742 ,contig00056_876_1847,hypothetical protein,Y,,coculture_LD,MIT1002_03571,tier1:Locus ID
3754,MIT1002_3748 ,contig00056_10051_8813,hypothetical protein,Y,,coculture_LD,MIT1002_03564,tier1:Locus ID
3758,MIT1002_3752 ,contig00056_14582_15463,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),Y,,coculture_LD,MIT1002_03560,tier1:Locus ID
3791,MIT1002_3785 ,contig00057_24725_23700,"Transcriptional regulator of trehalose utilization, LacI family",Y,,coculture_LD,MIT1002_00351,tier1:Locus ID
3793,MIT1002_3787 ,contig00057_25042_27300,Trehalose-regulated TonB-dependent outer membrane receptor,Y,,coculture_LD,MIT1002_00349,tier1:Locus ID
3798,MIT1002_3794 ,contig00058_5422_6264,Metal-dependent hydrolases of the beta-lactamase superfamily I,Y,,coculture_LD,MIT1002_02774,tier1:Locus ID
3800,MIT1002_3796 ,contig00058_8300_7398,Histone deacetylase/AcuC/AphA family protein,Y,,coculture_LD,MIT1002_02776,tier1:Locus ID
3830,MIT1002_3824 ,contig00059_18698_16482,Phospholipase D/Transphosphatidylase,Y,,coculture_LD,MIT1002_03348,tier1:Locus ID
3840,MIT1002_3834 ,contig00060_5055_5690,Acyltransferase family protein,Y,,coculture_LD,MIT1002_02267,tier1:Locus ID
3842,MIT1002_3836 ,contig00060_9455_7140,FIG00722912: hypothetical protein,Y,,coculture_LD,MIT1002_02265,tier1:Locus ID
3844,MIT1002_3838 ,contig00060_11172_10618,Glutathione peroxidase (EC 1.11.1.9),Y,,coculture_LD,MIT1002_02263,tier1:Locus ID
3862,MIT1002_3854 ,contig00060_23853_23680,hypothetical protein,Y,,coculture_LD,,unresolved
3873,MIT1002_3866 ,contig00061_4587_5846,Proton/glutamate symport protein @ Sodium/glutamate symport protein,Y,,coculture_LD,MIT1002_01542,tier1:Locus ID
3881,MIT1002_3874 ,contig00061_17224_16439,"SeqA protein, negative modulator of initiation of replication",Y,,coculture_LD,MIT1002_01533,tier1:Locus ID
3908,MIT1002_3900 ,contig00062_20477_21760,Peptidase B (EC 3.4.11.23),Y,,coculture_LD,MIT1002_03688,tier1:Locus ID
3945,MIT1002_3937 ,contig00064_7629_6613,"transcriptional regulator, LacI family",Y,,coculture_LD,MIT1002_02429,tier1:Locus ID
3957,MIT1002_3948 ,contig00064_20067_19084,hypothetical protein,Y,,coculture_LD,MIT1002_02418,tier1:Locus ID
3958,MIT1002_3949 ,contig00064_20713_21171,hypothetical protein,Y,,coculture_LD,MIT1002_02416,tier1:Locus ID
3959,MIT1002_3950 ,contig00064_22172_21189,FIG00952692: hypothetical protein,Y,,coculture_LD,MIT1002_02415,tier1:Locus ID
3974,MIT1002_3965 ,contig00065_19797_20306,Conserved uncharacterized protein CreA,Y,,coculture_LD,MIT1002_00906,tier1:Locus ID
3975,MIT1002_3966 ,contig00065_21182_20418,hypothetical protein,Y,,coculture_LD,MIT1002_00907,tier1:Locus ID
3997,MIT1002_3987 ,contig00067_5608_6843,NADP-dependent malic enzyme (EC 1.1.1.40),Y,,coculture_LD,MIT1002_03668,tier1:Locus ID
4005,MIT1002_3995 ,contig00067_12159_13073,"thioesterase domain, putative",Y,,coculture_LD,MIT1002_03676,tier1:Locus ID
4009,MIT1002_3999 ,contig00067_16085_17320,Predicted signal transduction protein,Y,,coculture_LD,MIT1002_03679,tier1:Locus ID
4032,MIT1002_4022 ,contig00069_355_765,hypothetical protein,Y,,coculture_LD,MIT1002_03108,tier1:Locus ID
4033,MIT1002_4023 ,contig00069_1065_2267,"Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)",Y,,coculture_LD,MIT1002_03109,tier1:Locus ID
4035,MIT1002_4025 ,contig00069_4433_3666,putative lipopolysaccharide biosynthesis glycosyltransferase,Y,,coculture_LD,MIT1002_03111,tier1:Locus ID
4036,MIT1002_4026 ,contig00069_4792_4517,hypothetical protein,Y,,coculture_LD,MIT1002_03112,tier1:Locus ID
4038,MIT1002_4028 ,contig00069_5857_7857,LppC putative lipoprotein,Y,,coculture_LD,MIT1002_03114,tier1:Locus ID
4054,MIT1002_4044 ,contig00070_8537_7251,Probable lipoprotein signal peptide,Y,,coculture_LD,MIT1002_00193,tier1:Locus ID
4068,MIT1002_4061 ,contig00071_5690_4410,Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8),Y,,coculture_LD,MIT1002_00422,tier1:Locus ID
4073,MIT1002_4066 ,contig00071_12100_12783,hypothetical protein,Y,,coculture_LD,MIT1002_00427,tier1:Locus ID
4078,MIT1002_4072 ,contig00072_5944_3620,Putative formate dehydrogenase oxidoreductase protein,Y,,coculture_LD,MIT1002_01713,tier1:Locus ID
4087,MIT1002_4081 ,contig00073_1177_2517,Response regulator NasT,Y,,coculture_LD,MIT1002_00694,tier1:Locus ID
4091,MIT1002_4085 ,contig00073_4904_4263,Alkylated DNA repair protein,Y,,coculture_LD,MIT1002_00690,tier1:Locus ID
4096,MIT1002_4090 ,contig00073_10957_8555,Zinc-regulated outer membrane receptor,Y,,coculture_LD,MIT1002_00685,tier1:Locus ID
4105,MIT1002_4100 ,contig00075_1789_2034,hypothetical protein,Y,,coculture_LD,MIT1002_03408,tier1:Locus ID
4106,MIT1002_4101 ,contig00075_2143_2262,hypothetical protein,Y,,coculture_LD,,unresolved
4109,MIT1002_4104 ,contig00075_4223_4774,hypothetical protein,Y,,coculture_LD,MIT1002_03412,tier1:Locus ID
4134,MIT1002_4128 ,contig00078_2266_1499,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),Y,,coculture_LD,MIT1002_02275,tier1:Locus ID
4147,MIT1002_4143 ,contig00080_2898_1912,Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor,Y,,coculture_LD,MIT1002_03539,tier1:Locus ID
4163,MIT1002_4160 ,contig00083_1837_2466,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),Y,,coculture_LD,MIT1002_02760,tier1:Locus ID
4195,MIT1002_4194 ,contig00101_330_1355,Mobile element protein,Y,,coculture_LD,MIT1002_03107,tier1:Locus ID
4199,MIT1002_4201 ,contig00106_90_1124,Mobile element protein,Y,,coculture_LD,MIT1002_00908,tier1:Locus ID
4201,MIT1002_4204 ,contig00108_1270_779,CopG protein,Y,,coculture_LD,MIT1002_00243,tier1:Locus ID
4206,MIT1002_4209 ,contig00113_295_101,hypothetical protein,Y,,coculture_LD,MIT1002_00569,tier1:Locus ID
4213,MIT1002_4213,contig00122_359_27,hypothetical protein,Y,,coculture_LD,MIT1002_03403,tier1:Locus ID
