Name,gene,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
TX50_RS05640,,TX50_RS05640,PMM1049,Protein Homology,991688,993259,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820447.1,ABC transporter substrate-binding protein,WP_011132682.1,1571,K02035,09140 Cellular Processes;09180 Brite Hierarchies,09145 Cellular community - prokaryotes;09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000];02024 Quorum sensing [PATH:ko02024],K02035  ABC.PE.S; peptide/nickel transport system substrate-binding protein,Membrane transport,Membrane transport,ABC.PE.S,
TX50_RS05645,,TX50_RS05645,PMM1050,Protein Homology,993281,993541,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007877.1,hypothetical protein,WP_011132683.1,260,,,,,,Uncharacterized,,,
TX50_RS05650,(hom),TX50_RS05650,PMM1051,Protein Homology,993604,994905,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863110.1,homoserine dehydrogenase,WP_011132684.1,1301,K00003,09100 Metabolism,09105 Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260];00270 Cysteine and methionine metabolism [PATH:ko00270];00300 Lysine biosynthesis [PATH:ko00300]",K00003  hom; homoserine dehydrogenase [EC:1.1.1.3],AA/Nucleotide,,hom,(hom)
TX50_RS05655,(sufE),TX50_RS05655,PMM1052,Protein Homology,994941,995366,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818590.1,SufE family protein,WP_011132685.1,425,K02426,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K02426  sufE; cysteine desulfuration protein SufE,Uncharacterized,,sufE,(sufE)
TX50_RS05660,,TX50_RS05660,PMM1053,Protein Homology,995404,995961,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007880.1,5-formyltetrahydrofolate cyclo-ligase,WP_011132686.1,557,K01934,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670],K01934  MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],Metabolism,,MTHFS,
ruvC,ruvC,TX50_RS05665,PMM1054,Protein Homology,995971,996444,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863113.1,crossover junction endodeoxyribonuclease RuvC,WP_011132687.1,473,K01159,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K01159  ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10],Genetic Info,,ruvC,(ruvC)
bchI,bchI,TX50_RS05670,PMM1055,Protein Homology,996449,997537,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820453.1,magnesium chelatase ATPase subunit I,WP_011132688.1,1088,K03405,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],"K03405  chlI, bchI; magnesium chelatase subunit I [EC:6.6.1.1]",Metabolism,,"chlI, bchI","(chlI,bchI)"
TX50_RS05675,(lasT),TX50_RS05675,PMM1056,Protein Homology,997801,998544,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805348.1,RNA methyltransferase,WP_011132689.1,743,K02533,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K02533  lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-],Genetic Info,,lasT,(lasT)
TX50_RS05680,,TX50_RS05680,PMM1057,Protein Homology,998550,998933,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376618.1,cytochrome c,WP_036930265.1,383,,,,,,Other,,,
petG,petG,TX50_RS05685,PMM1058,Protein Homology,998989,999108,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294783.1,cytochrome b6-f complex subunit PetG,WP_011132691.1,119,K02640,09100 Metabolism;09180 Brite Hierarchies,09102 Energy metabolism;09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194];00195 Photosynthesis [PATH:ko00195],K02640  petG; cytochrome b6-f complex subunit 5,Photosynthesis/Carbon fixation,,petG,(petG)
rsmD,rsmD,TX50_RS05690,PMM1059,Protein Homology,999094,999681,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820456.1,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_011132692.1,587,K08316,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K08316  rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171],Genetic Info,,rsmD,(rsmD)
hisH,hisH,TX50_RS05695,PMM1060,Protein Homology,999697,1000314,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806976.1,imidazole glycerol phosphate synthase subunit HisH,WP_011132693.1,617,K02501,09100 Metabolism,09105 Amino acid metabolism,00340 Histidine metabolism [PATH:ko00340],K02501  hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],AA/Nucleotide,,hisH,(hisH)
trxA,trxA,TX50_RS05700,PMM1061,Protein Homology,1000324,1000647,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015110798.1,thioredoxin,WP_011132694.1,323,K03671,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03671  trxA; thioredoxin 1,Genetic Info,,trxA,(trxA)
TX50_RS05705,(guaB),TX50_RS05705,PMM1062,Protein Homology,1000856,1002019,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127590.1,GuaB3 family IMP dehydrogenase-related protein,WP_011132695.1,1163,K00088,09100 Metabolism;09180 Brite Hierarchies,09104 Nucleotide metabolism;09111 Xenobiotics biodegradation and metabolism;09183 Protein families: signaling and cellular processes,00230 Purine metabolism [PATH:ko00230];00983 Drug metabolism - other enzymes [PATH:ko00983];04147 Exosome [BR:ko04147],"K00088  IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",AA/Nucleotide,,"IMPDH, guaB",(guaB)
gyrA,gyrA,TX50_RS05710,PMM1063,Protein Homology,1002199,1004802,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820460.1,DNA gyrase subunit A,WP_011132696.1,2603,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2],Genetic Info,,gyrA,(gyrA)
TX50_RS05715,"(lcyB,crtY)",TX50_RS05715,PMM1064,Protein Homology,1004827,1006038,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820461.1,lycopene cyclase family protein,WP_011132697.1,1211,K06443,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,00906 Carotenoid biosynthesis [PATH:ko00906],"K06443  lcyB, crtL1, crtY; lycopene beta-cyclase [EC:5.5.1.19]",Metabolism,,"lcyB, crtL1, crtY","(lcyB,crtY)"
TX50_RS05720,,TX50_RS05720,PMM1065,Protein Homology,1006044,1007627,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132698.1,DUF1957 domain-containing protein,WP_011132698.1,1583,K16149,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],"K16149  K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",Energy/Carbohydrate/Glycan,,nan,nan
TX50_RS05725,(leuA),TX50_RS05725,PMM1066,Protein Homology,1007864,1009504,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132699.1,2-isopropylmalate synthase,WP_011132699.1,1640,K01649,09100 Metabolism,09101 Carbohydrate metabolism;09105 Amino acid metabolism,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290];00620 Pyruvate metabolism [PATH:ko00620]","K01649  leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]",AA/Nucleotide;Energy/Carbohydrate/Glycan,,"leuA, IMS",(leuA)
TX50_RS05730,,TX50_RS05730,PMM1067,Protein Homology,1009595,1009987,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863124.1,hypothetical protein,WP_011132700.1,392,,,,,,Uncharacterized,,,
TX50_RS05735,(pgpH),TX50_RS05735,PMM1068,Protein Homology,1009999,1011471,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863125.1,HDIG domain-containing protein,WP_011132701.1,1472,K07037,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K07037  pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-],Metabolism,,pgpH,(pgpH)
folD,folD,TX50_RS05740,PMM1069,Protein Homology,1011546,1012442,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820466.1,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,WP_011132702.1,896,K01491,09100 Metabolism,09102 Energy metabolism;09108 Metabolism of cofactors and vitamins,00670 One carbon pool by folate [PATH:ko00670];00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],K01491  folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],Photosynthesis/Carbon fixation,,folD,(folD)
TX50_RS05745,,TX50_RS05745,PMM1070,Protein Homology,1012480,1013382,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806476.1,polyprenyl synthetase family protein,WP_011132703.1,902,K13789,09100 Metabolism;09180 Brite Hierarchies,09109 Metabolism of terpenoids and polyketides;09181 Protein families: metabolism,00900 Terpenoid backbone biosynthesis [PATH:ko00900];01006 Prenyltransferases [BR:ko01006],"K13789  GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,,nan,nan
TX50_RS05750,,TX50_RS05750,PMM1071,Protein Homology,1013397,1013876,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820468.1,divergent PAP2 family protein,WP_011132704.1,479,K09775,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09775  K09775; uncharacterized protein,Uncharacterized,,K09775,
TX50_RS05755,,TX50_RS05755,PMM1072,Protein Homology,1013873,1015267,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376633.1,cobyrinate a%2Cc-diamide synthase,WP_011132705.1,1394,K02224,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],"K02224  cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",Metabolism,,cobB-cbiA,
TX50_RS05760,,TX50_RS05760,PMM1073,Protein Homology,1015278,1016579,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820470.1,glucose-6-phosphate dehydrogenase assembly protein OpcA,WP_011132706.1,1301,,,,,,Other,,,
zwf,zwf,TX50_RS05765,PMM1074,Protein Homology,1016587,1018110,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818611.1,glucose-6-phosphate dehydrogenase,WP_011132707.1,1523,K00036,09100 Metabolism;09180 Brite Hierarchies,09101 Carbohydrate metabolism;09106 Metabolism of other amino acids;09183 Protein families: signaling and cellular processes,00030 Pentose phosphate pathway [PATH:ko00030];00480 Glutathione metabolism [PATH:ko00480];04147 Exosome [BR:ko04147],"K00036  G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",AA/Nucleotide;Energy/Carbohydrate/Glycan,,"G6PD, zwf",(zwf)
TX50_RS05770,(petH),TX50_RS05770,PMM1075,Protein Homology,1018224,1019336,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825598.1,ferredoxin--NADP(+) reductase,WP_011132708.1,1112,K02641,09100 Metabolism;09180 Brite Hierarchies,09102 Energy metabolism;09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194];00195 Photosynthesis [PATH:ko00195],K02641  petH; ferredoxin--NADP+ reductase [EC:1.18.1.2],Photosynthesis/Carbon fixation,,petH,(petH)
TX50_RS05775,,TX50_RS05775,PMM1076,Protein Homology,1019519,1020055,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863134.1,oligoketide cyclase,WP_011132709.1,536,,,,,,Other,,,
TX50_RS05785,(sasA),TX50_RS05785,PMM1077,Protein Homology,1020197,1021315,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132710.1,histidine kinase,WP_011132710.1,1118,K08479,09130 Environmental Information Processing;09180 Brite Hierarchies,09132 Signal transduction;09181 Protein families: metabolism;09183 Protein families: signaling and cellular processes,01001 Protein kinases [BR:ko01001];02020 Two-component system [PATH:ko02020];02022 Two-component system [BR:ko02022],"K08479  sasA; two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]",Env. Info/Cellular Process,,sasA,(sasA)
TX50_RS05790,,TX50_RS05790,PMM1078,Protein Homology,1021422,1021964,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011125272.1,hypothetical protein,WP_011132711.1,542,,,,,,Uncharacterized,,,
TX50_RS05795,,TX50_RS05795,PMM1079,Protein Homology,1022033,1022473,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805675.1,hypothetical protein,WP_011132712.1,440,,,,,,Uncharacterized,,,
TX50_RS05800,(prsA),TX50_RS05800,PMM1080,Protein Homology,1022479,1023474,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789557.1,ribose-phosphate pyrophosphokinase,WP_011132713.1,995,K00948,09100 Metabolism,09101 Carbohydrate metabolism;09104 Nucleotide metabolism,00030 Pentose phosphate pathway [PATH:ko00030];00230 Purine metabolism [PATH:ko00230],"K00948  PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",AA/Nucleotide;Energy/Carbohydrate/Glycan,,"PRPS, prsA",(prsA)
malQ,malQ,TX50_RS05805,PMM1081,Protein Homology,1023724,1025244,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820478.1,4-alpha-glucanotransferase,WP_011132714.1,1520,K00705,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],K00705  malQ; 4-alpha-glucanotransferase [EC:2.4.1.25],Energy/Carbohydrate/Glycan,,malQ,(malQ)
TX50_RS05810,,TX50_RS05810,PMM1082,Protein Homology,1025260,1025748,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806890.1,helix-turn-helix domain-containing protein,WP_011132715.1,488,,,,,,Other,,,
TX50_RS05815,,TX50_RS05815,PMM1083,Protein Homology,1025858,1027516,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376644.1,AarF/ABC1/UbiB kinase family protein,WP_011132716.1,1658,,,,,,Other,,,
TX50_RS05820,,TX50_RS05820,PMM1084,Protein Homology,1027581,1028978,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820481.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_011132717.1,1397,,,,,,Other,,,
TX50_RS05825,(cdsA),TX50_RS05825,PMM1085,Protein Homology,1028988,1029845,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806299.1,phosphatidate cytidylyltransferase,WP_011132718.1,857,K00981,09100 Metabolism;09130 Environmental Information Processing,09103 Lipid metabolism;09132 Signal transduction,00564 Glycerophospholipid metabolism [PATH:ko00564];04070 Phosphatidylinositol signaling system [PATH:ko04070],"K00981  E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]",Env. Info/Cellular Process,,"E2.7.7.41, CDS1, CDS2, cdsA",(cdsA)
TX50_RS05830,,TX50_RS05830,PMM1086,Protein Homology,1030010,1030909,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820484.1,alpha/beta hydrolase,WP_011132719.1,899,,,,,,Other,,,
TX50_RS05835,,TX50_RS05835,PMM1087,Protein Homology,1030915,1032009,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820485.1,iron-containing alcohol dehydrogenase,WP_011132720.1,1094,,,,,,Other,,,
TX50_RS05840,(clpC),TX50_RS05840,PMM1088,Protein Homology,1032024,1034552,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007913.1,ATP-dependent Clp protease ATP-binding subunit,WP_011132721.1,2528,K03696,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03696  clpC; ATP-dependent Clp protease ATP-binding subunit ClpC,Genetic Info,,clpC,(clpC)
TX50_RS05845,(rimI),TX50_RS05845,PMM1089,Protein Homology,1034738,1035172,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807345.1,GNAT family N-acetyltransferase,WP_011132722.1,434,K03789,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K03789  rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],Genetic Info,,rimI,(rimI)
lysA,lysA,TX50_RS05850,PMM1090,Protein Homology,1035266,1036639,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863148.1,diaminopimelate decarboxylase,WP_011132723.1,1373,K01586,09100 Metabolism,09105 Amino acid metabolism;09106 Metabolism of other amino acids,00300 Lysine biosynthesis [PATH:ko00300];00470 D-Amino acid metabolism [PATH:ko00470],K01586  lysA; diaminopimelate decarboxylase [EC:4.1.1.20],AA/Nucleotide,,lysA,(lysA)
cdaA,cdaA,TX50_RS05855,PMM1091,Protein Homology,1036668,1037558,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376652.1,diadenylate cyclase CdaA,WP_011132724.1,890,,,,,,Other,,,
TX50_RS05860,(uppS),TX50_RS05860,PMM1092,Protein Homology,1037562,1038380,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132725.1,isoprenyl transferase,WP_011132725.1,818,K00806,09100 Metabolism;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09109 Metabolism of terpenoids and polyketides;09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550];00900 Terpenoid backbone biosynthesis [PATH:ko00900];01006 Prenyltransferases [BR:ko01006],K00806  uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31],Energy/Carbohydrate/Glycan,,uppS,(uppS)
bioB,bioB,TX50_RS05865,PMM1093,Protein Homology,1038373,1039380,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820491.1,biotin synthase BioB,WP_011132726.1,1007,K01012,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00780 Biotin metabolism [PATH:ko00780],K01012  bioB; biotin synthase [EC:2.8.1.6],Metabolism,,bioB,(bioB)
TX50_RS05870,,TX50_RS05870,PMM1094,Protein Homology,1039377,1040309,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007918.1,rhodanese-related sulfurtransferase,WP_011132727.1,932,K07146,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K07146  K07146; UPF0176 protein,Uncharacterized,,K07146,
TX50_RS05875,,TX50_RS05875,PMM1095,Protein Homology,1040322,1040822,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475704.1,hypothetical protein,WP_036930323.1,500,,,,,,Uncharacterized,,,
lipA,lipA,TX50_RS05880,PMM1096,Protein Homology,1040819,1041718,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806029.1,lipoyl synthase,WP_011132729.1,899,K03644,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00785 Lipoic acid metabolism [PATH:ko00785],"K03644  lipA, LIAS, LIP1, LIP5; lipoyl synthase [EC:2.8.1.8]",Metabolism,,"lipA, LIAS, LIP1, LIP5",(lipA)
recR,recR,TX50_RS05885,PMM1097,Protein Homology,1041721,1042320,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132730.1,recombination mediator RecR,WP_011132730.1,599,K06187,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K06187  recR; recombination protein RecR,Genetic Info,,recR,(recR)
TX50_RS05890,(psbP),TX50_RS05890,PMM1098,Protein Homology,1042426,1042983,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818635.1,photosystem II reaction center PsbP family protein,WP_011132731.1,557,K02717,09100 Metabolism;09180 Brite Hierarchies,09102 Energy metabolism;09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194];00195 Photosynthesis [PATH:ko00195],K02717  psbP; photosystem II oxygen-evolving enhancer protein 2,Photosynthesis/Carbon fixation,,psbP,(psbP)
TX50_RS05895,,TX50_RS05895,PMM1099,Protein Homology,1043002,1044774,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820497.1,ABC transporter ATP-binding protein/permease,WP_011132732.1,1772,K06147,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K06147  ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Membrane transport,Membrane transport,ABCB-BAC,
TX50_RS05900,,TX50_RS05900,PMM1100,Protein Homology,1044785,1045063,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820498.1,hypothetical protein,WP_011132733.1,278,,,,,,Uncharacterized,,,
TX50_RS05905,"(deaD,cshA)",TX50_RS05905,PMM1101,Protein Homology,1045073,1046851,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820499.1,DEAD/DEAH box helicase,WP_011132734.1,1778,K05592,09120 Genetic Information Processing;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09182 Protein families: genetic information processing",03009 Ribosome biogenesis [BR:ko03009];03018 RNA degradation [PATH:ko03018];03019 Messenger RNA biogenesis [BR:ko03019],"K05592  deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]",Genetic Info,,"deaD, cshA","(deaD,cshA)"
TX50_RS05910,(recD),TX50_RS05910,PMM1102,Protein Homology,1046989,1048677,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806109.1,AAA family ATPase,WP_011132735.1,1688,K03581,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K03581  recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5],Genetic Info,,recD,(recD)
TX50_RS05915,(recB),TX50_RS05915,PMM1103,Protein Homology,1048679,1052308,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007926.1,UvrD-helicase domain-containing protein,WP_011132736.1,3629,K03582,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K03582  recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5],Genetic Info,,recB,(recB)
TX50_RS05920,,TX50_RS05920,PMM1104,Protein Homology,1052321,1052794,-,,,COORDINATES: protein motif:HMM:NF018649.2,DUF1295 domain-containing protein,WP_011132737.1,473,,,,,,Other,,,
TX50_RS05925,(recC),TX50_RS05925,PMM1105,Protein Homology,1052805,1055978,-,,,COORDINATES: protein motif:HMM:NF016169.2,exodeoxyribonuclease V subunit gamma,WP_011132738.1,3173,K03583,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K03583  recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5],Genetic Info,,recC,(recC)
TX50_RS05930,,TX50_RS05930,PMM1106,Protein Homology,1055996,1056313,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376667.1,DUF2488 family protein,WP_011132739.1,317,,,,,,Other,,,
TX50_RS05935,(pdxJ),TX50_RS05935,PMM1107,Protein Homology,1056323,1057039,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376668.1,pyridoxine 5'-phosphate synthase,WP_011132740.1,716,K03474,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00750 Vitamin B6 metabolism [PATH:ko00750],K03474  pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2],Metabolism,,pdxJ,(pdxJ)
TX50_RS05940,,TX50_RS05940,PMM1108,Protein Homology,1057199,1057810,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818645.1,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_080503714.1,611,,,,,,Other,,,
TX50_RS05945,,TX50_RS05945,PMM1109,Protein Homology,1057855,1058373,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019480450.1,hypothetical protein,WP_036930320.1,518,,,,,,Uncharacterized,,,
TX50_RS05950,,TX50_RS05950,PMM1110,Protein Homology,1058383,1058613,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007932.1,BolA family transcriptional regulator,WP_011132743.1,230,,,,,,Other,,,
grxD,grxD,TX50_RS05955,PMM1111,Protein Homology,1058617,1058940,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805421.1,Grx4 family monothiol glutaredoxin,WP_011132744.1,323,K07390,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029];03110 Chaperones and folding catalysts [BR:ko03110],"K07390  grxD, GLRX5; monothiol glutaredoxin",Genetic Info,,"grxD, GLRX5",(grxD)
TX50_RS05960,,TX50_RS05960,PMM1112,Protein Homology,1058990,1059259,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132745.1,hypothetical protein,WP_011132745.1,269,,,,,,Uncharacterized,,,
TX50_RS05965,,TX50_RS05965,PMM1113,Protein Homology,1059346,1060083,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376674.1,response regulator transcription factor,WP_011132746.1,737,K02483,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02022 Two-component system [BR:ko02022],"K02483  K02483; two-component system, OmpR family, response regulator",Env. Info/Cellular Process,,K02483,
TX50_RS05970,,TX50_RS05970,PMM1114,Protein Homology,1060080,1060544,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820512.1,hypothetical protein,WP_225866748.1,464,,,,,,Uncharacterized,,,
crtH,crtH,TX50_RS05975,PMM1115,Protein Homology,1060599,1062143,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818652.1,carotene isomerase,WP_036930317.1,1544,K09835,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,00906 Carotenoid biosynthesis [PATH:ko00906],"K09835  crtISO, crtH; prolycopene isomerase [EC:5.2.1.13]",Metabolism,,"crtISO, crtH",(crtH)
trmFO,trmFO,TX50_RS05980,PMM1116,Protein Homology,1062157,1063569,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132749.1,methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO,WP_011132749.1,1412,K04094,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016];03036 Chromosome and associated proteins [BR:ko03036],"K04094  trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]",Genetic Info,,"trmFO, gid",(gid)
TX50_RS05985,,TX50_RS05985,PMM1117,Protein Homology,1063576,1063692,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818654.1,photosystem II protein Y,WP_011132750.1,116,,,,,,Other,,,
TX50_RS05995,,TX50_RS05995,PMM1118,Protein Homology,1064501,1064608,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_016037133.1,high light inducible protein,WP_011132751.1,107,,,,,,high light inducible,,,
