Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 .1,Expression med 4.1,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3,resolved_locus_tag,resolution_method
AMHOT1A3_single_01226,sulfate adenylyltransferase subunit 1,16.0,4.0,16.01,4.01,1.0,3.992518703,,unresolved
AMHOT1A3_single_02053,hypothetical protein,16.0,5.0,16.01,5.01,1.0,3.195608782,,unresolved
AMHOT1A3_single_01077,low affinity sulfate transporter,16.0,9.0,16.01,9.01,1.0,1.776914539,,unresolved
AMHOT1A3_single_01293,Holliday junction DNA helicase RuvB,16.0,6.0,16.01,6.01,1.0,2.663893511,,unresolved
AMHOT1A3_single_01863,DoxX protein,16.0,2.0,16.01,2.01,1.0,7.965174129,,unresolved
AMHOT1A3_single_01098,sigma-54 depedent transcriptional activator PspF,16.0,6.0,16.01,6.01,1.0,2.663893511,,unresolved
AMHOT1A3_single_01112,TonB-dependent receptor,16.0,0.0,16.01,0.01,1.0,1601.0,,unresolved
AMHOT1A3_single_00666,diadenosine tetraphosphate (Ap4A) hydrolase,16.0,6.0,16.01,6.01,1.0,2.663893511,,unresolved
AMHOT1A3_single_01990,NIF3 protein,16.0,6.0,16.01,6.01,1.0,2.663893511,,unresolved
AMHOT1A3_single_00812,universal stress protein UspA,16.0,7.0,16.01,7.01,1.0,2.283880171,,unresolved
AMHOT1A3_single_01290,dATP pyrophosphohydrolase,16.0,9.0,16.01,9.01,1.0,1.776914539,,unresolved
AMHOT1A3_single_01197,ribonuclease T,15.0,30.0,15.01,30.01,0.014763115,0.500166611,,unresolved
AMHOT1A3_single_00923,CinA-like protein,15.0,27.0,15.01,27.01,0.02711542,0.555720104,,unresolved
AMHOT1A3_single_00974,ribosome recycling factor,15.0,30.0,15.01,30.01,0.028574045,0.500166611,,unresolved
AMHOT1A3_single_00188,inorganic pyrophosphatase,15.0,25.0,15.01,25.01,0.057103038,0.600159936,,unresolved
AMHOT1A3_single_01748,phosphatase/phosphohexomutase,15.0,25.0,15.01,25.01,0.065707876,0.600159936,,unresolved
AMHOT1A3_single_00251,glycogen synthase,15.0,23.0,15.01,23.01,0.077781768,0.652325076,,unresolved
AMHOT1A3_single_00352,peptidyl-dipeptidase Dcp,15.0,21.0,15.01,21.01,0.098170865,0.714421704,,unresolved
AMHOT1A3_single_01977,hypothetical protein,15.0,22.0,15.01,22.01,0.134038957,0.681962744,,unresolved
AMHOT1A3_single_00941,proton-dependent peptide transporter,15.0,19.0,15.01,19.01,0.164241097,0.789584429,,unresolved
AMHOT1A3_single_04152,hypothetical protein,15.0,22.0,15.01,22.01,0.168858135,0.681962744,,unresolved
AMHOT1A3_single_00686,PAS signal transduction protein,15.0,20.0,15.01,20.01,0.19666317,0.750124938,,unresolved
AMHOT1A3_single_01091,oxaloacetate decarboxylase,15.0,18.0,15.01,18.01,0.202922707,0.833425875,,unresolved
AMHOT1A3_single_00713,4'-phosphopantetheinyl transferase,15.0,18.0,15.01,18.01,0.246273774,0.833425875,,unresolved
AMHOT1A3_single_01740,haloalkane dehalogenase,15.0,18.0,15.01,18.01,0.253299419,0.833425875,,unresolved
AMHOT1A3_single_01148,peptide chain release factor 3,15.0,16.0,15.01,16.01,0.265153788,0.937539038,,unresolved
AMHOT1A3_single_01181,hypothetical protein,15.0,17.0,15.01,17.01,0.277392325,0.882422105,,unresolved
AMHOT1A3_single_01010,flagellar basal-body rod protein FlgF,15.0,15.0,15.01,15.01,0.30108293,1.0,,unresolved
AMHOT1A3_single_01118,TonB system biopolymer transport component,15.0,18.0,15.01,18.01,0.308592912,0.833425875,,unresolved
AMHOT1A3_single_01739,short-chain dehydrogenase,15.0,16.0,15.01,16.01,0.324115542,0.937539038,,unresolved
AMHOT1A3_single_01030,3-oxoacyl-ACP synthase,15.0,19.0,15.01,19.01,0.341117291,0.789584429,,unresolved
AMHOT1A3_single_00717,hydroxymethylglutaryl-coenzyme A reductase,15.0,15.0,15.01,15.01,0.381787027,1.0,,unresolved
AMHOT1A3_single_00470,glucose dehydrogenase,15.0,13.0,15.01,13.01,0.428982034,1.153727902,,unresolved
AMHOT1A3_single_00772,hypothetical protein,15.0,12.0,15.01,12.01,0.460180326,1.24979184,,unresolved
AMHOT1A3_single_02004,protease,15.0,13.0,15.01,13.01,0.511167105,1.153727902,,unresolved
AMHOT1A3_single_00205,galactose-1-phosphate uridylyltransferase,15.0,12.0,15.01,12.01,0.909498823,1.24979184,,unresolved
AMHOT1A3_single_00817,hypothetical protein,15.0,10.0,15.01,10.01,1.0,1.4995005,,unresolved
AMHOT1A3_single_00017,hypothetical protein,15.0,1.0,15.01,1.01,1.0,14.86138614,,unresolved
AMHOT1A3_single_00611,hypothetical protein,15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_02903,TonB-dependent receptor,15.0,11.0,15.01,11.01,1.0,1.363306085,,unresolved
AMHOT1A3_single_01453,TonB-dependent receptor,15.0,11.0,15.01,11.01,1.0,1.363306085,,unresolved
AMHOT1A3_single_00460,thioredoxin,15.0,5.0,15.01,5.01,1.0,2.996007984,,unresolved
AMHOT1A3_single_00904,Fimh-like protein,15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_00939,UDP-glucose 4-epimerase,15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_01968,succinyl-CoA synthetase subunit beta,15.0,3.0,15.01,3.01,1.0,4.986710963,,unresolved
AMHOT1A3_single_00388,tryptophanyl-tRNA synthetase,15.0,0.0,15.01,0.01,1.0,1501.0,,unresolved
AMHOT1A3_single_01399,pseudouridine synthase,15.0,8.0,15.01,8.01,1.0,1.873907615,,unresolved
AMHOT1A3_single_01189,iron superoxide dismutase,15.0,11.0,15.01,11.01,1.0,1.363306085,,unresolved
AMHOT1A3_single_01040,flagellar MS-ring protein,15.0,4.0,15.01,4.01,1.0,3.743142145,,unresolved
AMHOT1A3_single_01557,acriflavin resistance protein ei VT8,15.0,0.0,15.01,0.01,1.0,1501.0,,unresolved
AMHOT1A3_single_00916,isopropylmalate isomerase large subunit,15.0,1.0,15.01,1.01,1.0,14.86138614,,unresolved
AMHOT1A3_single_01904,gamma-glutamyl kinase,15.0,1.0,15.01,1.01,1.0,14.86138614,,unresolved
AMHOT1A3_single_00994,phosphoribosylformylglycinamidine synthase,15.0,5.0,15.01,5.01,1.0,2.996007984,,unresolved
AMHOT1A3_single_01836,hypothetical protein,15.0,11.0,15.01,11.01,1.0,1.363306085,,unresolved
AMHOT1A3_single_00564,phosphoenolpyruvate-protein phosphotransferase PtsP,15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_00211,glycoside hydrolase,15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_01686,"oxidoreductase, zinc-binding dehydrogenase family protein",15.0,9.0,15.01,9.01,1.0,1.665926748,,unresolved
AMHOT1A3_single_00008,nucleotide-binding protein,15.0,7.0,15.01,7.01,1.0,2.141226819,,unresolved
AMHOT1A3_single_00343,50S ribosomal protein L16,15.0,6.0,15.01,6.01,1.0,2.49750416,,unresolved
AMHOT1A3_single_03378,peptidase S8/S53 subtilisin kexin sedolisin,15.0,3.0,15.01,3.01,1.0,4.986710963,,unresolved
AMHOT1A3_single_01157,endonuclease/exonuclease/phosphatase,14.0,26.0,14.01,26.01,0.017963236,0.538638985,,unresolved
AMHOT1A3_single_02037,Ribosomal RNA large subunit methyltransferase J,14.0,23.0,14.01,23.01,0.097068152,0.608865711,,unresolved
AMHOT1A3_single_00154,Alpha/beta hydrolase family protein,14.0,21.0,14.01,21.01,0.104503442,0.666825321,,unresolved
AMHOT1A3_single_01045,polar flagellar hook-length control protein FliK,14.0,20.0,14.01,20.01,0.133473465,0.700149925,,unresolved
AMHOT1A3_single_01914,hypothetical protein,14.0,19.0,14.01,19.01,0.161099865,0.736980537,,unresolved
AMHOT1A3_single_03924,hypothetical protein,14.0,19.0,14.01,19.01,0.165768964,0.736980537,,unresolved
AMHOT1A3_single_00668,putative signal transduction protein,14.0,18.0,14.01,18.01,0.178134173,0.777901166,,unresolved
AMHOT1A3_single_00092,hypothetical protein,14.0,18.0,14.01,18.01,0.181232841,0.777901166,,unresolved
AMHOT1A3_single_02052,hypothetical protein,14.0,17.0,14.01,17.01,0.223546052,0.823633157,,unresolved
AMHOT1A3_single_00538,50S ribosomal protein L21,14.0,18.0,14.01,18.01,0.238761236,0.777901166,,unresolved
AMHOT1A3_single_01604,50S ribosomal protein L35,14.0,16.0,14.01,16.01,0.254556678,0.875078076,,unresolved
AMHOT1A3_single_00054,aminopeptidase,14.0,16.0,14.01,16.01,0.28086047,0.875078076,,unresolved
AMHOT1A3_single_00117,guanylate kinase,14.0,17.0,14.01,17.01,0.307985307,0.823633157,,unresolved
AMHOT1A3_single_01128,hypothetical protein,14.0,16.0,14.01,16.01,0.337980403,0.875078076,,unresolved
AMHOT1A3_single_00685,two-component system response regulator (hybrid family) protein,14.0,14.0,14.01,14.01,0.363720505,1.0,,unresolved
AMHOT1A3_single_01633,phenylalanyl-tRNA ligase subunit beta,14.0,13.0,14.01,13.01,0.369933643,1.076863951,,unresolved
AMHOT1A3_single_01605,50S ribosomal protein L20,14.0,13.0,14.01,13.01,0.390692165,1.076863951,,unresolved
AMHOT1A3_single_01175,histidine kinase,14.0,12.0,14.01,12.01,0.412895497,1.166527893,,unresolved
AMHOT1A3_single_01830,protein RnfH,14.0,12.0,14.01,12.01,0.430891068,1.166527893,,unresolved
AMHOT1A3_single_01494,replication initiation regulator SeqA,14.0,12.0,14.01,12.01,0.437713433,1.166527893,,unresolved
AMHOT1A3_single_01174,tRNA pseudouridine synthase A,14.0,12.0,14.01,12.01,0.466156247,1.166527893,,unresolved
AMHOT1A3_single_01466,cyclophilin type peptidyl-prolyl cis-trans isomerase,14.0,12.0,14.01,12.01,0.483959728,1.166527893,,unresolved
AMHOT1A3_single_00712,pyridoxine 5'-phosphate synthase,14.0,12.0,14.01,12.01,0.490350007,1.166527893,,unresolved
AMHOT1A3_single_00660,UGMP family protein,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_01879,leucyl-tRNA ligase,14.0,4.0,14.01,4.01,1.0,3.493765586,,unresolved
AMHOT1A3_single_01120,TonB system biopolymer transport component,14.0,9.0,14.01,9.01,1.0,1.554938957,,unresolved
AMHOT1A3_single_00349,hypothetical protein,14.0,10.0,14.01,10.01,1.0,1.3996004,,unresolved
AMHOT1A3_single_00466,phosphoribosylaminoimidazole carboxylase ATPase subunit,14.0,9.0,14.01,9.01,1.0,1.554938957,,unresolved
AMHOT1A3_single_01411,iron-containing alcohol dehydrogenase,14.0,6.0,14.01,6.01,1.0,2.331114809,,unresolved
AMHOT1A3_single_00961,acetyltransferase,14.0,1.0,14.01,1.01,1.0,13.87128713,,unresolved
AMHOT1A3_single_00021,hypothetical protein,14.0,4.0,14.01,4.01,1.0,3.493765586,,unresolved
AMHOT1A3_single_00908,ATP-dependent RNA helicase SrmB,14.0,5.0,14.01,5.01,1.0,2.796407186,,unresolved
AMHOT1A3_single_00336,50S ribosomal protein L3,14.0,6.0,14.01,6.01,1.0,2.331114809,,unresolved
AMHOT1A3_single_00385,bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase protein,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_00524,hypothetical protein,14.0,9.0,14.01,9.01,1.0,1.554938957,,unresolved
AMHOT1A3_single_00859,hypothetical protein,14.0,0.0,14.01,0.01,1.0,1401.0,,unresolved
AMHOT1A3_single_01007,flagellar basal-body rod protein FlgC,14.0,5.0,14.01,5.01,1.0,2.796407186,,unresolved
AMHOT1A3_single_00782,TonB-dependent receptor,14.0,11.0,14.01,11.01,1.0,1.272479564,,unresolved
AMHOT1A3_single_00915,isopropylmalate isomerase small subunit,14.0,9.0,14.01,9.01,1.0,1.554938957,,unresolved
AMHOT1A3_single_01020,flagellin-like protein,14.0,11.0,14.01,11.01,1.0,1.272479564,,unresolved
AMHOT1A3_single_00903,PKD domain-containing protein,14.0,9.0,14.01,9.01,1.0,1.554938957,,unresolved
AMHOT1A3_single_01829,cyclase/dehydrase,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_02031,fumarate hydratase,14.0,4.0,14.01,4.01,1.0,3.493765586,,unresolved
AMHOT1A3_single_00912,ATPase and membrane protein,14.0,11.0,14.01,11.01,1.0,1.272479564,,unresolved
AMHOT1A3_single_00126,ABC transporter substrate-binding protein,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_01989,hypothetical protein,14.0,10.0,14.01,10.01,1.0,1.3996004,,unresolved
AMHOT1A3_single_01890,triosephosphate isomerase,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_01075,LysR family transcriptional regulator,14.0,7.0,14.01,7.01,1.0,1.998573466,,unresolved
AMHOT1A3_single_00325,oxidoreductase,14.0,11.0,14.01,11.01,1.0,1.272479564,,unresolved
AMHOT1A3_single_01345,biotin biosynthesis protein BioC,13.0,25.0,13.01,25.01,0.017224071,0.520191923,,unresolved
AMHOT1A3_single_01430,carbamoyl phosphate synthase large subunit,13.0,22.0,13.01,22.01,0.059872977,0.591094957,,unresolved
AMHOT1A3_single_00921,CTP synthetase,13.0,25.0,13.01,25.01,0.080579321,0.520191923,,unresolved
AMHOT1A3_single_00396,shikimate kinase I,13.0,20.0,13.01,20.01,0.081901931,0.650174913,,unresolved
AMHOT1A3_single_00350,hypothetical protein,13.0,21.0,13.01,21.01,0.109089241,0.619228939,,unresolved
AMHOT1A3_single_01150,flavoprotein,13.0,19.0,13.01,19.01,0.119131946,0.684376644,,unresolved
AMHOT1A3_single_00161,hypothetical protein,13.0,18.0,13.01,18.01,0.151760662,0.722376458,,unresolved
AMHOT1A3_single_00001,maturase,13.0,18.0,13.01,18.01,0.1553574,0.722376458,,unresolved
AMHOT1A3_single_00038,coproporphyrinogen III oxidase,13.0,20.0,13.01,20.01,0.159003416,0.650174913,,unresolved
AMHOT1A3_single_00039,outer membrane protein OmpW,13.0,17.0,13.01,17.01,0.189154936,0.764844209,,unresolved
AMHOT1A3_single_00044,hypothetical protein,13.0,20.0,13.01,20.01,0.201941411,0.650174913,,unresolved
AMHOT1A3_single_00048,DNA polymerase III subunit alpha,13.0,16.0,13.01,16.01,0.204684726,0.812617114,,unresolved
AMHOT1A3_single_00049,DNA repair nucleotidyltransferase/DNA polymerase,13.0,15.0,13.01,15.01,0.274753038,0.866755496,,unresolved
AMHOT1A3_single_00050,recombinase A,13.0,16.0,13.01,16.01,0.282483696,0.812617114,,unresolved
AMHOT1A3_single_00053,hypothetical protein,13.0,17.0,13.01,17.01,0.287589631,0.764844209,,unresolved
AMHOT1A3_single_00060,hypothetical protein,13.0,14.0,13.01,14.01,0.312052058,0.928622413,,unresolved
AMHOT1A3_single_00061,hypothetical protein,13.0,14.0,13.01,14.01,0.323022023,0.928622413,,unresolved
AMHOT1A3_single_00067,3-deoxy-D-manno-octulosonic-acid kinase,13.0,13.0,13.01,13.01,0.335112112,1.0,,unresolved
AMHOT1A3_single_00072,L-threonine 3-dehydrogenase,13.0,13.0,13.01,13.01,0.364714053,1.0,,unresolved
AMHOT1A3_single_00074,glpG protein,13.0,13.0,13.01,13.01,0.375600739,1.0,,unresolved
AMHOT1A3_single_00077,4-hydroxybenzoate octaprenyltransferase,13.0,12.0,13.01,12.01,0.382620667,1.083263947,,unresolved
AMHOT1A3_single_00078,Membrane fusogenic activity,13.0,12.0,13.01,12.01,0.419621219,1.083263947,,unresolved
AMHOT1A3_single_00079,ATP-dependent DNA helicase Rep,13.0,12.0,13.01,12.01,0.427233018,1.083263947,,unresolved
AMHOT1A3_single_00083,amidophosphoribosyl transferase,13.0,12.0,13.01,12.01,0.447341687,1.083263947,,unresolved
AMHOT1A3_single_00084,helix-turn-helix protein,13.0,12.0,13.01,12.01,0.451594752,1.083263947,,unresolved
AMHOT1A3_single_00085,Na+/H+ antiporter NhaC,13.0,12.0,13.01,12.01,0.452729665,1.083263947,,unresolved
AMHOT1A3_single_00086,choline-glycine betaine transporter,13.0,5.0,13.01,5.01,1.0,2.596806387,,unresolved
AMHOT1A3_single_00091,replication protein A,13.0,3.0,13.01,3.01,1.0,4.322259136,,unresolved
AMHOT1A3_single_00094,type 12 methyltransferase,13.0,1.0,13.01,1.01,1.0,12.88118812,,unresolved
AMHOT1A3_single_00095,FhuE receptor,13.0,0.0,13.01,0.01,1.0,1301.0,,unresolved
AMHOT1A3_single_00105,thiazole synthase,13.0,10.0,13.01,10.01,1.0,1.2997003,,unresolved
AMHOT1A3_single_00106,sulfur carrier protein ThiS,13.0,10.0,13.01,10.01,1.0,1.2997003,,unresolved
AMHOT1A3_single_00107,Thiamine biosynthesis protein ThiF,13.0,6.0,13.01,6.01,1.0,2.164725458,,unresolved
AMHOT1A3_single_00108,Thiamine monophosphate synthase,13.0,1.0,13.01,1.01,1.0,12.88118812,,unresolved
AMHOT1A3_single_00109,phosphomethylpyrimidine synthase ThiC,13.0,6.0,13.01,6.01,1.0,2.164725458,,unresolved
AMHOT1A3_single_00112,uroporphyrin-III C-methyltransferase,13.0,6.0,13.01,6.01,1.0,2.164725458,,unresolved
AMHOT1A3_single_00114,porphobilinogen deaminase,13.0,11.0,13.01,11.01,1.0,1.181653043,,unresolved
AMHOT1A3_single_00122,ATP-dependent DNA helicase RecG,13.0,1.0,13.01,1.01,1.0,12.88118812,,unresolved
AMHOT1A3_single_00128,ABC transporter ATPase,13.0,7.0,13.01,7.01,1.0,1.855920114,,unresolved
AMHOT1A3_single_00138,Magnesium transporter,13.0,7.0,13.01,7.01,1.0,1.855920114,,unresolved
AMHOT1A3_single_00139,hypothetical protein,13.0,4.0,13.01,4.01,1.0,3.244389027,,unresolved
AMHOT1A3_single_00148,arginine exporter protein,13.0,10.0,13.01,10.01,1.0,1.2997003,,unresolved
AMHOT1A3_single_00164,hypothetical protein,13.0,4.0,13.01,4.01,1.0,3.244389027,,unresolved
AMHOT1A3_single_00167,hypothetical protein,13.0,9.0,13.01,9.01,1.0,1.443951165,,unresolved
AMHOT1A3_single_00169,transporter,13.0,9.0,13.01,9.01,1.0,1.443951165,,unresolved
AMHOT1A3_single_00171,DNA helicase II,13.0,11.0,13.01,11.01,1.0,1.181653043,,unresolved
AMHOT1A3_single_00174,HAD-superfamily hydrolase,13.0,5.0,13.01,5.01,1.0,2.596806387,,unresolved
AMHOT1A3_single_00175,tyrosine recombinase,13.0,6.0,13.01,6.01,1.0,2.164725458,,unresolved
AMHOT1A3_single_00181,"phosphoesterase, PA-phosphatase-like protein",13.0,10.0,13.01,10.01,1.0,1.2997003,,unresolved
AMHOT1A3_single_00187,"fructose-1,6-bisphosphatase",13.0,5.0,13.01,5.01,1.0,2.596806387,,unresolved
AMHOT1A3_single_00189,lipoprotein,13.0,9.0,13.01,9.01,1.0,1.443951165,,unresolved
AMHOT1A3_single_00193,hypothetical protein,13.0,0.0,13.01,0.01,1.0,1301.0,,unresolved
AMHOT1A3_single_00248,beta-D-galactosidase,12.0,24.0,12.01,24.01,0.022578888,0.500208247,,unresolved
AMHOT1A3_single_00249,two-component response regulator,12.0,24.0,12.01,24.01,0.025470381,0.500208247,,unresolved
AMHOT1A3_single_00253,tRNA (guanine-N(7)-)-methyltransferase,12.0,23.0,12.01,23.01,0.045251599,0.52194698,,unresolved
AMHOT1A3_single_00264,hypothetical protein,12.0,21.0,12.01,21.01,0.067612614,0.571632556,,unresolved
AMHOT1A3_single_00268,membrane protein,12.0,22.0,12.01,22.01,0.0839575,0.545661063,,unresolved
AMHOT1A3_single_00271,hypothetical protein,12.0,17.0,12.01,17.01,0.094680338,0.706055262,,unresolved
AMHOT1A3_single_00272,hypothetical protein,12.0,21.0,12.01,21.01,0.102566432,0.571632556,,unresolved
AMHOT1A3_single_00273,ATPase AAA,12.0,17.0,12.01,17.01,0.119312478,0.706055262,,unresolved
AMHOT1A3_single_00274,integrase,12.0,17.0,12.01,17.01,0.122825824,0.706055262,,unresolved
AMHOT1A3_single_00276,hypothetical protein,12.0,19.0,12.01,19.01,0.129633203,0.631772751,,unresolved
AMHOT1A3_single_00282,Heavy metal efflux pump CzcA,12.0,17.0,12.01,17.01,0.142240779,0.706055262,,unresolved
AMHOT1A3_single_00288,haloacid dehalogenase domain-containing protein hydrolase,12.0,17.0,12.01,17.01,0.160166563,0.706055262,,unresolved
AMHOT1A3_single_00289,haloacid dehalogenase domain-containing protein hydrolase,12.0,16.0,12.01,16.01,0.204160456,0.750156152,,unresolved
AMHOT1A3_single_00308,cryptic haloacid dehalogenase 1,12.0,15.0,12.01,15.01,0.207319039,0.800133245,,unresolved
AMHOT1A3_single_00309,TonB-dependent receptor,12.0,15.0,12.01,15.01,0.216144571,0.800133245,,unresolved
AMHOT1A3_single_00314,DMT superfamily permease,12.0,17.0,12.01,17.01,0.233858787,0.706055262,,unresolved
AMHOT1A3_single_00316,hypothetical protein,12.0,14.0,12.01,14.01,0.239179646,0.857244825,,unresolved
AMHOT1A3_single_00318,hypothetical protein,12.0,14.0,12.01,14.01,0.254556678,0.857244825,,unresolved
AMHOT1A3_single_00322,xylose isomerase-like protein,12.0,15.0,12.01,15.01,0.25654691,0.800133245,,unresolved
AMHOT1A3_single_00323,nucleoside permease,12.0,14.0,12.01,14.01,0.298493801,0.857244825,,unresolved
AMHOT1A3_single_00353,formyltetrahydrofolate deformylase,12.0,14.0,12.01,14.01,0.300574262,0.857244825,,unresolved
AMHOT1A3_single_00354,hypothetical protein,12.0,14.0,12.01,14.01,0.310422523,0.857244825,,unresolved
AMHOT1A3_single_00355,formyltetrahydrofolate deformylase,12.0,14.0,12.01,14.01,0.312052058,0.857244825,,unresolved
AMHOT1A3_single_00357,ATP-dependent helicase HrpB,12.0,12.0,12.01,12.01,0.325881957,1.0,,unresolved
AMHOT1A3_single_00364,endonuclease I,12.0,12.0,12.01,12.01,0.351184377,1.0,,unresolved
AMHOT1A3_single_00367,nitrogen regulatory protein P-II,12.0,12.0,12.01,12.01,0.422438102,1.0,,unresolved
AMHOT1A3_single_00368,ammonium transporter,12.0,8.0,12.01,8.01,1.0,1.49937578,,unresolved
AMHOT1A3_single_00374,TetR family transcriptional regulator,12.0,3.0,12.01,3.01,1.0,3.990033223,,unresolved
AMHOT1A3_single_00384,arginine N-succinyltransferase,12.0,0.0,12.01,0.01,1.0,1201.0,,unresolved
AMHOT1A3_single_00403,malate dehydrogenase,12.0,4.0,12.01,4.01,1.0,2.995012469,,unresolved
AMHOT1A3_single_00411,N-acetylglutamate synthase,12.0,0.0,12.01,0.01,1.0,1201.0,,unresolved
AMHOT1A3_single_00414,ornithine carbamoyltransferase,12.0,0.0,12.01,0.01,1.0,1201.0,,unresolved
AMHOT1A3_single_00419,flagellar L-ring protein,12.0,6.0,12.01,6.01,1.0,1.998336106,,unresolved
AMHOT1A3_single_00420,lipoprotein,12.0,2.0,12.01,2.01,1.0,5.975124378,,unresolved
AMHOT1A3_single_00423,sensor histidine kinase protein,12.0,10.0,12.01,10.01,1.0,1.1998002,,unresolved
AMHOT1A3_single_00426,ABC transporter membrane protein,12.0,7.0,12.01,7.01,1.0,1.713266762,,unresolved
AMHOT1A3_single_00427,ABC transporter-like protein,12.0,6.0,12.01,6.01,1.0,1.998336106,,unresolved
AMHOT1A3_single_00428,outer membrane efflux protein,12.0,9.0,12.01,9.01,1.0,1.332963374,,unresolved
AMHOT1A3_single_00435,Divergent polysaccharide deacetylase,12.0,7.0,12.01,7.01,1.0,1.713266762,,unresolved
AMHOT1A3_single_00438,permease,12.0,8.0,12.01,8.01,1.0,1.49937578,,unresolved
AMHOT1A3_single_00449,"acetolactate synthase III, small subunit",12.0,9.0,12.01,9.01,1.0,1.332963374,,unresolved
AMHOT1A3_single_00454,hypothetical protein,12.0,5.0,12.01,5.01,1.0,2.397205589,,unresolved
AMHOT1A3_single_00476,membrane protein,12.0,7.0,12.01,7.01,1.0,1.713266762,,unresolved
AMHOT1A3_single_00480,PepSY-associated TM helix family protein,12.0,9.0,12.01,9.01,1.0,1.332963374,,unresolved
AMHOT1A3_single_00484,beta-hexosaminidase A,12.0,4.0,12.01,4.01,1.0,2.995012469,,unresolved
AMHOT1A3_single_00485,mechanosensitive ion channel protein MscS,12.0,10.0,12.01,10.01,1.0,1.1998002,,unresolved
AMHOT1A3_single_00486,lipoprotein,12.0,7.0,12.01,7.01,1.0,1.713266762,,unresolved
AMHOT1A3_single_00487,RpiR family transcriptional regulator,12.0,0.0,12.01,0.01,1.0,1201.0,,unresolved
AMHOT1A3_single_00506,hypothetical protein,11.0,20.0,11.01,20.01,0.025982897,0.550224888,,unresolved
AMHOT1A3_single_00531,putative integrase,11.0,20.0,11.01,20.01,0.027623625,0.550224888,,unresolved
AMHOT1A3_single_00541,peptidase S24/S26A/S26B,11.0,20.0,11.01,20.01,0.033721232,0.550224888,,unresolved
AMHOT1A3_single_00542,"superoxide dismutase, Ni",11.0,21.0,11.01,21.01,0.034741991,0.524036173,,unresolved
AMHOT1A3_single_00544,hypothetical protein,11.0,19.0,11.01,19.01,0.048815262,0.579168858,,unresolved
AMHOT1A3_single_00545,"dihydrofolate reductase type I, trimethoprim resistance",11.0,19.0,11.01,19.01,0.063027478,0.579168858,,unresolved
AMHOT1A3_single_00548,membrane protein; member of the DedA of proteins,11.0,21.0,11.01,21.01,0.068657752,0.524036173,,unresolved
AMHOT1A3_single_00550,pseudouridylate synthase,11.0,17.0,11.01,17.01,0.108176308,0.647266314,,unresolved
AMHOT1A3_single_00557,alcohol dehydrogenase,11.0,16.0,11.01,16.01,0.121847087,0.687695191,,unresolved
AMHOT1A3_single_00561,DNA mismatch repair protein,11.0,15.0,11.01,15.01,0.148901762,0.733510993,,unresolved
AMHOT1A3_single_00568,response regulator,11.0,16.0,11.01,16.01,0.199877346,0.687695191,,unresolved
AMHOT1A3_single_00576,hypothetical protein,11.0,14.0,11.01,14.01,0.217636719,0.785867238,,unresolved
AMHOT1A3_single_00577,hypothetical protein,11.0,14.0,11.01,14.01,0.224078769,0.785867238,,unresolved
AMHOT1A3_single_00580,cytochrome c oxidase accessory protein CcoG,11.0,13.0,11.01,13.01,0.236578651,0.846272098,,unresolved
AMHOT1A3_single_00588,outer membrane channel protein,11.0,13.0,11.01,13.01,0.266286355,0.846272098,,unresolved
AMHOT1A3_single_00596,hypothetical protein,11.0,13.0,11.01,13.01,0.447718242,0.846272098,,unresolved
AMHOT1A3_single_00598,ATP-dependent metalloprotease FtsH,11.0,0.0,11.01,0.01,1.0,1101.0,,unresolved
AMHOT1A3_single_00604,acyltransferase 3,11.0,7.0,11.01,7.01,1.0,1.570613409,,unresolved
AMHOT1A3_single_00619,hypothetical protein,11.0,0.0,11.01,0.01,1.0,1101.0,,unresolved
AMHOT1A3_single_00620,nitrate-and nitrite-responsive positive regulator,11.0,7.0,11.01,7.01,1.0,1.570613409,,unresolved
AMHOT1A3_single_00623,nitrite reductase,11.0,0.0,11.01,0.01,1.0,1101.0,,unresolved
AMHOT1A3_single_00624,nitrate reductase electron transfer subunit/small subunit,11.0,3.0,11.01,3.01,1.0,3.657807309,,unresolved
AMHOT1A3_single_00625,nitrate reductase,11.0,8.0,11.01,8.01,1.0,1.374531835,,unresolved
AMHOT1A3_single_00626,multifunctional protein,11.0,1.0,11.01,1.01,1.0,10.9009901,,unresolved
AMHOT1A3_single_00631,hypothetical protein,11.0,10.0,11.01,10.01,1.0,1.0999001,,unresolved
