Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT1613,hypothetical protein,236.01,236.01,0.036595609,0,
PMT1616,RND family multidrug efflux transporter,8.01,8.01,1,0,
PMT1618,recombination factor protein RarA/unknown domain fusion protein,30.01,30.01,0.045737591,0,
PMT1679,bilin biosynthesis protein CpeY,7.01,7.01,1,0,
PMT1684,4Fe-4S ferredoxin,0.01,0.01,1,0,
PMT1718,hypothetical protein,51.01,51.01,0.044556123,0,
PMT1796,hypothetical protein,903.01,903.01,0.312439079,0,
PMT1809,hypothetical protein,7.01,7.01,1,0,
PMT1810,hypothetical protein,3.01,3.01,1,0,
PMT1812,hypothetical protein,0.01,0.01,1,0,
PMT1875,hypothetical protein,0.01,0.01,1,0,
PMT1878,hemolysin-type calcium-binding protein,1.01,1.01,1,0,
PMT1906,hypothetical protein,0.01,0.01,1,0,
PMT1958,NAD-dependent epimerase/dehydratase family protein,28.01,28.01,0.06292566,0,
PMT2014,LuxR family regulatory protein,71.01,71.01,0.081932181,0,
PMT2025,Fungal Zn(2)-Cys(6) binuclear cluster,0.01,0.01,1,0,
PMT2050,hypothetical protein,5.01,5.01,1,0,
PMT2051,secreted calcium-binding protein,0.01,0.01,1,0,
PMT2053,hypothetical protein,0.01,0.01,1,0,
PMT2100,class-I aminotransferase,10.01,10.01,1,0,
PMT2128,hypothetical protein,0.01,0.01,1,0,
PMT2131,hypothetical protein,30.01,30.01,0.142138639,0,
PMT2135,bifunctional ornithine acetyltransferase/N-acetylglutamate synthase,13.01,13.01,0.112891088,0,
PMT2151,GntR family transcriptional regulator,32.01,32.01,0.068887951,0,
PMT2212,peptidyl-tRNA hydrolase domain-containing protein,6.01,6.01,1,0,
PMT2227,ABC transporter membrane protein,171.01,171.01,0.036454193,0,
PMT2268,sucrose phosphate synthase,38.01,38.01,0.039285397,0,
PMT0989,hypothetical protein,392.01,391.01,0.032295068,-0.003684953,
PMT1353,DNA topoisomerase I,143.01,142.01,0.331403716,-0.010123507,
PMT0498,pili assembly chaperone,106.01,105.01,0.063121814,-0.013673641,
PMT0986,bZIP transcription factor,161.01,159.01,0.053858653,-0.018032796,
PMT1867,occludin/ELL family,149.01,147.01,0.039360016,-0.019494858,
PMT0076,transporter component,74.01,73.01,0.041944501,-0.019626136,
PMT0189,DEAD/DEAH box helicase,70.01,69.01,0.039235285,-0.020755574,
PMT1841,hypothetical protein,70.01,69.01,0.04264378,-0.020755574,
PMT1111,hypothetical protein,68.01,67.01,0.034157479,-0.021370485,
PMT1766,glycosyl transferase family protein,61.01,60.01,0.050092024,-0.023842801,
PMT0213,light repressed protein A-like protein,542.01,533.01,0.215102635,-0.024156869,
PMT1037,hypothetical protein,55.01,54.01,0.077278077,-0.026467355,
PMT2087,transcription antitermination protein NusG,269.01,264.01,0.036978639,-0.027067227,
PMT2040,Mg-protoporphyrin IX methyl transferase,101.01,99.01,0.046964809,-0.028851977,
PMT1401,membrane protein,197.01,193.01,0.037556734,-0.029593264,
PMT0469,"CaCA family, sodium/calcium exchanger",49.01,48.01,0.047353011,-0.029741211,
PMT1412,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,49.01,48.01,0.061546005,-0.029741211,
PMT0456,RNA polymerase sigma-70 factor family protein,276.01,270.01,0.05988639,-0.031707698,
PMT1235,hypothetical protein,45.01,44.01,0.066770682,-0.032414193,
PMT1175,alpha/beta hydrolase superfamily protein,44.01,43.01,0.058583004,-0.03315924,
PMT1847,serine hydroxymethyltransferase,87.01,85.01,0.040672732,-0.033548658,
PMT1341,"cytochrome c oxidase, subunit 2",303.01,296.01,0.055160268,-0.033719492,
PMT0400,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,43.01,42.01,0.051200238,-0.033939345,
PMT1204,"ribulose bisphosphate carboxylase, small chain",657.01,641.01,0.047047103,-0.035568466,
PMT0371,hypothetical protein,41.01,40.01,0.131395144,-0.035615115,
PMT0819,ABC transporter,82.01,80.01,0.035231966,-0.035619512,
PMT1894,rubredoxin,201.01,196.01,0.04393575,-0.036340016,
PMT0017,hypothetical protein,40.01,39.01,0.051642785,-0.03651663,
PMT0001,DNA polymerase III subunit beta,80.01,78.01,0.041878611,-0.036521253,
PMT0638,UmuC protein,38.01,37.01,0.054906977,-0.03846389,
PMT0862,hypothetical protein,38.01,37.01,0.064609314,-0.03846389,
PMT1849,hypothetical protein,181.01,176.01,0.054539275,-0.040412004,
PMT0815,magnesium chelatase subunit H,211.01,205.01,0.31391724,-0.041617088,
PMT1245,ribosome recycling factor,171.01,166.01,0.042276065,-0.042810542,
PMT0093,multidrug efflux family ABC transporter,34.01,33.01,0.041065707,-0.043055867,
PMT0430,hypothetical protein,34.01,33.01,0.062076138,-0.043055867,
PMT1901,methylthioribose-1-phosphate isomerase,34.01,33.01,0.070932109,-0.043055867,
PMT2242,hypothetical protein,68.01,66.01,0.05354068,-0.043062294,
PMT2004,phytoene desaturase,102.01,99.01,0.035985816,-0.043064436,
PMT1771,hypothetical protein,67.01,65.01,0.040529402,-0.043714753,
PMT0820,hypothetical protein,234.01,227.01,0.053081001,-0.043814331,
PMT1129,hypothetical protein,33.01,32.01,0.085708217,-0.044380462,
PMT1794,Fe-S oxidoreductase,33.01,32.01,0.058569884,-0.044380462,
PMT1047,trypsin and protease inhibitor,264.01,256.01,0.045740566,-0.044392412,
PMT1103,glucose 6-phosphate dehydrogenase effector OpcA,98.01,95.01,0.038949637,-0.044849587,
PMT1500,hypothetical protein,385.01,373.01,0.047255233,-0.04568161,
PMT1409,lipid-A-disaccharide synthase,32.01,31.01,0.077894108,-0.045789151,
PMT1510,histidinol dehydrogenase,32.01,31.01,0.059991015,-0.045789151,
PMT2273,hypothetical protein,125.01,121.01,0.053014909,-0.046917232,
PMT1265,hypothetical protein,218.01,211.01,0.040990657,-0.047082941,
PMT0115,"dTDP-glucose-4,6-dehydratase",93.01,90.01,0.04366247,-0.047300544,
PMT0268,tRNA/rRNA methyltransferase SpoU,30.01,29.01,0.088168171,-0.048893023,
PMT2245,polyphosphate kinase,60.01,58.01,0.038424664,-0.048901311,
PMT1946,phosphorylase,180.01,174.01,0.341042255,-0.048906837,
PMT2184,NAD-dependent DNA ligase LigA,89.01,86.01,0.041590532,-0.049463022,
PMT0687,photosystem I PsaK protein (subunit X),4964.01,4795.01,0.309627534,-0.049972198,
PMT1105,phosphoglycerate mutase family protein,58.01,56.01,0.069893821,-0.050617191,
PMT0138,S-adenosyl-L-homocysteine hydrolase,550.01,531.01,0.327657665,-0.050718819,
PMT1653,septum site-determining protein MinD,141.01,136.01,0.042228065,-0.05208475,
PMT1081,RNA-binding protein RbpD,2166.01,2088.01,0.333781117,-0.052911282,
PMT2257,shikimate 5-dehydrogenase,109.01,105.01,0.041683797,-0.053933765,
PMT1539,hypothetical protein,136.01,131.01,0.046024598,-0.054035791,
PMT2134,Formyl transferase,27.01,26.01,0.169640836,-0.054427241,
PMT1639,DEAD/DEAH box helicase,53.01,51.01,0.040628073,-0.05548444,
PMT1895,hypothetical protein,317.01,305.01,0.225258777,-0.055671807,
PMT1012,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein,26.01,25.01,0.120360527,-0.056561342,
PMT0034,hypothetical protein,77.01,74.01,0.058362215,-0.05732558,
PMT0598,pyridoxal-dependent decarboxylase family protein,25.01,24.01,0.079630579,-0.058869654,
PMT1723,hypothetical protein,25.01,24.01,0.073051629,-0.058869654,
PMT1603,cysteine desulfurase or selenocysteine lyase,73.01,70.01,0.047504065,-0.060533073,
PMT0533,type 4 prepilin peptidase,24.01,23.01,0.09724626,-0.06137442,
PMT1064,hypothetical protein,72.01,69.01,0.061938305,-0.061391834,
PMT1072,LytR-membrane bound transcriptional regulator,94.01,90.01,0.043840748,-0.062728935,
PMT1736,30S ribosomal protein S19,2435.01,2331.01,0.332490788,-0.062972503,
PMT1436,hypothetical protein,45.01,43.01,0.12507154,-0.065573433,
PMT0541,"oxidoreductase, Fe-S subunit",112.01,107.01,0.328289517,-0.065881917,
PMT1508,TatD family deoxyribonuclease,22.01,21.01,0.108472186,-0.067082983,
PMT1531,hypothetical protein,44.01,42.01,0.061546005,-0.067098586,
PMT0753,hypothetical protein,132.01,126.01,0.077471384,-0.067108992,
PMT0725,hypothetical protein,191.01,182.01,0.04773073,-0.069630453,
PMT1504,high light inducible protein,314.01,299.01,0.066314698,-0.07061677,
PMT1203,carboxysome shell protein,62.01,59.01,0.038827934,-0.071541431,
PMT1045,glyceraldehyde 3-phosphate dehydrogenase,2662.01,2532.01,0.340443165,-0.072232888,
PMT0232,hydrogenase accessory protein,409.01,389.01,0.06498799,-0.072328874,
PMT2260,hypothetical protein,468.01,445.01,0.052844888,-0.0727016,
PMT1763,alanine racemase,20.01,19.01,0.077609618,-0.073962635,
PMT0478,hypothetical protein,100.01,95.01,0.07416812,-0.073992989,
PMT0178,photosystem II complex extrinsic protein precursor U,4812.01,4562.01,1,-0.076970032,
PMT1361,chloroplast membrane-associated 30 kD protein,172.01,163.01,0.043152395,-0.077531969,
PMT0717,class-V aminotransferase family cysteine desulfurase,19.01,18.01,0.073339046,-0.077960351,
PMT1148,GatB/YqeY domain-containing protein,94.01,89.01,0.080231844,-0.078846799,
PMT1647,neutral invertase-like protein,94.01,89.01,0.04124426,-0.078846799,
PMT1357,two-component response regulator,56.01,53.01,0.075757643,-0.079419888,
PMT1838,photosystem II reaction center protein N,448.01,424.01,0.064277869,-0.079432645,
PMT0405,naphthoate synthase,37.01,35.01,0.082852797,-0.080148074,
PMT1595,ABC transporter ATP-binding protein,36.01,34.01,0.059931399,-0.082438593,
PMT0951,hypothetical protein,88.01,83.01,0.079966597,-0.084382312,
PMT0216,hypothetical protein,192.01,181.01,0.055611688,-0.085112047,
PMT1022,30S ribosomal protein S21,477.01,449.01,0.058818462,-0.087271935,
PMT1705,N-acetylmuramoyl-L-alanine amidase,34.01,32.01,0.075143855,-0.087436329,
PMT1067,kinase,51.01,48.01,0.059864362,-0.087445165,
PMT0027,UDP-N-acetylmuramate--L-alanine ligase,68.01,64.01,0.048408808,-0.087449583,
PMT0789,hypothetical protein,83.01,78.01,0.07032254,-0.089626072,
PMT0435,dihydroneopterin aldolase,33.01,31.01,0.135608134,-0.090169613,
PMT2018,NADH dehydrogenase subunit J,145.01,136.01,0.059330305,-0.092439665,
PMT1710,photosystem I protein PsaD,3432.01,3215.01,0.317165014,-0.094230532,
PMT2129,hypothetical protein,79.01,74.01,0.09005597,-0.094315045,
PMT0256,hemolysin-type calcium-binding domain-containing protein,63.01,59.01,0.282152906,-0.094621351,
PMT1188,serine protease trypsin family protein,78.01,73.01,0.052844888,-0.095564993,
PMT2182,hypothetical protein,31.01,29.01,0.116052964,-0.09618323,
PMT0148,hypothetical protein,478.01,447.01,0.048127319,-0.096733694,
PMT1523,hypothetical protein,200.01,187.01,0.055650358,-0.096956715,
PMT1344,hypothetical protein,379.01,354.01,0.046366776,-0.0984458,
PMT0474,glutamate decarboxylase,136.01,127.01,0.05829245,-0.098770638,
PMT1323,apocytochrome f,1552.01,1449.01,0.318940581,-0.099070302,
PMT0974,hypothetical protein,15.01,14.01,0.197658273,-0.099467021,
PMT2189,multidrug efflux ABC transporter,15.01,14.01,0.138509754,-0.099467021,
PMT2222,ATPase,15.01,14.01,0.151443017,-0.099467021,
PMT1329,hypothetical protein,45.01,42.01,0.088057352,-0.099512779,
PMT1978,O-acetylserine (thiol)-lyase A,45.01,42.01,0.081254838,-0.099512779,
PMT0026,UDP-N-acetylenolpyruvoylglucosamine reductase,90.01,84.01,0.064450106,-0.099524225,
PMT1144,hypothetical protein,389.01,363.01,0.056144785,-0.099797951,
PMT1783,30S ribosomal protein S10,1244.01,1160.01,0.364368363,-0.10086084,
PMT1499,hypothetical protein,1261.01,1175.01,0.352946123,-0.101906682,
PMT0019,PilT1 protein,87.01,81.01,0.055160268,-0.103081211,
PMT2175,50S ribosomal protein L9,373.01,347.01,0.049248105,-0.10423707,
PMT0512,hypothetical protein,86.01,80.01,0.070359921,-0.10432408,
PMT0771,modulator of DNA gyrase,113.01,105.01,0.046488456,-0.105923718,
PMT0238,DNA polymerase III subunit beta,28.01,26.01,0.181412548,-0.106875584,
PMT0310,glycosyltransferase,28.01,26.01,0.08343954,-0.106875584,
PMT1157,DNA polymerase I,42.01,39.01,0.053853872,-0.106888787,
PMT0139,hypothetical protein,56.01,52.01,0.05745788,-0.10689539,
PMT0347,pyruvate dehydrogenase E1 alpha subunit,98.01,91.01,0.055538761,-0.106903881,
PMT0388,hypothetical protein,126.01,117.01,0.058013179,-0.106906397,
PMT2005,NADH dehydrogenase I subunit M,181.01,168.01,0.07411984,-0.107522297,
PMT0677,FtsH ATP-dependent protease-like protein,257.01,238.01,0.356818511,-0.110802305,
PMT1580,hypothetical protein,27.01,25.01,0.168504967,-0.110988582,
PMT1856,photosystem II reaction centre T prot,485.01,449.01,0.095299188,-0.111266917,
PMT0454,hypothetical protein,121.01,112.01,0.074253078,-0.111498735,
PMT0770,modulator of DNA gyrase TldD,121.01,112.01,0.054274056,-0.111498735,
PMT0825,L-asparaginase II,40.01,37.01,0.08160037,-0.112445493,
PMT0977,multidrug ABC transporter,80.01,74.01,0.052027649,-0.112460109,
PMT0551,sarcosine-dimethylglycine methyltransferase,393.01,363.01,0.269698727,-0.11455673,
PMT1011,trigger factor,13.01,12.01,1,-0.115384811,
PMT1122,hypothetical protein,39.01,36.01,0.085674291,-0.115446399,
PMT1145,ABC transporter substrate-binding protein,39.01,36.01,0.073266019,-0.115446399,
PMT1652,septum site-determining protein,52.01,48.01,0.09117778,-0.115454102,
PMT1491,dethiobiotin synthase,78.01,72.01,0.078794929,-0.115461806,
PMT0047,hypothetical protein,156.01,144.01,0.078498348,-0.115469511,
PMT0008,hypothetical protein,206.01,190.01,0.052650323,-0.116639022,
PMT0320,hypothetical protein,90.01,83.01,0.077636013,-0.116800147,
PMT2246,type II alternative sigma-70 family RNA polymerase sigma factor,447.01,412.01,0.36684729,-0.117627752,
PMT1261,adenylosuccinate synthetase,102.01,94.01,0.050296076,-0.117824454,
PMT0579,sulfite reductase subunit beta,88.01,81.01,0.047736939,-0.11956745,
PMT1905,histidyl-tRNA synthetase,25.01,23.01,0.092444259,-0.120244074,
PMT1706,coproporphyrinogen III oxidase,175.01,161.01,0.060292352,-0.120287065,
PMT0065,dihydrodipicolinate synthase,87.01,80.01,0.073691784,-0.121000893,
PMT1489,hypothetical protein,87.01,80.01,0.083781073,-0.121000893,
PMT0078,hypothetical protein,62.01,57.01,0.083299875,-0.121285888,
PMT1159,cysteinyl-tRNA synthetase,37.01,34.01,0.089201478,-0.12195613,
PMT1302,BioD-like N-terminal domain of phosphotransacetylase,86.01,79.01,0.063771857,-0.122469144,
PMT0182,RND family outer membrane efflux protein,49.01,45.01,0.065445587,-0.122830582,
PMT0058,glycosyl transferase family protein,85.01,78.01,0.059465769,-0.123973487,
PMT1935,isocitrate dehydrogenase,121.01,111.01,0.052655974,-0.12443663,
PMT0049,SqdX,277.01,254.01,0.315490301,-0.125052763,
PMT0543,glycosyl transferase family protein,12.01,11.01,1,-0.125421682,
PMT1090,Serine/threonine specific protein phosphatase,12.01,11.01,1,-0.125421682,
PMT1910,tRNA nucleotidyltransferase/poly(A) polymerase,12.01,11.01,1,-0.125421682,
PMT1938,hypothetical protein,12.01,11.01,1,-0.125421682,
PMT0330,bifunctional dihydrofolate/folylpolyglutamate synthase,24.01,22.01,0.101677004,-0.125476258,
PMT1163,hydrolase of the alpha/beta-hydrolase fold,24.01,22.01,0.100981256,-0.125476258,
PMT2154,cyclic nucleotide-binding domain-containing protein,36.01,33.01,0.1092599,-0.125494461,
PMT2253,formyltetrahydrofolate deformylase,36.01,33.01,0.096371272,-0.125494461,
PMT2063,peptide chain release factor 2,60.01,55.01,0.080460693,-0.125509027,
PMT1821,bicarbonate transporter,72.01,66.01,0.061293444,-0.125512669,
PMT0536,oxidoreductase,84.01,77.01,0.059362889,-0.12551527,
PMT1777,ferredoxin-dependent glutamate synthase,83.01,76.01,0.371786408,-0.12709591,
PMT1915,hypothetical protein,130.01,119.01,0.062157863,-0.127539792,
PMT1602,dienelactone hydrolase,35.01,32.01,0.091271107,-0.129244385,
PMT1216,light-independent protochlorophyllide reductase subunit B,639.01,584.01,0.34300354,-0.129845436,
PMT1667,NrdR family transcriptional regulator,104.01,95.01,0.087296065,-0.130570969,
PMT1297,hypothetical protein,23.01,21.01,0.090575237,-0.131184822,
PMT2237,uroporphyrin-III C-methyltransferase,23.01,21.01,0.123990227,-0.131184822,
PMT0088,protease,115.01,105.01,0.056745013,-0.131232587,
PMT0249,"fatty acid desaturase, type 2",252.01,230.01,0.120293176,-0.131784397,
PMT1101,oxidoreductase,686.01,626.01,0.361607376,-0.132043904,
PMT1515,sulfatase,194.01,177.01,0.374291267,-0.13230015,
PMT0955,zeta-carotene desaturase,57.01,52.01,0.069937579,-0.132425964,
PMT0695,50S ribosomal protein L28,615.01,561.01,0.051010108,-0.132583382,
PMT1604,ABC transporter,102.01,93.01,0.05660146,-0.133252844,
PMT1614,phosphoglucomutase,158.01,144.01,0.091851919,-0.13384687,
PMT1703,ribonuclease D,45.01,41.01,0.096560447,-0.134269821,
PMT0228,hypothetical protein,135.01,123.01,0.096848503,-0.134290667,
PMT2272,hypothetical protein,101.01,92.01,0.066919136,-0.134635555,
PMT0420,hypothetical protein,750.01,683.01,0.344091495,-0.13500313,
PMT0205,hypothetical protein,123.01,112.01,0.094208883,-0.135148064,
PMT2105,3-hydroxyisobutyrate dehydrogenase,11.01,10.01,1,-0.137372495,
PMT0012,protein phosphatase 2C domain-containing protein,22.01,20.01,0.10108773,-0.137437978,
PMT1517,ABC transporter substrate-binding protein,151.01,137.01,0.054003437,-0.140362894,
PMT0050,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,451.01,409.01,0.35144999,-0.141023305,
PMT1156,membrane fusion protein,161.01,146.01,0.066253199,-0.141083113,
PMT1403,tyrosyl-tRNA synthetase,75.01,68.01,0.064015184,-0.14133605,
PMT0250,hypothetical protein,64.01,58.01,0.072921942,-0.141995689,
PMT0633,hypothetical protein,117.01,106.01,0.09371792,-0.14243147,
PMT1737,50S ribosomal protein L22,1782.01,1611.01,0.356319026,-0.145539983,
PMT0045,GMP synthase,52.01,47.01,0.076412342,-0.145821357,
PMT1830,ribonuclease PH,83.01,75.01,0.093314466,-0.146202203,
PMT1104,"cobyrinic acid a,c-diamide synthase",31.01,28.01,0.095963951,-0.146791543,
PMT0397,hypothetical protein,62.01,56.01,0.065765474,-0.146816461,
PMT0187,photosystem I reaction center subunit IV,598.01,540.01,0.06325324,-0.147183486,
PMT0823,hypothetical protein,144.01,130.01,0.068637173,-0.1475464,
PMT0780,phosphonate ABC transporter phosphonate-binding protein,41.01,37.01,0.096878253,-0.148060608,
PMT1065,phosphatidate cytidylyltransferase,41.01,37.01,0.098817653,-0.148060608,
PMT2163,TRAP-T family tripartite transporter,41.01,37.01,0.088322856,-0.148060608,
PMT0094,transporter for efflux,92.01,83.01,0.062978598,-0.148505523,
PMT1338,multidrug efflux ABC transporter,132.01,119.01,0.057351599,-0.149564417,
PMT1637,hypothetical protein,222.01,200.01,0.094078189,-0.150552528,
PMT0691,sugar ABC transporter ATP-binding protein,20.01,18.01,0.134112927,-0.151922986,
PMT1687,phycoerythrobilin:ferredoxin oxidoreductase,20.01,18.01,0.133398433,-0.151922986,
PMT2218,Dps family protein,20.01,18.01,0.20711824,-0.151922986,
PMT0173,hypothetical protein,149.01,134.01,0.070043747,-0.153068492,
PMT0558,uracil phosphoribosyltransferase,98.01,88.01,0.094154056,-0.155261498,
PMT1943,alpha/beta fold family hydrolase,88.01,79.01,0.080231844,-0.155632196,
PMT0611,"copper binding proteins, plastocyanin",68.01,61.01,0.107048634,-0.156701161,
PMT0404,hypothetical protein,29.01,26.01,0.141065017,-0.157483896,
PMT1109,polyprenyl synthetase,29.01,26.01,0.101668395,-0.157483896,
PMT1528,translation initiation factor IF-2,375.01,336.01,0.355903438,-0.158424897,
PMT2099,hypothetical protein,48.01,43.01,0.1123239,-0.158662805,
PMT1968,zeta-carotene desaturase,67.01,60.01,0.070483696,-0.159173477,
PMT1128,imidazole glycerol phosphate synthase subunit HisH,153.01,137.01,0.0730379,-0.159344748,
PMT0641,DNA primase,19.01,17.01,0.090396493,-0.160375391,
PMT1010,hypothetical protein,19.01,17.01,0.191302532,-0.160375391,
PMT0875,O-Acetyl homoserine sulfhydrylase,104.01,93.01,0.05794005,-0.161264501,
PMT1255,hypothetical protein,47.01,42.01,0.096394842,-0.162234895,
PMT1848,hypothetical protein,272.01,243.01,0.096560447,-0.162644008,
PMT1983,hypothetical protein,28.01,25.01,0.11349269,-0.163436926,
PMT2027,tryptophan synthase subunit beta,56.01,50.01,0.097529219,-0.163467823,
PMT1228,short chain dehydrogenase,317.01,283.01,0.069912177,-0.16367532,
PMT0735,hypothetical protein,288.01,257.01,0.370959864,-0.16429441,
PMT1617,hypothetical protein,9.01,8.01,1,-0.169724863,
PMT0425,glucokinase,18.01,16.01,0.111916288,-0.169824873,
PMT2146,adenylate cyclase,18.01,16.01,0.112316376,-0.169824873,
PMT1434,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,27.01,24.01,0.126142192,-0.169858236,
PMT0755,hypothetical protein,36.01,32.01,0.072290372,-0.169874923,
PMT1543,hypothetical protein,45.01,40.01,0.202068341,-0.169884936,
PMT0305,hypothetical protein,54.01,48.01,0.106969099,-0.169891612,
PMT1781,elongation factor G,455.01,404.01,0.357731094,-0.17150725,
PMT1230,hypothetical protein,89.01,79.01,0.07867992,-0.171932166,
PMT1650,PDZ domain-containing protein,89.01,79.01,0.07416812,-0.171932166,
PMT1527,hypothetical protein,203.01,180.01,0.106044641,-0.17347374,
PMT0557,hypothetical protein,97.01,86.01,0.10672069,-0.173629066,
PMT0101,acetyltransferase,44.01,39.01,0.10272482,-0.173987373,
PMT0028,glyceraldehyde 3-phosphate dehydrogenase,391.01,346.01,0.392105219,-0.176391771,
PMT1546,DNA mismatch repair protein MutS family protein,26.01,23.01,0.094762678,-0.176805416,
PMT1852,sugar fermentation stimulation protein A,95.01,84.01,0.099199714,-0.177518301,
PMT2024,hypothetical protein,69.01,61.01,0.072873185,-0.177759702,
PMT0365,hypothetical protein,43.01,38.01,0.110512891,-0.178293106,
PMT0613,hypothetical protein,103.01,91.01,0.106653264,-0.178687418,
PMT1912,hypothetical protein,60.01,53.01,0.113418262,-0.178938389,
PMT0847,photosystem I reaction centre subunit VI,94.01,83.01,0.105866194,-0.179529082,
PMT0384,peptide deformylase,17.01,15.01,0.186520726,-0.180459164,
PMT0668,lactose transporter,17.01,15.01,0.136100058,-0.180459164,
PMT1419,circadian clock protein KaiB,101.01,89.01,0.110195468,-0.182458794,
PMT0553,glycine betaine/proline ABC transporter ATP-binding protein,25.01,22.01,0.098748364,-0.184345912,
PMT2045,NifS-like aminotransferase class-V,25.01,22.01,0.098354334,-0.184345912,
PMT1475,cell division protein FtsW,50.01,44.01,0.108685197,-0.184385233,
PMT1871,phosphotransferase superclass,41.01,36.01,0.121236947,-0.187578144,
PMT1907,UDP-glucose-4-epimerase,41.01,36.01,0.115078688,-0.187578144,
PMT1149,Type I antifreeze protein,835.01,733.01,0.24324591,-0.187960595,
PMT2191,valyl-tRNA synthetase,49.01,43.01,0.061099499,-0.188404015,
PMT1069,pseudouridylate synthase specific to ribosomal small subunit,114.01,100.01,0.097350391,-0.189016109,
PMT1420,50S ribosomal protein L21,1137.01,997.01,0.397828815,-0.189565063,
PMT0604,photosystem II reaction center protein Psb28,354.01,310.01,0.076602031,-0.191475361,
PMT0900,FAD linked oxidase domain-containing protein,16.01,14.01,0.135762656,-0.192516352,
PMT1823,phosphoglucosamine mutase,16.01,14.01,0.108685197,-0.192516352,
PMT0005,DNA gyrase/topoisomerase IV subunit A,32.01,28.01,0.094953523,-0.192580693,
PMT1349,hypothetical protein,40.01,35.01,0.114135353,-0.192593567,
PMT1924,hypothetical protein,40.01,35.01,0.169114167,-0.192593567,
PMT0103,"aminotransferase, class III pyridoxal-phosphate dependent",64.01,56.01,0.099821635,-0.19261288,
PMT0323,(dimethylallyl)adenosine tRNA methylthiotransferase,72.01,63.01,0.081932181,-0.192616457,
PMT1502,sodium/solute symporter family protein glucose transporter,72.01,63.01,0.073811787,-0.192616457,
PMT1268,acetylglutamate kinase,112.01,98.01,0.081942873,-0.192626678,
PMT1362,hypothetical protein,95.01,83.01,0.11471632,-0.194794223,
PMT1525,hypothetical protein,606.01,529.01,0.120950007,-0.196046606,
PMT2021,citrate synthase,55.01,48.01,0.106018017,-0.196358967,
PMT1077,recombination protein RecR,47.01,41.01,0.108309159,-0.196991937,
PMT0647,DNA polymerase III subunit alpha,94.01,82.01,0.313310861,-0.197014389,
PMT2197,ArsR family regulatory protein,94.01,82.01,0.10823804,-0.197014389,
PMT0066,hypothetical protein,329.01,287.01,0.372950442,-0.19703043,
PMT1477,c-type cytochrome biogenesis protein Ccs1,133.01,116.01,0.069955932,-0.197285545,
PMT1507,DNA-directed RNA polymerase subunit beta,443.01,386.01,0.357800765,-0.198701042,
PMT1933,hypothetical protein,54.01,47.01,0.116615005,-0.200258868,
PMT2157,alanyl-tRNA synthetase,23.01,20.01,0.11349269,-0.201539816,
PMT0194,hypothetical protein,69.01,60.01,0.146251514,-0.201602503,
PMT0866,serine/threonine specific protein phosphatase:DNA repair,15.01,13.01,0.140865797,-0.206303015,
PMT1478,7-cyano-7-deazaguanine reductase,15.01,13.01,0.2478669,-0.206303015,
PMT0871,short-chain dehydrogenase/reductase,45.01,39.01,0.113545116,-0.206401566,
PMT1670,S-adenosylmethionine synthetase,482.01,417.01,0.363778674,-0.208981097,
PMT0505,rhomboid family protein,37.01,32.01,0.139337498,-0.209392459,
PMT1818,hypothetical protein,74.01,64.01,0.116011094,-0.209422908,
PMT1272,RNA polymerase sigma factor RpoD,735.01,635.01,0.373340211,-0.210984567,
PMT1959,glycosyl transferase family protein,22.01,19.01,0.119724175,-0.211400613,
PMT1511,ribose-5-phosphate isomerase A,117.01,101.01,0.11778312,-0.212133705,
PMT1784,ATP-dependent protease La,336.01,290.01,0.089579758,-0.212401522,
PMT2193,hypothetical protein,175.01,151.01,0.125275801,-0.21279327,
PMT2248,phospho-2-dehydro-3-deoxyheptonate aldolase,51.01,44.01,0.126588606,-0.212948729,
PMT0685,1-deoxy-D-xylulose-5-phosphate synthase,182.01,157.01,0.36500496,-0.21316127,
PMT1486,major facilitator superfamily multidrug-efflux transporter,29.01,25.01,0.107256455,-0.214045238,
PMT2181,viral RNA helicase,58.01,50.01,0.120029799,-0.214085014,
PMT1193,ATP phosphoribosyltransferase catalytic subunit,94.01,81.01,0.124934637,-0.214714219,
PMT2002,RNA recognition motif-containing protein,982.01,846.01,0.407740115,-0.215062999,
PMT1043,hypothetical protein,166.01,143.01,0.092840294,-0.215154117,
PMT1505,DNA-directed RNA polymerase subunit beta',546.01,470.01,0.522774999,-0.216235922,
PMT0221,NHL repeat-containing protein,86.01,74.01,0.074510778,-0.216784189,
PMT2006,hypothetical protein,129.01,111.01,0.113184747,-0.216793255,
PMT1182,hypothetical protein,71.01,61.01,0.130230973,-0.218976476,
PMT1141,hypothetical protein,234.01,201.01,0.089857643,-0.219302907,
PMT1902,short chain dehydrogenase,85.01,73.01,0.080689401,-0.21953848,
PMT0061,ATP-dependent protease ATP-binding subunit ClpX,268.01,230.01,0.381425281,-0.220590246,
