Synonym,Product,Expression med4 t=20+0.01,Expression med4+1a3 t=20 +0.01,q Value,log 2 fold change coculture/axenic,locus_tag
PMM0357,TENA/THI-4 protein,0.01,3.01,1.0,-8.233619677,PMM0357
PMM0358,phosphomethylpyrimidine kinase,5.01,10.01,1.0,-0.998559466,PMM0358
PMM0359,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0359
PMM0360,hypothetical protein,0.01,0.01,1.0,0.0,PMM0360
PMM0362,hypothetical protein,0.01,0.01,1.0,0.0,PMM0362
PMM0363,MarR family transcriptional regulator,0.01,0.01,1.0,0.0,PMM0363
PMM0364,malic enzyme,144.01,144.01,1.0,0.0,PMM0364
PMM0367,hypothetical protein,100.01,117.01,1.0,-0.22648757,PMM0367
PMM0368,hypothetical protein,70.01,135.01,0.642103613,-0.947433358,PMM0368
PMM0369,ribosomal protein S14p/S29e,0.01,13.01,1.0,-10.34540525,PMM0369
PMM0370,"cyanate ABC transporter, substrate binding protein",50.01,79.01,1.0,-0.659818656,PMM0370
PMM0372,cyanate ABC transporter,10.01,24.01,0.542521742,-1.262193429,PMM0372
PMM0374,mttA/Hcf106 family protein,0.01,4.01,1.0,-8.647458426,PMM0374
PMM0375,Type II intron maturase,0.01,0.01,1.0,0.0,PMM0375
PMM0376,hypothetical protein,67.01,45.01,0.77045809,0.574130842,PMM0376
PMM0378,hypothetical protein,96.01,295.01,0.67567014,-1.619507275,PMM0378
PMM0382,ribosomal RNA adenine dimethylase,0.01,3.01,1.0,-8.233619677,PMM0382
PMM0383,periplasmic protein,39.01,52.01,0.990568898,-0.41494504,PMM0383
PMM0384,hypothetical protein,15.01,40.01,0.96937413,-1.414436652,PMM0384
PMM0386,hypothetical protein,0.01,9.01,1.0,-9.815383296,PMM0386
PMM0389,precorrin-2 C20-methyltransferase,0.01,7.01,1.0,-9.453270634,PMM0389
PMM0390,hypothetical protein,0.01,0.01,1.0,0.0,PMM0390
PMM0391,GTP-binding protein EngA,22.01,38.01,0.848774422,-0.78821988,PMM0391
PMM0392,cobalt ABC transporter permease,0.01,3.01,1.0,-8.233619677,PMM0392
PMM0395,hypothetical protein,314.01,752.01,1.0,-1.259941342,PMM0395
PMM0396,Delta 1-pyrroline-5-carboxylate reductase,44.01,93.01,0.869502457,-1.079554465,PMM0396
PMM0397,"glycosyl transferase, group 1",25.01,61.01,0.743827466,-1.286540673,PMM0397
PMM0399,deoxyribose-phosphate aldolase,0.01,9.01,1.0,-9.815383296,PMM0399
PMM0400,light repressed protein A-like protein,266.01,831.01,0.406635312,-1.643385356,PMM0400
PMM0401,lipoate-protein ligase B,0.01,3.01,1.0,-8.233619677,PMM0401
PMM0402,long-chain-fatty-acid--CoA ligase,5.01,10.01,1.0,-0.998559466,PMM0402
PMM0403,hypothetical protein,76.01,138.01,0.882921565,-0.860511667,PMM0403
PMM0404,hypothetical protein,0.01,11.01,1.0,-10.10459875,PMM0404
PMM0405,branched-chain alpha-keto acid dehydrogenase subunit E2,120.01,329.01,0.976006495,-1.454976809,PMM0405
PMM0406,queuosine biosynthesis protein,14.01,30.01,0.554069135,-1.098986363,PMM0406
PMM0407,O-acetylserine (thiol)-lyase A,675.01,2219.01,0.067036649,-1.716935389,PMM0407
PMM0408,cystathionine gamma-synthase,0.01,10.01,1.0,-9.967226259,PMM0408
PMM0409,cystathionine gamma-synthase,45.01,95.01,1.0,-1.077833803,PMM0409
PMM0410,30S ribosomal protein S4,779.01,1535.01,0.929897294,-0.978534301,PMM0410
PMM0412,hypothetical protein,119.01,113.01,1.0,0.074632364,PMM0412
PMM0413,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase",0.01,11.01,1.0,-10.10459875,PMM0413
PMM0414,short chain dehydrogenase,13.01,8.01,1.0,0.699746814,PMM0414
PMM0415,L-cysteine/cystine lyase,0.01,4.01,1.0,-8.647458426,PMM0415
PMM0418,NifU-like protein,53.01,181.01,0.488973301,-1.771732956,PMM0418
PMM0419,malate:quinone oxidoreductase,16.01,19.01,0.997001927,-0.247785224,PMM0419
PMM0420,GTP-binding protein LepA,26.01,41.01,1.0,-0.656909344,PMM0420
PMM0422,tRNA/rRNA methyltransferase SpoU,9.01,9.01,1.0,0.0,PMM0422
PMM0424,hypothetical protein,4.01,6.01,1.0,-0.583762754,PMM0424
PMM0425,hypothetical protein,0.01,1.01,1.0,-6.658211483,PMM0425
PMM0426,Sun protein (Fmu protein),18.01,15.01,1.0,0.262874204,PMM0426
PMM0427,penicillin binding protein,1.01,8.01,1.0,-2.98744695,PMM0427
PMM0428,bacteriochlorophyll/chlorophyll a synthase,74.01,291.01,0.20472201,-1.975276608,PMM0428
PMM0429,hypothetical protein,54.01,314.01,0.141805079,-2.539512051,PMM0429
PMM0430,imidazole glycerol phosphate synthase subunit HisF,29.01,24.01,1.0,0.272914892,PMM0430
PMM0431,hypothetical protein,10.01,10.01,1.0,0.0,PMM0431
PMM0432,hypothetical protein,97.01,44.01,0.184112848,1.140302099,PMM0432
PMM0433,biotin--acetyl-CoA-carboxylase ligase,0.01,6.01,1.0,-9.231221181,PMM0433
PMM0434,ABC transporter ATP-binding protein,40.01,153.01,0.374164564,-1.93519341,PMM0434
PMM0435,NAD(P)H-quinone oxidoreductase subunit 2,85.01,190.01,0.984421486,-1.160370883,PMM0435
PMM0436,DNA topoisomerase I,67.01,148.01,0.965872752,-1.14324634,PMM0436
PMM0437,hypothetical protein,13.01,12.01,0.800106314,0.115384811,PMM0437
PMM0438,hypothetical protein,0.01,6.01,1.0,-9.231221181,PMM0438
PMM0439,hypothetical protein,0.01,8.01,1.0,-9.645658432,PMM0439
PMM0440,hypothetical protein,0.01,0.01,1.0,0.0,PMM0440
PMM0442,riboflavin synthase subunit alpha,8.01,27.01,1.0,-1.753619492,PMM0442
PMM0443,hypothetical protein,136.01,183.01,1.0,-0.428209754,PMM0443
PMM0444,cytochrome c oxidase subunit III,109.01,129.01,1.0,-0.243022412,PMM0444
PMM0445,cytochrome c oxidase subunit I,57.01,192.01,0.29984289,-1.751894543,PMM0445
PMM0446,cytochrome c oxidase subunit 2,49.01,44.01,0.979706745,0.155244775,PMM0446
PMM0448,protoheme IX farnesyltransferase,33.01,41.01,1.0,-0.313072605,PMM0448
PMM0449,multidrug efflux ABC transporter,0.01,10.01,1.0,-9.967226259,PMM0449
PMM0450,multidrug efflux ABC transporter,5.01,18.01,1.0,-1.845915673,PMM0450
PMM0452,molecular chaperone GroEL,131.01,494.01,0.179089791,-1.914863309,PMM0452
PMM0453,3-oxoacyl-ACP reductase,53.01,298.01,0.052429377,-2.491024297,PMM0453
PMM0454,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,26.01,22.01,1.0,0.240907254,PMM0454
PMM0455,hypothetical protein,28.01,9.01,0.060202776,1.636342972,PMM0455
PMM0456,prenyltransferase,4.01,3.01,1.0,0.41383875,PMM0456
PMM0457,exopolyphosphatase,18.01,25.01,0.985993926,-0.473706876,PMM0457
PMM0459,precorrin-4 C11-methyltransferase,0.01,13.01,1.0,-10.34540525,PMM0459
PMM0460,prolipoprotein diacylglyceryl transferase,106.01,287.01,0.475707768,-1.436900642,PMM0460
PMM0461,apocytochrome f,374.01,1294.01,0.155508034,-1.790700017,PMM0461
PMM0462,cytochrome b6-f complex iron-sulfur subunit,104.01,200.01,1.0,-0.943349891,PMM0462
PMM0464,Tat family protein secretion protein,18.01,35.01,0.558302506,-0.958968881,PMM0464
PMM0465,hypothetical protein,62.01,266.01,0.38878825,-2.100907687,PMM0465
PMM0468,photosystem I reaction center subunit IX,770.01,1466.01,0.636641515,-0.928945857,PMM0468
PMM0469,photosystem I PsaF protein (subunit III),3639.01,11492.01,1.0,-1.659013233,PMM0469
PMM0470,DNA-binding/iron metalloprotein/AP endonuclease,15.01,32.01,0.550784901,-1.0925987,PMM0470
PMM0472,CPA1 family Na+/H+ antiporter,2.01,14.01,0.093698061,-2.801189549,PMM0472
PMM0473,glutamyl-tRNA synthetase,42.01,78.01,1.0,-0.892926287,PMM0473
PMM0474,hypothetical protein,227.01,402.01,1.0,-0.824475538,PMM0474
PMM0475,50S ribosomal protein L19,205.01,329.01,0.970149211,-0.682437151,PMM0475
PMM0476,hypothetical protein,104.01,74.01,0.682200389,0.490930121,PMM0476
PMM0477,methionine aminopeptidase,254.01,430.01,0.946828937,-0.759484916,PMM0477
PMM0478,short chain dehydrogenase,20.01,121.01,0.135165491,-2.596333201,PMM0478
PMM0479,BioD-like N-terminal domain of phosphotransacetylase,17.01,82.01,0.271858654,-2.269416696,PMM0479
PMM0480,hypothetical protein,64.01,139.01,0.831789069,-1.118819457,PMM0480
PMM0481,nucleotide-binding protein,48.01,34.01,0.884840708,0.49737593,PMM0481
PMM0482,Band 7 protein,574.01,1882.01,0.134343102,-1.713126518,PMM0482
PMM0483,glutamate-1-semialdehyde aminotransferase,79.01,245.01,0.361071344,-1.632733467,PMM0483
PMM0484,exodeoxyribonuclease III,15.01,101.01,0.056794624,-2.750502245,PMM0484
PMM0486,hypothetical protein,7.01,19.01,0.559302833,-1.439272183,PMM0486
PMM0487,hypothetical protein,39.01,47.01,1.0,-0.269123682,PMM0487
PMM0488,hypothetical protein,0.01,1.01,1.0,-6.658211483,PMM0488
PMM0489,iron ABC transporter,36.01,81.01,1.0,-1.169702408,PMM0489
PMM0490,hypothetical protein,12.01,33.01,0.505576137,-1.458666988,PMM0490
PMM0491,pterin-4-alpha-carbinolamine dehydratase,25.01,21.01,0.85880987,0.251428896,PMM0491
PMM0492,hypothetical protein,49.01,21.01,0.206767009,1.221999985,PMM0492
PMM0493,carboxypeptidase Taq (M32) metallopeptidase,22.01,46.01,0.874666669,-1.063788311,PMM0493
PMM0494,inorganic pyrophosphatase,92.01,151.01,1.0,-0.714781517,PMM0494
PMM0495,porphobilinogen deaminase,124.01,219.01,0.721571828,-0.820540283,PMM0495
PMM0496,RNA polymerase sigma factor RpoD,312.01,342.01,0.827921366,-0.13244624,PMM0496
PMM0497,primosomal protein N' (replication factor Y),3.01,7.01,1.0,-1.219650957,PMM0497
PMM0499,acetylglutamate kinase,37.01,120.01,1.0,-1.697167585,PMM0499
PMM0500,hypothetical protein,88.01,123.01,1.0,-0.483036241,PMM0500
PMM0502,hypothetical protein,129.01,138.01,0.960025562,-0.097289908,PMM0502
PMM0503,precorrin-6x reductase,23.01,50.01,0.56163883,-1.119955621,PMM0503
PMM0504,CutA1 divalent ion tolerance protein,0.01,5.01,1.0,-8.968666793,PMM0504
PMM0505,carbohydrate kinase,24.01,52.01,0.643609887,-1.115153634,PMM0505
PMM0506,adenylosuccinate synthetase,93.01,194.01,0.9761445,-1.060673275,PMM0506
PMM0507,photosystem II reaction center Psb27 protein,197.01,325.01,1.0,-0.722215247,PMM0507
PMM0508,prolyl-tRNA synthetase,13.01,55.01,0.342366522,-2.080072941,PMM0508
PMM0509,resolvase,56.01,164.01,0.495910122,-1.550027448,PMM0509
PMM0510,Reverse transcriptase (RNA-dependent,147.01,153.01,1.0,-0.057711649,PMM0510
PMM0511,inorganic pyrophosphatase,45.01,234.01,0.154231457,-2.378252712,PMM0511
PMM0512,arsenate reductase,0.01,1.01,1.0,-6.658211483,PMM0512
PMM0515,alpha-ribazole-5'-P phosphatase,19.01,49.01,0.626220606,-1.366317615,PMM0515
PMM0516,membrane-associated protease,9.01,19.01,0.541938041,-1.077159521,PMM0516
PMM0517,hypothetical protein,0.01,0.01,1.0,0.0,PMM0517
PMM0518,peptidoglycan synthetase,0.01,11.01,1.0,-10.10459875,PMM0518
PMM0519,transaldolase B,337.01,636.01,1.0,-0.916258049,PMM0519
PMM0520,NAD binding site,17.01,21.01,0.923684361,-0.304693021,PMM0520
PMM0521,ribosome recycling factor,47.01,208.01,0.270498555,-2.145613301,PMM0521
PMM0522,uridylate kinase,14.01,74.01,0.189206042,-2.401263261,PMM0522
PMM0523,cob(I)alamin adenosyltransferase,30.01,41.01,0.831789069,-0.450532425,PMM0523
PMM0525,ferrochelatase,16.01,49.01,0.495910122,-1.614102839,PMM0525
PMM0526,acetolactate synthase 3 catalytic subunit,88.01,252.01,0.838347389,-1.51774162,PMM0526
PMM0527,hypothetical protein,0.01,13.01,1.0,-10.34540525,PMM0527
PMM0528,hypothetical protein,25.01,13.01,0.392539965,0.942884095,PMM0528
PMM0529,hypothetical protein,8.01,31.01,1.0,-1.952859378,PMM0529
PMM0530,30S ribosomal protein S1,58.01,97.01,1.0,-0.741831852,PMM0530
PMM0531,creatininase,84.01,177.01,0.907577379,-1.075197894,PMM0531
PMM0532,hypothetical protein,360.01,533.01,0.689578978,-0.566125619,PMM0532
PMM0533,hypothetical protein,35.01,48.01,1.0,-0.455567874,PMM0533
PMM0535,short chain dehydrogenase,45.01,32.01,0.672107347,0.491722888,PMM0535
PMM0536,GTP cyclohydrolase I,250.01,275.01,1.0,-0.137498278,PMM0536
PMM0538,hypothetical protein,27.01,16.01,0.443035519,0.754520332,PMM0538
PMM0539,protein ligase,0.01,13.01,1.0,-10.34540525,PMM0539
PMM0541,hypothetical protein,494.01,690.01,0.882921565,-0.482077024,PMM0541
PMM0542,protochlorophyllide oxidoreductase,77.01,171.01,0.597251534,-1.150962989,PMM0542
PMM0543,protochlorophyllide reductase iron-sulfur ATP-binding protein,452.01,1092.01,0.475707768,-1.272559472,PMM0543
PMM0544,light-independent protochlorophyllide reductase subunit B,373.01,906.01,0.348342097,-1.280312666,PMM0544
PMM0545,light-independent protochlorophyllide reductase subunit N,1035.01,2445.01,0.942287716,-1.240195659,PMM0545
PMM0546,hypothetical protein,475.01,1164.01,1.0,-1.293073662,PMM0546
PMM0547,hypothetical protein,13.01,20.01,0.601747221,-0.621100205,PMM0547
PMM0548,HAM1 family protein,20.01,23.01,0.852209236,-0.201539816,PMM0548
PMM0549,carboxysome shell protein CsoS1,782.01,1675.01,1.0,-1.098910747,PMM0549
PMM0550,ribulose bisophosphate carboxylase,396.01,877.01,0.502775497,-1.147056431,PMM0550
PMM0551,"ribulose bisphosphate carboxylase, small chain",175.01,700.01,0.175038416,-1.999938172,PMM0551
PMM0552,carboxysome shell protein CsoS2,132.01,477.01,0.178355107,-1.853372291,PMM0552
PMM0553,carboxysome shell protein CsoS3,11.01,31.01,0.500952045,-1.493919057,PMM0553
PMM0555,carboxysome peptide B,36.01,87.01,0.547923009,-1.272783619,PMM0555
PMM0556,hypothetical protein,0.01,0.01,1.0,0.0,PMM0556
PMM0557,hypothetical protein,247.01,454.01,1.0,-0.878154625,PMM0557
PMM0558,hypothetical protein,40.01,25.01,0.778020561,0.677855571,PMM0558
PMM0560,ATP phosphoribosyltransferase,58.01,56.01,1.0,0.050617191,PMM0560
PMM0561,multidrug efflux ABC transporter,30.01,44.01,1.0,-0.552388053,PMM0561
PMM0563,hypothetical protein,19.01,30.01,0.60125597,-0.658684787,PMM0563
PMM0564,hypothetical protein,56.01,31.01,0.371878722,0.852950902,PMM0564
PMM0565,chromosome replication initiator DnaA,15.01,50.01,0.522898353,-1.736292628,PMM0565
PMM0566,glutathione S-transferase,8.01,4.01,1.0,0.998200006,PMM0566
PMM0567,glutathione reductase (NADPH),23.01,22.01,1.0,0.064101838,PMM0567
PMM0568,CaCA family sodium/calcium exchanger,6.01,7.01,1.0,-0.222049453,PMM0568
PMM0569,dihydroorotase,7.01,17.01,0.556201177,-1.278896792,PMM0569
PMM0570,NADH dehydrogenase subunit NdhL (ndhL),0.01,10.01,1.0,-9.967226259,PMM0570
PMM0571,hypothetical protein,78.01,294.01,0.411439613,-1.914134247,PMM0571
PMM0572,tryptophan synthase subunit alpha,37.01,124.01,0.882921565,-1.744469422,PMM0572
PMM0573,hypothetical protein,465.01,463.01,0.820822171,0.006218389,PMM0573
PMM0574,hypothetical protein,49.01,14.01,0.118035752,1.806619191,PMM0574
PMM0575,hypothetical protein,86.01,192.01,0.68314108,-1.158605139,PMM0575
PMM0576,hypothetical protein,48.01,198.01,0.418668042,-2.044166451,PMM0576
PMM0577,type II alternative sigma-70 family RNA polymerase sigma factor,187.01,336.01,0.655496401,-0.845388752,PMM0577
PMM0578,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein,34.01,207.01,0.071914403,-2.60566955,PMM0578
PMM0579,6-pyruvoyl tetrahydrobiopterin synthase,0.01,8.01,1.0,-9.645658432,PMM0579
PMM0580,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",18.01,18.01,0.982738001,0.0,PMM0580
PMM0581,plastocyanin,761.01,1473.01,0.962137918,-0.952779908,PMM0581
PMM0582,hypothetical protein,53.01,124.01,1.0,-1.226120017,PMM0582
PMM0583,uroporphyrinogen decarboxylase,132.01,168.01,1.0,-0.347899885,PMM0583
PMM0584,glycogen branching protein,89.01,146.01,0.67567014,-0.714027848,PMM0584
PMM0585,hypothetical protein,3.01,23.01,0.056130622,-2.934425591,PMM0585
PMM0587,hypothetical protein,0.01,3.01,1.0,-8.233619677,PMM0587
PMM0588,hypothetical protein,0.01,9.01,1.0,-9.815383296,PMM0588
PMM0589,hypothetical protein,7.01,5.01,1.0,0.484603841,PMM0589
PMM0592,lipase family protein,22.01,8.01,0.247716269,1.458284997,PMM0592
PMM0593,M3 family peptidase,19.01,84.01,0.193644683,-2.143802535,PMM0593
PMM0594,NAD(P)H-quinone oxidoreductase subunit 4,15.01,30.01,0.667737749,-0.999519342,PMM0594
PMM0595,homoserine kinase,18.01,99.01,0.18135884,-2.458776063,PMM0595
PMM0597,threonyl-tRNA synthetase,8.01,30.01,1.0,-1.905569171,PMM0597
PMM0598,tryptophanyl-tRNA synthetase,68.01,134.01,0.962137918,-0.978521864,PMM0598
PMM0599,hypothetical protein,52.01,188.01,0.600284916,-1.853948456,PMM0599
PMM0600,hypothetical protein,41.01,62.01,1.0,-0.596525146,PMM0600
PMM0602,ABC transporter ATP-binding protein,162.01,194.01,1.0,-0.260048151,PMM0602
PMM0603,ABC transporter,51.01,29.01,0.371109797,0.814229805,PMM0603
PMM0604,hypothetical protein,6.01,21.01,1.0,-1.805639266,PMM0604
PMM0605,hypothetical protein,91.01,116.01,1.0,-0.350152191,PMM0605
PMM0606,leader peptidase I,21.01,28.01,0.666511633,-0.414865821,PMM0606
PMM0607,"menaquinone biosynthesis protein; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",0.01,6.01,1.0,-9.231221181,PMM0607
PMM0608,naphthoate synthase,65.01,110.01,1.0,-0.758901113,PMM0608
PMM0609,glycogen synthase,62.01,66.01,0.783516167,-0.090183709,PMM0609
PMM0610,cytoplasmic peptidoglycan synthetase,0.01,7.01,1.0,-9.453270634,PMM0610
PMM0611,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,25.01,50.01,0.882921565,-0.999711548,PMM0611
PMM0612,hypothetical protein,0.01,3.01,1.0,-8.233619677,PMM0612
PMM0613,3-phosphoshikimate 1-carboxyvinyltransferase,18.01,37.01,0.666511633,-1.039116954,PMM0613
PMM0614,2-phosphosulfolactate phosphatase,75.01,111.01,1.0,-0.565534796,PMM0614
PMM0615,nitrilase,80.01,112.01,1.0,-0.485375308,PMM0615
PMM0616,cell wall hydrolase/autolysin,13.01,24.01,0.574515511,-0.884014442,PMM0616
PMM0617,aspartate and glutamate racemase:glutamate racemase,0.01,4.01,1.0,-8.647458426,PMM0617
PMM0618,polyprenyl synthetase,39.01,71.01,0.97705179,-0.864178208,PMM0618
PMM0619,acetyl-coenzyme A synthetase,62.01,173.01,0.651535612,-1.480282634,PMM0619
PMM0620,hypothetical protein,0.01,3.01,1.0,-8.233619677,PMM0620
PMM0621,"DNA polymerase III, epsilon subunit",12.01,34.01,0.528296391,-1.501722855,PMM0621
PMM0623,histidyl-tRNA synthetase,11.01,18.01,0.626220606,-0.709983712,PMM0623
PMM0624,hypothetical protein,0.01,0.01,1.0,0.0,PMM0624
PMM0625,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0625
PMM0627,light-harvesting complex protein,2626.01,7892.01,0.985993926,-1.587520374,PMM0627
PMM0628,sodium/solute symporter family protein,6.01,18.01,0.521874909,-1.583361285,PMM0628
PMM0630,glutathione S-transferase N terminus,0.01,5.01,1.0,-8.968666793,PMM0630
PMM0631,NADH-ubiquinone/plastoquinone (comple,26.01,31.01,0.796855493,-0.253667127,PMM0631
PMM0633,lycopene epsilon cyclase,32.01,45.01,1.0,-0.491722888,PMM0633
PMM0634,light-dependent protochlorophyllide oxido-reductase,0.01,1.01,1.0,-6.658211483,PMM0634
PMM0635,small mechanosensitive ion channel,28.01,111.01,0.35391261,-1.986675755,PMM0635
PMM0637,ferric uptake regulator family protein,176.01,564.01,0.364891056,-1.680063344,PMM0637
PMM0638,hypothetical protein,30.01,40.01,1.0,-0.41491731,PMM0638
PMM0641,hypothetical protein,47.01,84.01,0.84204515,-0.837593387,PMM0641
PMM0642,O-Acetyl homoserine sulfhydrylase,329.01,1109.01,0.121816298,-1.753069035,PMM0642
PMM0643,homoserine O-succinyltransferase,130.01,368.01,0.495574088,-1.501122374,PMM0643
PMM0644,sulfate transporter,34.01,139.01,0.179089791,-2.031157759,PMM0644
PMM0645,"FAD linked oxidase, N-terminal",0.01,9.01,1.0,-9.815383296,PMM0645
PMM0646,hypothetical protein,13.01,9.01,0.818810316,0.530021951,PMM0646
PMM0648,glucose-methanol-choline (GMC) oxidoreductase:NAD binding site,11.01,35.01,0.491966567,-1.668952593,PMM0648
PMM0650,LEM domain-containing protein,0.01,5.01,1.0,-8.968666793,PMM0650
PMM0651,VHS domain-containing protein,22.01,35.01,0.5904093,-0.669607917,PMM0651
PMM0652,5'-3' exonuclease,0.01,8.01,1.0,-9.645658432,PMM0652
PMM0654,hypothetical protein,0.01,2.01,1.0,-7.651051691,PMM0654
PMM0655,hypothetical protein,33.01,13.01,0.371109797,1.343282177,PMM0655
PMM0656,7TM chemoreceptor,0.01,1.01,1.0,-6.658211483,PMM0656
PMM0657,vanadium/alternative nitrogenase delt,0.01,9.01,1.0,-9.815383296,PMM0657
PMM0658,pseudouridylate synthase specific to ribosomal small subunit,0.01,7.01,1.0,-9.453270634,PMM0658
PMM0659,NAD-dependent DNA ligase N-terminus,10.01,18.01,0.579993949,-0.847356207,PMM0659
PMM0661,ribonucleotide reductase (class II),165.01,389.01,0.572898466,-1.237253784,PMM0661
PMM0662,hypothetical protein,8.01,6.01,1.0,0.414437252,PMM0662
PMM0663,peptide chain release factor 3,11.01,27.01,0.515607763,-1.294679171,PMM0663
PMM0665,heat shock protein 33,15.01,9.01,0.924589294,0.736324966,PMM0665
PMM0666,ABC transporter ATP-binding protein,0.01,10.01,1.0,-9.967226259,PMM0666
PMM0669,hypothetical protein,0.01,6.01,1.0,-9.231221181,PMM0669
PMM0670,hypothetical protein,0.01,10.01,1.0,-9.967226259,PMM0670
PMM0671,phosphonate ABC transporter,0.01,2.01,1.0,-7.651051691,PMM0671
PMM0672,phosphonate ABC transporter,6.01,32.01,0.129949613,-2.413085781,PMM0672
PMM0675,uracil-DNA glycosylase,15.01,9.01,1.0,0.736324966,PMM0675
PMM0676,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,18.01,39.01,0.600119632,-1.115045817,PMM0676
PMM0677,carboxyl-terminal processing protease,36.01,66.01,1.0,-0.874286999,PMM0677
PMM0678,quinolinate synthetase,37.01,96.01,0.828231883,-1.375269543,PMM0678
PMM0679,transcripton factor,0.01,2.01,1.0,-7.651051691,PMM0679
PMM0680,hypothetical protein,0.01,7.01,1.0,-9.453270634,PMM0680
PMM0681,hypothetical protein,3.01,4.01,1.0,-0.41383875,PMM0681
PMM0682,3-dehydroquinate synthase,6.01,13.01,1.0,-1.114184066,PMM0682
PMM0683,phosphoribosylaminoimidazole carboxylase ATPase subunit,4.01,15.01,1.0,-1.904249835,PMM0683
PMM0684,hypothetical protein,216.01,462.01,0.592727215,-1.096825976,PMM0684
PMM0685,hypothetical protein,28.01,32.01,0.676603191,-0.192580693,PMM0685
PMM0688,elongation factor Tu domain-containing protein,348.01,632.01,0.704396124,-0.860818623,PMM0688
PMM0689,high light inducible protein,137.01,185.01,1.0,-0.433322057,PMM0689
PMM0690,high light inducible protein,0.01,5.01,1.0,-8.968666793,PMM0690
PMM0691,hypothetical protein,115.01,103.01,1.0,0.158974909,PMM0691
PMM0692,DDT domain-containing protein,33.01,10.01,0.160027478,1.721461164,PMM0692
PMM0693,hypothetical protein,0.01,10.01,1.0,-9.967226259,PMM0693
PMM0694,short-chain dehydrogenase/reductase,21.01,95.01,0.370238079,-2.177003206,PMM0694
PMM0695,glutamine amidotransferase class-I,0.01,6.01,1.0,-9.231221181,PMM0695
PMM0696,hypothetical protein,48.01,33.01,1.0,0.540431797,PMM0696
PMM0700,hypothetical protein,0.01,4.01,1.0,-8.647458426,PMM0700
PMM0701,LysM domain-containing protein,0.01,6.01,1.0,-9.231221181,PMM0701
PMM0702,hypothetical protein,0.01,7.01,1.0,-9.453270634,PMM0702
PMM0703,hypothetical protein,0.01,6.01,1.0,-9.231221181,PMM0703
PMM0705,"two-component response regulator, phosphate",43.01,62.01,0.983740333,-0.527828758,PMM0705
PMM0707,lipoprotein,0.01,2.01,1.0,-7.651051691,PMM0707
PMM0708,secreted protein,7.01,9.01,1.0,-0.362112662,PMM0708
PMM0709,porin,11.01,13.01,0.785139704,-0.240806493,PMM0709
PMM0710,"ABC transporter, substrate binding protein, phosphate",317.01,840.01,0.58713422,-1.405878152,PMM0710
PMM0711,chromate transporter,0.01,0.01,1.0,0.0,PMM0711
PMM0712,major facilitator superfamily multidrug-efflux transporter,11.01,5.01,0.541610419,1.13593196,PMM0712
PMM0713,glyceraldehyde 3-phosphate dehydrogenase,0.01,10.01,1.0,-9.967226259,PMM0713
PMM0714,ArsR family transcriptional regulator,0.01,9.01,1.0,-9.815383296,PMM0714
PMM0716,ACR3 family arsenite transporter,1.01,3.01,1.0,-1.575408194,PMM0716
PMM0717,hypothetical protein,20.01,29.01,0.664163654,-0.535829128,PMM0717
PMM0718,"regulatory proteins, Crp fa",0.01,0.01,1.0,0.0,PMM0718
PMM0719,hypothetical protein,0.01,8.01,1.0,-9.645658432,PMM0719
PMM0720,Poly A polymerase regulatory subunit,0.01,1.01,1.0,-6.658211483,PMM0720
PMM0721,hypothetical protein,0.01,3.01,1.0,-8.233619677,PMM0721
PMM0723,phosphate ABC transporter,0.01,5.01,1.0,-8.968666793,PMM0723
PMM0725,phosphate ABC transporter ATP-binding protein,25.01,55.01,0.559834969,-1.137188845,PMM0725
PMM0726,hypothetical protein,146.01,208.01,1.0,-0.510585707,PMM0726
PMM0727,Serine/threonine specific protein phosphatase,0.01,2.01,1.0,-7.651051691,PMM0727
PMM0728,DEAD/DEAH box helicase domain-containing protein,3.01,3.01,1.0,0.0,PMM0728
PMM0729,ATP-dependent DNA ligase,0.01,1.01,1.0,-6.658211483,PMM0729
PMM0730,hypothetical protein,0.01,6.01,1.0,-9.231221181,PMM0730
PMM0732,major surface glycoprotein,0.01,11.01,1.0,-10.10459875,PMM0732
PMM0733,hypothetical protein,25.01,45.01,0.887620675,-0.847740507,PMM0733
PMM0734,CopG family transcriptional regulator,35.01,21.01,0.946853798,0.7366909,PMM0734
PMM0736,alpha-2-macroglobulin,117.01,62.01,0.309666842,0.916059037,PMM0736
PMM0737,hypothetical protein,44.01,35.01,1.0,0.33006431,PMM0737
PMM0738,hypothetical protein,0.01,6.01,1.0,-9.231221181,PMM0738
PMM0740,cytochrome b6-f complex subunit PetN,0.01,6.01,1.0,-9.231221181,PMM0740
PMM0741,Thf1-like protein,55.01,86.01,0.985993926,-0.644810502,PMM0741
