gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,gene_synonym,locus_tag,ec_numbers
DEH24_20415,,DEH24_20415,GeneMarkS+,2491,2745,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41805.1,,DEH24_20415,
DEH24_20420,,DEH24_20420,Protein Homology,2751,3044,-,,,COORDINATES: similar to AA sequence:RefSeq:NP_716296.1,hypothetical protein,HBY41806.1,,DEH24_20420,
DEH24_20425,,DEH24_20425,Protein Homology,3046,3468,-,,,COORDINATES: protein motif:HMM:PF10805.6,hypothetical protein,HBY41807.1,,DEH24_20425,
DEH24_20430,,DEH24_20430,GeneMarkS+,3461,3694,-,,,COORDINATES: ab initio prediction:GeneMarkS+,molecular chaperone DnaK,HBY41808.1,,DEH24_20430,
DEH24_20435,,DEH24_20435,GeneMarkS+,3694,4200,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41809.1,,DEH24_20435,
DEH24_20440,,DEH24_20440,GeneMarkS+,4200,4469,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41810.1,,DEH24_20440,
DEH24_20445,,DEH24_20445,GeneMarkS+,4466,4990,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41811.1,,DEH24_20445,
DEH24_20450,,DEH24_20450,GeneMarkS+,5049,5639,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41812.1,,DEH24_20450,
DEH24_20455,,DEH24_20455,Protein Homology,6492,7397,-,,,COORDINATES: protein motif:HMM:PF13481.4,hypothetical protein,HBY41813.1,,DEH24_20455,
DEH24_20460,,DEH24_20460,GeneMarkS+,7418,7861,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41814.1,,DEH24_20460,
DEH24_20465,,DEH24_20465,GeneMarkS+,7865,8089,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41815.1,,DEH24_20465,
DEH24_20470,,DEH24_20470,Protein Homology,8101,8313,-,,,COORDINATES: protein motif:HMM:PF04545.14,hypothetical protein,HBY41816.1,,DEH24_20470,
DEH24_20475,,DEH24_20475,Protein Homology,8334,8765,-,,,COORDINATES: protein motif:HMM:PF08765.9,hypothetical protein,HBY41817.1,,DEH24_20475,
DEH24_20480,,DEH24_20480,Protein Homology,8762,9307,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007466003.1,regulatory protein GemA,HBY41818.1,,DEH24_20480,
DEH24_20485,,DEH24_20485,GeneMarkS+,9286,9549,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41819.1,,DEH24_20485,
DEH24_20490,,DEH24_20490,Protein Homology,9904,10596,-,,,COORDINATES: protein motif:HMM:PF11363.6,sulfate transporter,HBY41820.1,,DEH24_20490,
DEH24_20495,,DEH24_20495,GeneMarkS+,10593,10877,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41821.1,,DEH24_20495,
DEH24_20500,,DEH24_20500,Protein Homology,10874,11182,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976465.1,hypothetical protein,HBY41822.1,,DEH24_20500,
DEH24_20505,,DEH24_20505,GeneMarkS+,11189,11737,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41823.1,,DEH24_20505,
DEH24_20510,,DEH24_20510,Protein Homology,11740,12450,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976467.1,DNA transposition protein,HBY41824.1,,DEH24_20510,
DEH24_20515,,DEH24_20515,Protein Homology,12454,14628,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976468.1,integrase,HBY41825.1,,DEH24_20515,
DEH24_20520,,DEH24_20520,Protein Homology,14628,14963,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012815128.1,transcriptional regulator,HBY41826.1,,DEH24_20520,
DEH24_20525,,DEH24_20525,GeneMarkS+,15097,15777,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41827.1,,DEH24_20525,
DEH24_20530,,DEH24_20530,Protein Homology,16586,17470,+,,,COORDINATES: protein motif:HMM:PF16363.3,GDP-mannose 4%2C6 dehydratase,HBY41828.1,,DEH24_20530,
DEH24_20535,,DEH24_20535,Protein Homology,17534,18475,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012569142.1,SDR family NAD-dependent epimerase/dehydratase,HBY41829.1,,DEH24_20535,
DEH24_20540,,DEH24_20540,Protein Homology,18524,19279,+,,,COORDINATES: protein motif:HMM:PF00483.21,nucleotidyl transferase,HBY41830.1,,DEH24_20540,
DEH24_20545,,DEH24_20545,Protein Homology,19313,20299,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006622321.1,sugar dehydratase,HBY41831.1,,DEH24_20545,
DEH24_20550,,DEH24_20550,Protein Homology,20321,21319,+,,,COORDINATES: protein motif:HMM:PF13641.4,glycosyl transferase,HBY41832.1,,DEH24_20550,
DEH24_20555,,DEH24_20555,GeneMarkS+,21362,23491,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41833.1,,DEH24_20555,
DEH24_20560,,DEH24_20560,Protein Homology,23499,24557,+,,,COORDINATES: protein motif:HMM:PF13641.4,glycosyltransferase family 2 protein,HBY41834.1,,DEH24_20560,
DEH24_20565,,DEH24_20565,Protein Homology,24559,25194,+,,,COORDINATES: protein motif:HMM:PF13439.4,hypothetical protein,HBY41835.1,,DEH24_20565,
DEH24_20280,,DEH24_20280,Protein Homology,1,2516,+,,,COORDINATES: protein motif:HMM:PF00271.29,hypothetical protein,HBY41778.1,,DEH24_20280,
DEH24_20285,,DEH24_20285,GeneMarkS+,2570,2959,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41779.1,,DEH24_20285,
DEH24_20290,,DEH24_20290,GeneMarkS+,3746,3943,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41780.1,,DEH24_20290,
DEH24_20295,,DEH24_20295,Protein Homology,3958,4473,+,,,COORDINATES: protein motif:HMM:TIGR00621,hypothetical protein,HBY41781.1,,DEH24_20295,
DEH24_20300,,DEH24_20300,GeneMarkS+,4492,5250,+,,,COORDINATES: ab initio prediction:GeneMarkS+,HNH endonuclease,HBY41782.1,,DEH24_20300,
DEH24_20305,,DEH24_20305,Protein Homology,5310,6197,+,,,COORDINATES: protein motif:HMM:PF00929.22,DNA polymerase III subunit epsilon,HBY41783.1,,DEH24_20305,
DEH24_20310,,DEH24_20310,GeneMarkS+,6217,6429,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41784.1,,DEH24_20310,
DEH24_20315,,DEH24_20315,GeneMarkS+,6426,6665,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41785.1,,DEH24_20315,
DEH24_20320,,DEH24_20320,GeneMarkS+,6669,7184,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41786.1,,DEH24_20320,
DEH24_20325,,DEH24_20325,GeneMarkS+,7218,8192,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41787.1,,DEH24_20325,
DEH24_20330,,DEH24_20330,Protein Homology,8411,9466,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013262640.1,transposase,HBY41788.1,,DEH24_20330,
DEH24_20335,,DEH24_20335,GeneMarkS+,9535,9771,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41789.1,,DEH24_20335,
DEH24_20340,,DEH24_20340,GeneMarkS+,10021,10854,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41790.1,,DEH24_20340,
DEH24_20345,,DEH24_20345,GeneMarkS+,10882,11073,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41791.1,,DEH24_20345,
DEH24_20350,,DEH24_20350,GeneMarkS+,11106,11321,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41792.1,,DEH24_20350,
DEH24_20355,,DEH24_20355,GeneMarkS+,11562,11852,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41793.1,,DEH24_20355,
DEH24_20360,,DEH24_20360,GeneMarkS+,11866,15306,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41794.1,,DEH24_20360,
DEH24_20365,,DEH24_20365,GeneMarkS+,15306,15626,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41795.1,,DEH24_20365,
DEH24_20370,,DEH24_20370,GeneMarkS+,15761,16525,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41796.1,,DEH24_20370,
DEH24_20375,,DEH24_20375,GeneMarkS+,16716,16985,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41797.1,,DEH24_20375,
DEH24_20380,,DEH24_20380,GeneMarkS+,17105,17710,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41798.1,,DEH24_20380,
DEH24_20385,,DEH24_20385,GeneMarkS+,17841,18965,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41799.1,,DEH24_20385,
DEH24_20390,,DEH24_20390,GeneMarkS+,19042,20064,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41800.1,,DEH24_20390,
DEH24_20395,,DEH24_20395,GeneMarkS+,20224,20540,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41801.1,,DEH24_20395,
DEH24_11735,,DEH24_11735,GeneMarkS+,1,418,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40085.1,,DEH24_11735,
DEH24_11740,,DEH24_11740,Protein Homology,421,1521,+,,,COORDINATES: protein motif:HMM:PF07730.11,sensor histidine kinase,HBY40086.1,,DEH24_11740,
DEH24_11745,,DEH24_11745,Protein Homology,1518,2129,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_005407733.1,DNA-binding response regulator,HBY40087.1,,DEH24_11745,
DEH24_11750,,DEH24_11750,Protein Homology,2233,3555,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014999535.1,mechanosensitive ion channel protein,HBY40088.1,,DEH24_11750,
DEH24_11755,,DEH24_11755,Protein Homology,3566,5188,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007639890.1,sigma-70 family RNA polymerase sigma factor,HBY40089.1,,DEH24_11755,
DEH24_11760,,DEH24_11760,Protein Homology,5395,5952,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007639888.1,hypothetical protein,HBY40090.1,,DEH24_11760,
DEH24_11765,,DEH24_11765,Protein Homology,5979,7190,+,,,COORDINATES: protein motif:HMM:PF01757.20,hypothetical protein,HBY40091.1,,DEH24_11765,
DEH24_11770,,DEH24_11770,Protein Homology,7272,8735,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007328274.1,hypothetical protein,HBY40092.1,,DEH24_11770,
DEH24_11775,,DEH24_11775,Protein Homology,8755,9831,-,,,COORDINATES: protein motif:HMM:PF04116.11,hypothetical protein,HBY40093.1,,DEH24_11775,
DEH24_11780,,DEH24_11780,Protein Homology,9764,10837,-,,,COORDINATES: protein motif:HMM:PF00534.18,hypothetical protein,HBY40094.1,,DEH24_11780,
DEH24_11785,,DEH24_11785,Protein Homology,11011,13893,+,,,COORDINATES: protein motif:HMM:PF02836.15%2CHMM:PF02837.16,hypothetical protein,HBY40095.1,,DEH24_11785,
DEH24_11790,,DEH24_11790,GeneMarkS+,14098,14877,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40096.1,,DEH24_11790,
DEH24_11795,,DEH24_11795,Protein Homology,15079,15612,+,,,COORDINATES: protein motif:HMM:PF00106.23,short-chain dehydrogenase,HBY40097.1,,DEH24_11795,
DEH24_06565,,DEH24_06565,Protein Homology,1,98,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_017678904.1,4-carboxymuconolactone decarboxylase,HBY39058.1,,DEH24_06565,
DEH24_06570,,DEH24_06570,Protein Homology,312,1190,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982653.1,MipA/OmpV family protein,HBY39059.1,,DEH24_06570,
DEH24_06575,,DEH24_06575,Protein Homology,1470,1856,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018984476.1,BlaI/MecI/CopY family transcriptional regulator,HBY39060.1,,DEH24_06575,
DEH24_06580,,DEH24_06580,Protein Homology,1849,3057,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014979930.1,energy transducer TonB,HBY39061.1,,DEH24_06580,
DEH24_06585,,DEH24_06585,Protein Homology,3134,4261,-,,,COORDINATES: protein motif:HMM:PF06283.9,ThuA domain-containing protein,HBY39062.1,,DEH24_06585,
DEH24_06590,,DEH24_06590,Protein Homology,4273,4875,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014036313.1,Twin-arginine translocation pathway signal,HBY39063.1,,DEH24_06590,
DEH24_06595,,DEH24_06595,Protein Homology,4875,6566,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516945.1,GMC family oxidoreductase,HBY39064.1,,DEH24_06595,
DEH24_06600,,DEH24_06600,GeneMarkS+,7024,7619,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39065.1,,DEH24_06600,
DEH24_07210,,DEH24_07210,Protein Homology,1,482,+,,,COORDINATES: similar to AA sequence:RefSeq:YP_109897.1,chemotaxis response regulator protein-glutamate methylesterase,HBY39185.1,,DEH24_07210,
aroQ,aroQ,DEH24_07215,Protein Homology,1060,1500,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013786605.1,type II 3-dehydroquinate dehydratase,HBY39186.1,,DEH24_07215,
DEH24_07220,,DEH24_07220,Protein Homology,1512,1970,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014951276.1,acetyl-CoA carboxylase biotin carboxyl carrier protein,HBY39187.1,,DEH24_07220,
DEH24_07225,,DEH24_07225,Protein Homology,1984,2249,+,an AccC homodimer forms the biotin carboxylase subunit of the acetyl CoA carboxylase%2C an enzyme that catalyzes the formation of malonyl-CoA%2C which in turn controls the rate of fatty acid metabolism,,COORDINATES: similar to AA sequence:RefSeq:WP_014291619.1,acetyl-CoA carboxylase biotin carboxylase subunit,HBY39188.1,,DEH24_07225,6.4.1.2
DEH24_07230,,DEH24_07230,Protein Homology,2564,2756,+,an AccC homodimer forms the biotin carboxylase subunit of the acetyl CoA carboxylase%2C an enzyme that catalyzes the formation of malonyl-CoA%2C which in turn controls the rate of fatty acid metabolism,,COORDINATES: similar to AA sequence:RefSeq:WP_014291619.1,acetyl-CoA carboxylase biotin carboxylase subunit,HBY39189.1,,DEH24_07230,6.4.1.2
DEH24_04925,,DEH24_04925,Protein Homology,1,1652,-,,,COORDINATES: protein motif:HMM:PF00512.23%2CHMM:PF08448.8,hypothetical protein,HBY38734.1,,DEH24_04925,
DEH24_04930,,DEH24_04930,Protein Homology,1996,2702,+,,,COORDINATES: protein motif:HMM:PF00072.22%2CHMM:TIGR00254,diguanylate cyclase response regulator,HBY38735.1,,DEH24_04930,
DEH24_01370,,DEH24_01370,Protein Homology,10,825,-,Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases,,COORDINATES: similar to AA sequence:RefSeq:WP_008306577.1,DNA-formamidopyrimidine glycosylase,HBY38033.1,,DEH24_01370,3.2.2.23
DEH24_01375,,DEH24_01375,GeneMarkS+,825,1301,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38034.1,,DEH24_01375,
rpmG,rpmG,DEH24_01380,Protein Homology,1385,1540,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010364212.1,50S ribosomal protein L33,HBY38035.1,,DEH24_01380,
DEH24_01385,,DEH24_01385,Protein Homology,1553,1789,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,HBY38036.1,,DEH24_01385,
DEH24_01390,,DEH24_01390,Protein Homology,1975,3969,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947756.1,YjbH domain-containing protein,HBY38037.1,,DEH24_01390,
DEH24_01395,,DEH24_01395,Protein Homology,4083,4814,-,,,COORDINATES: protein motif:HMM:PF06251.9,hypothetical protein,HBY38038.1,,DEH24_01395,
DEH24_01400,,DEH24_01400,Protein Homology,4816,5508,-,,,COORDINATES: protein motif:HMM:PF11102.6,hypothetical protein,HBY38039.1,,DEH24_01400,
DEH24_01410,,DEH24_01410,Protein Homology,6160,6834,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014107086.1,JAB domain-containing protein,HBY38040.1,,DEH24_01410,
coaBC,coaBC,DEH24_01415,Protein Homology,7031,8236,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,HBY38041.1,,DEH24_01415,
DEH24_01420,,DEH24_01420,Protein Homology,8302,8892,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007642014.1,nucleoid occlusion factor SlmA,HBY38042.1,,DEH24_01420,
DEH24_01425,,DEH24_01425,Protein Homology,8989,9561,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007634292.1,TetR/AcrR family transcriptional regulator,HBY38043.1,,DEH24_01425,
DEH24_01430,,DEH24_01430,Protein Homology,9751,10077,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 domain-containing protein,HBY38044.1,,DEH24_01430,
DEH24_01435,,DEH24_01435,GeneMarkS+,10115,10603,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38045.1,,DEH24_01435,
DEH24_01440,,DEH24_01440,Protein Homology,10696,11430,+,,,COORDINATES: protein motif:HMM:PF00154.19,hypothetical protein,HBY38046.1,,DEH24_01440,
DEH24_01445,,DEH24_01445,GeneMarkS+,11443,12747,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38047.1,,DEH24_01445,
DEH24_15880,,DEH24_15880,Protein Homology,1,1281,-,NADP-specific%2C catalyzes the formation of 2-oxoglutarate from isocitrate or oxalosuccinate,,COORDINATES: similar to AA sequence:RefSeq:WP_007987973.1,NADP-dependent isocitrate dehydrogenase,HBY40904.1,,DEH24_15880,1.1.1.42
DEH24_15885,,DEH24_15885,Protein Homology,1706,2356,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014979199.1,rRNA large subunit pseudouridine synthase E,HBY40905.1,,DEH24_15885,
mnmA,mnmA,DEH24_15890,Protein Homology,2430,3539,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014109110.1,tRNA 2-thiouridine(34) synthase MnmA,HBY40906.1,,DEH24_15890,
DEH24_15895,,DEH24_15895,Protein Homology,3533,4159,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784398.1,lysogenization regulator HflD,HBY40907.1,,DEH24_15895,
DEH24_15900,,DEH24_15900,Protein Homology,4174,5547,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014109112.1,adenylosuccinate lyase,HBY40908.1,,DEH24_15900,
DEH24_15905,,DEH24_15905,Protein Homology,5594,6778,+,,,COORDINATES: protein motif:HMM:PF00211.18,hypothetical protein,HBY40909.1,,DEH24_15905,
DEH24_15910,,DEH24_15910,Protein Homology,6864,7982,+,,,COORDINATES: protein motif:HMM:PF08007.10,cupin domain-containing protein,HBY40910.1,,DEH24_15910,
DEH24_15915,,DEH24_15915,Protein Homology,7993,8451,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998218.1,N-acetyltransferase,HBY40911.1,,DEH24_15915,
DEH24_15920,,DEH24_15920,Protein Homology,8458,8718,-,,,COORDINATES: protein motif:HMM:PF16108.3,hypothetical protein,HBY40912.1,,DEH24_15920,
DEH24_15925,,DEH24_15925,Protein Homology,8855,11896,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784405.1,hypothetical protein,HBY40913.1,,DEH24_15925,
DEH24_15930,,DEH24_15930,Protein Homology,12167,12382,+,,,COORDINATES: protein motif:HMM:PF11127.6,DUF2892 domain-containing protein,HBY40914.1,,DEH24_15930,
DEH24_15935,,DEH24_15935,Protein Homology,12402,14351,+,,,COORDINATES: protein motif:HMM:TIGR00254,hypothetical protein,HBY40915.1,,DEH24_15935,
DEH24_15940,,DEH24_15940,Protein Homology,14471,14673,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007643576.1,tellurium resistance protein TerC,HBY40916.1,,DEH24_15940,
DEH24_00515,,DEH24_00515,Protein Homology,1,526,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014950199.1,rhomboid family intramembrane serine protease,HBY37863.1,,DEH24_00515,
DEH24_00520,,DEH24_00520,Protein Homology,535,1701,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013814624.1,hypothetical protein,HBY37864.1,,DEH24_00520,
DEH24_00525,,DEH24_00525,Protein Homology,1705,2322,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007625477.1,DUF1190 domain-containing protein,HBY37865.1,,DEH24_00525,
DEH24_00530,,DEH24_00530,Protein Homology,2332,2748,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007989002.1,DUF350 domain-containing protein,HBY37866.1,,DEH24_00530,
DEH24_00535,,DEH24_00535,Protein Homology,2767,3411,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011574079.1,DUF2491 domain-containing protein,HBY37867.1,,DEH24_00535,
DEH24_00540,,DEH24_00540,Protein Homology,3404,4465,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011574080.1,potassium channel protein,HBY37868.1,,DEH24_00540,
DEH24_00545,,DEH24_00545,Protein Homology,4601,5281,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007106035.1,phage shock protein A,HBY37869.1,,DEH24_00545,
DEH24_00550,,DEH24_00550,Protein Homology,5299,5688,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007641121.1,DUF2170 domain-containing protein,HBY37870.1,,DEH24_00550,
DEH24_00555,,DEH24_00555,Protein Homology,5928,6182,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013783250.1,hypothetical protein,HBY37871.1,,DEH24_00555,
DEH24_00560,,DEH24_00560,Protein Homology,6613,7659,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006992083.1,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,HBY37872.1,,DEH24_00560,
DEH24_00565,,DEH24_00565,Protein Homology,7764,8605,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008302457.1,tRNA guanosine(34) transglycosylase Tgt,HBY37873.1,,DEH24_00565,
DEH24_18480,,DEH24_18480,Protein Homology,481,3138,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516758.1,TonB-dependent receptor,HBY41423.1,,DEH24_18480,
DEH24_18485,,DEH24_18485,Protein Homology,3355,3628,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996936.1,glycoside hydrolase family 2,HBY41424.1,,DEH24_18485,
DEH24_02860,,DEH24_02860,Protein Homology,1,1075,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998754.1,peptidase M1,HBY38328.1,,DEH24_02860,
DEH24_02865,,DEH24_02865,Protein Homology,1188,1439,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009722459.1,DUF2798 domain-containing protein,HBY38329.1,,DEH24_02865,
DEH24_02870,,DEH24_02870,Protein Homology,1549,1956,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008130572.1,LysR family transcriptional regulator,HBY38330.1,,DEH24_02870,
DEH24_02875,,DEH24_02875,Protein Homology,1963,2430,+,,,COORDINATES: protein motif:HMM:PF03466.18,hypothetical protein,HBY38331.1,,DEH24_02875,
nhaA,nhaA,DEH24_02880,Protein Homology,2488,3684,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019439258.1,Na+/H+ antiporter NhaA,HBY38332.1,,DEH24_02880,
DEH24_02885,,DEH24_02885,Protein Homology,3819,5359,+,,,COORDINATES: protein motif:HMM:PF00990.19,hypothetical protein,HBY38333.1,,DEH24_02885,
DEH24_02890,,DEH24_02890,Protein Homology,5663,5808,+,,,COORDINATES: protein motif:HMM:PF00563.18,hypothetical protein,HBY38334.1,,DEH24_02890,
DEH24_05150,,DEH24_05150,Protein Homology,1,496,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007984470.1,3-hydroxyisobutyrate dehydrogenase,HBY38779.1,,DEH24_05150,
DEH24_05155,,DEH24_05155,Protein Homology,639,2153,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012518398.1,DUF3413 domain-containing protein,HBY38780.1,,DEH24_05155,
DEH24_05160,,DEH24_05160,Protein Homology,2160,2381,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012518399.1,DUF1414 domain-containing protein,HBY38781.1,,DEH24_05160,
DEH24_05165,,DEH24_05165,Protein Homology,2518,3555,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007625792.1,nucleoid-associated protein YejK,HBY38782.1,,DEH24_05165,
DEH24_05170,,DEH24_05170,Protein Homology,3661,4536,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784023.1,hypothetical protein,HBY38783.1,,DEH24_05170,
DEH24_05175,,DEH24_05175,Protein Homology,4631,5338,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014108970.1,M23 family peptidase,HBY38784.1,,DEH24_05175,
DEH24_05180,,DEH24_05180,Protein Homology,5436,7214,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784025.1,protease,HBY38785.1,,DEH24_05180,
DEH24_05185,,DEH24_05185,Protein Homology,7335,8021,+,,,COORDINATES: protein motif:HMM:PF12945.5,flagellar brake protein,HBY38786.1,,DEH24_05185,
DEH24_05190,,DEH24_05190,Protein Homology,8099,8560,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014108967.1,hypothetical protein,HBY38787.1,,DEH24_05190,
DEH24_05195,,DEH24_05195,Protein Homology,8731,9804,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067238.1,sensor histidine kinase,HBY38788.1,,DEH24_05195,
DEH24_05200,,DEH24_05200,Protein Homology,9807,10634,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784030.1,DNA-binding response regulator,HBY38789.1,,DEH24_05200,
DEH24_05205,,DEH24_05205,Protein Homology,10844,11783,+,,,COORDINATES: similar to AA sequence:RefSeq:NP_639457.1,1%2C4-beta-xylanase,HBY38790.1,,DEH24_05205,
DEH24_05290,,DEH24_05290,GeneMarkS+,1,352,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38806.1,,DEH24_05290,
DEH24_05295,,DEH24_05295,Protein Homology,345,803,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011576125.1,acyl-CoA thioesterase,HBY38807.1,,DEH24_05295,
DEH24_05300,,DEH24_05300,Protein Homology,810,1994,+,,,COORDINATES: protein motif:HMM:TIGR02281,hypothetical protein,HBY38808.1,,DEH24_05300,
fadH,fadH,DEH24_05305,Protein Homology,2026,4071,-,catalyzes the formation of trans-2- enoyl-CoA from 2%2C4-dienoyl-CoA,,COORDINATES: similar to AA sequence:RefSeq:WP_011574216.1,NADPH-dependent 2%2C4-dienoyl-CoA reductase,HBY38809.1,,DEH24_05305,1.3.1.34
DEH24_05310,,DEH24_05310,Protein Homology,4190,4804,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014949985.1,TetR/AcrR family transcriptional regulator,HBY38810.1,,DEH24_05310,
