protein_id,product,Prediction
WP_061438880.1,error-prone DNA polymerase _Alteromonas macleodii_,OTHER
WP_061438881.1,DNA polymerase Y family protein _Alteromonas macleodii_,OTHER
WP_061438884.1,recombinase RecA _Alteromonas macleodii_,OTHER
WP_061438886.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_061438888.1,DUF885 domain-containing protein _Alteromonas macleodii_,SP
WP_061438894.1,MULTISPECIES_ DUF1820 family protein _Alteromonas_,OTHER
WP_061438895.1,bifunctional phosphopantothenoylcysteine decarboxylase_phosphopantothenate--cysteine ligase CoaBC _Alteromonas macleodii_,OTHER
WP_061438898.1,bifunctional DNA-formamidopyrimidine glycosylase_DNA-_apurinic or apyrimidinic site_ lyase _Alteromonas macleodii_,OTHER
WP_061438900.1,pantetheine-phosphate adenylyltransferase _Alteromonas macleodii_,OTHER
WP_061438903.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061438906.1,EAL domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438908.1,4-hydroxybenzoate octaprenyltransferase _Alteromonas macleodii_,OTHER
WP_061438910.1,DNA helicase Rep _Alteromonas macleodii_,OTHER
WP_061438912.1,HipA domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438914.1,helix-turn-helix domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438916.1,Na__H_ antiporter NhaC _Alteromonas macleodii_,OTHER
WP_061438918.1,BCCT family transporter _Alteromonas macleodii_,OTHER
WP_061438920.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061438921.1,DUF2960 family protein _Alteromonas macleodii_,OTHER
WP_061438923.1,ATP-binding protein _Alteromonas macleodii_,OTHER
WP_061438925.1,SIR2 family protein _Alteromonas macleodii_,OTHER
WP_061438931.1,DUF4124 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438932.1,class I SAM-dependent methyltransferase _Alteromonas macleodii_,OTHER
WP_061438933.1,TonB-dependent siderophore receptor _Alteromonas macleodii_,SP
WP_061438935.1,acyl-CoA dehydrogenase family protein _Alteromonas macleodii_,OTHER
WP_061438938.1,DUF697 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438940.1,2-iminoacetate synthase ThiH _Alteromonas macleodii_,OTHER
WP_061438943.1,thiazole synthase _Alteromonas macleodii_,OTHER
WP_061438944.1,HesA_MoeB_ThiF family protein _Alteromonas macleodii_,OTHER
WP_061438946.1,thiamine phosphate synthase _Alteromonas macleodii_,OTHER
WP_061438948.1,phosphomethylpyrimidine synthase ThiC _Alteromonas macleodii_,OTHER
WP_061438950.1,heme biosynthesis protein _Alteromonas macleodii_,OTHER
WP_061438952.1,uroporphyrinogen-III C-methyltransferase _Alteromonas macleodii_,OTHER
WP_061438954.1,uroporphyrinogen-III synthase _Alteromonas macleodii_,OTHER
WP_061438956.1,guanylate kinase _Alteromonas macleodii_,OTHER
WP_061438957.1,class I SAM-dependent methyltransferase _Alteromonas macleodii_,OTHER
WP_061438959.1,extracellular solute-binding protein _Alteromonas macleodii_,TAT
WP_061438961.1,NAD_P__FAD-dependent oxidoreductase _Alteromonas macleodii_,OTHER
WP_061438963.1,LapA family protein _Alteromonas macleodii_,OTHER
WP_061438965.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061438967.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_061438970.1,mechanosensitive ion channel _Alteromonas macleodii_,OTHER
WP_061438972.1,glucosaminidase domain-containing protein _Alteromonas macleodii_,OTHER
WP_061438975.1,sigma-70 family RNA polymerase sigma factor _Alteromonas macleodii_,OTHER
WP_061438978.1,MULTISPECIES_ mechanosensitive ion channel _Alteromonas_,OTHER
WP_061438980.1,MULTISPECIES_ magnesium transporter _Alteromonas_,OTHER
WP_061438982.1,MULTISPECIES_ DUF21 domain-containing protein _Alteromonas_,OTHER
WP_061438984.1,MULTISPECIES_ 30S ribosomal protein S6--L-glutamate ligase _Alteromonas_,OTHER
WP_061438987.1,MULTISPECIES_ M14 family metallopeptidase _Alteromonas_,OTHER
WP_061438989.1,MULTISPECIES_ outer membrane beta-barrel protein _Alteromonas_,SP
WP_061438997.1,MULTISPECIES_ molecular chaperone DnaJ _Alteromonas_,OTHER
WP_061438999.1,histone deacetylase family protein _Alteromonas macleodii_,OTHER
WP_061439000.1,MULTISPECIES_ glutaredoxin _Alteromonas_,OTHER
WP_061439003.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_061439009.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439011.1,DUF3300 domain-containing protein _Alteromonas macleodii_,SP
WP_061439013.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_061439015.1,MULTISPECIES_ DNA helicase RecQ _Alteromonas_,OTHER
WP_061439017.1,DNA helicase II _Alteromonas macleodii_,OTHER
WP_061439020.1,IS4 family transposase _Alteromonas macleodii_,OTHER
WP_061439022.1,HAD-IA family hydrolase _Alteromonas macleodii_,OTHER
WP_061439024.1,tyrosine recombinase XerC _Alteromonas macleodii_,OTHER
WP_061439026.1,extracellular solute-binding protein _Alteromonas macleodii_,SP
WP_061439028.1,S1_P1 nuclease _Alteromonas macleodii_,SP
WP_061439033.1,dihydrodipicolinate synthase family protein _Alteromonas macleodii_,OTHER
WP_061439035.1,MFS transporter _Alteromonas macleodii_,OTHER
WP_061439037.1,galactokinase _Alteromonas macleodii_,OTHER
WP_061439040.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439044.1,alpha-galactosidase _Alteromonas macleodii_,OTHER
WP_061439046.1,glycerol kinase GlpK _Alteromonas macleodii_,OTHER
WP_061439048.1,glycerol-3-phosphate dehydrogenase _Alteromonas macleodii_,OTHER
WP_061439053.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439054.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439056.1,MULTISPECIES_ PilN domain-containing protein _Alteromonas_,OTHER
WP_061439059.1,MULTISPECIES_ type II secretion system protein M _Alteromonas_,OTHER
WP_061439061.1,pilus _MSHA type_ biogenesis protein MshL _Alteromonas macleodii_,LIPO
WP_061439063.1,AAA family ATPase _Alteromonas macleodii_,OTHER
WP_061439065.1,tetratricopeptide repeat protein _Alteromonas macleodii_,OTHER
WP_061439067.1,GspE_PulE family protein _Alteromonas macleodii_,OTHER
WP_061439069.1,type II secretion system F family protein _Alteromonas macleodii_,OTHER
WP_061439071.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439073.1,type II secretion system GspH family protein _Alteromonas macleodii_,PILIN
WP_061439074.1,type II secretion system GspH family protein _Alteromonas macleodii_,PILIN
WP_061439076.1,prepilin-type N-terminal cleavage_methylation domain-containing protein _Alteromonas macleodii_,PILIN
WP_061439078.1,type II secretion system GspH family protein _Alteromonas macleodii_,PILIN
WP_061439080.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439082.1,H-type lectin domain-containing protein _Alteromonas macleodii_,SP
WP_061439084.1,MULTISPECIES_ Maf family protein _Alteromonas_,OTHER
WP_061439086.1,TIGR02099 family protein _Alteromonas macleodii_,OTHER
WP_061439088.1,carbon-nitrogen hydrolase family protein _Alteromonas macleodii_,OTHER
WP_061439090.1,metalloprotease TldD _Alteromonas macleodii_,OTHER
WP_061439092.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439094.1,ribosome-associated protein _Alteromonas macleodii_,OTHER
WP_061439098.1,metalloprotease PmbA _Alteromonas macleodii_,OTHER
WP_061439100.1,MULTISPECIES_ AraC family transcriptional regulator _Alteromonas_,OTHER
WP_061439102.1,beta-galactosidase _Alteromonas macleodii_,OTHER
WP_061439104.1,glycogen synthase GlgA _Alteromonas macleodii_,OTHER
WP_061439106.1,MULTISPECIES_ methyltransferase _Alteromonas_,OTHER
WP_061439108.1,tRNA _guanosine_46_-N7_-methyltransferase TrmB _Alteromonas macleodii_,OTHER
WP_061439110.1,alpha_beta fold hydrolase _Alteromonas macleodii_,OTHER
WP_061439112.1,A_G-specific adenine glycosylase _Alteromonas macleodii_,OTHER
WP_061439114.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439115.1,AAA family ATPase _Alteromonas macleodii_,OTHER
WP_061439117.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439119.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439121.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439123.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439127.1,DUF429 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439129.1,DUF2034 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439131.1,MULTISPECIES_ RNase H1_viroplasmin domain-containing protein _Alteromonas_,OTHER
WP_061439133.1,DUF2787 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439135.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439137.1,ATP-binding protein _Alteromonas macleodii_,OTHER
WP_061439139.1,tyrosine-type recombinase_integrase _Alteromonas macleodii_,OTHER
WP_061439142.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439144.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439146.1,MULTISPECIES_ CusA_CzcA family heavy metal efflux RND transporter _Alteromonas_,OTHER
WP_061439148.1,TolC family protein _Alteromonas macleodii_,SP
WP_061439150.1,M56 family metallopeptidase _Alteromonas macleodii_,OTHER
WP_061439154.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_061439156.1,MULTISPECIES_ chemotaxis protein CheW _Alteromonas_,OTHER
WP_061439160.1,MULTISPECIES_ chemotaxis protein CheR _Alteromonas_,OTHER
WP_061439163.1,MULTISPECIES_ chemoreceptor glutamine deamidase CheD _Alteromonas_,OTHER
WP_061439165.1,MULTISPECIES_ chemotaxis response regulator protein-glutamate methylesterase _Alteromonas_,OTHER
WP_061439167.1,methyl-accepting chemotaxis protein _Alteromonas macleodii_,OTHER
WP_061439169.1,chemotaxis protein CheW _Alteromonas macleodii_,OTHER
WP_061439171.1,methyl-accepting chemotaxis protein _Alteromonas macleodii_,OTHER
WP_061439173.1,MULTISPECIES_ chemotaxis protein CheR _Alteromonas_,OTHER
WP_061439178.1,haloacid dehalogenase type II _Alteromonas macleodii_,OTHER
WP_061439181.1,IS4 family transposase _Alteromonas macleodii_,OTHER
WP_061439183.1,TonB-dependent receptor _Alteromonas macleodii_,SP
WP_061439188.1,"alpha,alpha-trehalase _Alteromonas macleodii_",OTHER
WP_061439192.1,sugar phosphate isomerase_epimerase _Alteromonas macleodii_,TAT
WP_061439194.1,Gfo_Idh_MocA family oxidoreductase _Alteromonas macleodii_,OTHER
WP_061439195.1,sugar phosphate isomerase_epimerase _Alteromonas macleodii_,OTHER
WP_061439197.1,nucleoside permease _Alteromonas macleodii_,OTHER
WP_061439199.1,TIM barrel protein _Alteromonas macleodii_,TAT
WP_061439201.1,iron-containing alcohol dehydrogenase _Alteromonas macleodii_,OTHER
WP_061439204.1,branched-chain amino acid aminotransferase _Alteromonas macleodii_,OTHER
WP_061439205.1,aconitate hydratase AcnA _Alteromonas macleodii_,OTHER
WP_061439206.1,50S ribosomal protein L2 _Alteromonas macleodii_,OTHER
WP_061439208.1,sodium_proton antiporter _Alteromonas macleodii_,OTHER
WP_061439209.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439211.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_061439213.1,M3 family metallopeptidase _Alteromonas macleodii_,LIPO
WP_061439215.1,TetR_AcrR family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_061439217.1,DNA topoisomerase IV subunit A _Alteromonas macleodii_,OTHER
WP_061439220.1,bifunctional diguanylate cyclase_phosphodiesterase _Alteromonas macleodii_,OTHER
WP_061439222.1,succinylglutamate-semialdehyde dehydrogenase _Alteromonas macleodii_,OTHER
WP_061439224.1,aminodeoxychorismate_anthranilate synthase component II _Alteromonas macleodii_,OTHER
WP_061439226.1,tryptophan--tRNA ligase _Alteromonas macleodii_,OTHER
WP_061439228.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439230.1,PBP1A family penicillin-binding protein _Alteromonas macleodii_,OTHER
WP_061439232.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_061439234.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439236.1,TetR family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_061439241.1,EAL domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439243.1,argininosuccinate lyase _Alteromonas macleodii_,OTHER
WP_061439245.1,MULTISPECIES_ argininosuccinate synthase _Alteromonas_,OTHER
WP_061439246.1,ornithine carbamoyltransferase _Alteromonas macleodii_,OTHER
WP_061439247.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439248.1,flagellar assembly protein T N-terminal domain-containing protein _Alteromonas macleodii_,SP
WP_061439250.1,Spy_CpxP family protein refolding chaperone _Alteromonas macleodii_,SP
WP_061439251.1,alpha_beta fold hydrolase _Alteromonas macleodii_,OTHER
WP_061439253.1,MULTISPECIES_ MacB family efflux pump subunit _Alteromonas_,OTHER
WP_061439255.1,TolC family protein _Alteromonas macleodii_,LIPO
WP_061439262.1,IS110 family transposase _Alteromonas macleodii_,OTHER
WP_061439265.1,divergent polysaccharide deacetylase family protein _Alteromonas macleodii_,SP
WP_061439269.1,small ribosomal subunit biogenesis GTPase RsgA _Alteromonas macleodii_,OTHER
WP_061439274.1,group II intron reverse transcriptase_maturase _Alteromonas macleodii_,OTHER
WP_061439275.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439277.1,ATP-dependent RNA helicase RhlB _Alteromonas macleodii_,OTHER
WP_061439278.1,amidohydrolase _Alteromonas macleodii_,SP
WP_061439280.1,ATP-binding protein _Alteromonas macleodii_,OTHER
WP_061439282.1,5-_carboxyamino_imidazole ribonucleotide synthase _Alteromonas macleodii_,OTHER
WP_061439284.1,copper chaperone PCu_A_C _Alteromonas macleodii_,SP
WP_061439286.1,PQQ-dependent sugar dehydrogenase _Alteromonas macleodii_,SP
WP_061439288.1,S9 family peptidase _Alteromonas macleodii_,SP
WP_061439290.1,thioredoxin _Alteromonas macleodii_,OTHER
WP_061439296.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439298.1,aminotransferase class V-fold PLP-dependent enzyme _Alteromonas macleodii_,OTHER
WP_061439300.1,MULTISPECIES_ aldehyde dehydrogenase family protein _Alteromonas_,OTHER
WP_061439302.1,VOC family protein _Alteromonas macleodii_,OTHER
WP_061439304.1,gamma-glutamyltransferase _Alteromonas macleodii_,LIPO
WP_061439306.1,beta-hexosaminidase _Alteromonas macleodii_,SP
WP_061439308.1,mechanosensitive ion channel _Alteromonas macleodii_,OTHER
WP_061439309.1,DUF1343 domain-containing protein _Alteromonas macleodii_,LIPO
WP_061439312.1,alanine racemase _Alteromonas macleodii_,OTHER
WP_061439314.1,YitT family protein _Alteromonas macleodii_,OTHER
WP_061439318.1,transporter substrate-binding domain-containing protein _Alteromonas macleodii_,SP
WP_061439320.1,alginate export family protein _Alteromonas macleodii_,SP
WP_061439323.1,serine hydroxymethyltransferase _Alteromonas macleodii_,OTHER
WP_061439325.1,GNAT family N-acetyltransferase _Alteromonas macleodii_,OTHER
WP_061439332.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439334.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439335.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439338.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439340.1,IS110 family transposase _Alteromonas macleodii_,OTHER
WP_061439342.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439344.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_061439346.1,IS110 family transposase _Alteromonas macleodii_,OTHER
WP_061439348.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439353.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_061439355.1,MULTISPECIES_ type II toxin-antitoxin system RelE_ParE family toxin _Alteromonas_,OTHER
WP_061439362.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_061439364.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439367.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439370.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439372.1,integron integrase _Alteromonas macleodii_,OTHER
WP_061439374.1,acetyl-CoA C-acyltransferase FadA _Alteromonas macleodii_,OTHER
WP_061439376.1,fatty acid oxidation complex subunit alpha FadB _Alteromonas macleodii_,OTHER
WP_061439378.1,transglycosylase SLT domain-containing protein _Alteromonas macleodii_,SP
WP_061439380.1,divalent cation transporter _Alteromonas macleodii_,OTHER
WP_061439385.1,"superoxide dismutase, Ni _Alteromonas macleodii_",OTHER
WP_061439392.1,tRNA pseudouridine_13_ synthase TruD _Alteromonas macleodii_,OTHER
WP_061439395.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase _Alteromonas macleodii_,OTHER
WP_061439398.1,TIGR03545 family protein _Alteromonas macleodii_,OTHER
WP_061439400.1,methyl-accepting chemotaxis protein _Alteromonas macleodii_,OTHER
WP_061439403.1,zinc-dependent alcohol dehydrogenase family protein _Alteromonas macleodii_,OTHER
WP_061439404.1,bifunctional proline dehydrogenase_L-glutamate gamma-semialdehyde dehydrogenase PutA _Alteromonas macleodii_,OTHER
WP_061439406.1,TIGR04211 family SH3 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439409.1,helix-turn-helix domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439411.1,sulfite exporter TauE_SafE family protein _Alteromonas macleodii_,OTHER
WP_061439413.1,DUF3530 family protein _Alteromonas macleodii_,SP
WP_061439415.1,RNA polymerase-associated protein RapA _Alteromonas macleodii_,OTHER
WP_061439417.1,DUF4019 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061439418.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439421.1,PhoH family protein _Alteromonas macleodii_,OTHER
WP_061439423.1,PLP-dependent aminotransferase family protein _Alteromonas macleodii_,OTHER
WP_061439425.1,cytochrome c oxidase accessory protein CcoG _Alteromonas macleodii_,OTHER
WP_061439430.1,tryptophan 7-halogenase _Alteromonas macleodii_,OTHER
WP_061439437.1,siroheme synthase CysG _Alteromonas macleodii_,OTHER
WP_061439439.1,DEAD_DEAH box helicase _Alteromonas macleodii_,OTHER
WP_061439441.1,PEP-CTERM system TPR-repeat protein PrsT _Alteromonas macleodii_,LIPO
WP_061439450.1,MULTISPECIES_ IS1182 family transposase _Alteromonas_,OTHER
WP_061439458.1,MULTISPECIES_ ion transporter _Alteromonas_,OTHER
WP_061439460.1,metallophosphoesterase _Alteromonas macleodii_,OTHER
WP_061439462.1,esterase YqiA _Alteromonas macleodii_,OTHER
WP_061439465.1,DNA topoisomerase IV subunit B _Alteromonas macleodii_,OTHER
WP_061439472.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439473.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439474.1,Hsp70 family protein _Alteromonas macleodii_,OTHER
WP_061439478.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439480.1,peptidoglycan-binding protein _Alteromonas macleodii_,OTHER
WP_061439482.1,ISAs1 family transposase _Alteromonas macleodii_,OTHER
WP_061439484.1,HAD family phosphatase _Alteromonas macleodii_,OTHER
WP_061439486.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061439488.1,EF-P beta-lysylation protein EpmB _Alteromonas macleodii_,OTHER
WP_061439490.1,MULTISPECIES_ elongation factor P--_R_-beta-lysine ligase _Alteromonas_,OTHER
WP_061439492.1,MULTISPECIES_ TonB-dependent receptor _Alteromonas_,SP
WP_061439494.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_061439496.1,GNAT family N-acetyltransferase _Alteromonas macleodii_,OTHER
WP_061439498.1,methyltransferase _Alteromonas macleodii_,OTHER
WP_061439499.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439501.1,BolA_IbaG family iron-sulfur metabolism protein _Alteromonas macleodii_,OTHER
WP_061439503.1,nucleotidyltransferase family protein _Alteromonas macleodii_,OTHER
WP_061439511.1,nitrite reductase large subunit NirB _Alteromonas macleodii_,OTHER
WP_061439513.1,MULTISPECIES_ nitrate reductase _Alteromonas_,OTHER
WP_061439515.1,MULTISPECIES_ uroporphyrinogen-III C-methyltransferase _Alteromonas_,OTHER
WP_061439517.1,MULTISPECIES_ glycosyl transferase family protein _Alteromonas_,OTHER
WP_061439519.1,MULTISPECIES_ 5_-nucleotidase C-terminal domain-containing protein _Alteromonas_,SP
WP_061439521.1,MULTISPECIES_ GGDEF domain-containing protein _Alteromonas_,OTHER
WP_061439522.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_061439524.1,MULTISPECIES_ ABC transporter substrate-binding protein _Alteromonas_,SP
WP_061439529.1,MULTISPECIES_ ABC transporter permease _Alteromonas_,OTHER
WP_061439531.1,ABC transporter ATP-binding protein _Alteromonas macleodii_,OTHER
WP_061439534.1,alginate export family protein _Alteromonas macleodii_,SP
WP_061439538.1,MULTISPECIES_ serine_threonine protein kinase _Alteromonas_,OTHER
WP_061439539.1,acyl-CoA dehydrogenase family protein _Alteromonas macleodii_,OTHER
WP_061439541.1,SDR family oxidoreductase _Alteromonas macleodii_,OTHER
WP_061439543.1,amidohydrolase family protein _Alteromonas macleodii_,OTHER
WP_061439545.1,mandelate racemase_muconate lactonizing enzyme family protein _Alteromonas macleodii_,OTHER
WP_061439547.1,class II aldolase_adducin family protein _Alteromonas macleodii_,OTHER
WP_061439552.1,NUDIX hydrolase _Alteromonas macleodii_,LIPO
WP_061439553.1,efflux RND transporter periplasmic adaptor subunit _Alteromonas macleodii_,OTHER
WP_061439554.1,efflux RND transporter permease subunit _Alteromonas macleodii_,OTHER
WP_061439555.1,ectonucleotide pyrophosphatase_phosphodiesterase _Alteromonas macleodii_,SP
WP_061439557.1,Zn-dependent hydrolase _Alteromonas macleodii_,LIPO
WP_061439558.1,phosphate regulon sensor histidine kinase PhoR _Alteromonas macleodii_,OTHER
WP_061439559.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_061439560.1,energy transducer TonB _Alteromonas macleodii_,OTHER
WP_061439561.1,tetratricopeptide repeat protein _Alteromonas macleodii_,SP
WP_061439563.1,response regulator _Alteromonas macleodii_,OTHER
WP_061439564.1,PAS domain-containing hybrid sensor histidine kinase_response regulator _Alteromonas macleodii_,OTHER
WP_061439565.1,AMP-binding protein _Alteromonas macleodii_,OTHER
WP_061439566.1,PQQ-dependent sugar dehydrogenase _Alteromonas macleodii_,SP
WP_061439567.1,ATP-binding protein _Alteromonas macleodii_,OTHER
WP_061439569.1,tetratricopeptide repeat protein _Alteromonas macleodii_,SP
WP_061439570.1,DNA ligase _Alteromonas macleodii_,SP
WP_061439571.1,bifunctional aconitate hydratase 2_2-methylisocitrate dehydratase _Alteromonas macleodii_,OTHER
WP_061439572.1,symmetrical bis_5_-nucleosyl_-tetraphosphatase _Alteromonas macleodii_,OTHER
WP_061439573.1,MULTISPECIES_ DNA repair protein RecO _Alteromonas_,OTHER
WP_061439574.1,MULTISPECIES_ pyridoxine 5_-phosphate synthase _Alteromonas_,OTHER
WP_061439576.1,MULTISPECIES_ 23S rRNA _uracil_1939_-C_5__-methyltransferase RlmD _Alteromonas_,OTHER
WP_061439577.1,nucleoside triphosphate pyrophosphohydrolase _Alteromonas macleodii_,OTHER
WP_061439579.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439581.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061439583.1,SDR family oxidoreductase _Alteromonas macleodii_,OTHER
WP_061439588.1,AMP-binding protein _Alteromonas macleodii_,OTHER
WP_061439592.1,collagen-like protein _Alteromonas macleodii_,LIPO
WP_061439593.1,response regulator transcription factor _Alteromonas macleodii_,OTHER
WP_061439594.1,HPr family phosphocarrier protein _Alteromonas macleodii_,OTHER
WP_061439596.1,phospholipid ABC transporter ATP-binding protein MlaF _Alteromonas macleodii_,OTHER
WP_061439598.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase _Alteromonas macleodii_,OTHER
WP_061439600.1,group II intron reverse transcriptase_maturase _Alteromonas macleodii_,OTHER
WP_061439603.1,group 1 truncated hemoglobin _Alteromonas macleodii_,LIPO
WP_061484770.1,DUF3034 family protein _Alteromonas macleodii_,SP
WP_061484771.1,nitroreductase family protein _Alteromonas macleodii_,OTHER
WP_061484773.1,circularly permuted type 2 ATP-grasp protein _Alteromonas macleodii_,OTHER
WP_061484776.1,potassium_proton antiporter _Alteromonas macleodii_,OTHER
WP_061484780.1,EamA family transporter _Alteromonas macleodii_,OTHER
WP_061484783.1,ABC transporter substrate-binding protein _Alteromonas macleodii_,SP
WP_061484786.1,hypothetical protein _Alteromonas macleodii_,SP
WP_061484788.1,MULTISPECIES_ transketolase _Alteromonas_,OTHER
WP_061484790.1,phosphoglycerate kinase _Alteromonas macleodii_,OTHER
WP_061484792.1,ABC transporter permease subunit _Alteromonas macleodii_,OTHER
WP_061484794.1,phosphate ABC transporter permease PstA _Alteromonas macleodii_,OTHER
WP_061484797.1,phosphate ABC transporter ATP-binding protein PstB _Alteromonas macleodii_,OTHER
WP_061484799.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_061484801.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_061484803.1,MarR family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_061484806.1,IS110 family transposase _Alteromonas macleodii_,OTHER
WP_061484808.1,YigZ family protein _Alteromonas macleodii_,OTHER
WP_061484811.1,DUF3718 domain-containing protein _Alteromonas macleodii_,SP
WP_061484813.1,DUF3754 domain-containing protein _Alteromonas macleodii_,OTHER
WP_061484814.1,exonuclease subunit SbcD _Alteromonas macleodii_,OTHER
WP_061484816.1,AAA family ATPase _Alteromonas macleodii_,OTHER
WP_061484818.1,S41 family peptidase _Alteromonas macleodii_,SP
WP_061484820.1,formimidoylglutamase _Alteromonas macleodii_,OTHER
WP_061484821.1,urocanate hydratase _Alteromonas macleodii_,OTHER
WP_061484824.1,histidine ammonia-lyase _Alteromonas macleodii_,OTHER
WP_061484829.1,MipA_OmpV family protein _Alteromonas macleodii_,SP
WP_061484831.1,ATPase _Alteromonas macleodii_,OTHER
WP_061484833.1,N-acetylglucosamine-6-phosphate deacetylase _Alteromonas macleodii_,OTHER
WP_061484835.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_061484837.1,PA2778 family cysteine peptidase _Alteromonas macleodii_,LIPO
WP_061484839.1,mechanosensitive ion channel family protein _Alteromonas macleodii_,OTHER
WP_061484841.1,MULTISPECIES_ porin family protein _Alteromonas_,SP
WP_061484848.1,MULTISPECIES_ ribosome-associated ATPase_putative transporter RbbA _Alteromonas_,OTHER
WP_061484850.1,MULTISPECIES_ type II toxin-antitoxin system ParD family antitoxin _Alteromonas_,OTHER
WP_061484854.1,type II toxin-antitoxin system RelE_ParE family toxin _Alteromonas macleodii_,OTHER
WP_061484861.1,BlaI_MecI_CopY family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_061484862.1,M56 family metallopeptidase _Alteromonas macleodii_,OTHER
WP_061484865.1,TolC family protein _Alteromonas macleodii_,SP
WP_061484866.1,efflux RND transporter periplasmic adaptor subunit _Alteromonas macleodii_,SP
WP_061484870.1,CusA_CzcA family heavy metal efflux RND transporter _Alteromonas macleodii_,OTHER
WP_061484872.1,HupE_UreJ family protein _Alteromonas macleodii_,OTHER
WP_061484873.1,hypothetical protein _Alteromonas macleodii_,OTHER
