locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0800,2,-0.81,0.55,0.39,0.76,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0800,locus_tag:locus_tag
PMM0801,2,-1.32,0.67,0.47,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0801,locus_tag:locus_tag
PMM0802,2,-1.54,0.6,0.42,0.16,"DNA replication, recombination, and repair",putative endonuclease,3h,PMM0802,locus_tag:locus_tag
PMM0804,2,-1.16,0.79,0.56,1.0,Other,ferritin,3h,PMM0804,locus_tag:locus_tag
PMM0806,2,-0.53,0.27,0.19,0.9,Regulatory functions,"Bacterial regulatory proteins, Crp family",3h,PMM0806,locus_tag:locus_tag
PMM0810,2,0.4,0.93,0.66,1.0,Conserved hypothetical protein,hypothetical,3h,PMM0810,locus_tag:locus_tag
PMM0814,2,-1.29,0.1,0.07,0.49,Other,possible Cytochrome oxidase c subunit VIb,3h,PMM0814,locus_tag:locus_tag
PMM0815,2,-1.14,0.95,0.67,0.17,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0815,locus_tag:locus_tag
PMM0816,2,-0.16,0.29,0.2,1.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0816,locus_tag:locus_tag
PMM0817,2,-1.02,0.04,0.03,0.75,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0817,locus_tag:locus_tag
PMM0818,2,-0.96,0.22,0.16,0.51,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0818,locus_tag:locus_tag
PMM0819,2,0.45,0.69,0.49,1.0,Conserved hypothetical protein,hypothetical,3h,PMM0819,locus_tag:locus_tag
PMM0820,2,-0.46,0.81,0.57,0.93,Aromatic amino acid family,possible EPSP synthase (3-phosphoshikimate 1-c,3h,PMM0820,locus_tag:locus_tag
PMM0821,2,-0.97,0.52,0.37,0.67,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0821,locus_tag:locus_tag
PMM0824,2,0.49,0.23,0.16,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0824,locus_tag:locus_tag
PMM0828,2,-1.48,1.04,0.73,0.17,Other,S4 domain,3h,PMM0828,locus_tag:locus_tag
PMM0829,2,-0.94,1.64,1.16,1.0,Other,Triosephosphate isomerase,3h,PMM0829,locus_tag:locus_tag
PMM0835,2,-0.15,1.3,0.92,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0835,locus_tag:locus_tag
PMM0844,2,0.83,0.03,0.02,1.0,Adaptations and atypical conditions,phytochrome-regulated gene,3h,PMM0844,locus_tag:locus_tag
PMM0845,2,-0.04,0.21,0.15,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0845,locus_tag:locus_tag
PMM0846,2,-0.61,0.39,0.28,0.84,Other,"possible Uncharacterized secreted proteins, Ya",3h,PMM0846,locus_tag:locus_tag
PMM0847,2,-0.02,0.11,0.08,1.0,Drug and analog sensitivity,putative acetazolamide conferring resistance protein Zam,3h,PMM0847,locus_tag:locus_tag
PMM0851,2,-0.48,1.08,0.76,1.0,Other,Putative CbbY homolog,3h,PMM0851,locus_tag:locus_tag
PMM0852,2,-2.78,1.24,0.88,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0852,locus_tag:locus_tag
PMM0853,2,2.38,0.79,0.56,0.13,Ribosomal proteins,50S ribosomal protein L32,3h,PMM0853,locus_tag:locus_tag
PMM0856,2,-1.93,0.74,0.52,1.0,Detoxification,thioredoxin peroxidase,3h,PMM0856,locus_tag:locus_tag
PMM0857,2,-1.58,0.99,0.7,0.48,Other,possible Influenza RNA-dependent RNA polymeras,3h,PMM0857,locus_tag:locus_tag
PMM0858,2,-1.2,1.13,0.8,0.44,Conserved hypothetical protein,hypothetical,3h,PMM0858,locus_tag:locus_tag
PMM0861,2,-1.7,0.53,0.38,1.0,Transport and binding proteins,possible Virion host shutoff protein,3h,PMM0861,locus_tag:locus_tag
PMM0863,2,-1.68,1.79,1.27,0.1,"Cobalamin, heme, phycobilin and porphyrin",putative cobinamide kinase,3h,PMM0863,locus_tag:locus_tag
PMM0864,2,-0.94,0.56,0.39,1.0,Other,possible Fusion glycoprotein F0.,3h,PMM0864,locus_tag:locus_tag
PMM0867,2,-1.25,0.23,0.16,0.47,Aminoacyl tRNA synthetases and tRNA modification Methionyl-tRNA synthetase,,3h,PMM0867,locus_tag:locus_tag
PMM0869,2,-1.63,0.92,0.65,0.33,Ribosomal proteins,30S Ribosomal protein S18,3h,PMM0869,locus_tag:locus_tag
PMM0870,2,-1.44,0.87,0.61,1.0,Ribosomal proteins,50S Ribosomal protein L33,3h,PMM0870,locus_tag:locus_tag
PMM0872,2,-1.69,0.23,0.17,1.0,Other,possible Carboxylesterase,3h,PMM0872,locus_tag:locus_tag
PMM0876,2,0.0,0.48,0.34,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0876,locus_tag:locus_tag
PMM0878,2,-0.02,1.05,0.74,1.0,Branched chain family,putative Branched-chain amino acid aminotransferase,3h,PMM0878,locus_tag:locus_tag
PMM0881,2,-0.54,0.85,0.6,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0881,locus_tag:locus_tag
PMM0883,2,-2.42,0.58,0.41,0.18,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0883,locus_tag:locus_tag
PMM0893,2,-1.6,1.27,0.9,0.56,Riboflavin,"possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase",3h,PMM0893,locus_tag:locus_tag
PMM0894,2,-0.34,0.56,0.4,1.0,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,3h,PMM0894,locus_tag:locus_tag
PMM0895,2,0.52,1.38,0.98,0.89,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0895,locus_tag:locus_tag
PMM0896,2,-0.59,0.34,0.24,0.85,Chaperones,DnaJ2 protein,3h,PMM0896,locus_tag:locus_tag
PMM0897,2,-0.04,0.08,0.06,1.0,Chaperones,"Molecular chaperone DnaK, heat shock protein hsp70",3h,PMM0897,locus_tag:locus_tag
PMM0898,2,-1.32,0.45,0.32,0.29,Soluble electron carriers,"ferredoxin, petF-like protein",3h,PMM0898,locus_tag:locus_tag
PMM0899,2,0.42,0.79,0.56,1.0,Regulatory functions,Possible myo-inositol-1(or 4)-monophosphatase,3h,PMM0899,locus_tag:locus_tag
PMM0901,2,-1.45,0.51,0.36,1.0,Chaperones,heat shock protein HtpG,3h,PMM0901,locus_tag:locus_tag
PMM0902,2,0.09,0.02,0.01,1.0,Ribosomal proteins,50S ribosomal protein L28,3h,PMM0902,locus_tag:locus_tag
PMM0906,2,2.51,0.96,0.68,0.1,Photosystem I,Photosystem I PsaK protein (subunit X),3h,PMM0906,locus_tag:locus_tag
PMM0907,2,0.74,0.35,0.25,1.0,Sugars,1-deoxy-D-xylulose 5-phosphate synthase,3h,PMM0907,locus_tag:locus_tag
PMM0910,2,1.33,0.27,0.19,0.31,Conserved hypothetical protein,conserved hypothetical membrane protein,3h,PMM0910,locus_tag:locus_tag
PMM0912,2,-1.41,0.6,0.43,0.48,Other,Pyruvate kinase,3h,PMM0912,locus_tag:locus_tag
PMM0913,2,-1.46,0.22,0.16,0.27,Transport and binding proteins,possible ABC transporter,3h,PMM0913,locus_tag:locus_tag
PMM0919,2,-0.91,0.54,0.38,1.0,Branched chain family,serine:pyruvate/alanine:glyoxylate aminotransferase,3h,PMM0919,locus_tag:locus_tag
PMM0920,2,1.5,0.39,0.28,1.0,Glutamate family / Nitrogen assimilation,"Glutamine synthetase, glutamate-ammonia ligase",3h,PMM0920,locus_tag:locus_tag
PMM0922,2,-1.96,1.86,1.31,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0922,locus_tag:locus_tag
PMM0923,2,-0.66,0.31,0.22,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0923,locus_tag:locus_tag
PMM0926,2,0.01,0.12,0.09,1.0,Photosystem II,possible Photosystem II reaction center Psb28 protein,3h,PMM0926,locus_tag:locus_tag
PMM0930,2,0.01,0.82,0.58,1.0,Other,Pyruvate dehydrogenase E1 beta subunit,3h,PMM0930,locus_tag:locus_tag
PMM0934,2,-0.53,0.48,0.34,0.9,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0934,locus_tag:locus_tag
PMM0936,2,-0.2,0.55,0.39,1.0,"DNA replication, recombination, and repair",putative SOS mutagenesis protein UmuD,3h,PMM0936,locus_tag:locus_tag
PMM0941,2,1.43,0.99,0.7,1.0,Other,possible cAMP phosphodiesterases class-II,3h,PMM0941,locus_tag:locus_tag
PMM0942,2,1.31,0.56,0.4,1.0,"DNA replication, recombination, and repair",putative holliday junction DNA helicase RuvA,3h,PMM0942,locus_tag:locus_tag
PMM0943,2,0.68,0.34,0.24,1.0,Ribosomal proteins,30S Ribosomal protein S15,3h,PMM0943,locus_tag:locus_tag
PMM0946,2,0.33,0.91,0.64,1.0,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase A subunit,3h,PMM0946,locus_tag:locus_tag
PMM0947,2,3.28,2.74,1.94,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0947,locus_tag:locus_tag
PMM0949,2,-0.8,1.19,0.84,0.63,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0949,locus_tag:locus_tag
PMM0950,2,-1.92,1.29,0.91,0.02,Other,No Cyanobase Name,3h,PMM0950,locus_tag:locus_tag
PMM0953,2,2.16,0.81,0.57,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0953,locus_tag:locus_tag
PMM0954,2,-0.14,0.12,0.09,1.0,Transport and binding proteins,"ABC transporter, multidrug efflux family",3h,PMM0954,locus_tag:locus_tag
PMM0955,2,-1.66,0.64,0.45,0.19,Protein modification and translation factors,Peptide methionine sulfoxide reductase,3h,PMM0955,locus_tag:locus_tag
PMM0957,2,-1.72,1.71,1.21,0.21,Regulatory functions,possible GRAM domain,3h,PMM0957,locus_tag:locus_tag
PMM0958,2,-0.39,0.37,0.26,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0958,locus_tag:locus_tag
PMM0963,2,-0.08,0.18,0.13,1.0,Nitrogen metabolism,Urease alpha subunit,3h,PMM0963,locus_tag:locus_tag
PMM0964,2,-1.82,0.09,0.06,0.1,Nitrogen metabolism,Urease beta subunit,3h,PMM0964,locus_tag:locus_tag
PMM0965,2,-1.57,1.25,0.89,0.14,Nitrogen metabolism,Urease gamma subunit,3h,PMM0965,locus_tag:locus_tag
PMM0966,2,-1.96,0.95,0.68,0.14,Nitrogen metabolism,urease accessory protein UreD,3h,PMM0966,locus_tag:locus_tag
PMM0969,2,-1.85,1.01,0.72,0.1,Nitrogen metabolism,urease accessory protein UreG,3h,PMM0969,locus_tag:locus_tag
PMM0970,2,0.22,0.01,0.0,1.0,Transport and binding proteins,"putative urea ABC transporter, substrate binding protein",3h,PMM0970,locus_tag:locus_tag
PMM0971,2,-0.57,0.72,0.51,1.0,Transport and binding proteins,putative urea ABC transporter,3h,PMM0971,locus_tag:locus_tag
PMM0974,2,-0.89,1.31,0.92,0.72,Transport and binding proteins,Putative ATP-binding subunit of urea ABC transport system,3h,PMM0974,locus_tag:locus_tag
PMM0975,2,1.01,0.45,0.32,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0975,locus_tag:locus_tag
PMM0982,2,-0.72,0.32,0.23,1.0,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,3h,PMM0982,locus_tag:locus_tag
PMM0983,2,0.84,0.32,0.23,0.86,"Fatty acid, phospholipid and sterol metabolism",possible ATP synthase protein 8,3h,PMM0983,locus_tag:locus_tag
PMM0987,2,-2.06,0.58,0.41,0.16,Ribosomal proteins,30S Ribosomal protein S21,3h,PMM0987,locus_tag:locus_tag
PMM0988,2,0.99,1.31,0.93,1.0,Regulatory functions,Helix-hairpin-helix DNA-binding motif class 1,3h,PMM0988,locus_tag:locus_tag
PMM0993,2,-1.63,1.71,1.21,0.55,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0993,locus_tag:locus_tag
PMM0996,2,0.2,1.0,0.71,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0996,locus_tag:locus_tag
PMM0997,2,-1.83,0.39,0.28,0.25,Conserved hypothetical protein,possible Protein of unknown function DUF67,3h,PMM0997,locus_tag:locus_tag
PMM0998,2,-1.29,0.11,0.07,0.38,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0998,locus_tag:locus_tag
PMM0999,2,2.47,1.32,0.93,0.0,Conserved hypothetical protein,hypothetical,3h,PMM0999,locus_tag:locus_tag
PMM1003,2,-1.18,0.39,0.27,0.47,Photosystem II,possible Photosystem II reaction centre N prot,3h,PMM1003,locus_tag:locus_tag
PMM1005,2,-0.71,0.59,0.42,1.0,Regulatory functions,possible Legume lectins alpha domain,3h,PMM1005,locus_tag:locus_tag
PMM1008,2,-0.79,0.53,0.38,0.77,Conserved hypothetical protein,hypothetical,3h,PMM1008,locus_tag:locus_tag
PMM1011,2,-1.53,0.55,0.39,0.21,Conserved hypothetical protein,hypothetical,3h,PMM1011,locus_tag:locus_tag
PMM1015,2,-0.55,0.26,0.19,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1015,locus_tag:locus_tag
PMM1026,2,-2.15,0.89,0.63,0.05,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1026,locus_tag:locus_tag
PMM1028,2,0.76,0.49,0.35,0.99,Conserved hypothetical protein,conserved hypothetical,3h,PMM1028,locus_tag:locus_tag
PMM1030,2,0.71,0.37,0.26,1.0,Regulatory functions,Ferric uptake regulator family,3h,PMM1030,locus_tag:locus_tag
PMM1031,2,-1.3,1.1,0.78,0.64,Transport and binding proteins,"ABC transporter, ATP binding domain, possibly Mn transport",3h,PMM1031,locus_tag:locus_tag
PMM1032,2,0.36,0.41,0.29,0.92,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn.",3h,PMM1032,locus_tag:locus_tag
PMM1033,2,-0.62,0.51,0.36,1.0,Protein modification and translation factors,Cobalamin synthesis protein/P47K,3h,PMM1033,locus_tag:locus_tag
PMM1039,2,-0.78,1.67,1.18,0.61,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1039,locus_tag:locus_tag
PMM1042,2,-1.18,0.32,0.23,1.0,Conserved hypothetical protein,conserved hpothetical protein,3h,PMM1042,locus_tag:locus_tag
PMM1045,2,-0.53,0.46,0.32,0.96,Conserved hypothetical protein,conserved hypothetical,3h,PMM1045,locus_tag:locus_tag
PMM1054,2,-1.98,1.21,0.86,0.13,"DNA replication, recombination, and repair",Crossover junction endodeoxyribonuclease RuvC,3h,PMM1054,locus_tag:locus_tag
PMM1055,2,0.06,0.72,0.51,1.0,"Cobalamin, heme, phycobilin and porphyrin","Protoporphyrin IX Magnesium chelatase, ChlI subunit",3h,PMM1055,locus_tag:locus_tag
PMM1058,2,2.27,1.14,0.81,0.03,Cytochrome b6/f complex,"Cytochrome b6/f complex, subunit V",3h,PMM1058,locus_tag:locus_tag
PMM1060,2,-0.88,0.37,0.26,1.0,Other,Glutamine amidotransferase class-I,3h,PMM1060,locus_tag:locus_tag
PMM1061,2,-1.73,0.74,0.52,1.0,Thiamine,Thioredoxin,3h,PMM1061,locus_tag:locus_tag
PMM1063,2,1.6,2.09,1.48,1.0,"DNA replication, recombination, and repair","DNA gyrase/topoisomerase IV, subunit A",3h,PMM1063,locus_tag:locus_tag
PMM1066,2,0.54,0.46,0.33,1.0,Branched chain family,2-isopropylmalate synthase,3h,PMM1066,locus_tag:locus_tag
PMM1067,2,0.17,0.46,0.32,1.0,WD repeat proteins,possible Adenoviral fiber protein (repeat/shaf,3h,PMM1067,locus_tag:locus_tag
PMM1069,2,-0.8,0.88,0.62,0.87,Folic acid,putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase,3h,PMM1069,locus_tag:locus_tag
PMM1074,2,-1.23,0.36,0.25,0.52,Other,Glucose-6-phosphate dehydrogenase,3h,PMM1074,locus_tag:locus_tag
PMM1075,2,0.59,0.03,0.02,1.0,Cytochrome b6/f complex,ferredoxin-NADP oxidoreductase (FNR),3h,PMM1075,locus_tag:locus_tag
PMM1077,2,-1.64,0.68,0.48,1.0,Regulatory functions,two-component sensor histidine kinase,3h,PMM1077,locus_tag:locus_tag
PMM1078,2,-0.03,0.17,0.12,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM1078,locus_tag:locus_tag
PMM1079,2,-2.09,1.38,0.98,0.08,Regulatory functions,possible Villin headpiece domain,3h,PMM1079,locus_tag:locus_tag
PMM1080,2,2.63,1.15,0.82,0.0,Other,Ribose-phosphate pyrophosphokinase,3h,PMM1080,locus_tag:locus_tag
PMM1086,2,-1.47,0.11,0.08,0.25,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,3h,PMM1086,locus_tag:locus_tag
PMM1088,2,1.49,0.3,0.21,1.0,"Degradation of proteins, peptides, and glycopeptides ClpC",,3h,PMM1088,locus_tag:locus_tag
PMM1090,2,-1.38,0.59,0.42,0.54,Branched chain family,Diaminopimelate decarboxylase,3h,PMM1090,locus_tag:locus_tag
PMM1091,2,-1.2,1.13,0.8,0.47,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1091,locus_tag:locus_tag
PMM1092,2,-0.89,0.63,0.44,0.88,Other,Undecaprenyl pyrophosphate synthetase (UPPS),3h,PMM1092,locus_tag:locus_tag
PMM1098,2,-1.97,1.56,1.1,0.38,Photosystem II,photosystem II oxygen evolving complex protein PsbP,3h,PMM1098,locus_tag:locus_tag
PMM1107,2,-1.11,0.38,0.27,0.78,Pyridoxine,Pyridoxal phosphate biosynthetic protein PdxJ,3h,PMM1107,locus_tag:locus_tag
PMM1109,2,0.96,0.74,0.52,0.41,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1109,locus_tag:locus_tag
PMM1111,2,2.26,1.84,1.3,0.01,Other,Glutaredoxin-related protein,3h,PMM1111,locus_tag:locus_tag
PMM1113,2,1.89,0.17,0.12,0.28,Regulatory functions,two-component response regulator,3h,PMM1113,locus_tag:locus_tag
PMM1116,2,2.02,0.47,0.33,1.0,Cell division,NAD binding site:Glucose inhibited division protein A family,3h,PMM1116,locus_tag:locus_tag
PMM1117,2,2.03,0.48,0.34,0.13,Photosystem II,possible Photosystem II reaction center Y protein (PsbY),3h,PMM1117,locus_tag:locus_tag
PMM1118,2,-1.83,0.61,0.43,1.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM1118,locus_tag:locus_tag
PMM1119,2,-1.73,0.31,0.22,1.0,"Membranes, lipoproteins and porins",possible porin,3h,PMM1119,locus_tag:locus_tag
PMM1121,2,-1.65,0.18,0.12,1.0,"Membranes, lipoproteins and porins",possible porin,3h,PMM1121,locus_tag:locus_tag
PMM1123,2,1.2,0.73,0.51,1.0,Hydrogenase,putative hydrogenase accessory protein,3h,PMM1123,locus_tag:locus_tag
PMM1124,2,0.11,1.04,0.74,1.0,Other,possible Natural resistance-associated macroph,3h,PMM1124,locus_tag:locus_tag
PMM1128,2,0.57,0.62,0.44,1.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM1128,locus_tag:locus_tag
PMM1129,2,-1.75,0.25,0.18,0.19,Regulatory functions,possible Notch (DSL) domain,3h,PMM1129,locus_tag:locus_tag
PMM1131,2,0.28,0.52,0.37,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1131,locus_tag:locus_tag
PMM1132,2,-1.65,1.07,0.76,0.4,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1132,locus_tag:locus_tag
PMM1133,2,-0.81,0.84,0.59,0.74,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1133,locus_tag:locus_tag
PMM1134,2,2.16,0.42,0.29,0.01,Other,possible Phosphatidylinositol-specific phospho,3h,PMM1134,locus_tag:locus_tag
PMM1135,2,-2.08,0.37,0.27,0.15,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM1135,locus_tag:locus_tag
PMM1138,2,-0.54,0.7,0.49,0.8,Regulatory functions,probable GTP-binding protein,3h,PMM1138,locus_tag:locus_tag
PMM1145,2,0.65,1.25,0.88,0.86,Respiration,"putative nicotinamide nucleotide transhydrogenase, subunit beta",3h,PMM1145,locus_tag:locus_tag
PMM1146,2,3.88,0.96,0.68,0.0,Nicotinate and nicotinamide,"putative nicotinamide nucleotide transhydrogenase, subunit alpha 2 (A2)",3h,PMM1146,locus_tag:locus_tag
PMM1147,2,-1.57,0.78,0.55,0.39,"DNA replication, recombination, and repair","putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)",3h,PMM1147,locus_tag:locus_tag
PMM1148,2,2.18,0.31,0.22,0.38,Protein modification and translation factors,possible EF-1 guanine nucleotide exchange doma,3h,PMM1148,locus_tag:locus_tag
PMM1149,2,-1.25,0.59,0.42,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM1149,locus_tag:locus_tag
PMM1150,2,0.89,0.56,0.39,1.0,Regulatory functions,putative thioredoxin reductase,3h,PMM1150,locus_tag:locus_tag
PMM1151,2,3.0,1.09,0.77,0.0,Protein modification and translation factors,translation initiation factor IF-1,3h,PMM1151,locus_tag:locus_tag
PMM1152,2,-1.2,0.29,0.2,1.0,Photosystem II,putative chaperon-like protein for quinone binding in photosystem II,3h,PMM1152,locus_tag:locus_tag
PMM1154,2,1.04,0.8,0.57,1.0,Branched chain family,Acetolactate synthase small subunit,3h,PMM1154,locus_tag:locus_tag
PMM1156,2,-2.19,0.17,0.12,0.01,Photosystem I,photosystem I assembly related protein Ycf4,3h,PMM1156,locus_tag:locus_tag
PMM1157,2,-0.87,0.58,0.41,1.0,Photosystem II,Photosystem II PsbD protein (D2),3h,PMM1157,locus_tag:locus_tag
PMM1158,2,-0.43,0.58,0.41,1.0,Photosystem II,Photosystem II PsbC protein (CP43),3h,PMM1158,locus_tag:locus_tag
PMM1165,2,-0.92,0.14,0.1,0.65,Aminoacyl tRNA synthetases and tRNA modification,Glycyl-tRNA synthetase alpha subunit,3h,PMM1165,locus_tag:locus_tag
PMM1167,2,-0.87,2.69,1.9,0.85,Other,Macrophage migration inhibitory factor family,3h,PMM1167,locus_tag:locus_tag
PMM1168,2,-1.9,0.87,0.62,0.25,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1168,locus_tag:locus_tag
PMM1169,2,-1.33,0.5,0.35,0.53,Conserved hypothetical protein,hypothetical,3h,PMM1169,locus_tag:locus_tag
PMM1170,2,-1.13,0.99,0.7,0.61,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1170,locus_tag:locus_tag
PMM1171,2,-0.3,0.9,0.64,1.0,Soluble electron carriers,Flavodoxin,3h,PMM1171,locus_tag:locus_tag
PMM1174,2,0.84,0.25,0.17,0.65,Conserved hypothetical protein,hypothetical,3h,PMM1174,locus_tag:locus_tag
PMM1176,2,-0.32,0.11,0.08,1.0,Regulatory functions,"possible Helix-turn-helix protein, copG family",3h,PMM1176,locus_tag:locus_tag
PMM1179,2,-2.05,2.94,2.08,0.8,Regulatory functions,"putative SMR family transporter, possible pecM homologue",3h,PMM1179,locus_tag:locus_tag
PMM1180,2,-0.06,0.48,0.34,1.0,"Degradation of proteins, peptides, and glycopeptides signal peptide peptidase SppA (protease IV)",,3h,PMM1180,locus_tag:locus_tag
PMM1183,2,-0.72,1.0,0.71,1.0,Ribosomal proteins,50S ribosomal protein L34,3h,PMM1183,locus_tag:locus_tag
PMM1184,2,0.4,0.62,0.44,0.98,Degradation of RNA,Bacterial ribonuclease P protein component,3h,PMM1184,locus_tag:locus_tag
PMM1185,2,-0.85,0.48,0.34,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1185,locus_tag:locus_tag
PMM1186,2,-0.79,0.38,0.27,1.0,Regulatory functions,Putative inner membrane protein; similar to 60 kDa inner membrane protein family,3h,PMM1186,locus_tag:locus_tag
PMM1188,2,-0.55,0.17,0.12,0.92,Aminoacyl tRNA synthetases and tRNA modification Seryl-tRNA synthetase,,3h,PMM1188,locus_tag:locus_tag
PMM1190,2,-0.98,0.13,0.09,1.0,Ribosomal proteins,30S Ribosomal protein S14,3h,PMM1190,locus_tag:locus_tag
PMM1191,2,-0.24,1.07,0.76,1.0,"RNA synthesis, modification, and DNA transcription polyribonucleotide nucleotidyltransferase",,3h,PMM1191,locus_tag:locus_tag
PMM1192,2,-1.49,0.14,0.1,0.47,Other,CysQ protein homolog,3h,PMM1192,locus_tag:locus_tag
PMM1204,2,0.52,0.42,0.3,1.0,"Surface polysaccharides, lipopolysaccharides and antigens",,3h,PMM1204,locus_tag:locus_tag
PMM1205,2,-2.72,0.57,0.4,0.0,Sugars,"NDP-hexose 3,4-dehydratase",3h,PMM1205,locus_tag:locus_tag
PMM1229,2,-0.52,1.38,0.98,1.0,Respiration,"Dehydrogenase, E1 component",3h,PMM1229,locus_tag:locus_tag
PMM1234,2,0.03,0.33,0.24,1.0,Hydrogenase,Zinc-containing alcohol dehydrogenase superfamily,3h,PMM1234,locus_tag:locus_tag
PMM1235,2,-0.44,0.21,0.15,0.9,Transport and binding proteins,possible N-terminal fragment of transketolase,3h,PMM1235,locus_tag:locus_tag
PMM1240,2,-1.47,1.27,0.9,0.84,Other,methyltransferase,3h,PMM1240,locus_tag:locus_tag
PMM1241,2,-1.46,1.07,0.76,0.25,Conserved hypothetical protein,hypothetical protein,3h,PMM1241,locus_tag:locus_tag
PMM1245,2,-0.31,1.51,1.07,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1245,locus_tag:locus_tag
PMM1250,2,-1.01,0.74,0.52,0.71,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM1250,locus_tag:locus_tag
PMM1251,2,-0.65,0.29,0.21,1.0,Other,Carbamoyltransferase,3h,PMM1251,locus_tag:locus_tag
PMM1252,2,-0.91,0.57,0.4,0.58,Other,possible acetyltransferase,3h,PMM1252,locus_tag:locus_tag
PMM1257,2,-1.57,0.47,0.33,0.23,"Surface polysaccharides, lipopolysaccharides and antigens",,3h,PMM1257,locus_tag:locus_tag
PMM1258,2,-0.75,0.72,0.51,1.0,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,3h,PMM1258,locus_tag:locus_tag
PMM1259,2,0.62,0.14,0.1,1.0,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,3h,PMM1259,locus_tag:locus_tag
PMM1260,2,-0.86,0.43,0.3,1.0,Transport and binding proteins,Nucleoside-diphosphate-sugar epimerase,3h,PMM1260,locus_tag:locus_tag
PMM1261,2,-0.77,0.35,0.25,0.72,Sugars,UDP-glucose 6-dehydrogenase,3h,PMM1261,locus_tag:locus_tag
PMM1262,2,2.37,0.51,0.36,0.02,Regulatory functions,"SOS function regulatory protein, LexA repressor",3h,PMM1262,locus_tag:locus_tag
PMM1264,2,0.75,0.05,0.04,1.0,Cell division,cell division protein FtsH3,3h,PMM1264,locus_tag:locus_tag
PMM1267,2,-2.15,1.04,0.74,0.03,Conserved hypothetical protein,conserved hypothetical,3h,PMM1267,locus_tag:locus_tag
PMM1269,2,-0.27,0.27,0.19,1.0,Transport and binding proteins,predicted sugar kinase,3h,PMM1269,locus_tag:locus_tag
PMM1270,2,-0.4,0.22,0.16,1.0,Aminoacyl tRNA synthetases and tRNA modification Phenylalanyl-tRNA synthetase alpha chain,,3h,PMM1270,locus_tag:locus_tag
