Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,Unnamed: 11,NAT_homolog,locus_tag
649863,651461.0,1599.0,PMT9312_0691,PMT9312_RS03550,DNA recombination protein RmuC,WP_011376246.1,"Cell cycle control, mitosis and meiosis",,0.5,-0.36,,,PMT9312_0691
651696,651884.0,189.0,PMT9312_0692,PMT9312_RS03555,hypothetical protein,WP_011376247.1,Not in COGs,,,-0.96,,,PMT9312_0692
652279,652578.0,300.0,PMT9312_0693,PMT9312_RS03560,phospholipase,WP_011376248.1,Not in COGs,,0.58,,,,PMT9312_0693
652995,653744.0,750.0,PMT9312_0694,PMT9312_RS03565,NAD-dependent DNA ligase,WP_011376249.1,"Replication, recombination and repair",,-0.62,-0.66,,WP_011293958.1,PMT9312_0694
655821,656003.0,183.0,PMT9312_1848,PMT9312_RS03595,hypothetical protein,WP_036924581.1,Not in COGs,,0.68,1.34,,,PMT9312_1848
656010,656207.0,198.0,PMT9312_0699,PMT9312_RS03600,hypothetical protein,WP_011376254.1,Not in COGs,,,1.38,,WP_011294663.1,PMT9312_0699
656300,656554.0,255.0,PMT9312_0700,PMT9312_RS03605,high light inducible protein,WP_011376255.1,Not in COGs,,,1.85,,,PMT9312_0700
657346,657558.0,213.0,PMT9312_0702,PMT9312_RS03610,hypothetical protein,WP_011376257.1,Not in COGs,,-0.66,,,WP_011294554.1,PMT9312_0702
659782,660036.0,255.0,PMT9312_0706,PMT9312_RS03630,hypothetical protein,WP_011376261.1,Not in COGs,,0.81,1.5,,WP_041710994.1,PMT9312_0706
660036,660263.0,228.0,PMT9312_0707,PMT9312_RS03635,hypothetical protein,WP_011376262.1,Not in COGs,,0.65,1.53,,WP_011294566.1,PMT9312_0707
660527,660778.0,252.0,PMT9312_0709,PMT9312_RS03640,hypothetical protein,WP_011376264.1,Not in COGs,,,1.38,,,PMT9312_0709
661732,661968.0,237.0,PMT9312_0710,PMT9312_RS03645,hypothetical protein,WP_011376265.1,Not in COGs,,0.84,2.27,,WP_011294001.1,PMT9312_0710
661991,662233.0,243.0,PMT9312_0711,PMT9312_RS03650,hypothetical protein,WP_011376266.1,Not in COGs,,0.96,2.4,,WP_011293661.1,PMT9312_0711
663874,664227.0,354.0,PMT9312_0714,PMT9312_RS03670,DUF1499 domain-containing protein,WP_011376269.1,Function unknown,,1.39,2.09,,WP_011294595.1,PMT9312_0714
665730,666083.0,354.0,PMT9312_0716,PMT9312_RS03680,cytochrome c,WP_011376271.1,Not in COGs,,,-0.52,,WP_011293544.1,PMT9312_0716
666279,667007.0,729.0,PMT9312_0717,PMT9312_RS03685,DNA-binding response regulator (phoB),WP_011376272.1,Signal transduction mechanisms,"regulation of transcription, DNA-dependent (GO:0006355)",,-0.6,,WP_011294535.1,PMT9312_0717
668577,670859.0,2283.0,PMT9312_0720,PMT9312_RS03700,alkaline phosphatase,WP_011376275.1,Function unknown,,0.57,1.08,,WP_011294538.1,PMT9312_0720
671007,672329.0,1323.0,PMT9312_0721,PMT9312_RS03705,porin,WP_011376276.1,Not in COGs,transport (GO:0006810),-0.36,0.87,,,PMT9312_0721
672680,673666.0,987.0,PMT9312_0722,PMT9312_RS03710,phosphate ABC transporter substrate-binding protein PstS,WP_036924572.1,Inorganic ion transport and metabolism,phosphate transport (GO:0006817),0.6,1.35,,WP_011294540.1,PMT9312_0722
674969,676228.0,1260.0,PMT9312_0724,PMT9312_RS03720,MFS transporter,WP_011376279.1,Not in COGs,transmembrane transport (GO:0055085),0.62,-0.48,,WP_011294543.1,PMT9312_0724
676240,677262.0,1023.0,PMT9312_0725,PMT9312_RS03725,type I glyceraldehyde-3-phosphate dehydrogenase,WP_036924641.1,Carbohydrate transport and metabolism,glucose metabolic process (GO:0006006),1.36,-0.35,,WP_011294544.1,PMT9312_0725
681464,681766.0,303.0,PMT9312_0730,PMT9312_RS03755,hypothetical protein,WP_011376285.1,Not in COGs,,0.54,,,,PMT9312_0730
685111,686751.0,1641.0,PMT9312_0733,PMT9312_RS03770,ATP-dependent DNA ligase,WP_011376288.1,"Replication, recombination and repair",DNA recombination (GO:0006310),,1.01,,,PMT9312_0733
686754,687740.0,987.0,PMT9312_0734,PMT9312_RS03775,DNA ligase-associated DEXH box helicase,WP_011376289.1,Translation,,,1.43,,,PMT9312_0734
687776,688189.0,414.0,PMT9312_0735,PMT9312_RS03780,hypothetical protein,WP_011376290.1,Not in COGs,,,2.28,,,PMT9312_0735
694059,694337.0,279.0,PMT9312_0747,PMT9312_RS03840,hypothetical protein,WP_036924638.1,Not in COGs,,,1.04,,WP_011293823.1,PMT9312_0747
694454,694555.0,102.0,PMT9312_0748,PMT9312_RS03845,cytochrome b6-f complex subunit 8,WP_011376303.1,Not in COGs,cytochrome complex assembly (GO:0017004),,-0.62,,WP_011293824.1,PMT9312_0748
694702,695352.0,651.0,PMT9312_0749,PMT9312_RS03850,photosystem II biogenesis protein Psp29,WP_011376304.1,Not in COGs,,,0.95,,WP_011293825.1,PMT9312_0749
695388,695975.0,588.0,PMT9312_0750,PMT9312_RS03855,ATP-dependent Clp protease proteolytic subunit,WP_011376305.1,"Posttranslational modification, protein turnover, chaperones",proteolysis (GO:0006508),0.58,0.64,,WP_011293826.1,PMT9312_0750
695972,697885.0,1914.0,PMT9312_0751,PMT9312_RS03860,cell division protein FtsH,WP_011376306.1,"Posttranslational modification, protein turnover, chaperones",protein catabolic process (GO:0030163),0.76,1.22,,WP_011293827.1,PMT9312_0751
697993,698202.0,210.0,PMT9312_0752,PMT9312_RS03865,hypothetical protein,WP_011376307.1,Not in COGs,,0.54,0.57,,WP_011293682.1,PMT9312_0752
700722,701447.0,726.0,PMT9312_0755,PMT9312_RS03880,phycocyanobilin:ferredoxin oxidoreductase,WP_011376310.1,Not in COGs,oxidation reduction (GO:0055114),,1.14,,WP_011293685.1,PMT9312_0755
701447,702361.0,915.0,PMT9312_0756,PMT9312_RS03885,lipid ABC transporter permease,WP_011376311.1,Cell wall/membrane biogenesis,,0.46,0.66,,WP_011293686.1,PMT9312_0756
710559,711242.0,684.0,PMT9312_0765,PMT9312_RS03925,D-Ala-D-Ala dipeptidase,WP_011376320.1,Cell wall/membrane biogenesis,proteolysis (GO:0006508),0.81,0.59,,WP_011293695.1,PMT9312_0765
715264,716604.0,1341.0,PMT9312_0768,PMT9312_RS03940,geranylgeranyl reductase,WP_011376323.1,Energy production and conversion,chlorophyll biosynthetic process (GO:0015995),,-0.96,,WP_011293698.1,PMT9312_0768
720665,721594.0,930.0,PMT9312_0773,PMT9312_RS03965,cytochrome c biogenesis protein CcsA,WP_011376328.1,"Posttranslational modification, protein turnover, chaperones",protein complex assembly (GO:0006461),-0.54,-0.96,,WP_011293705.1,PMT9312_0773
722565,723566.0,1002.0,PMT9312_0775,PMT9312_RS03975,"fructose 1,6-bisphosphatase",WP_025926367.1,Not in COGs,glycerol metabolic process (GO:0006071),-0.34,-0.73,,WP_011293707.1,PMT9312_0775
723585,724895.0,1311.0,PMT9312_0776,PMT9312_RS03980,glutamyl-tRNA reductase,WP_011376331.1,Coenzyme transport and metabolism,metabolic process (GO:0008152),-0.77,-0.62,,WP_011293708.1,PMT9312_0776
728590,729138.0,549.0,PMT9312_0780,PMT9312_RS04000,epimerase,WP_011376335.1,Not in COGs,,0.83,1.04,,WP_011293712.1,PMT9312_0780
729128,729514.0,387.0,PMT9312_0781,PMT9312_RS04005,hypothetical protein,WP_011376336.1,Not in COGs,,,1.16,,WP_011293713.1,PMT9312_0781
734129,734383.0,255.0,PMT9312_0787,PMT9312_RS04035,phosphoribosylformylglycinamidine synthase subunit PurS,WP_011376342.1,Nucleotide transport and metabolism,,0.4,-0.64,,WP_011293720.1,PMT9312_0787
736266,737363.0,1098.0,PMT9312_0790,PMT9312_RS04050,gfo/Idh/MocA family oxidoreductase,WP_011376345.1,General function prediction only,metabolic process (GO:0008152),-0.39,-0.53,,WP_011293723.1,PMT9312_0790
737366,737758.0,393.0,PMT9312_0791,PMT9312_RS04055,hypothetical protein,WP_011376346.1,Not in COGs,,-0.69,,,WP_011293724.1,PMT9312_0791
737761,738642.0,882.0,PMT9312_0792,PMT9312_RS04060,acetyl-CoA carboxylase carboxyl transferase subunit beta,WP_011376347.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.54,,WP_011293725.1,PMT9312_0792
738787,739686.0,900.0,PMT9312_0793,PMT9312_RS04065,phosphoribulokinase,WP_011376348.1,Energy production and conversion,carbohydrate metabolic process (GO:0005975),-0.38,-0.96,,WP_011293727.1,PMT9312_0793
743013,743507.0,495.0,PMT9312_0797,PMT9312_RS04085,haloacid dehalogenase,WP_011376352.1,General function prediction only,,,0.76,,WP_071813622.1,PMT9312_0797
744535,745590.0,1056.0,PMT9312_0800,PMT9312_RS04100,hypothetical protein,WP_011376355.1,Not in COGs,,,0.74,,WP_011293734.1,PMT9312_0800
749033,749800.0,768.0,PMT9312_0804,PMT9312_RS04120,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,WP_011376359.1,Amino acid transport and metabolism,histidine biosynthetic process (GO:0000105),-0.47,-1.01,,WP_011293738.1,PMT9312_0804
751513,752124.0,612.0,PMT9312_0807,PMT9312_RS04135,glutaredoxin,WP_011376362.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,-0.5,,WP_011294679.1,PMT9312_0807
752349,753008.0,660.0,PMT9312_0809,PMT9312_RS04145,NAD(P)-dependent oxidoreductase,WP_011376364.1,Cell wall/membrane biogenesis,cellular metabolic process (GO:0044237),,0.72,,WP_011293743.1,PMT9312_0809
753794,754852.0,1059.0,PMT9312_0811,PMT9312_RS04155,ABC transporter ATP-binding protein ,WP_011376366.1,Amino acid transport and metabolism,,-1.14,,,WP_011293745.1,PMT9312_0811
755097,755651.0,555.0,PMT9312_0812,PMT9312_RS04160,ferritin,WP_011376367.1,Inorganic ion transport and metabolism,cellular iron ion homeostasis (GO:0006879),0.88,0.49,,WP_011293746.1,PMT9312_0812
755932,756519.0,588.0,PMT9312_0814,PMT9312_RS04170,Crp/Fnr family transcriptional regulator,WP_011376369.1,Signal transduction mechanisms,regulation of transcription (GO:0045449),-0.66,-0.63,,WP_011293748.1,PMT9312_0814
757751,759073.0,1323.0,PMT9312_0817,PMT9312_RS04185,(2Fe-2S)-binding protein,WP_011376372.1,Inorganic ion transport and metabolism,oxidation reduction (GO:0055114),,-0.87,,WP_011293752.1,PMT9312_0817
759231,759425.0,195.0,PMT9312_0818,PMT9312_RS04190,hypothetical protein,WP_011376373.1,Not in COGs,,,-0.71,,WP_011293753.1,PMT9312_0818
763066,763245.0,180.0,PMT9312_0824,PMT9312_RS04225,hypothetical protein,WP_011376379.1,Not in COGs,,,1.38,,WP_011293777.1,PMT9312_0824
763992,764741.0,750.0,PMT9312_0826,PMT9312_RS04235,ABC transporter ATP-binding protein,WP_011376381.1,General function prediction only,,,0.69,,WP_011295390.1,PMT9312_0826
764734,765864.0,1131.0,PMT9312_0827,PMT9312_RS04240,urea ABC transporter permease subunit UrtC,WP_011376382.1,Amino acid transport and metabolism,transport (GO:0006810),,0.57,,WP_011295391.1,PMT9312_0827
765864,767018.0,1155.0,PMT9312_0828,PMT9312_RS04245,branched-chain amino acid ABC transporter permease,WP_011376383.1,Amino acid transport and metabolism,transport (GO:0006810),,0.73,,WP_011295392.1,PMT9312_0828
767099,768376.0,1278.0,PMT9312_0829,PMT9312_RS04250,urea ABC transporter substrate-binding protein (UrtA),WP_011376384.1,Amino acid transport and metabolism,,,1.21,,WP_011295393.1,PMT9312_0829
769799,770248.0,450.0,PMT9312_0832,PMT9312_RS04265,urease accessory protein UreE,WP_011376387.1,"Posttranslational modification, protein turnover, chaperones",enzyme active site formation (GO:0018307),0.76,,,WP_011295396.1,PMT9312_0832
770297,771199.0,903.0,PMT9312_0833,PMT9312_RS04270,urease accessory protein UreD,WP_011376388.1,Not in COGs,nitrogen compound metabolic process (GO:0006807),,-0.76,,WP_011295397.1,PMT9312_0833
771555,771875.0,321.0,PMT9312_0835,PMT9312_RS04280,urease subunit beta,WP_011376390.1,Not in COGs,nitrogen compound metabolic process (GO:0006807),0.5,,,WP_011295399.1,PMT9312_0835
779221,780027.0,807.0,PMT9312_0843,PMT9312_RS04315,undecaprenyl-diphosphatase,WP_011376398.1,Not in COGs,dephosphorylation (GO:0016311),,0.93,,WP_011293786.1,PMT9312_0843
780335,781063.0,729.0,PMT9312_0844,PMT9312_RS04325,peptide-methionine (S)-S-oxide reductase,WP_011376399.1,Not in COGs,oxidation reduction (GO:0055114),,0.56,,WP_011293788.1,PMT9312_0844
781100,782845.0,1746.0,PMT9312_0845,PMT9312_RS04330,ABC transporter ATP-binding protein (# multidrug efflux from transportDB2.0),WP_011376400.1,Defense mechanisms,transmembrane transport (GO:0055085),1.0,1.47,,WP_011293790.1,PMT9312_0845
783257,784306.0,1050.0,PMT9312_0847,PMT9312_RS04340,anthranilate phosphoribosyltransferase,WP_011376402.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.56,-0.92,,WP_011293792.1,PMT9312_0847
784306,785445.0,1140.0,PMT9312_0848,PMT9312_RS04345,carbamoyl phosphate synthase small subunit,WP_011376403.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),-0.67,-0.97,,WP_011293793.1,PMT9312_0848
794531,795421.0,891.0,PMT9312_0859,PMT9312_RS04400,EamA family transporter,WP_011376414.1,Carbohydrate transport and metabolism,,,0.7,,WP_011293804.1,PMT9312_0859
795516,797549.0,2034.0,PMT9312_0860,PMT9312_RS04405,DNA primase,WP_011376415.1,"Replication, recombination and repair",DNA metabolic process (GO:0006259),,-0.61,,WP_011293805.1,PMT9312_0860
797566,798033.0,468.0,PMT9312_0861,PMT9312_RS04410,hypothetical protein,WP_011376416.1,Not in COGs,,,0.65,,WP_011293807.1,PMT9312_0861
799850,800266.0,417.0,PMT9312_0864,PMT9312_RS04425,ribosomal RNA large subunit methyltransferase H,WP_011376419.1,Function unknown,rRNA processing (GO:0006364),,1.12,,WP_041711182.1,PMT9312_0864
806551,807594.0,1044.0,PMT9312_0873,PMT9312_RS04465,AI-2E family transporter,WP_011376428.1,General function prediction only,,,0.73,,WP_011293668.1,PMT9312_0873
807608,807961.0,354.0,PMT9312_0874,PMT9312_RS04470,photosystem II reaction center protein Psb28,WP_011376429.1,Not in COGs,photosynthesis (GO:0015979),0.87,1.31,,WP_011293669.1,PMT9312_0874
810281,810544.0,264.0,PMT9312_0878,PMT9312_RS04490,hypothetical protein,WP_011376433.1,Not in COGs,,,1.15,,WP_011293673.1,PMT9312_0878
810557,811612.0,1056.0,PMT9312_0879,PMT9312_RS04495,methyltransferase,WP_011376434.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),0.75,1.57,,WP_011293674.1,PMT9312_0879
813349,814533.0,1185.0,PMT9312_0881,PMT9312_RS04505,alanine--glyoxylate aminotransferase family protein,WP_011376436.1,Amino acid transport and metabolism,metabolic process (GO:0008152),,-0.83,,WP_011293676.1,PMT9312_0881
822209,822538.0,330.0,PMT9312_0889,PMT9312_RS04545,hypothetical protein,WP_011376444.1,General function prediction only,,,0.52,,WP_011293830.1,PMT9312_0889
822541,822819.0,279.0,PMT9312_0890,PMT9312_RS04550,YggT family protein,WP_002807500.1,Function unknown,,,0.89,,WP_011293831.1,PMT9312_0890
826998,827258.0,261.0,PMT9312_0894,PMT9312_RS04570,photosystem I reaction center subunit PsaK,WP_011376448.1,Not in COGs,photosynthesis (GO:0015979),,-1.6,,WP_011293835.1,PMT9312_0894
827960,828493.0,534.0,PMT9312_0897,PMT9312_RS04585,peroxiredoxin,WP_011376451.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),-0.6,,,WP_011293838.1,PMT9312_0897
828775,830679.0,1905.0,PMT9312_0899,PMT9312_RS04595,molecular chaperone HtpG,WP_011376453.1,"Posttranslational modification, protein turnover, chaperones",protein folding (GO:0006457),0.45,0.55,,WP_011293840.1,PMT9312_0899
839166,840221.0,1056.0,PMT9312_0908,PMT9312_RS04645,N-acetyl-gamma-glutamyl-phosphate reductase,WP_011376462.1,Amino acid transport and metabolism,arginine biosynthetic process (GO:0006526),-0.39,-0.97,,WP_011293852.1,PMT9312_0908
841041,842624.0,1584.0,PMT9312_0910,PMT9312_RS04655,glucose-6-phosphate isomerase,WP_011376464.1,Carbohydrate transport and metabolism,gluconeogenesis (GO:0006094),,-0.66,,WP_011293854.1,PMT9312_0910
852269,852835.0,567.0,PMT9312_0919,PMT9312_RS04700,membrane protein,WP_011376473.1,Function unknown,,,-0.72,,WP_011293863.1,PMT9312_0919
861792,862010.0,219.0,PMT9312_0924,PMT9312_RS04725,hypothetical protein,WP_011376478.1,Not in COGs,,0.68,-0.43,,WP_011293868.1,PMT9312_0924
862108,862491.0,384.0,PMT9312_0925,PMT9312_RS04730,hypothetical protein,WP_011376479.1,Function unknown,,0.43,0.59,,WP_011294034.1,PMT9312_0925
863374,863553.0,180.0,PMT9312_0927,PMT9312_RS04740,hypothetical protein,WP_011376481.1,Not in COGs,,0.85,1.41,,WP_011293870.1,PMT9312_0927
868491,869675.0,1185.0,PMT9312_0933,PMT9312_RS04770,ribonuclease II,WP_011376485.1,Transcription,,-0.54,0.65,,WP_011293875.1,PMT9312_0933
871314,871895.0,582.0,PMT9312_0935,PMT9312_RS04780,LPS export ABC transporter periplasmic protein LptC,WP_011376487.1,Not in COGs,,,0.96,,,PMT9312_0935
881076,881840.0,765.0,PMT9312_0949,PMT9312_RS04860,haloacid dehalogenase,WP_011376501.1,General function prediction only,metabolic process (GO:0008152),,-0.66,,WP_011293890.1,PMT9312_0949
882011,882358.0,348.0,PMT9312_0950,PMT9312_RS04865,zinc/iron-chelating domain-containing protein,WP_011376502.1,General function prediction only,,,0.58,,,PMT9312_0950
885860,886438.0,579.0,PMT9312_0955,PMT9312_RS04890,hypothetical protein,WP_011376507.1,Not in COGs,,,1.13,,WP_049752690.1,PMT9312_0955
892268,895792.0,3525.0,PMT9312_0961,PMT9312_RS04920,transcription-repair coupling factor,WP_011376513.1,"Replication, recombination and repair",DNA repair (GO:0006281),0.26,0.78,,WP_011293903.1,PMT9312_0961
896477,897064.0,588.0,PMT9312_0963,PMT9312_RS04930,hypothetical protein,WP_036924625.1,Not in COGs,,,0.75,,WP_011293907.1,PMT9312_0963
904622,905467.0,846.0,PMT9312_0970,PMT9312_RS04965,dihydropteroate synthase,WP_036924619.1,Coenzyme transport and metabolism,cellular metabolic process (GO:0044237),-0.73,-1.12,,WP_011293915.1,PMT9312_0970
905451,906176.0,726.0,PMT9312_0971,PMT9312_RS04970,triose-phosphate isomerase,WP_011376523.1,Carbohydrate transport and metabolism,metabolic process (GO:0008152),-0.41,-0.83,,WP_011293916.1,PMT9312_0971
912813,913307.0,495.0,PMT9312_0978,PMT9312_RS05005,hypothetical protein,WP_036924616.1,Not in COGs,,,0.5,,WP_011293757.1,PMT9312_0978
916436,917230.0,795.0,PMT9312_0982,PMT9312_RS05030,multidrug ABC transporter permease,WP_011376534.1,General function prediction only,,,0.5,,WP_011293769.1,PMT9312_0982
917227,918021.0,795.0,PMT9312_0983,PMT9312_RS05035,ABC transporter permease,WP_011376535.1,General function prediction only,,,0.96,,WP_011293770.1,PMT9312_0983
918295,918522.0,228.0,PMT9312_0985,PMT9312_RS05045,hypothetical protein,WP_011376537.1,Not in COGs,,,-0.55,,,PMT9312_0985
919922,920263.0,342.0,PMT9312_0987,PMT9312_RS05055,HNH endonuclease,WP_011376539.1,Defense mechanisms,,1.03,,,,PMT9312_0987
921123,921344.0,222.0,PMT9312_1878,PMT9312_RS05070,hypothetical protein,WP_036924509.1,Not in COGs,,-0.44,-1.06,,WP_011294718.1,PMT9312_1878
921817,922320.0,504.0,PMT9312_0990,PMT9312_RS05080,hypothetical protein,WP_011376542.1,Not in COGs,,,-0.6,,WP_011293772.1,PMT9312_0990
922974,923438.0,465.0,PMT9312_0992,PMT9312_RS05095,nucleoside 2-deoxyribosyltransferase,WP_011376544.1,Nucleotide transport and metabolism,,,0.78,,WP_011293658.1,PMT9312_0992
926135,926932.0,798.0,PMT9312_0997,PMT9312_RS05120,hypothetical protein,WP_011376548.1,Not in COGs,,0.85,1.97,,WP_011293659.1,PMT9312_0997
930385,930654.0,270.0,PMT9312_1004,PMT9312_RS05160,hypothetical protein,WP_011376555.1,Not in COGs,,0.67,1.38,,WP_011294629.1,PMT9312_1004
931111,931491.0,381.0,PMT9312_1006,PMT9312_RS05165,hypothetical protein,WP_011376557.1,Not in COGs,,,0.91,,WP_011293944.1,PMT9312_1006
931825,932127.0,303.0,PMT9312_1008,PMT9312_RS05175,hypothetical protein,WP_011376559.1,Not in COGs,,-0.5,,,WP_011293806.1,PMT9312_1008
932194,932910.0,717.0,PMT9312_1009,PMT9312_RS05180,hypothetical protein,WP_011376560.1,General function prediction only,,0.75,1.46,,WP_011293930.1,PMT9312_1009
933062,933346.0,285.0,PMT9312_1010,PMT9312_RS05185,hypothetical protein,WP_011376561.1,Not in COGs,,,0.8,,WP_011295286.1,PMT9312_1010
936570,936767.0,198.0,PMT9312_1013,PMT9312_RS05205,hypothetical protein,WP_011376564.1,Not in COGs,,,0.98,,,PMT9312_1013
938049,938291.0,243.0,PMT9312_1015,PMT9312_RS05215,hypothetical protein,WP_011376566.1,Not in COGs,,,-0.76,,,PMT9312_1015
938437,938916.0,480.0,PMT9312_1016,PMT9312_RS05220,glutathione peroxidase,WP_011376567.1,"Posttranslational modification, protein turnover, chaperones",oxidation reduction (GO:0055114),,0.92,,WP_011295553.1,PMT9312_1016
939048,939722.0,675.0,PMT9312_1017,PMT9312_RS05225,hypothetical protein,WP_011376568.1,Not in COGs,,0.6,0.56,,,PMT9312_1017
939770,940162.0,393.0,PMT9312_1018,PMT9312_RS05230,hypothetical protein,WP_011376569.1,Not in COGs,,,1.45,,WP_011294030.1,PMT9312_1018
944289,944693.0,405.0,PMT9312_1027,PMT9312_RS05275,MAPEG family protein,WP_011376577.1,Function unknown,,,0.92,,WP_011294562.1,PMT9312_1027
948459,948773.0,315.0,PMT9312_1032,PMT9312_RS05315,hypothetical protein,WP_011376582.1,Not in COGs,,,-1.26,,WP_011294002.1,PMT9312_1032
951523,951906.0,384.0,PMT9312_1038,PMT9312_RS05345,DUF1499 domain-containing protein,WP_011376588.1,Function unknown,,,1.12,,WP_011294614.1,PMT9312_1038
952775,953023.0,249.0,PMT9312_1039,PMT9312_RS05350,hypothetical protein,WP_011376589.1,Not in COGs,,0.97,,,WP_011294874.1,PMT9312_1039
953254,954039.0,786.0,PMT9312_1040,PMT9312_RS05355,metal ABC transporter permease,WP_011376590.1,Inorganic ion transport and metabolism,transport (GO:0006810),-0.63,-0.47,,WP_011295377.1,PMT9312_1040
960191,960466.0,276.0,PMT9312_1046,PMT9312_RS05385,DNA gyrase,WP_011376596.1,Not in COGs,,1.13,,,WP_011293957.1,PMT9312_1046
964551,965024.0,474.0,PMT9312_1052,PMT9312_RS05415,hypothetical protein,WP_011376602.1,Not in COGs,,,0.61,,,PMT9312_1052
965108,965626.0,519.0,PMT9312_1053,PMT9312_RS05420,pentapeptide repeat protein,WP_011376603.1,Function unknown,,,-0.6,,WP_011294801.1,PMT9312_1053
972864,973136.0,273.0,PMT9312_1061,PMT9312_RS05465,hypothetical protein,WP_036923944.1,Not in COGs,,,1.01,,WP_011294792.1,PMT9312_1061
974532,974951.0,420.0,PMT9312_1063,PMT9312_RS05475,cysteine desufuration protein SufE,WP_011376613.1,General function prediction only,,,0.78,,WP_011294790.1,PMT9312_1063
978434,978553.0,120.0,PMT9312_1069,PMT9312_RS05505,cytochrome b6-f complex subunit 5,WP_011376619.1,Not in COGs,,,-1.28,,WP_011294783.1,PMT9312_1069
978530,979129.0,600.0,PMT9312_1070,PMT9312_RS05510,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_011376620.1,"Replication, recombination and repair",methylation (GO:0032259),-0.48,-0.67,,WP_011294782.1,PMT9312_1070
980322,981485.0,1164.0,PMT9312_1073,PMT9312_RS05525,GuaB3 family IMP dehydrogenase-related protein,WP_011376623.1,Nucleotide transport and metabolism,metabolic process (GO:0008152),0.61,0.26,,WP_011294779.1,PMT9312_1073
985502,987085.0,1584.0,PMT9312_1076,PMT9312_RS05540,glycoside hydrolase family 57,WP_011376626.1,Function unknown,carbohydrate metabolic process (GO:0005975),-0.67,-1.22,,WP_011294776.1,PMT9312_1076
989034,989426.0,393.0,PMT9312_1078,PMT9312_RS05550,hypothetical protein,WP_011376628.1,Not in COGs,,,-0.95,,WP_011294773.1,PMT9312_1078
990982,991878.0,897.0,PMT9312_1080,PMT9312_RS05560,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",WP_011376630.1,Coenzyme transport and metabolism,folic acid and derivative biosynthetic process (GO:0009396),,-0.66,,WP_011294771.1,PMT9312_1080
992832,993311.0,480.0,PMT9312_1082,PMT9312_RS05570,divergent PAP2 family protein,WP_011376632.1,Not in COGs,,-0.74,-0.59,,WP_011294769.1,PMT9312_1082
1001402,1001872.0,471.0,PMT9312_1090,PMT9312_RS05615,hypothetical protein,WP_011376640.1,Not in COGs,,,-0.65,,WP_011294761.1,PMT9312_1090
1001882,1002877.0,996.0,PMT9312_1091,PMT9312_RS05620,ribose-phosphate pyrophosphokinase,WP_011376641.1,Nucleotide transport and metabolism,cellular biosynthetic process (GO:0044249),,-0.55,,WP_011294759.1,PMT9312_1091
1005283,1006941.0,1659.0,PMT9312_1094,PMT9312_RS05635,hypothetical protein,WP_011376644.1,General function prediction only,protein amino acid phosphorylation (GO:0006468),,0.72,,WP_011294755.1,PMT9312_1094
1010190,1011281.0,1092.0,PMT9312_1098,PMT9312_RS05655,oxidoreductase,WP_011376648.1,Energy production and conversion,oxidation reduction (GO:0055114),0.82,0.82,,WP_011294750.1,PMT9312_1098
1011296,1013824.0,2529.0,PMT9312_1099,PMT9312_RS05660,ATP-dependent Clp protease ATP-binding subunit ClpC,WP_011376649.1,"Posttranslational modification, protein turnover, chaperones",nucleotide-excision repair (GO:0006289),0.77,0.82,,WP_011294749.1,PMT9312_1099
1021705,1022262.0,558.0,PMT9312_1109,PMT9312_RS05710,photosystem II oxygen evolving complex protein PsbP,WP_011376659.1,Not in COGs,photosynthesis (GO:0015979),0.53,,,WP_011294739.1,PMT9312_1109
1022278,1024050.0,1773.0,PMT9312_1110,PMT9312_RS05715,ABC transporter ATP-binding protein,WP_011376660.1,Defense mechanisms,transmembrane transport (GO:0055085),-0.61,-0.35,,WP_011294738.1,PMT9312_1110
1024361,1026142.0,1782.0,PMT9312_1112,PMT9312_RS05725,cold-shock protein,WP_011376662.1,"Replication, recombination and repair",,-0.76,-0.57,,WP_011294736.1,PMT9312_1112
1032099,1035281.0,3183.0,PMT9312_1116,PMT9312_RS05745,exodeoxyribonuclease V subunit chi,WP_011376666.1,"Replication, recombination and repair",,-0.77,,,WP_011294732.1,PMT9312_1116
1035299,1035616.0,318.0,PMT9312_1117,PMT9312_RS05750,hypothetical protein,WP_011376667.1,Not in COGs,,-0.33,-0.62,,,PMT9312_1117
1035625,1036341.0,717.0,PMT9312_1118,PMT9312_RS05755,pyridoxine 5'-phosphate synthase,WP_011376668.1,Not in COGs,metabolic process (GO:0008152),,-0.55,,WP_011294731.1,PMT9312_1118
