Supplementary Dataset 3: List of full set of Prochlorococcus MIT9312 genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC007577.1)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,NAT_homolog
734129,734383,255,PMT9312_0787,PMT9312_RS04035,phosphoribosylformylglycinamidine synthase subunit PurS,WP_011376342.1,Nucleotide transport and metabolism,,0.40,-0.64,,WP_011293720.1
736266,737363,1098,PMT9312_0790,PMT9312_RS04050,gfo/Idh/MocA family oxidoreductase,WP_011376345.1,General function prediction only,metabolic process (GO:0008152),-0.39,-0.53,,WP_011293723.1
737366,737758,393,PMT9312_0791,PMT9312_RS04055,hypothetical protein,WP_011376346.1,Not in COGs,,-0.69,,,WP_011293724.1
737761,738642,882,PMT9312_0792,PMT9312_RS04060,acetyl-CoA carboxylase carboxyl transferase subunit beta,WP_011376347.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.54,,WP_011293725.1
738787,739686,900,PMT9312_0793,PMT9312_RS04065,phosphoribulokinase,WP_011376348.1,Energy production and conversion,carbohydrate metabolic process (GO:0005975),-0.38,-0.96,,WP_011293727.1
743013,743507,495,PMT9312_0797,PMT9312_RS04085,haloacid dehalogenase,WP_011376352.1,General function prediction only,,,0.76,,WP_071813622.1
744535,745590,1056,PMT9312_0800,PMT9312_RS04100,hypothetical protein,WP_011376355.1,Not in COGs,,,0.74,,WP_011293734.1
749033,749800,768,PMT9312_0804,PMT9312_RS04120,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,WP_011376359.1,Amino acid transport and metabolism,histidine biosynthetic process (GO:0000105),-0.47,-1.01,,WP_011293738.1
751513,752124,612,PMT9312_0807,PMT9312_RS04135,glutaredoxin,WP_011376362.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,-0.50,,WP_011294679.1
752349,753008,660,PMT9312_0809,PMT9312_RS04145,NAD(P)-dependent oxidoreductase,WP_011376364.1,Cell wall/membrane biogenesis,cellular metabolic process (GO:0044237),,0.72,,WP_011293743.1
753794,754852,1059,PMT9312_0811,PMT9312_RS04155,ABC transporter ATP-binding protein ,WP_011376366.1,Amino acid transport and metabolism,,-1.14,,,WP_011293745.1
755097,755651,555,PMT9312_0812,PMT9312_RS04160,ferritin,WP_011376367.1,Inorganic ion transport and metabolism,cellular iron ion homeostasis (GO:0006879),0.88,0.49,,WP_011293746.1
755932,756519,588,PMT9312_0814,PMT9312_RS04170,Crp/Fnr family transcriptional regulator,WP_011376369.1,Signal transduction mechanisms,regulation of transcription (GO:0045449),-0.66,-0.63,,WP_011293748.1
757751,759073,1323,PMT9312_0817,PMT9312_RS04185,(2Fe-2S)-binding protein,WP_011376372.1,Inorganic ion transport and metabolism,oxidation reduction (GO:0055114),,-0.87,,WP_011293752.1
759231,759425,195,PMT9312_0818,PMT9312_RS04190,hypothetical protein,WP_011376373.1,Not in COGs,,,-0.71,,WP_011293753.1
763066,763245,180,PMT9312_0824,PMT9312_RS04225,hypothetical protein,WP_011376379.1,Not in COGs,,,1.38,,WP_011293777.1
763992,764741,750,PMT9312_0826,PMT9312_RS04235,ABC transporter ATP-binding protein,WP_011376381.1,General function prediction only,,,0.69,,WP_011295390.1
764734,765864,1131,PMT9312_0827,PMT9312_RS04240,urea ABC transporter permease subunit UrtC,WP_011376382.1,Amino acid transport and metabolism,transport (GO:0006810),,0.57,,WP_011295391.1
765864,767018,1155,PMT9312_0828,PMT9312_RS04245,branched-chain amino acid ABC transporter permease,WP_011376383.1,Amino acid transport and metabolism,transport (GO:0006810),,0.73,,WP_011295392.1
767099,768376,1278,PMT9312_0829,PMT9312_RS04250,urea ABC transporter substrate-binding protein (UrtA),WP_011376384.1,Amino acid transport and metabolism,,,1.21,,WP_011295393.1
769799,770248,450,PMT9312_0832,PMT9312_RS04265,urease accessory protein UreE,WP_011376387.1,"Posttranslational modification, protein turnover, chaperones",enzyme active site formation (GO:0018307),0.76,,,WP_011295396.1
770297,771199,903,PMT9312_0833,PMT9312_RS04270,urease accessory protein UreD,WP_011376388.1,Not in COGs,nitrogen compound metabolic process (GO:0006807),,-0.76,,WP_011295397.1
771555,771875,321,PMT9312_0835,PMT9312_RS04280,urease subunit beta,WP_011376390.1,Not in COGs,nitrogen compound metabolic process (GO:0006807),0.50,,,WP_011295399.1
779221,780027,807,PMT9312_0843,PMT9312_RS04315,undecaprenyl-diphosphatase,WP_011376398.1,Not in COGs,dephosphorylation (GO:0016311),,0.93,,WP_011293786.1
780335,781063,729,PMT9312_0844,PMT9312_RS04325,peptide-methionine (S)-S-oxide reductase,WP_011376399.1,Not in COGs,oxidation reduction (GO:0055114),,0.56,,WP_011293788.1
781100,782845,1746,PMT9312_0845,PMT9312_RS04330,ABC transporter ATP-binding protein (# multidrug efflux from transportDB2.0),WP_011376400.1,Defense mechanisms,transmembrane transport (GO:0055085),1.00,1.47,,WP_011293790.1
783257,784306,1050,PMT9312_0847,PMT9312_RS04340,anthranilate phosphoribosyltransferase,WP_011376402.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.56,-0.92,,WP_011293792.1
784306,785445,1140,PMT9312_0848,PMT9312_RS04345,carbamoyl phosphate synthase small subunit,WP_011376403.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),-0.67,-0.97,,WP_011293793.1
794531,795421,891,PMT9312_0859,PMT9312_RS04400,EamA family transporter,WP_011376414.1,Carbohydrate transport and metabolism,,,0.70,,WP_011293804.1
795516,797549,2034,PMT9312_0860,PMT9312_RS04405,DNA primase,WP_011376415.1,"Replication, recombination and repair",DNA metabolic process (GO:0006259),,-0.61,,WP_011293805.1
797566,798033,468,PMT9312_0861,PMT9312_RS04410,hypothetical protein,WP_011376416.1,Not in COGs,,,0.65,,WP_011293807.1
799850,800266,417,PMT9312_0864,PMT9312_RS04425,ribosomal RNA large subunit methyltransferase H,WP_011376419.1,Function unknown,rRNA processing (GO:0006364),,1.12,,WP_041711182.1
806551,807594,1044,PMT9312_0873,PMT9312_RS04465,AI-2E family transporter,WP_011376428.1,General function prediction only,,,0.73,,WP_011293668.1
807608,807961,354,PMT9312_0874,PMT9312_RS04470,photosystem II reaction center protein Psb28,WP_011376429.1,Not in COGs,photosynthesis (GO:0015979),0.87,1.31,,WP_011293669.1
810281,810544,264,PMT9312_0878,PMT9312_RS04490,hypothetical protein,WP_011376433.1,Not in COGs,,,1.15,,WP_011293673.1
810557,811612,1056,PMT9312_0879,PMT9312_RS04495,methyltransferase,WP_011376434.1,"Secondary metabolites biosynthesis, transport and catabolism",metabolic process (GO:0008152),0.75,1.57,,WP_011293674.1
813349,814533,1185,PMT9312_0881,PMT9312_RS04505,alanine--glyoxylate aminotransferase family protein,WP_011376436.1,Amino acid transport and metabolism,metabolic process (GO:0008152),,-0.83,,WP_011293676.1
822209,822538,330,PMT9312_0889,PMT9312_RS04545,hypothetical protein,WP_011376444.1,General function prediction only,,,0.52,,WP_011293830.1
822541,822819,279,PMT9312_0890,PMT9312_RS04550,YggT family protein,WP_002807500.1,Function unknown,,,0.89,,WP_011293831.1
826998,827258,261,PMT9312_0894,PMT9312_RS04570,photosystem I reaction center subunit PsaK,WP_011376448.1,Not in COGs,photosynthesis (GO:0015979),,-1.60,,WP_011293835.1
827960,828493,534,PMT9312_0897,PMT9312_RS04585,peroxiredoxin,WP_011376451.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),-0.60,,,WP_011293838.1
828775,830679,1905,PMT9312_0899,PMT9312_RS04595,molecular chaperone HtpG,WP_011376453.1,"Posttranslational modification, protein turnover, chaperones",protein folding (GO:0006457),0.45,0.55,,WP_011293840.1
839166,840221,1056,PMT9312_0908,PMT9312_RS04645,N-acetyl-gamma-glutamyl-phosphate reductase,WP_011376462.1,Amino acid transport and metabolism,arginine biosynthetic process (GO:0006526),-0.39,-0.97,,WP_011293852.1
841041,842624,1584,PMT9312_0910,PMT9312_RS04655,glucose-6-phosphate isomerase,WP_011376464.1,Carbohydrate transport and metabolism,gluconeogenesis (GO:0006094),,-0.66,,WP_011293854.1
852269,852835,567,PMT9312_0919,PMT9312_RS04700,membrane protein,WP_011376473.1,Function unknown,,,-0.72,,WP_011293863.1
861792,862010,219,PMT9312_0924,PMT9312_RS04725,hypothetical protein,WP_011376478.1,Not in COGs,,0.68,-0.43,,WP_011293868.1
862108,862491,384,PMT9312_0925,PMT9312_RS04730,hypothetical protein,WP_011376479.1,Function unknown,,0.43,0.59,,WP_011294034.1
863374,863553,180,PMT9312_0927,PMT9312_RS04740,hypothetical protein,WP_011376481.1,Not in COGs,,0.85,1.41,,WP_011293870.1
868491,869675,1185,PMT9312_0933,PMT9312_RS04770,ribonuclease II,WP_011376485.1,Transcription,,-0.54,0.65,,WP_011293875.1
871314,871895,582,PMT9312_0935,PMT9312_RS04780,LPS export ABC transporter periplasmic protein LptC,WP_011376487.1,Not in COGs,,,0.96,,
881076,881840,765,PMT9312_0949,PMT9312_RS04860,haloacid dehalogenase,WP_011376501.1,General function prediction only,metabolic process (GO:0008152),,-0.66,,WP_011293890.1
882011,882358,348,PMT9312_0950,PMT9312_RS04865,zinc/iron-chelating domain-containing protein,WP_011376502.1,General function prediction only,,,0.58,,
885860,886438,579,PMT9312_0955,PMT9312_RS04890,hypothetical protein,WP_011376507.1,Not in COGs,,,1.13,,WP_049752690.1
892268,895792,3525,PMT9312_0961,PMT9312_RS04920,transcription-repair coupling factor,WP_011376513.1,"Replication, recombination and repair",DNA repair (GO:0006281),0.26,0.78,,WP_011293903.1
896477,897064,588,PMT9312_0963,PMT9312_RS04930,hypothetical protein,WP_036924625.1,Not in COGs,,,0.75,,WP_011293907.1
904622,905467,846,PMT9312_0970,PMT9312_RS04965,dihydropteroate synthase,WP_036924619.1,Coenzyme transport and metabolism,cellular metabolic process (GO:0044237),-0.73,-1.12,,WP_011293915.1
905451,906176,726,PMT9312_0971,PMT9312_RS04970,triose-phosphate isomerase,WP_011376523.1,Carbohydrate transport and metabolism,metabolic process (GO:0008152),-0.41,-0.83,,WP_011293916.1
912813,913307,495,PMT9312_0978,PMT9312_RS05005,hypothetical protein,WP_036924616.1,Not in COGs,,,0.50,,WP_011293757.1
916436,917230,795,PMT9312_0982,PMT9312_RS05030,multidrug ABC transporter permease,WP_011376534.1,General function prediction only,,,0.50,,WP_011293769.1
917227,918021,795,PMT9312_0983,PMT9312_RS05035,ABC transporter permease,WP_011376535.1,General function prediction only,,,0.96,,WP_011293770.1
918295,918522,228,PMT9312_0985,PMT9312_RS05045,hypothetical protein,WP_011376537.1,Not in COGs,,,-0.55,,
919922,920263,342,PMT9312_0987,PMT9312_RS05055,HNH endonuclease,WP_011376539.1,Defense mechanisms,,1.03,,,
921123,921344,222,PMT9312_1878,PMT9312_RS05070,hypothetical protein,WP_036924509.1,Not in COGs,,-0.44,-1.06,,WP_011294718.1
921817,922320,504,PMT9312_0990,PMT9312_RS05080,hypothetical protein,WP_011376542.1,Not in COGs,,,-0.60,,WP_011293772.1
922974,923438,465,PMT9312_0992,PMT9312_RS05095,nucleoside 2-deoxyribosyltransferase,WP_011376544.1,Nucleotide transport and metabolism,,,0.78,,WP_011293658.1
926135,926932,798,PMT9312_0997,PMT9312_RS05120,hypothetical protein,WP_011376548.1,Not in COGs,,0.85,1.97,,WP_011293659.1
930385,930654,270,PMT9312_1004,PMT9312_RS05160,hypothetical protein,WP_011376555.1,Not in COGs,,0.67,1.38,,WP_011294629.1
931111,931491,381,PMT9312_1006,PMT9312_RS05165,hypothetical protein,WP_011376557.1,Not in COGs,,,0.91,,WP_011293944.1
931825,932127,303,PMT9312_1008,PMT9312_RS05175,hypothetical protein,WP_011376559.1,Not in COGs,,-0.50,,,WP_011293806.1
932194,932910,717,PMT9312_1009,PMT9312_RS05180,hypothetical protein,WP_011376560.1,General function prediction only,,0.75,1.46,,WP_011293930.1
933062,933346,285,PMT9312_1010,PMT9312_RS05185,hypothetical protein,WP_011376561.1,Not in COGs,,,0.80,,WP_011295286.1
936570,936767,198,PMT9312_1013,PMT9312_RS05205,hypothetical protein,WP_011376564.1,Not in COGs,,,0.98,,
938049,938291,243,PMT9312_1015,PMT9312_RS05215,hypothetical protein,WP_011376566.1,Not in COGs,,,-0.76,,
938437,938916,480,PMT9312_1016,PMT9312_RS05220,glutathione peroxidase,WP_011376567.1,"Posttranslational modification, protein turnover, chaperones",oxidation reduction (GO:0055114),,0.92,,WP_011295553.1
939048,939722,675,PMT9312_1017,PMT9312_RS05225,hypothetical protein,WP_011376568.1,Not in COGs,,0.60,0.56,,
939770,940162,393,PMT9312_1018,PMT9312_RS05230,hypothetical protein,WP_011376569.1,Not in COGs,,,1.45,,WP_011294030.1
944289,944693,405,PMT9312_1027,PMT9312_RS05275,MAPEG family protein,WP_011376577.1,Function unknown,,,0.92,,WP_011294562.1
948459,948773,315,PMT9312_1032,PMT9312_RS05315,hypothetical protein,WP_011376582.1,Not in COGs,,,-1.26,,WP_011294002.1
951523,951906,384,PMT9312_1038,PMT9312_RS05345,DUF1499 domain-containing protein,WP_011376588.1,Function unknown,,,1.12,,WP_011294614.1
952775,953023,249,PMT9312_1039,PMT9312_RS05350,hypothetical protein,WP_011376589.1,Not in COGs,,0.97,,,WP_011294874.1
953254,954039,786,PMT9312_1040,PMT9312_RS05355,metal ABC transporter permease,WP_011376590.1,Inorganic ion transport and metabolism,transport (GO:0006810),-0.63,-0.47,,WP_011295377.1
960191,960466,276,PMT9312_1046,PMT9312_RS05385,DNA gyrase,WP_011376596.1,Not in COGs,,1.13,,,WP_011293957.1
964551,965024,474,PMT9312_1052,PMT9312_RS05415,hypothetical protein,WP_011376602.1,Not in COGs,,,0.61,,
965108,965626,519,PMT9312_1053,PMT9312_RS05420,pentapeptide repeat protein,WP_011376603.1,Function unknown,,,-0.60,,WP_011294801.1
972864,973136,273,PMT9312_1061,PMT9312_RS05465,hypothetical protein,WP_036923944.1,Not in COGs,,,1.01,,WP_011294792.1
974532,974951,420,PMT9312_1063,PMT9312_RS05475,cysteine desufuration protein SufE,WP_011376613.1,General function prediction only,,,0.78,,WP_011294790.1
978434,978553,120,PMT9312_1069,PMT9312_RS05505,cytochrome b6-f complex subunit 5,WP_011376619.1,Not in COGs,,,-1.28,,WP_011294783.1
978530,979129,600,PMT9312_1070,PMT9312_RS05510,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_011376620.1,"Replication, recombination and repair",methylation (GO:0032259),-0.48,-0.67,,WP_011294782.1
980322,981485,1164,PMT9312_1073,PMT9312_RS05525,GuaB3 family IMP dehydrogenase-related protein,WP_011376623.1,Nucleotide transport and metabolism,metabolic process (GO:0008152),0.61,0.26,,WP_011294779.1
985502,987085,1584,PMT9312_1076,PMT9312_RS05540,glycoside hydrolase family 57,WP_011376626.1,Function unknown,carbohydrate metabolic process (GO:0005975),-0.67,-1.22,,WP_011294776.1
989034,989426,393,PMT9312_1078,PMT9312_RS05550,hypothetical protein,WP_011376628.1,Not in COGs,,,-0.95,,WP_011294773.1
990982,991878,897,PMT9312_1080,PMT9312_RS05560,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",WP_011376630.1,Coenzyme transport and metabolism,folic acid and derivative biosynthetic process (GO:0009396),,-0.66,,WP_011294771.1
992832,993311,480,PMT9312_1082,PMT9312_RS05570,divergent PAP2 family protein,WP_011376632.1,Not in COGs,,-0.74,-0.59,,WP_011294769.1
1001402,1001872,471,PMT9312_1090,PMT9312_RS05615,hypothetical protein,WP_011376640.1,Not in COGs,,,-0.65,,WP_011294761.1
1001882,1002877,996,PMT9312_1091,PMT9312_RS05620,ribose-phosphate pyrophosphokinase,WP_011376641.1,Nucleotide transport and metabolism,cellular biosynthetic process (GO:0044249),,-0.55,,WP_011294759.1
1005283,1006941,1659,PMT9312_1094,PMT9312_RS05635,hypothetical protein,WP_011376644.1,General function prediction only,protein amino acid phosphorylation (GO:0006468),,0.72,,WP_011294755.1
1010190,1011281,1092,PMT9312_1098,PMT9312_RS05655,oxidoreductase,WP_011376648.1,Energy production and conversion,oxidation reduction (GO:0055114),0.82,0.82,,WP_011294750.1
1011296,1013824,2529,PMT9312_1099,PMT9312_RS05660,ATP-dependent Clp protease ATP-binding subunit ClpC,WP_011376649.1,"Posttranslational modification, protein turnover, chaperones",nucleotide-excision repair (GO:0006289),0.77,0.82,,WP_011294749.1
1021705,1022262,558,PMT9312_1109,PMT9312_RS05710,photosystem II oxygen evolving complex protein PsbP,WP_011376659.1,Not in COGs,photosynthesis (GO:0015979),0.53,,,WP_011294739.1
1022278,1024050,1773,PMT9312_1110,PMT9312_RS05715,ABC transporter ATP-binding protein,WP_011376660.1,Defense mechanisms,transmembrane transport (GO:0055085),-0.61,-0.35,,WP_011294738.1
1024361,1026142,1782,PMT9312_1112,PMT9312_RS05725,cold-shock protein,WP_011376662.1,"Replication, recombination and repair",,-0.76,-0.57,,WP_011294736.1
1032099,1035281,3183,PMT9312_1116,PMT9312_RS05745,exodeoxyribonuclease V subunit chi,WP_011376666.1,"Replication, recombination and repair",,-0.77,,,WP_011294732.1
1035299,1035616,318,PMT9312_1117,PMT9312_RS05750,hypothetical protein,WP_011376667.1,Not in COGs,,-0.33,-0.62,,
1035625,1036341,717,PMT9312_1118,PMT9312_RS05755,pyridoxine 5'-phosphate synthase,WP_011376668.1,Not in COGs,metabolic process (GO:0008152),,-0.55,,WP_011294731.1
1036502,1037116,615,PMT9312_1119,PMT9312_RS05760,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_036923956.1,Lipid transport and metabolism,metabolic process (GO:0008152),1.14,0.94,,WP_011294730.1
1037160,1037675,516,PMT9312_1120,PMT9312_RS05765,hypothetical protein,WP_011376670.1,Not in COGs,,0.87,,,
1037688,1037918,231,PMT9312_1121,PMT9312_RS05770,BolA family transcriptional regulator,WP_011376671.1,Signal transduction mechanisms,,0.59,,,WP_011294729.1
1039384,1039890,507,PMT9312_1125,PMT9312_RS05790,hypothetical protein,WP_011376675.1,Not in COGs,,-0.52,,,
1043779,1043886,108,,PMT9312_RS05815,high light inducible protein,WP_011132751.1,#N/A,,2.00,2.55,,WP_011125327.1
1044540,1045694,1155,PMT9312_1130,PMT9312_RS05825,porin,WP_011376680.1,Not in COGs,,0.39,-0.54,,
1045860,1046975,1116,PMT9312_1131,PMT9312_RS05830,porin,WP_011376681.1,Not in COGs,transport (GO:0006810),0.37,-0.56,,
1051556,1052521,966,PMT9312_1135,PMT9312_RS05850,hypothetical protein,WP_011376685.1,Not in COGs,,,-0.57,,
1053412,1053798,387,PMT9312_1137,PMT9312_RS05865,hypothetical protein,WP_011376687.1,Not in COGs,,,-0.71,,
1053894,1054415,522,PMT9312_1138,PMT9312_RS05870,molecular chaperone DnaJ,WP_011376688.1,"Posttranslational modification, protein turnover, chaperones",protein folding (GO:0006457),,0.63,,
1057780,1057914,135,PMT9312_1143,PMT9312_RS05895,high light inducible protein,WP_011376693.1,Not in COGs,,,1.85,,WP_011294606.1
1058239,1059321,1083,PMT9312_1144,PMT9312_RS05900,photosystem II protein D1 (PsbA),WP_011375791.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",0.80,,,WP_011294225.1
1060448,1061224,777,PMT9312_1146,PMT9312_RS05915,hypothetical protein,WP_011376695.1,Not in COGs,,,0.72,,
1061228,1061812,585,PMT9312_1147,PMT9312_RS05920,N-acetyltransferase,WP_011376696.1,Not in COGs,,0.76,,,
1072307,1072912,606,PMT9312_1156,PMT9312_RS05965,hypothetical protein,WP_036923975.1,Not in COGs,,0.45,0.82,,WP_011294819.1
1073052,1073474,423,PMT9312_1157,PMT9312_RS05970,hypothetical protein,WP_011376706.1,Not in COGs,,0.54,,,
1073910,1074203,294,PMT9312_1158,PMT9312_RS05980,hypothetical protein,WP_011376707.1,Not in COGs,,0.91,0.59,,
1074511,1074696,186,PMT9312_1159,PMT9312_RS09480,hypothetical protein,WP_011376708.1,Not in COGs,,1.04,2.46,,WP_011294574.1
1074708,1074896,189,PMT9312_1160,PMT9312_RS05985,hypothetical protein,WP_011376709.1,Not in COGs,,1.15,2.62,,
1079190,1079930,741,PMT9312_1165,PMT9312_RS06010,amino acid ABC transporter ATP-binding protein,WP_011376714.1,Amino acid transport and metabolism,,-0.50,,,WP_011294700.1
1084774,1085784,1011,PMT9312_1169,PMT9312_RS06030,NmrA family transcriptional regulator,WP_011376718.1,Cell wall/membrane biogenesis,metabolic process (GO:0008152),2.57,3.71,,WP_011293924.1
1086217,1086822,606,PMT9312_1170,PMT9312_RS06035,hypothetical protein,WP_011376719.1,Function unknown,,0.54,0.43,,
1088986,1089240,255,PMT9312_1173,PMT9312_RS06055,high light inducible protein,WP_011376722.1,Not in COGs,,1.16,1.80,,
1090291,1090704,414,PMT9312_1175,PMT9312_RS06065,hypothetical protein,WP_011376724.1,Not in COGs,,-2.05,,,WP_011294879.1
1091505,1091801,297,PMT9312_1176,PMT9312_RS06075,PsbF-like protein,WP_011376725.1,Not in COGs,photosynthesis (GO:0015979),-1.25,,,WP_011294880.1
1093035,1093349,315,PMT9312_1178,PMT9312_RS06085,hypothetical protein,WP_011376727.1,Not in COGs,,,-0.69,,
1093815,1094933,1119,PMT9312_1179,PMT9312_RS06090,inverse autotransporter beta-barrel domain-containing protein,WP_011376728.1,Not in COGs,,0.66,0.32,,
1110460,1110933,474,PMT9312_1190,PMT9312_RS06145,hypothetical protein,WP_011376739.1,Not in COGs,,,1.66,,
1117237,1117860,624,PMT9312_1196,PMT9312_RS06175,prepilin-type cleavage/methylation domain-containing protein,WP_011376745.1,Not in COGs,,-0.34,-0.59,,
1120689,1121354,666,PMT9312_1199,PMT9312_RS06190,prepilin-type cleavage/methylation domain-containing protein,WP_011376748.1,Cell motility,,0.64,,,
1121821,1122390,570,PMT9312_1201,PMT9312_RS06200,Tfp pilus assembly protein PilE-like,WP_011376750.1,Not in COGs,,,-0.77,,
1129553,1129738,186,PMT9312_pseudoVIMSS1362712,PMT9312_RS09490,hypothetical protein,WP_071813338.1,#N/A,,1.33,2.67,,
1130689,1131000,312,PMT9312_1209,PMT9312_RS06240,hypothetical protein,WP_011376758.1,Not in COGs,,0.64,,,WP_011294641.1
1132508,1133026,519,PMT9312_1212,PMT9312_RS06255,metal-binding protein,WP_036924260.1,General function prediction only,,0.82,,,WP_011294549.1
1133556,1133756,201,PMT9312_1215,PMT9312_RS06270,hypothetical protein,WP_011376764.1,Not in COGs,,0.93,1.03,,
1135963,1136178,216,PMT9312_1218,PMT9312_RS06285,hypothetical protein,WP_011376767.1,Not in COGs,,-0.62,,,WP_011294666.1
1139772,1141115,1344,PMT9312_1223,PMT9312_RS06320,sodium-dependent transporter,WP_036924299.1,General function prediction only,neurotransmitter transport (GO:0006836),,-0.89,,WP_011294838.1
1143167,1143589,423,PMT9312_1225,PMT9312_RS06330,cupin,WP_011376774.1,Function unknown,,0.85,,,
1144209,1144478,270,PMT9312_1227,PMT9312_RS06340,phospholipase,WP_011376776.1,Not in COGs,,0.57,,,
1144707,1144913,207,PMT9312_1228,PMT9312_RS06345,high light inducible protein,WP_011376777.1,Not in COGs,,3.37,3.99,,WP_011294349.1
1144913,1145173,261,PMT9312_1229,PMT9312_RS06350,high light inducible protein,WP_036924266.1,Not in COGs,,3.34,4.30,,WP_011293953.1
1145207,1145335,129,PMT9312_1230,PMT9312_RS06355,high light inducible protein,WP_011376779.1,Not in COGs,,3.23,4.22,,WP_011294351.1
1145337,1145516,180,PMT9312_1231,PMT9312_RS06360,hypothetical protein,WP_011376780.1,Not in COGs,,2.63,4.63,,
1147114,1148205,1092,PMT9312_1234,PMT9312_RS06380,GTP-binding protein YchF,WP_011376783.1,Translation,,-0.28,-0.55,,WP_011294834.1
1153915,1155141,1227,PMT9312_1238,PMT9312_RS06400,1-deoxy-D-xylulose-5-phosphate reductoisomerase,WP_011376787.1,Not in COGs,isoprenoid biosynthetic process (GO:0008299),,-0.71,,WP_011294839.1
1155913,1156047,135,PMT9312_1239,PMT9312_RS06405,high light inducible protein,WP_011376693.1,Not in COGs,,,1.85,,WP_011294606.1
1156286,1156636,351,PMT9312_1240,PMT9312_RS06410,ferredoxin,WP_011376788.1,Energy production and conversion,,,0.96,,
1160702,1161280,579,PMT9312_1245,PMT9312_RS06435,hypothetical protein,WP_011376793.1,Not in COGs,,,-0.73,,WP_011294844.1
1161435,1161659,225,PMT9312_1246,PMT9312_RS06440,hypothetical protein,WP_011376794.1,Not in COGs,,,-0.77,,WP_011294845.1
1164965,1165915,951,PMT9312_1252,PMT9312_RS06470,alpha/beta hydrolase,WP_011376799.1,General function prediction only,,,-0.51,,WP_011294851.1
1171009,1172538,1530,PMT9312_1259,PMT9312_RS06505,cobyric acid synthase CobQ,WP_011376805.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),0.60,,,WP_011294859.1
1173901,1174923,1023,PMT9312_1261,PMT9312_RS06520,iron ABC transporter substrate-binding protein,WP_036924302.1,Inorganic ion transport and metabolism,transport (GO:0006810),-2.29,,,WP_011294862.1
1175026,1175691,666,PMT9312_1262,PMT9312_RS06525,PKHD-type hydroxylase,WP_011376808.1,Function unknown,oxidation reduction (GO:0055114),1.02,,,WP_011294863.1
1175764,1175991,228,PMT9312_1263,PMT9312_RS06530,hypothetical protein,WP_011376809.1,Not in COGs,,-0.81,,,WP_011294864.1
1176075,1177388,1314,PMT9312_1264,PMT9312_RS06535,porin,WP_011376810.1,Not in COGs,transport (GO:0006810),-1.42,,,WP_011294865.1
1177541,1178416,876,PMT9312_1265,PMT9312_RS06540,glycine--tRNA ligase subunit alpha,WP_036924276.1,Not in COGs,glycyl-tRNA aminoacylation (GO:0006426),-0.80,-0.33,,WP_011294866.1
1179645,1180283,639,PMT9312_1268,PMT9312_RS06555,SAM-dependent methyltransferase,WP_011376814.1,Not in COGs,metabolic process (GO:0008152),,1.49,,WP_011293906.1
1180632,1181288,657,PMT9312_1270,PMT9312_RS06565,hypothetical protein,WP_011376816.1,Not in COGs,,0.55,1.33,,WP_011295290.1
1181364,1182422,1059,PMT9312_1271,PMT9312_RS06570,chlorophyll a/b binding light-harvesting protein,WP_011376817.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",-3.11,,,WP_011293749.1
1182568,1183092,525,PMT9312_1272,PMT9312_RS06575,flavodoxin,WP_011376818.1,Energy production and conversion,,-2.45,,,WP_011294882.1
1184328,1184552,225,PMT9312_1275,PMT9312_RS06590,hypothetical protein,WP_011376821.1,Not in COGs,,,-0.63,,WP_011295406.1
1185630,1185881,252,PMT9312_1277,PMT9312_RS06600,hypothetical protein,WP_011376823.1,Not in COGs,,,-0.94,,WP_011294883.1
1191680,1191817,138,PMT9312_1284,PMT9312_RS06635,50S ribosomal protein L34,WP_002808184.1,Not in COGs,translation (GO:0006412),,-0.59,,WP_011294890.1
1191830,1192216,387,PMT9312_1285,PMT9312_RS06640,ribonuclease P protein component,WP_011376830.1,Not in COGs,tRNA processing (GO:0008033),-0.78,-0.72,,WP_011294891.1
1192213,1192626,414,PMT9312_1286,PMT9312_RS06645,ribonuclease P,WP_011376831.1,Not in COGs,oxidation reduction (GO:0055114),,0.92,,WP_011294892.1
1193857,1195323,1467,PMT9312_1288,PMT9312_RS06655,hypothetical protein,WP_011376833.1,"Posttranslational modification, protein turnover, chaperones",,-0.75,,,WP_011294894.1
