GID,genename,kid,ko,definition,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
sync_1223,,syg:sync_1223,,CAB/ELIP/HLIP family protein,,CAB/ELIP/HLIP family protein,Q0IAU0,CAB/ELIP/HLIP family protein.,,1111526,1111526..1111777,83
sync_1224,,syg:sync_1224,K03185,putative 2-octaprenyl-6-methoxyphenol hydroxylase,,putative 2-octaprenyl-6-methoxyphenol hydroxylase,Q0IAT9,Putative 2-octaprenyl-6-methoxyphenol hydroxylase.,1.14.13.-,1111786,1111786..1112955,389
sync_1225,,syg:sync_1225,,hypothetical protein,,conserved hypothetical protein,Q0IAT8,Putative uncharacterized protein.,,1112966,1112966..1113187,73
sync_1226,apt,syg:sync_1226,K00759,adenine phosphoribosyltransferase,apt,adenine phosphoribosyltransferase,Q0IAT7,Adenine phosphoribosyltransferase (EC 2.4.2.7).,2.4.2.7,1113178,complement(1113178..1113696),172
sync_1227,,syg:sync_1227,,hypothetical protein,,conserved hypothetical protein,Q0IAT6,Putative uncharacterized protein.,,1114223,1114223..1114780,185
sync_1228,,syg:sync_1228,,uncharacterized membrane protein,,Uncharacterized membrane protein,Q0IAT5,Uncharacterized membrane protein.,,1114780,1114780..1115424,214
sync_1229,,syg:sync_1229,,hypothetical protein,,hypothetical protein,Q0IAT4,Putative uncharacterized protein.,,1115473,1115473..1115718,81
sync_1230,,syg:sync_1230,,hypothetical protein,,conserved hypothetical protein,Q0IAT3,Putative uncharacterized protein.,,1115715,1115715..1116164,149
sync_1231,,syg:sync_1231,,EF hand domain protein,,EF hand domain protein,Q0IAT2,EF hand domain protein.,,1116177,complement(1116177..1116566),129
sync_1232,,syg:sync_1232,K07659,two-component response regulator,,two-component response regulator,Q0IAT1,Two-component response regulator.,,1116805,1116805..1117572,255
sync_1233,envZ,syg:sync_1233,K07638,two-component sensor histidine kinase,envZ,two-component sensor histidine kinase,Q0IAT0,Sensor protein (EC 2.7.13.3).,2.7.13.3,1117569,1117569..1118924,451
sync_1234,,syg:sync_1234,,PvdS,,PvdS,Q0IAS9,PvdS (EC 2.-.-.-).,,1119076,1119076..1119948,290
sync_1235,,syg:sync_1235,,hypothetical protein,,hypothetical protein,Q0IAS8,Putative uncharacterized protein.,,1120624,1120624..1120971,115
sync_1236,,syg:sync_1236,,hypothetical protein,,hypothetical protein,Q0IAS7,Putative uncharacterized protein.,,1120983,1120983..1121135,50
sync_1237,,syg:sync_1237,,hypothetical protein,,hypothetical protein,Q0IAS6,Putative uncharacterized protein.,,1121281,complement(1121281..1121496),71
sync_1238,hli-1,syg:sync_1238,K01772,ferrochelatase,hli-1,Ferrochelatase,Q0IAS5,Ferrochelatase (EC 4.99.1.1).,4.99.1.1,1121482,1121482..1121652,56
sync_1239,,syg:sync_1239,,hypothetical protein,,hypothetical protein,Q0IAS4,Putative uncharacterized protein.,,1121848,complement(1121848..1121943),31
sync_1240,,syg:sync_1240,,hypothetical protein,,hypothetical protein,Q0IAS3,Putative uncharacterized protein.,,1122435,1122435..1122578,47
sync_1241,,syg:sync_1241,,hypothetical protein,,hypothetical protein,Q0IAS2,Putative uncharacterized protein.,,1122660,1122660..1123052,130
sync_1242,,syg:sync_1242,,hypothetical protein,,hypothetical protein,Q0IAS1,Putative uncharacterized protein.,,1123164,1123164..1123430,88
sync_1243,,syg:sync_1243,,hypothetical protein,,hypothetical protein,Q0IAS0,Putative uncharacterized protein.,,1123584,1123584..1123742,52
sync_1244,,syg:sync_1244,K00540,"oxidoreductase, short-chain dehydrogenase/reductase family protein",,"oxidoreductase, short-chain dehydrogenase/reductase family protein",Q0IAR9,"Oxidoreductase, short-chain dehydrogenase/reductase family protein (EC 1.-.-.-).",1.-.-.-,1123961,1123961..1124674,237
sync_1245,,syg:sync_1245,,possible carbamoyl-phosphate synthase L chain,,possible Carbamoyl-phosphate synthase L chain,Q0IAR8,Possible Carbamoyl-phosphate synthase L chain.,,1124911,1124911..1126116,401
sync_1246,,syg:sync_1246,K07238,hypothetical protein,,putative membrane protein,Q0IAR7,Putative membrane protein.,,1126586,1126586..1127290,234
sync_1247,,syg:sync_1247,,hypothetical protein,,hypothetical protein,Q0IAR6,Putative uncharacterized protein.,,1127606,1127606..1127710,34
sync_1248,,syg:sync_1248,,hypothetical protein,,hypothetical protein,Q0IAR5,Putative uncharacterized protein.,,1128419,1128419..1128574,51
sync_1249,,syg:sync_1249,,possible phycobilisome rod-core linker polypeptide (L-RC 28.5),,possible phycobilisome rod-core linker polypeptide (L-RC 28.5),Q0IAR4,Possible phycobilisome rod-core linker polypeptide (L-RC 28.5).,,1129110,complement(1129110..1129841),243
sync_1250,,syg:sync_1250,,predicted membrane protein-related protein,,Predicted membrane protein-related protein,Q0IAR3,Predicted membrane protein-related protein.,,1130181,complement(1130181..1130291),36
sync_1251,,syg:sync_1251,,hypothetical protein,,conserved hypothetical protein,Q0IAR2,Putative uncharacterized protein.,,1130371,complement(1130371..1130598),75
sync_1252,,syg:sync_1252,,staphylococcal nuclease homologue,,Staphylococcal nuclease homologue,Q0IAR1,Staphylococcal nuclease homologue.,,1130678,complement(1130678..1131214),178
sync_1253,,syg:sync_1253,K01915,glutamine synthetase,,glutamine synthetase,Q0IAR0,Glutamine synthetase (EC 6.3.1.2).,6.3.1.2,1131229,complement(1131229..1133322),697
sync_1254,,syg:sync_1254,,SAM-dependent methyltransferase,,SAM-dependent methyltransferase,Q0IAQ9,SAM-dependent methyltransferase.,,1133723,1133723..1134358,211
sync_1255,,syg:sync_1255,,hypothetical protein,,hypothetical protein,Q0IAQ8,Putative uncharacterized protein.,,1134655,complement(1134655..1134834),59
sync_1256,,syg:sync_1256,,hypothetical protein,,hypothetical protein,Q0IAQ7,Putative uncharacterized protein.,,1135754,1135754..1135858,34
sync_1257,,syg:sync_1257,,hypothetical protein,,hypothetical protein,Q0IAQ6,Putative uncharacterized protein.,,1136531,complement(1136531..1136782),83
sync_1258,,syg:sync_1258,,putative nuclease,,putative nuclease,Q0IAQ5,Putative nuclease.,,1137425,1137425..1137862,145
sync_1259,,syg:sync_1259,,hypothetical protein,,hypothetical protein,Q0IAQ4,Putative uncharacterized protein.,,1138269,1138269..1138541,90
sync_1260,,syg:sync_1260,,type I secretion target GGXGXDXXX repeat protein,,type I secretion target GGXGXDXXX repeat protein,Q0IAQ3,Type I secretion target GGXGXDXXX repeat protein.,,1138899,complement(1138899..1140758),619
sync_1261,,syg:sync_1261,,hypothetical protein,,hypothetical protein,Q0IAQ2,Putative uncharacterized protein.,,1141049,1141049..1141210,53
sync_1262,,syg:sync_1262,,hypothetical protein,,hypothetical protein,Q0IAQ1,Putative uncharacterized protein.,,1141400,complement(1141400..1141510),36
sync_1263,,syg:sync_1263,,"type II alternative RNA polymerase sigma factor, sigma-70 family protein",,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein",Q0IAQ0,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein.",,1141656,1141656..1142504,282
sync_1264,,syg:sync_1264,,tRNA-Ser,,Ser tRNA,,,,1143399,complement(1143399..1143485),
sync_1265,,syg:sync_1265,K00524,ribonucleotide reductase (class II),,ribonucleotide reductase (Class II),Q0IAP9,Ribonucleotide reductase (Class II) (EC 1.17.4.2).,1.17.4.1,1143684,complement(1143684..1146026),780
sync_1266,,syg:sync_1266,,hypothetical protein,,hypothetical protein,Q0IAP8,Putative uncharacterized protein.,,1146076,1146076..1146264,62
sync_1267,,syg:sync_1267,,hypothetical protein,,hypothetical protein,Q0IAP7,Putative uncharacterized protein.,,1146248,1146248..1146598,116
sync_1268,,syg:sync_1268,,SAM-dependent methyltransferase,,SAM-dependent methyltransferase,Q0IAP6,SAM-dependent methyltransferase.,,1146598,1146598..1147287,229
sync_1269,prfC,syg:sync_1269,K02837,peptide chain release factor 3,prfC,peptide chain release factor 3,Q0IAP5,Peptide chain release factor 3.,,1147265,1147265..1149007,580
sync_1270,,syg:sync_1270,,hypothetical protein,,conserved hypothetical protein,Q0IAP4,Putative uncharacterized protein.,,1149068,1149068..1149304,78
sync_1271,,syg:sync_1271,,cyanobacteria-specific chaperone containing DnaJ domain fused to a membrane domain,,cyanobacteria-specific chaperone containing dnaj domain fused to a membrane domain,Q0IAP3,Cyanobacteria-specific chaperone containing dnaj domain fused to a membrane domain.,,1149369,1149369..1150058,229
sync_1272,,syg:sync_1272,K04083,33 kDa chaperonin (heat shock protein 33 homolog) (HSP33),,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),Q0IAP2,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33).,,1150068,complement(1150068..1150973),301
sync_1273,,syg:sync_1273,K02006,"ABC transporter, ATP-binding protein",,"ABC transporter, ATP-binding protein",Q0IAP1,"ABC transporter, ATP-binding protein.",,1150986,complement(1150986..1151627),213
sync_1274,,syg:sync_1274,,hypothetical protein,,Uncharacterized protein,Q0IAP0,Uncharacterized protein.,,1151735,1151735..1152184,149
sync_1275,rpsB,syg:sync_1275,K02967,ribosomal protein S2,rpsB,ribosomal protein S2,Q0IAN9,Ribosomal protein S2.,,1152319,1152319..1153035,238
sync_1276,tsf,syg:sync_1276,K02357,translation elongation factor Ts,tsf,translation elongation factor Ts,Q0IAN8,Translation elongation factor Ts.,,1153122,1153122..1153778,218
sync_1277,,syg:sync_1277,,hypothetical protein,,conserved hypothetical protein,Q0IAN7,Putative uncharacterized protein.,,1153781,1153781..1154953,390
sync_1278,recG,syg:sync_1278,K03655,ATP-dependent DNA helicase RecG,recG,ATP-dependent DNA helicase RecG,Q0IAN6,ATP-dependent DNA helicase RecG (EC 3.6.1.-).,3.6.1.-,1154878,1154878..1157451,857
sync_1279,,syg:sync_1279,K08641,D-ala-D-ala dipeptidase,,D-ala-D-ala dipeptidase,Q0IAN5,D-ala-D-ala dipeptidase (EC 3.4.13.-).,3.4.13.-,1157476,1157476..1158282,268
sync_1280,,syg:sync_1280,K00381 K00392,ferredoxin-sulfite reductase,,Ferredoxin-sulfite reductase,Q0IAN4,Ferredoxin-sulfite reductase (EC 1.8.7.1).,1.8.1.2 1.8.7.1,1158266,complement(1158266..1160122),618
sync_1281,glyS,syg:sync_1281,K01879,"glycyl-tRNA synthetase, beta subunit",glyS,"glycyl-tRNA synthetase, beta subunit",Q0IAN3,"Glycyl-tRNA synthetase, beta subunit (EC 6.1.1.14).",6.1.1.14,1160152,1160152..1162311,719
sync_1282,chlP,syg:sync_1282,K10960,geranylgeranyl reductase,chlP,geranylgeranyl reductase,Q0IAN2,Geranylgeranyl reductase.,1.3.1.83,1162329,complement(1162329..1163717),462
sync_1283,,syg:sync_1283,K07260,D-alanyl-D-alanine carboxypeptidase,,D-alanyl-D-alanine carboxypeptidase,Q0IAN1,D-alanyl-D-alanine carboxypeptidase.,3.4.16.4,1163803,1163803..1164585,260
sync_1284,,syg:sync_1284,K08303,collagenase,,collagenase,Q0IAN0,Collagenase (EC 3.4.-.-).,3.4.-.-,1164582,1164582..1167149,855
sync_1285,typA,syg:sync_1285,K06207,GTP-binding protein TypA,typA,GTP-binding protein TypA,Q0IAM9,GTP-binding protein TypA.,,1167213,1167213..1169015,600
sync_1286,,syg:sync_1286,K09763,hypothetical protein,,conserved hypothetical protein,Q0IAM8,Putative uncharacterized protein.,,1169012,1169012..1169371,119
sync_1287,,syg:sync_1287,K09774,hypothetical protein,,conserved hypothetical protein,Q0IAM7,Putative uncharacterized protein.,,1169378,1169378..1169863,161
sync_1288,,syg:sync_1288,K06861,"possible ABC transporter, ATP binding component",,"possible ABC transporter, ATP binding component",Q0IAM6,"Possible ABC transporter, ATP binding component.",3.6.3.-,1169860,1169860..1170588,242
sync_1289,,syg:sync_1289,,"putative membrane protein, YjgP/YjgQ family protein",,"putative membrane protein, YjgP/YjgQ family protein",Q0IAM5,"Putative membrane protein, YjgP/YjgQ family protein.",,1170585,1170585..1171763,392
sync_1290,,syg:sync_1290,,cytochrome c assembly protein,,cytochrome c assembly protein,Q0IAM4,Cytochrome c assembly protein.,,1171821,1171821..1172738,305
sync_1291,,syg:sync_1291,,hypothetical protein,,conserved hypothetical protein,Q0IAM3,Putative uncharacterized protein.,,1174250,1174250..1174546,98
sync_1292,,syg:sync_1292,,hypothetical protein,,hypothetical protein,Q0IAM2,Putative uncharacterized protein.,,1175148,complement(1175148..1175351),67
sync_1293,dnaK-1,syg:sync_1293,,chaperone protein dnaK2 (heat shock protein 70-2) (heat shock 70 kDaprotein 2) (HSP70-2),dnaK-1,chaperone protein dnaK2 (Heat shock protein 70-2) (Heat shock 70 kDaprotein 2) (HSP70-2),Q0IAM1,Chaperone protein dnaK2 (Heat shock protein 70-2) (Heat shock 70 kDaprotein 2) (HSP70-2).,,1175563,complement(1175563..1177443),626
sync_1294,,syg:sync_1294,,hypothetical protein,,conserved hypothetical protein,Q0IAM0,Putative uncharacterized protein.,,1177662,complement(1177662..1178435),257
sync_1295,,syg:sync_1295,,"membrane protein, TerC family protein",,"membrane protein, TerC family protein",Q0IAL9,"Membrane protein, TerC family protein.",,1178485,1178485..1179207,240
sync_1296,,syg:sync_1296,,hypothetical protein,,conserved hypothetical protein,Q0IAL8,Putative uncharacterized protein.,,1179212,1179212..1179553,113
sync_1297,,syg:sync_1297,,hypothetical protein,,hypothetical protein,Q0IAL7,Putative uncharacterized protein.,,1179526,1179526..1180035,169
sync_1298,,syg:sync_1298,,hypothetical protein,,hypothetical protein,Q0IAL6,Putative uncharacterized protein.,,1180044,1180044..1180166,40
sync_1299,,syg:sync_1299,,hypothetical protein,,hypothetical protein,Q0IAL5,Putative uncharacterized protein.,,1180173,1180173..1180385,70
sync_1300,,syg:sync_1300,K11927,DNA and RNA helicase,,DNA and RNA helicase,Q0IAL4,DNA and RNA helicase.,3.6.1.-,1180418,1180418..1181698,426
sync_1301,fmt,syg:sync_1301,K00604,methionyl-tRNA formyltransferase,fmt,methionyl-tRNA formyltransferase,Q0IAL3,Methionyl-tRNA formyltransferase (EC 2.1.2.9).,2.1.2.9,1181709,complement(1181709..1182737),342
sync_1302,,syg:sync_1302,K03592,TldD/PmbA family protein,,tldD/pmbA family protein,Q0IAL2,TldD/pmbA family protein.,,1182748,complement(1182748..1184094),448
sync_1303,tldD,syg:sync_1303,K03568,TldD protein,tldD,TldD protein,Q0IAL1,TldD protein.,,1184118,complement(1184118..1185563),481
sync_1304,acsF,syg:sync_1304,K04035,magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase,acsF,magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase,Q0IAL0,Magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase.,1.14.13.81,1185643,complement(1185643..1186725),360
sync_1305,,syg:sync_1305,,hypothetical protein,,Uncharacterized protein,Q0IAK9,Uncharacterized protein.,,1186803,complement(1186803..1187018),71
sync_1306,,syg:sync_1306,,hypothetical protein,,hypothetical protein,Q0IAK8,Putative uncharacterized protein.,,1187128,complement(1187128..1187292),54
sync_1307,,syg:sync_1307,,hypothetical protein,,conserved hypothetical protein,Q0IAK7,Putative uncharacterized protein.,,1187286,complement(1187286..1187822),178
sync_1308,,syg:sync_1308,K03186,"decarboxylase, polyprenyl P-hydroxybenzoate/phenylacrylic acid family protein",,"decarboxylase, polyprenyl P-hydroxybenzoate/phenylacrylic acid family protein",Q0IAK6,"Decarboxylase, polyprenyl P-hydroxybenzoate/phenylacrylic acid family protein.",4.1.1.-,1187819,complement(1187819..1188439),206
sync_1309,zam,syg:sync_1309,K12573,acetazolamide conferring resistance protein Zam,zam,acetazolamide conferring resistance protein Zam,Q0IAK5,Acetazolamide conferring resistance protein Zam.,3.1.-.-,1188453,complement(1188453..1190834),793
sync_1310,,syg:sync_1310,,hypothetical protein,,conserved hypothetical protein,Q0IAK4,Putative uncharacterized protein.,,1190961,complement(1190961..1191266),101
sync_1311,,syg:sync_1311,,hypothetical protein,,Uncharacterized conserved membrane protein,Q0IAK3,Uncharacterized conserved membrane protein.,,1191274,complement(1191274..1191603),109
sync_1312,,syg:sync_1312,K06940,Fe-S cluster protein,,Fe-S cluster protein,Q0IAK2,Fe-S cluster protein.,,1191596,complement(1191596..1191970),124
sync_1313,,syg:sync_1313,,protein of unknown function (DUF888) family protein,,Protein of unknown function (DUF888) family protein,Q0IAK1,Putative uncharacterized protein.,,1192029,1192029..1192196,55
sync_1314,,syg:sync_1314,,possible chloride channel,,possible chloride channel,Q0IAK0,Possible chloride channel.,,1192175,complement(1192175..1193563),462
sync_1315,recJ,syg:sync_1315,K07462,single-stranded-DNA-specific exonuclease RecJ,recJ,single-stranded-DNA-specific exonuclease RecJ,Q0IAJ9,Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-).,3.1.-.-,1193536,complement(1193536..1195431),631
sync_1316,,syg:sync_1316,,predicted phosphatase/phosphohexomutase of HAD family protein,,Predicted phosphatase/phosphohexomutase of HAD family protein,Q0IAJ8,Predicted phosphatase/phosphohexomutase of HAD family protein.,,1195493,1195493..1196257,254
sync_1317,,syg:sync_1317,,uncharacterized secreted or membrane protein,,Uncharacterized secreted or membrane protein,Q0IAJ7,Uncharacterized secreted or membrane protein.,,1196257,1196257..1196592,111
sync_1318,,syg:sync_1318,,phosphoribulokinase/uridine kinase family enzyme,,Phosphoribulokinase/uridine kinase family enzyme,Q0IAJ6,Phosphoribulokinase/uridine kinase family enzyme.,,1196567,1196567..1197538,323
sync_1319,rpmF,syg:sync_1319,K02911,ribosomal protein L32,rpmF,ribosomal protein L32,Q0IAJ5,50S ribosomal protein L32.,,1197541,complement(1197541..1197711),56
sync_1320,,syg:sync_1320,K03798,cell division protein FtsH4,,cell division protein FtsH4,Q0IAJ4,Cell division protein FtsH4 (EC 3.4.24.-).,3.4.24.-,1197799,1197799..1199661,620
sync_1321,,syg:sync_1321,K09118,hypothetical protein,,putative membrane protein,Q0IAJ3,UPF0182 protein sync_1321.,,1199676,1199676..1202480,934
sync_1322,,syg:sync_1322,K03386,thioredoxin peroxidase,,thioredoxin peroxidase,Q0IAJ2,Thioredoxin peroxidase (EC 1.11.1.-).,1.11.1.15,1202851,complement(1202851..1203429),192
sync_1323,,syg:sync_1323,,hypothetical protein,,conserved hypothetical protein,Q0IAJ1,Putative uncharacterized protein.,,1203611,1203611..1203904,97
sync_1324,,syg:sync_1324,,tRNA-Met,,Met tRNA,,,,1203943,complement(1203943..1204016),
sync_1325,,syg:sync_1325,,"peptidase, M23 family protein",,"peptidase, M23 family protein",Q0IAJ0,"Peptidase, M23 family protein.",,1204052,complement(1204052..1205053),333
sync_1326,,syg:sync_1326,K03216,predicted rRNA methylase,,Predicted rRNA methylase,Q0IAI9,Predicted rRNA methylase (EC 2.1.1.-).,2.1.1.-,1205163,complement(1205163..1205693),176
sync_1327,,syg:sync_1327,K02231,adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase,,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase,Q0IAI8,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase (EC 2.7.7.-).,2.7.1.156 2.7.7.62,1205690,complement(1205690..1206253),187
sync_1328,,syg:sync_1328,,CemA family protein,,CemA family protein,Q0IAI7,Proton extrusion protein pcxA.,,1206261,complement(1206261..1207409),382
sync_1329,,syg:sync_1329,K06872,hypothetical protein,,conserved hypothetical protein,Q0IAI6,Putative uncharacterized protein.,,1207416,complement(1207416..1208093),225
sync_1330,,syg:sync_1330,,hypothetical protein,,conserved hypothetical protein,Q0IAI5,Putative uncharacterized protein.,,1208124,complement(1208124..1208531),135
sync_1331,,syg:sync_1331,,hypothetical protein,,conserved hypothetical protein,Q0IAI4,Putative uncharacterized protein.,,1208545,1208545..1209264,239
sync_1332,,syg:sync_1332,,hypothetical protein,,conserved hypothetical protein,Q0IAI3,Putative uncharacterized protein.,,1209194,complement(1209194..1210489),431
sync_1333,metG,syg:sync_1333,K01874,methionyl-tRNA synthetase,metG,methionyl-tRNA synthetase,Q0IAI2,Methionyl-tRNA synthetase (EC 6.1.1.10).,6.1.1.10,1210408,complement(1210408..1211952),514
sync_1334,,syg:sync_1334,,Mo-dependent nitrogenase C-terminus family protein,,Mo-dependent nitrogenase C-terminus family protein,Q0IAI1,Mo-dependent nitrogenase C-terminus family protein.,,1211902,1211902..1212663,253
sync_1335,,syg:sync_1335,,hypothetical protein,,conserved hypothetical protein,Q0IAI0,Putative uncharacterized protein.,,1212660,1212660..1214486,608
sync_1336,,syg:sync_1336,K01147,"exoribonuclease, VacB/RNB family protein",,"exoribonuclease, VacB/RNB family protein",Q0IAH9,"Exoribonuclease, VacB/RNB family protein.",3.1.13.1,1214483,complement(1214483..1216420),645
sync_1337,rpsR,syg:sync_1337,K02963,ribosomal protein S18,rpsR,ribosomal protein S18,Q0IAH8,Ribosomal protein S18.,,1216527,complement(1216527..1216748),73
sync_1338,rpmG,syg:sync_1338,K02913,ribosomal protein L33,rpmG,ribosomal protein L33,Q0IAH7,50S ribosomal protein L33.,,1216787,complement(1216787..1216987),66
sync_1339,pheT,syg:sync_1339,K01890,"phenylalanyl-tRNA synthetase, beta subunit",pheT,"phenylalanyl-tRNA synthetase, beta subunit",Q0IAH6,"Phenylalanyl-tRNA synthetase, beta subunit (EC 6.1.1.20).",6.1.1.20,1217116,1217116..1219566,816
sync_1340,rumA,syg:sync_1340,K00599,23S rRNA (uracil-5-)-methyltransferase RumA,rumA,23S rRNA (uracil-5-)-methyltransferase RumA,Q0IAH5,23S rRNA (Uracil-5-)-methyltransferase RumA (EC 2.1.1.-).,2.1.1.-,1219544,complement(1219544..1220938),464
sync_1341,apcD,syg:sync_1341,K02095,"allophycocyanin alpha, B subunit",apcD,"allophycocyanin alpha, B subunit",Q0IAH4,"Allophycocyanin alpha, B subunit.",,1221019,1221019..1221513,164
sync_1342,,syg:sync_1342,,possible DnaJ domain,,possible DnaJ domain,Q0IAH3,Possible DnaJ domain.,,1222253,complement(1222253..1223326),357
sync_1343,,syg:sync_1343,,hypothetical protein,,conserved hypothetical protein,Q0IAH2,Putative uncharacterized protein.,,1223369,complement(1223369..1225057),562
sync_1344,,syg:sync_1344,,hypothetical protein,,conserved hypothetical protein,Q0IAH1,Putative uncharacterized protein.,,1225093,1225093..1225344,83
sync_1345,,syg:sync_1345,,possible type 3 alternative RNA polymerase sigma factor,,Possible type 3 alternative RNA polymerase sigma factor,Q0IAH0,Possible type 3 alternative RNA polymerase sigma factor.,,1225317,complement(1225317..1225973),218
sync_1346,,syg:sync_1346,K00988,possible ATP adenylyltransferase,,possible ATP adenylyltransferase,Q0IAG9,Possible ATP adenylyltransferase (EC 2.7.7.53).,2.7.7.53,1226039,complement(1226039..1226926),295
sync_1347,,syg:sync_1347,,SpoIID/LytB domain protein,,SpoIID/LytB domain protein,Q0IAG8,SpoIID/LytB domain protein.,,1226916,complement(1226916..1227599),227
sync_1348,,syg:sync_1348,,hypothetical protein,,hypothetical protein,Q0IAG7,Putative uncharacterized protein.,,1227756,1227756..1227899,47
sync_1349,,syg:sync_1349,,possible CsgA C-factor signaling protein,,possible CsgA C-factor signaling protein,Q0IAG6,Possible CsgA C-factor signaling protein.,,1228006,1228006..1228620,204
sync_1350,,syg:sync_1350,K09966,hypothetical protein,,conserved hypothetical protein,Q0IAG5,Putative uncharacterized protein.,,1228602,complement(1228602..1229051),149
sync_1351,,syg:sync_1351,,hypothetical protein,,conserved hypothetical protein,Q0IAG4,Putative uncharacterized protein.,,1229121,1229121..1229351,76
sync_1352,,syg:sync_1352,,hypothetical protein,,Uncharacterized protein,Q0IAG3,Uncharacterized protein.,,1229381,complement(1229381..1229701),106
sync_1353,metH,syg:sync_1353,K00548,methionine synthase,metH,methionine synthase,Q0IAG2,Methionine synthase (EC 2.1.1.13).,2.1.1.13,1229707,complement(1229707..1233327),1206
sync_1354,ilvE,syg:sync_1354,K00826,branched-chain amino acid aminotransferase,ilvE,branched-chain amino acid aminotransferase,Q0IAG1,Branched-chain amino acid aminotransferase (EC 2.6.1.42).,2.6.1.42,1233386,complement(1233386..1234303),305
sync_1355,cobN,syg:sync_1355,K02230,"cobaltochelatase, CobN subunit",cobN,"cobaltochelatase, CobN subunit",Q0IAG0,"Cobaltochelatase, CobN subunit (EC 6.6.1.2).",6.6.1.2,1234380,1234380..1238144,1254
sync_1356,,syg:sync_1356,,hypothetical protein,,hypothetical protein,Q0IAF9,Putative uncharacterized protein.,,1238134,complement(1238134..1238721),195
sync_1357,,syg:sync_1357,K07053,PHP domain protein,,PHP domain protein,Q0IAF8,PHP domain protein.,,1238740,complement(1238740..1239396),218
sync_1358,,syg:sync_1358,K08973,hypothetical protein,,Uncharacterized conserved membrane protein,Q0IAF7,Uncharacterized conserved membrane protein.,,1239386,complement(1239386..1239979),197
sync_1359,,syg:sync_1359,K06876,deoxyribodipyrimidine photolyase family protein,,deoxyribodipyrimidine photolyase family protein,Q0IAF6,Deoxyribodipyrimidine photolyase family protein.,,1240015,complement(1240015..1241421),468
sync_1360,,syg:sync_1360,,hypothetical protein,,hypothetical protein,Q0IAF5,Putative uncharacterized protein.,,1241428,complement(1241428..1241742),104
sync_1361,uvrC,syg:sync_1361,K03703,"excinuclease ABC, C subunit",uvrC,"excinuclease ABC, C subunit",Q0IAF4,UvrABC system protein C (Protein uvrC) (Excinuclease ABC subunit C).,,1241739,complement(1241739..1243694),651
sync_1362,coaD,syg:sync_1362,K00954,pantetheine-phosphate adenylyltransferase,coaD,pantetheine-phosphate adenylyltransferase,Q0IAF3,Pantetheine-phosphate adenylyltransferase (EC 2.7.7.3).,2.7.7.3,1243750,1243750..1244232,160
sync_1363,,syg:sync_1363,,hypothetical protein,,conserved hypothetical protein,Q0IAF2,Putative uncharacterized protein.,,1244243,1244243..1245193,316
sync_1364,,syg:sync_1364,K07259,D-alanyl-D-alanine carboxypeptidase,,D-alanyl-D-alanine carboxypeptidase,Q0IAF1,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4).,3.4.16.4 3.4.99.-,1245168,complement(1245168..1246445),425
sync_1365,,syg:sync_1365,,hypothetical protein,,conserved hypothetical protein,Q0IAF0,Putative uncharacterized protein.,,1246442,complement(1246442..1246957),171
sync_1366,,syg:sync_1366,,hypothetical protein,,conserved hypothetical protein,Q0IAE9,Putative uncharacterized protein.,,1247004,complement(1247004..1247705),233
sync_1367,nifS,syg:sync_1367,K04487,possible cysteine desulfurase (class-V aminotransferase family),nifS,possible cysteine desulfurase (class-V aminotransferase family),Q0IAE8,Possible cysteine desulfurase (Class-V aminotransferase family) (EC 2.8.1.7).,2.8.1.7,1247741,complement(1247741..1248976),411
sync_1368,dapF,syg:sync_1368,K01778,diaminopimelate epimerase,dapF,diaminopimelate epimerase,Q0IAE7,Diaminopimelate epimerase (EC 5.1.1.7).,5.1.1.7,1248915,complement(1248915..1250057),380
sync_1369,,syg:sync_1369,,hypothetical protein,,hypothetical protein,Q0IAE6,Putative uncharacterized protein.,,1250222,1250222..1250422,66
sync_1370,,syg:sync_1370,,CD209 antigen,,CD209 antigen,Q0IAE5,CD209 antigen.,,1250471,1250471..1250695,74
sync_1371,,syg:sync_1371,,hypothetical protein,,conserved hypothetical protein,Q0IAE4,Putative uncharacterized protein.,,1251513,1251513..1251740,75
sync_1372,,syg:sync_1372,,"phage integrase, putative",,"Phage integrase, putative",Q0IAE3,"Phage integrase, putative.",,1251855,complement(1251855..1253063),402
sync_1373,,syg:sync_1373,,hypothetical protein,,hypothetical protein,Q0IAE2,Putative uncharacterized protein.,,1253348,1253348..1253470,40
sync_1374,,syg:sync_1374,,hypothetical protein,,conserved hypothetical protein,Q0IAE1,Putative uncharacterized protein.,,1253591,1253591..1253821,76
