GID,SYMBOL,kid,PRODUCT,ko,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
SYNW1269,dnaK,syw:SYNW1269,"molecular chaperone DnaK, heat shock protein hsp70",K04043,dnaK,"Molecular chaperone DnaK, heat shock protein hsp70",Q7U6R7,Chaperone protein dnaK1 (Heat shock protein 70-1) (Heat shock 70 kDa protein 1) (HSP70-1).,,1265537,complement(1265537..1267525),662
SYNW1270,"pstC, phoW",syw:SYNW1270,putative phosphate ABC transporter,K02037,"pstC,phoW",putative phosphate ABC transporter,Q7U6R6,Putative phosphate ABC transporter.,,1267670,1267670..1268620,316
SYNW1271,"pstA, phoT",syw:SYNW1271,putative phosphate ABC transporter,K02038,"pstA,phoT",putative phosphate ABC transporter,Q7U6R5,Putative phosphate ABC transporter.,,1268623,1268623..1269540,305
SYNW1272,SYNW1272,syw:SYNW1272,"putative phosphate ABC transporter, ATP binding subunit",K02036,,"putative phosphate ABC transporter, ATP binding subunit",Q7U6R4,Phosphate import ATP-binding protein pstB (EC 3.6.3.27) (Phosphate- transporting ATPase) (ABC phosphate transporter).,3.6.3.27,1269608,1269608..1270429,273
SYNW1273,SYNW1273,syw:SYNW1273,possible-TPR Domain containing protein,,,possible-TPR Domain containing protein,Q7TTV2,Possible-TPR Domain containing protein.,,1270815,complement(1270815..1273160),781
RNA_21,RNA_21,syw:RNA_21,tRNA-Ser,,,,,,,1273817,complement(1273817..1273906),
SYNW1274,petF2,syw:SYNW1274,ferredoxin,K02639,petF2,Ferredoxin,Q7U6R3,Ferredoxin.,,1273962,1273962..1274330,122
SYNW1275,SYNW1275,syw:SYNW1275,inositol monophosphatase family protein,K01092,,Inositol monophosphatase family protein,Q7U6R2,Inositol monophosphatase family protein (EC 3.1.3.25).,3.1.3.25,1274333,1274333..1275220,295
SYNW1276,SYNW1276,syw:SYNW1276,histidyl-tRNA synthetase paralog,K02502,,histidyl-tRNA synthetase paralog,Q7U6R1,ATP phosphoribosyltransferase regulatory subunit.,,1275177,1275177..1276421,414
SYNW1277,SYNW1277,syw:SYNW1277,ferredoxin,,,ferredoxin,Q7U6R0,Ferredoxin.,,1276446,1276446..1276670,74
SYNW1278,htpG,syw:SYNW1278,heat shock protein HtpG,K04079,htpG,heat shock protein HtpG,Q7U6Q9,Heat shock protein HtpG.,,1276760,1276760..1278664,634
SYNW1279,"rpl28, rpmB",syw:SYNW1279,50S ribosomal protein L28,K02902,"rpl28,rpmB",50S ribosomal protein L28,Q7U6Q8,50S ribosomal protein L28.,,1278741,1278741..1278977,78
SYNW1280,SYNW1280,syw:SYNW1280,alkyl hydroperoxide reductase/ thiol specific antioxidant/ Mal allergens family protein,K03564,,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein,Q7TTV1,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein precursor.,1.11.1.15,1278988,1278988..1279548,186
SYNW1281,ggpS,syw:SYNW1281,putative glucosyl-glycerol-phosphate synthase [UI:98406036],K03692,ggpS,Putative glucosyl-glycerol-phosphate synthase [UI:98406036],Q7U6Q7,precursor (EC 2.4.1.-).,2.4.1.213,1279599,1279599..1281086,495
SYNW1282,SYNW1282,syw:SYNW1282,"ABC transporter, likely sugar solute binding protein",K02027,,"ABC transporter, likely sugar solute binding protein",Q7U6Q6,"ABC transporter, likely sugar solute binding protein precursor.",,1281086,1281086..1282348,420
SYNW1283,SYNW1283,syw:SYNW1283,"ABC transporter for possibly for trehalose/maltose, membrane component",K02025,,"ABC transporter for possibly for trehalose/maltose, membrane component",Q7U6Q5,"ABC transporter for possibly for trehalose/maltose, membrane component precursor.",,1282345,1282345..1283211,288
SYNW1284,SYNW1284,syw:SYNW1284,"ABC transporter, likely for trehalose/maltose, membrane component",K02026,,"ABC transporter, likely for trehalose/maltose, membrane component",Q7U6Q4,"ABC transporter, likely for trehalose/maltose, membrane component precursor.",,1283208,1283208..1284026,272
SYNW1285,SYNW1285,syw:SYNW1285,"ABC transporter possibly for trehalose/maltose, ATP binding component",K02023,,"ABC transporter possibly for trehalose/maltose, ATP binding component",Q7U6Q3,"ABC transporter possibly for trehalose/maltose, ATP binding component.",,1284026,1284026..1284997,323
SYNW1286,SYNW1286,syw:SYNW1286,"ABC transporter, substrate binding protein component, possibly phosphate",K02040,,"ABC transporter, substrate binding protein component, possibly phosphate",Q7U6Q2,"ABC transporter, substrate binding protein component, possibly phosphate.",,1284948,1284948..1286096,382
SYNW1287,SYNW1287,syw:SYNW1287,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6Q1,Hypothetical protein.,,1286087,complement(1286087..1287151),354
SYNW1288,SYNW1288,syw:SYNW1288,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6Q0,Hypothetical protein.,,1287212,1287212..1287490,92
SYNW1289,SYNW1289,syw:SYNW1289,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6P9,Hypothetical protein.,,1287494,1287494..1287790,98
SYNW1290,psaK,syw:SYNW1290,photosystem I reaction center subunit X,K02698,psaK,possible photosystem I reaction center subunit X (PsaK),Q7U6P8,Photosystem I reaction center subunit psaK (Photosystem I subunit X).,,1287848,1287848..1288105,85
SYNW1291,SYNW1291,syw:SYNW1291,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6P7,Hypothetical protein precursor.,,1288119,complement(1288119..1289282),387
SYNW1292,Dxs,syw:SYNW1292,1-deoxy-D-xylulose 5-phosphate synthase,K01662,Dxs,1-deoxy-D-xylulose 5-phosphate synthase,Q7U6P6,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose- 5-phosphate synthase) (DXP synthase) (DXPS).,2.2.1.7,1289301,complement(1289301..1291232),643
SYNW1293,ilvA,syw:SYNW1293,threonine dehydratase,K01754,ilvA,threonine dehydratase,Q7U6P5,Threonine dehydratase (EC 4.3.1.17).,4.3.1.19,1291313,1291313..1292842,509
SYNW1294,SYNW1294,syw:SYNW1294,conserved hypothetical protein,K06024,,conserved hypothetical protein,Q7U6P4,Hypothetical protein.,,1292882,1292882..1293379,165
SYNW1295,SYNW1295,syw:SYNW1295,conserved hypothetical protein membrane protein,K02221,,conserved hypothetical membrane protein,Q7U6P3,Conserved hypothetical membrane protein.,,1293418,1293418..1293717,99
SYNW1296,SYNW1296,syw:SYNW1296,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6P2,Hypothetical protein precursor.,,1293719,complement(1293719..1294183),154
SYNW1297,SYNW1297,syw:SYNW1297,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6P1,Hypothetical protein.,,1294190,complement(1294190..1294519),109
SYNW1298,pykF,syw:SYNW1298,pyruvate kinase,K00873,pykF,pyruvate kinase,Q7U6P0,Pyruvate kinase (EC 2.7.1.40).,2.7.1.40,1294576,1294576..1296030,484
SYNW1299,SYNW1299,syw:SYNW1299,possible ABC transporter,K02004,,possible ABC transporter,Q7U6N9,Possible ABC transporter.,,1296054,1296054..1297283,409
SYNW1300,ftsH1,syw:SYNW1300,FtsH ATP-dependent protease homolog,K03798,ftsH1,FtsH ATP-dependent protease homolog,Q7U6N8,FtsH ATP-dependent protease homolog precursor (EC 3.4.24.-).,3.4.24.-,1297340,1297340..1299253,637
SYNW1301,clpP1,syw:SYNW1301,ATP-dependent Clp protease proteolytic subunit 1,K01358,clpP1,ATP-dependent Clp protease proteolytic subunit 1,Q7U6N7,ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2).,3.4.21.92,1299741,complement(1299741..1300334),197
SYNW1302,SYNW1302,syw:SYNW1302,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6N6,Protein thf1.,,1300415,1300415..1301053,212
SYNW1303,petN,syw:SYNW1303,cytochrome b6-f complex subunit VIII,K03689,petN,Cytochrome b6-f complex subunit VIII,Q7U6N5,Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit VIII) (Cytochrome b6-f complex subunit petN).,,1301600,complement(1301600..1301701),33
SYNW1304,SYNW1304,syw:SYNW1304,conserved hypothetical protein,K06891,,conserved hypothetical protein,Q7U6N4,Hypothetical protein.,,1301774,1301774..1302070,98
SYNW1305,SYNW1305,syw:SYNW1305,hypothetical protein,,,hypothetical,Q7U6N3,Hypothetical.,,1302073,complement(1302073..1302309),78
SYNW1306,SYNW1306,syw:SYNW1306,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6N2,Hypothetical protein.,,1302312,1302312..1302650,112
SYNW1307,SYNW1307,syw:SYNW1307,conserved hypothetical proteins,,,conserved hypotheticals,Q7U6N1,Conserved hypotheticals.,,1302871,1302871..1303074,67
SYNW1308,purK,syw:SYNW1308,phosphoribosylaminoimidazole carboxylase,K01589,purK,phosphoribosylaminoimidazole carboxylase,Q7U6N0,Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21).,6.3.4.18,1303066,complement(1303066..1304286),406
SYNW1309,lacF,syw:SYNW1309,lactose transport system permease protein,K10189,lacF,lactose transport system permease protein,Q7U6M9,Lactose transport system permease protein precursor.,,1304303,complement(1304303..1305175),290
SYNW1310,aroB,syw:SYNW1310,3-dehydroquinate synthase,K01735,aroB,3-dehydroquinate synthase,Q7U6M8,3-dehydroquinate synthase (EC 4.2.3.4).,4.2.3.4,1305255,1305255..1306370,371
SYNW1311,SYNW1311,syw:SYNW1311,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6M7,Hypothetical protein.,,1306324,complement(1306324..1307553),409
SYNW1312,SYNW1312,syw:SYNW1312,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6M6,Hypothetical protein.,,1307537,1307537..1308343,268
SYNW1313,SYNW1313,syw:SYNW1313,"possible muramidase, COG4678",,,"possible muramidase, COG4678",Q7U6M5,"Possible muramidase, COG4678 precursor.",,1308354,complement(1308354..1309091),245
SYNW1314,SYNW1314,syw:SYNW1314,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6M4,Hypothetical protein.,,1309296,complement(1309296..1310384),362
SYNW1315,SYNW1315,syw:SYNW1315,putative transcripton factor,,,putative transcripton factor,Q7U6M3,Putative transcripton factor.,,1310378,complement(1310378..1311235),285
SYNW1316,nadA,syw:SYNW1316,quinolinate synthetase A protein,K03517,nadA,Quinolinate synthetase A protein,Q7U6M2,Quinolinate synthetase A protein.,2.5.1.72,1311281,1311281..1312213,310
SYNW1317,SYNW1317,syw:SYNW1317,predicted exonuclease involved in mRNA processing (COG1782),K07577,,predicted exonuclease involved in mRNA processing (COG1782),Q7U6M1,Predicted exonuclease involved in mRNA processing (COG1782).,,1312423,1312423..1313409,328
SYNW1318,SYNW1318,syw:SYNW1318,hypothetical protein,,,hypothetical,Q7U6M0,Hypothetical.,,1313406,complement(1313406..1313660),84
SYNW1319,SYNW1319,syw:SYNW1319,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6L9,Hypothetical protein (EC 2.7.3.-).,,1313830,1313830..1314531,233
SYNW1320,SYNW1320,syw:SYNW1320,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6L8,Hypothetical protein precursor.,,1314532,complement(1314532..1315284),250
SYNW1321,SYNW1321,syw:SYNW1321,putative ATP-dependent DNA ligase,K01971,,putative ATP-dependent DNA ligase,Q7U6L7,Putative ATP-dependent DNA ligase (EC 6.5.1.1).,6.5.1.1,1315334,1315334..1317004,556
SYNW1322,SYNW1322,syw:SYNW1322,putative ATP-dependent helicase,K03724,,putative ATP-dependent helicase,Q7U6L6,Putative ATP-dependent helicase (EC 3.6.1.-).,3.6.1.-,1317004,1317004..1319463,819
SYNW1323,SYNW1323,syw:SYNW1323,"putative chromate transport protein, CHR family",K07240,,"putative chromate transport protein, CHR family",Q7U6L5,"Putative chromate transport protein, CHR family.",,1319926,1319926..1321110,394
SYNW1324,SYNW1324,syw:SYNW1324,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6L4,Hypothetical protein.,,1321112,1321112..1321654,180
SYNW1325,SYNW1325,syw:SYNW1325,hypothetical protein,,,hypothetical,Q7U6L3,Hypothetical.,,1322049,1322049..1322231,60
SYNW1326,SYNW1326,syw:SYNW1326,conserved hypothetical protein,,,conserved hypothetical,Q7U6L2,Conserved hypothetical.,,1322228,1322228..1322494,88
SYNW1327,SYNW1327,syw:SYNW1327,hypothetical protein,,,hypothetical,Q7U6L1,Hypothetical.,,1323028,complement(1323028..1323285),85
SYNW1328,SYNW1328,syw:SYNW1328,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6L0,Hypothetical protein.,,1323800,complement(1323800..1324162),120
SYNW1329,SYNW1329,syw:SYNW1329,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6K9,Hypothetical protein.,,1324244,1324244..1324711,155
SYNW1330,SYNW1330,syw:SYNW1330,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6K8,Hypothetical protein.,,1324712,complement(1324712..1325368),218
SYNW1331,hli7,syw:SYNW1331,possible high light inducible protein,,hli7,possible high light inducible protein,Q7U6K7,Possible high light inducible protein.,,1325372,complement(1325372..1325605),77
SYNW1332,SYNW1332,syw:SYNW1332,hypothetical protein,,,hypothetical,Q7U6K6,Hypothetical precursor.,,1325590,complement(1325590..1326003),137
SYNW1333,SYNW1333,syw:SYNW1333,conserved hypothetical protein,,,conserved hypothetical,Q7U6K5,Conserved hypothetical.,,1326491,1326491..1327198,235
SYNW1334,mutT,syw:SYNW1334,NUDIX family protein,K03574,mutT,NUDIX family protein,Q7U6K4,NUDIX family protein.,3.6.1.-,1327195,1327195..1327626,143
SYNW1335,SYNW1335,syw:SYNW1335,"possible ABC transporter component, ATP binding protein",K02013,,"possible ABC transporter component, ATP binding protein",Q7U6K3,"Possible ABC transporter component, ATP binding protein.",3.6.3.34,1327616,1327616..1328404,262
SYNW1336,SYNW1336,syw:SYNW1336,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6K2,Hypothetical protein.,,1328386,complement(1328386..1329090),234
SYNW1337,SYNW1337,syw:SYNW1337,"ABC transporter component, possibly Mn transport",K09819,,"ABC transporter component, possibly Mn transport",Q7U6K1,"ABC transporter component, possibly Mn transport.",,1329101,complement(1329101..1329985),294
SYNW1338,SYNW1338,syw:SYNW1338,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6K0,Hypothetical protein.,,1330046,1330046..1331377,443
SYNW1339,SYNW1339,syw:SYNW1339,hypothetical protein,,,hypothetical,Q7U6J9,Hypothetical.,,1331403,1331403..1331744,113
SYNW1340,SYNW1340,syw:SYNW1340,"ABC transporter, ATP binding domain, possibly Mn transporter",K09820,,"ABC transporter, ATP binding domain, possibly Mn transporter",Q7U6J8,"ABC transporter, ATP binding domain, possibly Mn transporter.",,1331741,complement(1331741..1332496),251
SYNW1341,SYNW1341,syw:SYNW1341,"ABC transporter, substrate binding protein, possibly Mn",K09818,,"ABC transporter, substrate binding protein, possibly Mn",Q7U6J7,"ABC transporter, substrate binding protein, possibly Mn precursor.",,1332496,complement(1332496..1333431),311
SYNW1342,SYNW1342,syw:SYNW1342,putative endonuclease,K10773,,putative endonuclease,Q7U6J6,Putative endonuclease (EC 4.2.99.18).,4.2.99.18,1333497,1333497..1334150,217
SYNW1343,petF3,syw:SYNW1343,ferredoxin,K02639,petF3,Ferredoxin,Q7U6J5,Ferredoxin.,,1334154,complement(1334154..1334435),93
SYNW1344,SYNW1344,syw:SYNW1344,possible phosphoribulokinase/uridine kinase family protein,K00876,,Possible phosphoribulokinase/uridine kinase family protein,Q7U6J4,Possible phosphoribulokinase/uridine kinase family protein precursor (EC 2.7.1.48).,2.7.1.48,1334517,complement(1334517..1335128),203
SYNW1345,SYNW1345,syw:SYNW1345,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6J3,Hypothetical protein.,,1335418,1335418..1337838,806
SYNW1346,SYNW1346,syw:SYNW1346,phage integrase family,K04763,,phage integrase family,Q7U6J2,Phage integrase family.,,1338474,complement(1338474..1339034),186
SYNW1347,SYNW1347,syw:SYNW1347,hypothetical protein,,,hypothetical,Q7U6J1,Hypothetical.,,1339766,1339766..1340077,103
SYNW1348,SYNW1348,syw:SYNW1348,hypothetical protein,,,hypothetical,Q7U6J0,Hypothetical.,,1340139,1340139..1340570,143
SYNW1349,SYNW1349,syw:SYNW1349,hypothetical protein,,,hypothetical,Q7U6I9,Hypothetical.,,1341004,complement(1341004..1341585),193
SYNW1350,SYNW1350,syw:SYNW1350,hypothetical protein,,,hypothetical,Q7U6I8,Hypothetical.,,1341611,complement(1341611..1342537),308
SYNW1351,SYNW1351,syw:SYNW1351,partial homology to phage recombinase,,,partial homology to phage recombinase,Q7U6I7,Partial homology to phage recombinase.,,1342597,complement(1342597..1344600),667
SYNW1352,SYNW1352,syw:SYNW1352,hypothetical protein,,,hypothetical,Q7U6I6,Hypothetical.,,1344826,1344826..1345071,81
SYNW1353,SYNW1353,syw:SYNW1353,hypothetical protein,,,hypothetical,Q7U6I5,Hypothetical.,,1345590,complement(1345590..1345769),59
SYNW1354,SYNW1354,syw:SYNW1354,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6I4,Hypothetical protein.,,1346414,1346414..1346641,75
SYNW1355,SYNW1355,syw:SYNW1355,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6I3,Hypothetical protein.,,1346765,1346765..1347562,265
SYNW1356,SYNW1356,syw:SYNW1356,hypothetical protein,,,hypothetical,Q7U6I2,Hypothetical.,,1347608,1347608..1347925,105
SYNW1357,SYNW1357,syw:SYNW1357,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6I1,Hypothetical protein.,,1348423,complement(1348423..1348662),79
SYNW1358,SYNW1358,syw:SYNW1358,hypothetical protein,,,hypothetical,Q7U6I0,Hypothetical.,,1348786,1348786..1348938,50
SYNW1359,SYNW1359,syw:SYNW1359,hypothetical protein,,,hypothetical,Q7U6H9,Hypothetical precursor.,,1348931,complement(1348931..1349278),115
SYNW1360,SYNW1360,syw:SYNW1360,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6H8,Hypothetical protein precursor.,,1349275,complement(1349275..1350300),341
SYNW1361,SYNW1361,syw:SYNW1361,hypothetical protein,,,hypothetical,Q7U6H7,Hypothetical.,,1350382,complement(1350382..1350735),117
SYNW1362,SYNW1362,syw:SYNW1362,hypothetical protein,,,hypothetical,Q7U6H6,Hypothetical.,,1350765,complement(1350765..1351157),130
SYNW1363,SYNW1363,syw:SYNW1363,hypothetical protein,,,hypothetical,Q7U6H5,Hypothetical.,,1351730,complement(1351730..1351996),88
SYNW1364,SYNW1364,syw:SYNW1364,RNA-binding protein,,,RNA-binding protein,Q7U6H4,RNA-binding protein.,,1352434,complement(1352434..1352691),85
SYNW1365,SYNW1365,syw:SYNW1365,hypothetical protein,,,hypothetical,Q7U6H3,Hypothetical.,,1352831,1352831..1353166,111
SYNW1366,SYNW1366,syw:SYNW1366,hypothetical protein,,,hypothetical,Q7U6H2,Hypothetical.,,1353561,1353561..1353755,64
SYNW1367,SYNW1367,syw:SYNW1367,carotenoid binding protein,,,carotenoid binding protein,Q7U6H1,Carotenoid binding protein.,,1353847,1353847..1354803,318
SYNW1368,SYNW1368,syw:SYNW1368,possible beta-carotene ketolase,K09836,,possible beta-carotene ketolase,Q7U6H0,Possible beta-carotene ketolase.,,1354793,1354793..1355527,244
SYNW1369,SYNW1369,syw:SYNW1369,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6G9,Hypothetical protein.,,1355573,1355573..1355893,106
SYNW1370,SYNW1370,syw:SYNW1370,putative glycosyltransferase family 2,,,putative glycosyltransferase family 2,Q7U6G8,Putative glycosyltransferase family 2 precursor.,,1355930,complement(1355930..1357090),386
SYNW1371,SYNW1371,syw:SYNW1371,hypothetical protein,,,hypothetical,Q7U6G7,Hypothetical.,,1358010,complement(1358010..1358246),78
SYNW1372,SYNW1372,syw:SYNW1372,hypothetical protein,,,hypothetical,Q7U6G6,Hypothetical precursor.,,1358270,complement(1358270..1358641),123
SYNW1373,SYNW1373,syw:SYNW1373,conserved hypothetical protein,,,conserved hypothetical,Q7U6G5,Conserved hypothetical precursor.,,1358640,1358640..1358942,100
SYNW1374,SYNW1374,syw:SYNW1374,hypothetical protein,,,hypothetical,Q7U6G4,Hypothetical.,,1358949,complement(1358949..1359113),54
SYNW1375,SYNW1375,syw:SYNW1375,hypothetical protein,,,hypothetical,Q7U6G3,Hypothetical.,,1359228,1359228..1359524,98
SYNW1376,SYNW1376,syw:SYNW1376,hypothetical protein,,,hypothetical,Q7U6G2,Hypothetical.,,1359644,1359644..1359904,86
SYNW1377,SYNW1377,syw:SYNW1377,hypothetical protein,,,hypothetical,Q7U6G1,Hypothetical precursor.,,1360023,1360023..1360370,115
SYNW1378,SYNW1378,syw:SYNW1378,hypothetical protein,,,hypothetical,Q7U6G0,Hypothetical.,,1360701,complement(1360701..1360919),72
SYNW1379,rimI,syw:SYNW1379,putative ribosomal-protein-alanine acetyltransferase,K00676,rimI,putative ribosomal-protein-alanine acetyltransferase,Q7U6F9,Putative ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128).,2.3.1.128,1361047,1361047..1361937,296
SYNW1380,SYNW1380,syw:SYNW1380,possible DNA-binding response regulator,,,possible DNA-binding response regulator,Q7U6F8,Possible DNA-binding response regulator.,,1361949,complement(1361949..1362635),228
SYNW1381,SYNW1381,syw:SYNW1381,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6F7,Hypothetical protein.,,1362699,complement(1362699..1362917),72
SYNW1382,SYNW1382,syw:SYNW1382,conserved hypothetical protein,,,conserved hypothetical,Q7U6F6,Conserved hypothetical.,,1363065,1363065..1363292,75
SYNW1383,SYNW1383,syw:SYNW1383,conserved hypothetical protein,,,conserved hypothetical,Q7U6F5,Conserved hypothetical.,,1363299,1363299..1363499,66
SYNW1384,rimK,syw:SYNW1384,possible ribosomal protein S6 modification protein,K05844,rimK,possible ribosomal protein S6 modification protein,Q7U6F4,Ribosomal protein S6 modification protein.,,1363730,complement(1363730..1365130),466
SYNW1385,SYNW1385,syw:SYNW1385,possible DNA-binding response regulator,,,possible DNA-binding response regulator,Q7U6F3,Possible DNA-binding response regulator.,,1365205,complement(1365205..1365912),235
SYNW1386,SYNW1386,syw:SYNW1386,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6F2,Hypothetical protein precursor.,,1365916,complement(1365916..1366419),167
SYNW1387,SYNW1387,syw:SYNW1387,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6F1,Hypothetical protein.,,1366480,1366480..1367442,320
SYNW1388,SYNW1388,syw:SYNW1388,"conserved hypothetical protein, predicted membrane protein (COG3304)",,,"conserved hypothetical protein, predicted membrane protein (COG3304)",Q7U6F0,Hypothetical protein.,,1367494,1367494..1367904,136
SYNW1389,SYNW1389,syw:SYNW1389,hypothetical protein,,,hypothetical,Q7U6E9,Hypothetical.,,1367911,complement(1367911..1368519),202
SYNW1390,SYNW1390,syw:SYNW1390,hypothetical protein,,,hypothetical,Q7U6E8,Hypothetical.,,1368550,complement(1368550..1368954),134
SYNW1391,SYNW1391,syw:SYNW1391,hypothetical protein,,,hypothetical,Q7U6E7,Hypothetical.,,1368951,complement(1368951..1369181),76
SYNW1392,SYNW1392,syw:SYNW1392,hypothetical protein,,,hypothetical,Q7U6E6,Hypothetical.,,1369232,complement(1369232..1369501),89
SYNW1393,SYNW1393,syw:SYNW1393,similar to zeta-carotene desaturase,,,similar to zeta-carotene desaturase,Q7U6E5,Similar to zeta-carotene desaturase.,,1369594,complement(1369594..1371222),542
SYNW1394,SYNW1394,syw:SYNW1394,putative gamma-glutamyltranspeptidase,K00681,,putative gamma-glutamyltranspeptidase,Q7U6E4,Putative gamma-glutamyltranspeptidase precursor (EC 2.3.2.2).,2.3.2.2,1371294,1371294..1373048,584
SYNW1395,SYNW1395,syw:SYNW1395,hypothetical protein,,,hypothetical,Q7U6E3,Hypothetical.,,1373088,1373088..1373285,65
SYNW1396,SYNW1396,syw:SYNW1396,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6E2,Hypothetical protein.,,1373451,complement(1373451..1373735),94
SYNW1397,SYNW1397,syw:SYNW1397,conserved hypothetical protein,,,conserved hypothetical,Q7U6E1,Conserved hypothetical.,,1373786,complement(1373786..1374001),71
SYNW1398,SYNW1398,syw:SYNW1398,hypothetical protein,,,hypothetical,Q7U6E0,Hypothetical.,,1374335,1374335..1374721,128
SYNW1399,SYNW1399,syw:SYNW1399,hypothetical protein,,,hypothetical,Q7U6D9,Hypothetical.,,1374725,1374725..1374982,85
SYNW1400,SYNW1400,syw:SYNW1400,hypothetical protein,,,hypothetical,Q7U6D8,Hypothetical.,,1375140,complement(1375140..1375580),146
SYNW1401,SYNW1401,syw:SYNW1401,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D7,Hypothetical protein.,,1375751,complement(1375751..1376011),86
SYNW1402,SYNW1402,syw:SYNW1402,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D6,Hypothetical protein.,,1376627,1376627..1378345,572
SYNW1403,SYNW1403,syw:SYNW1403,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D5,Hypothetical protein.,,1378386,1378386..1378838,150
SYNW1404,SYNW1404,syw:SYNW1404,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D4,Hypothetical protein.,,1378856,1378856..1379359,167
SYNW1405,SYNW1405,syw:SYNW1405,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D3,Hypothetical protein.,,1379402,1379402..1379710,102
SYNW1406,SYNW1406,syw:SYNW1406,conserved hypothetical protein,,,conserved hypothetical protein,Q7U6D2,Hypothetical protein precursor.,,1379997,complement(1379997..1380482),161
SYNW1407,SYNW1407,syw:SYNW1407,hypothetical protein,,,hypothetical,Q7U6D1,Hypothetical.,,1380527,complement(1380527..1380751),74
SYNW1408,SYNW1408,syw:SYNW1408,cytochrome P450 family protein,,,cytochrome P450 family protein,Q7U6D0,Cytochrome P450 family protein (EC 1.14.-.-).,,1380815,1380815..1382059,414
SYNW1409,SYNW1409,syw:SYNW1409,hypothetical protein,,,hypothetical,Q7U6C9,Hypothetical.,,1382067,1382067..1382507,146
SYNW1410,SYNW1410,syw:SYNW1410,hypothetical protein,,,hypothetical,Q7U6C8,Hypothetical.,,1383192,complement(1383192..1383440),82
SYNW1411,SYNW1411,syw:SYNW1411,hypothetical protein,,,hypothetical,Q7U6C7,Hypothetical.,,1383508,1383508..1383756,82
SYNW1412,SYNW1412,syw:SYNW1412,putative agmatine ureohydrolase,K01480,,Putative agmatine ureohydrolase,Q7U6C6,Putative agmatine ureohydrolase (EC 3.5.3.11).,3.5.3.11,1383888,1383888..1385168,426
SYNW1413,hypA2,syw:SYNW1413,putative hydrogenase expression/formation protein HypA2,K04651,hypA2,putative hydrogenase expression/formation protein HypA2,Q7U6C5,Putative hydrogenase expression/formation protein HypA2.,,1385172,1385172..1385570,132
SYNW1414,hypB,syw:SYNW1414,hydrogenase expression/formation protein HypB,K04652,hypB,hydrogenase expression/formation protein HypB,Q7U6C4,Hydrogenase expression/formation protein HypB.,,1385592,1385592..1386326,244
SYNW1415,SYNW1415,syw:SYNW1415,"ABC transporter, nitrate-like substrate binding protein",K02051,,"ABC transporter, nitrate-like substrate binding protein",Q7U6C3,"ABC transporter, nitrate-like substrate binding protein precursor.",,1386363,1386363..1387364,333
SYNW1416,SYNW1416,syw:SYNW1416,"ABC transporter, nitrate-like",K02050,,"ABC transporter, nitrate-like",Q7U6C2,"ABC transporter, nitrate-like precursor.",,1387364,1387364..1388191,275
