seqid,gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,locus_tag,ec_numbers
NZ_CP139300.1,tuf,tuf,SOI86_RS05490,Protein Homology,942321,943520,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011125813.1,elongation factor Tu,WP_002806605.1,"GO:0006414,GO:0003746,GO:0005525",,"translation elongation factor activity|0003746||IEA,GTP binding|0005525||IEA",translational elongation|0006414||IEA,SOI86_RS05490,
NZ_CP139300.1,fusA,fusA,SOI86_RS05495,Protein Homology,943565,945640,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377143.1,elongation factor G,WP_320680855.1,"GO:0006414,GO:0003746,GO:0005525",,"translation elongation factor activity|0003746||IEA,GTP binding|0005525||IEA",translational elongation|0006414||IEA,SOI86_RS05495,
NZ_CP139300.1,rpsG,rpsG,SOI86_RS05500,Protein Homology,945738,946208,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012307671.1,30S ribosomal protein S7,WP_002806267.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05500,
NZ_CP139300.1,rpsL,rpsL,SOI86_RS05505,Protein Homology,946234,946608,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377145.1,30S ribosomal protein S12,WP_032513795.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05505,
NZ_CP139300.1,gltB,gltB,SOI86_RS05510,Protein Homology,946804,951375,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863621.1,glutamate synthase large subunit,WP_320680856.1,"GO:0006537,GO:0008152,GO:0003824,GO:0015930,GO:0016491",,"catalytic activity|0003824||IEA,glutamate synthase activity|0015930||IEA,oxidoreductase activity|0016491||IEA","glutamate biosynthetic process|0006537||IEA,metabolic process|0008152||IEA",SOI86_RS05510,1.4.1.13
NZ_CP139300.1,SOI86_RS05515,,SOI86_RS05515,Protein Homology,951376,951669,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819126.1,YciI family protein,WP_320680857.1,,,,,SOI86_RS05515,
NZ_CP139300.1,lipA,lipA,SOI86_RS05520,Protein Homology,951676,952569,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819127.1,lipoyl synthase,WP_320680858.1,"GO:0009107,GO:0016992,GO:0051539,GO:1904047",,"lipoate synthase activity|0016992||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA,S-adenosyl-L-methionine binding|1904047||IEA",lipoate biosynthetic process|0009107||IEA,SOI86_RS05520,2.8.1.8
NZ_CP139300.1,SOI86_RS05525,,SOI86_RS05525,Protein Homology,952904,953524,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377149.1,recombinase family protein,WP_320680859.1,"GO:0006310,GO:0015074,GO:0000150,GO:0003677",,"DNA strand exchange activity|0000150||IEA,DNA binding|0003677||IEA","DNA recombination|0006310||IEA,DNA integration|0015074||IEA",SOI86_RS05525,
NZ_CP139300.1,SOI86_RS05530,,SOI86_RS05530,Protein Homology,953529,953741,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377150.1,hypothetical protein,WP_320680860.1,,,,,SOI86_RS05530,
NZ_CP139300.1,SOI86_RS05535,,SOI86_RS05535,Protein Homology,953738,954646,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863626.1,serine hydrolase,WP_320680861.1,"GO:0030655,GO:0008800",,beta-lactamase activity|0008800||IEA,beta-lactam antibiotic catabolic process|0030655||IEA,SOI86_RS05535,
NZ_CP139300.1,SOI86_RS05540,,SOI86_RS05540,Protein Homology,954650,955408,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008413.1,C40 family peptidase,WP_320680862.1,"GO:0000270,GO:0006508,GO:0008233,GO:0008234,GO:0016787",,"peptidase activity|0008233||IEA,cysteine-type peptidase activity|0008234||IEA,hydrolase activity|0016787||IEA","peptidoglycan metabolic process|0000270||IEA,proteolysis|0006508||IEA",SOI86_RS05540,
NZ_CP139300.1,SOI86_RS05545,,SOI86_RS05545,Protein Homology,955465,956055,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377153.1,photosystem I reaction center protein subunit XI,WP_320680863.1,,,,,SOI86_RS05545,
NZ_CP139300.1,SOI86_RS05550,,SOI86_RS05550,Protein Homology,956087,956200,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011125827.1,photosystem I reaction center subunit VIII,WP_011377154.1,,,,,SOI86_RS05550,
NZ_CP139300.1,SOI86_RS05555,,SOI86_RS05555,GeneMarkS-2+,956428,956673,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320680864.1,,,,,SOI86_RS05555,
NZ_CP139300.1,psaB,psaB,SOI86_RS05565,Protein Homology,957747,959975,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133151.1,photosystem I core protein PsaB,WP_320680865.1,"GO:0015979,GO:0016168,GO:0009522,GO:0009538,GO:0009579,GO:0016020","photosystem I|0009522||IEA,photosystem I reaction center|0009538||IEA,thylakoid|0009579||IEA,membrane|0016020||IEA",chlorophyll binding|0016168||IEA,photosynthesis|0015979||IEA,SOI86_RS05565,1.97.1.12
NZ_CP139300.1,psaA,psaA,SOI86_RS05570,Protein Homology,960003,962306,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128980.1,photosystem I core protein PsaA,WP_320680866.1,"GO:0015979,GO:0016168,GO:0046872,GO:0009538,GO:0016020","photosystem I reaction center|0009538||IEA,membrane|0016020||IEA","chlorophyll binding|0016168||IEA,metal ion binding|0046872||IEA",photosynthesis|0015979||IEA,SOI86_RS05570,1.97.1.12
NZ_CP139300.1,cobJ,cobJ,SOI86_RS05575,Protein Homology,962641,964461,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805803.1,precorrin-3B C(17)-methyltransferase,WP_320680867.1,"GO:0009236,GO:0030789",,precorrin-3B C17-methyltransferase activity|0030789||IEA,cobalamin biosynthetic process|0009236||IEA,SOI86_RS05575,2.1.1.131
NZ_CP139300.1,SOI86_RS05580,,SOI86_RS05580,Protein Homology,964553,965344,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377160.1,TIGR01548 family HAD-type hydrolase,WP_320680868.1,,,,,SOI86_RS05580,
NZ_CP139300.1,alr,alr,SOI86_RS05590,Protein Homology,965735,966934,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819143.1,alanine racemase,WP_320680869.1,"GO:0006522,GO:0009252,GO:0008784",,alanine racemase activity|0008784||IEA,"alanine metabolic process|0006522||IEA,peptidoglycan biosynthetic process|0009252||IEA",SOI86_RS05590,5.1.1.1
NZ_CP139300.1,SOI86_RS05595,,SOI86_RS05595,Protein Homology,967003,967512,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807108.1,HNH endonuclease,WP_320680870.1,"GO:0003676,GO:0004519,GO:0008270",,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA",,SOI86_RS05595,
NZ_CP139300.1,prfA,prfA,SOI86_RS05600,Protein Homology,967523,968617,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011821010.1,peptide chain release factor 1,WP_320680871.1,"GO:0006415,GO:0003747",,translation release factor activity|0003747||IEA,translational termination|0006415||IEA,SOI86_RS05600,
NZ_CP139300.1,rpmE,rpmE,SOI86_RS05605,Protein Homology,968646,968906,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863638.1,50S ribosomal protein L31,WP_320680872.1,"GO:0006412,GO:0003735",,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05605,
NZ_CP139300.1,rpsI,rpsI,SOI86_RS05610,Protein Homology,968920,969330,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008429.1,30S ribosomal protein S9,WP_320680873.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05610,
NZ_CP139300.1,rplM,rplM,SOI86_RS05615,Protein Homology,969340,969771,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133160.1,50S ribosomal protein L13,WP_320680874.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05615,
NZ_CP139300.1,truA,truA,SOI86_RS05620,Protein Homology,969888,970694,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011821014.1,tRNA pseudouridine(38-40) synthase TruA,WP_320680875.1,"GO:0001522,GO:0009451,GO:0003723,GO:0009982",,"RNA binding|0003723||IEA,pseudouridine synthase activity|0009982||IEA","pseudouridine synthesis|0001522||IEA,RNA modification|0009451||IEA",SOI86_RS05620,5.4.99.12
NZ_CP139300.1,rplQ,rplQ,SOI86_RS05625,Protein Homology,970733,971083,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011295449.1,50S ribosomal protein L17,WP_079318704.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05625,
NZ_CP139300.1,SOI86_RS05630,,SOI86_RS05630,Protein Homology,971098,972036,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006854806.1,DNA-directed RNA polymerase subunit alpha,WP_320680876.1,"GO:0006351,GO:0003677,GO:0003899,GO:0046983",,"DNA binding|0003677||IEA,DNA-directed 5'-3' RNA polymerase activity|0003899||IEA,protein dimerization activity|0046983||IEA",DNA-templated transcription|0006351||IEA,SOI86_RS05630,2.7.7.6
NZ_CP139300.1,rpsK,rpsK,SOI86_RS05635,Protein Homology,972092,972484,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011295451.1,30S ribosomal protein S11,WP_320680877.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05635,
NZ_CP139300.1,rpsM,rpsM,SOI86_RS05640,Protein Homology,972529,972894,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133165.1,30S ribosomal protein S13,WP_025915143.1,"GO:0006412,GO:0003723,GO:0003735,GO:0005840",ribosome|0005840||IEA,"RNA binding|0003723||IEA,structural constituent of ribosome|0003735||IEA",translation|0006412||IEA,SOI86_RS05640,
NZ_CP139300.1,rpmJ,rpmJ,SOI86_RS05645,Protein Homology,972937,973053,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377173.1,50S ribosomal protein L36,WP_011377173.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05645,
NZ_CP139300.1,SOI86_RS05650,,SOI86_RS05650,Protein Homology,973097,973645,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819153.1,adenylate kinase,WP_320680878.1,,,,,SOI86_RS05650,2.7.4.3
NZ_CP139300.1,secY,secY,SOI86_RS05655,Protein Homology,973645,974964,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863646.1,preprotein translocase subunit SecY,WP_320680879.1,"GO:0015031,GO:0043952,GO:0016020",membrane|0016020||IEA,,"protein transport|0015031||IEA,protein transport by the Sec complex|0043952||IEA",SOI86_RS05655,
NZ_CP139300.1,rplO,rplO,SOI86_RS05660,Protein Homology,974994,975452,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819155.1,50S ribosomal protein L15,WP_320680880.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05660,
NZ_CP139300.1,rpsE,rpsE,SOI86_RS05665,Protein Homology,975458,976081,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863648.1,30S ribosomal protein S5,WP_320680881.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05665,
NZ_CP139300.1,rplR,rplR,SOI86_RS05670,Protein Homology,976097,976465,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807401.1,50S ribosomal protein L18,WP_320680882.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05670,
NZ_CP139300.1,rplF,rplF,SOI86_RS05675,Protein Homology,976480,977019,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377179.1,50S ribosomal protein L6,WP_320680883.1,"GO:0006412,GO:0003735,GO:0019843,GO:0005840",ribosome|0005840||IEA,"structural constituent of ribosome|0003735||IEA,rRNA binding|0019843||IEA",translation|0006412||IEA,SOI86_RS05675,
NZ_CP139300.1,rpsH,rpsH,SOI86_RS05680,Protein Homology,977032,977433,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012196216.1,30S ribosomal protein S8,WP_320680884.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05680,
NZ_CP139300.1,rplE,rplE,SOI86_RS05685,Protein Homology,977444,977983,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377181.1,50S ribosomal protein L5,WP_011863652.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05685,
NZ_CP139300.1,rplX,rplX,SOI86_RS05690,Protein Homology,978058,978414,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133175.1,50S ribosomal protein L24,WP_320680885.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05690,
NZ_CP139300.1,rplN,rplN,SOI86_RS05695,Protein Homology,978415,978780,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475475.1,50S ribosomal protein L14,WP_002807235.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05695,
NZ_CP139300.1,rpsQ,rpsQ,SOI86_RS05700,Protein Homology,978777,979043,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011821028.1,30S ribosomal protein S17,WP_320680886.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05700,
NZ_CP139300.1,rpmC,rpmC,SOI86_RS05705,Protein Homology,979054,979272,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805718.1,50S ribosomal protein L29,WP_320680887.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05705,
NZ_CP139300.1,rplP,rplP,SOI86_RS05710,Protein Homology,979269,979751,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819164.1,50S ribosomal protein L16,WP_320680888.1,"GO:0006412,GO:0003735,GO:0019843",,"structural constituent of ribosome|0003735||IEA,rRNA binding|0019843||IEA",translation|0006412||IEA,SOI86_RS05710,
NZ_CP139300.1,rpsC,rpsC,SOI86_RS05715,Protein Homology,979763,980494,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008443.1,30S ribosomal protein S3,WP_320680889.1,"GO:0006412,GO:0003735",,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05715,
NZ_CP139300.1,rplV,rplV,SOI86_RS05720,Protein Homology,980494,980880,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819166.1,50S ribosomal protein L22,WP_320680890.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05720,
NZ_CP139300.1,rpsS,rpsS,SOI86_RS05725,Protein Homology,980877,981155,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819167.1,30S ribosomal protein S19,WP_320680891.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05725,
NZ_CP139300.1,rplB,rplB,SOI86_RS05730,Protein Homology,981193,982056,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133183.1,50S ribosomal protein L2,WP_002807290.1,"GO:0006412,GO:0003723,GO:0003735,GO:0016740,GO:0015934",large ribosomal subunit|0015934||IEA,"RNA binding|0003723||IEA,structural constituent of ribosome|0003735||IEA,transferase activity|0016740||IEA",translation|0006412||IEA,SOI86_RS05730,
NZ_CP139300.1,SOI86_RS05735,,SOI86_RS05735,Protein Homology,982069,982371,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819168.1,50S ribosomal protein L23,WP_025923606.1,,,,,SOI86_RS05735,
NZ_CP139300.1,rplD,rplD,SOI86_RS05740,Protein Homology,982368,983000,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805617.1,50S ribosomal protein L4,WP_320680892.1,"GO:0006412,GO:0003735,GO:0022625",cytosolic large ribosomal subunit|0022625||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05740,
NZ_CP139300.1,rplC,rplC,SOI86_RS05745,Protein Homology,982997,983650,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819170.1,50S ribosomal protein L3,WP_320680893.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS05745,
NZ_CP139300.1,ndhN,ndhN,SOI86_RS05750,Protein Homology,983926,984402,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377193.1,NAD(P)H-quinone oxidoreductase subunit N,WP_320680894.1,"GO:0016655,GO:0016020",membrane|0016020||IEA,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor|0016655||IEA,,SOI86_RS05750,
NZ_CP139300.1,SOI86_RS05755,,SOI86_RS05755,Protein Homology,984408,985406,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807170.1,LdpA C-terminal domain-containing domain,WP_320680895.1,,,,,SOI86_RS05755,
NZ_CP139300.1,SOI86_RS05765,,SOI86_RS05765,Protein Homology,985596,986372,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806315.1,HAD family hydrolase,WP_320680896.1,GO:0016787,,hydrolase activity|0016787||IEA,,SOI86_RS05765,3.-.-.-
NZ_CP139300.1,recA,recA,SOI86_RS05770,Protein Homology,986485,987582,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806207.1,recombinase RecA,WP_320680897.1,"GO:0006281,GO:0003677,GO:0003697,GO:0005524,GO:0008094",,"DNA binding|0003677||IEA,single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA,ATP-dependent activity%2C acting on DNA|0008094||IEA",DNA repair|0006281||IEA,SOI86_RS05770,
NZ_CP139300.1,SOI86_RS05775,,SOI86_RS05775,Protein Homology,987585,987830,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863665.1,DUF2839 domain-containing protein,WP_320680898.1,,,,,SOI86_RS05775,
NZ_CP139300.1,SOI86_RS05780,,SOI86_RS05780,Protein Homology,987860,989308,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808418.1,DNA helicase,WP_320680899.1,,,,,SOI86_RS05780,
NZ_CP139300.1,SOI86_RS05785,,SOI86_RS05785,Protein Homology,989404,990243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008454.1,prephenate/arogenate dehydrogenase,WP_320680900.1,,,,,SOI86_RS05785,
NZ_CP139300.1,crtD,crtD,SOI86_RS05790,Protein Homology,990233,991738,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133194.1,C-3'%2C4' desaturase CrtD,WP_320680901.1,"GO:0016117,GO:0016491",,oxidoreductase activity|0016491||IEA,carotenoid biosynthetic process|0016117||IEA,SOI86_RS05790,
NZ_CP139300.1,SOI86_RS05795,,SOI86_RS05795,Protein Homology,991744,992622,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377201.1,fructosamine kinase family protein,WP_320680902.1,,,,,SOI86_RS05795,
NZ_CP139300.1,SOI86_RS05800,,SOI86_RS05800,Protein Homology,992630,992995,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805312.1,CAAD domain-containing protein,WP_320680903.1,,,,,SOI86_RS05800,
NZ_CP139300.1,SOI86_RS05805,,SOI86_RS05805,Protein Homology,993293,994438,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377203.1,ThiF family adenylyltransferase,WP_320680904.1,GO:0008641,,ubiquitin-like modifier activating enzyme activity|0008641||IEA,,SOI86_RS05805,
NZ_CP139300.1,SOI86_RS05810,,SOI86_RS05810,Protein Homology,994455,995615,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807777.1,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_320680905.1,,,,,SOI86_RS05810,2.5.1.17
NZ_CP139300.1,larE,larE,SOI86_RS05815,Protein Homology,995724,996548,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806775.1,ATP-dependent sacrificial sulfur transferase LarE,WP_320680906.1,GO:0016783,,sulfurtransferase activity|0016783||IEA,,SOI86_RS05815,
NZ_CP139300.1,speD,speD,SOI86_RS05820,Protein Homology,996557,996991,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008460.1,adenosylmethionine decarboxylase,WP_320680907.1,"GO:0008295,GO:0004014",,adenosylmethionine decarboxylase activity|0004014||IEA,spermidine biosynthetic process|0008295||IEA,SOI86_RS05820,4.1.1.50
NZ_CP139300.1,recF,recF,SOI86_RS05825,Protein Homology,997043,998155,-,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: protein motif:HMM:NF014516.5,DNA replication/repair protein RecF,WP_320682500.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",SOI86_RS05825,
NZ_CP139300.1,SOI86_RS05835,,SOI86_RS05835,Protein Homology,998297,998743,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819186.1,N-acetyltransferase,WP_320680908.1,,,,,SOI86_RS05835,
NZ_CP139300.1,ppc,ppc,SOI86_RS05840,Protein Homology,998747,1001716,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008463.1,phosphoenolpyruvate carboxylase,WP_320680909.1,"GO:0006099,GO:0015977,GO:0008964",,phosphoenolpyruvate carboxylase activity|0008964||IEA,"tricarboxylic acid cycle|0006099||IEA,carbon fixation|0015977||IEA",SOI86_RS05840,4.1.1.31
NZ_CP139300.1,gshA,gshA,SOI86_RS05845,Protein Homology,1001770,1002888,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377210.1,glutamate--cysteine ligase,WP_320680910.1,"GO:0006750,GO:0004357",,glutamate-cysteine ligase activity|0004357||IEA,glutathione biosynthetic process|0006750||IEA,SOI86_RS05845,6.3.2.2
NZ_CP139300.1,SOI86_RS05850,,SOI86_RS05850,Protein Homology,1002889,1004409,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377211.1,anthranilate synthase component I family protein,WP_320680911.1,"GO:0009058,GO:0046872",,metal ion binding|0046872||IEA,biosynthetic process|0009058||IEA,SOI86_RS05850,
NZ_CP139300.1,SOI86_RS05855,,SOI86_RS05855,Protein Homology,1004469,1004891,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819190.1,photosystem I reaction center subunit II PsaD,WP_025915179.1,"GO:0015979,GO:0009522,GO:0009538","photosystem I|0009522||IEA,photosystem I reaction center|0009538||IEA",,photosynthesis|0015979||IEA,SOI86_RS05855,
NZ_CP139300.1,SOI86_RS05860,,SOI86_RS05860,Protein Homology,1005003,1006367,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377213.1,sensor histidine kinase,WP_320680912.1,"GO:0007165,GO:0000155,GO:0004673,GO:0005524",,"phosphorelay sensor kinase activity|0000155||IEA,protein histidine kinase activity|0004673||IEA,ATP binding|0005524||IEA",signal transduction|0007165||IEA,SOI86_RS05860,
NZ_CP139300.1,rodA,rodA,SOI86_RS05865,Protein Homology,1006367,1007635,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008467.1,rod shape-determining protein RodA,WP_320680913.1,"GO:0008360,GO:0016020",membrane|0016020||IEA,,regulation of cell shape|0008360||IEA,SOI86_RS05865,
NZ_CP139300.1,SOI86_RS05870,,SOI86_RS05870,Protein Homology,1007639,1008709,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008468.1,Mrp/NBP35 family ATP-binding protein,WP_320680914.1,,,,,SOI86_RS05870,
NZ_CP139300.1,hemF,hemF,SOI86_RS05875,Protein Homology,1008868,1009896,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011821062.1,oxygen-dependent coproporphyrinogen oxidase,WP_320680915.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,SOI86_RS05875,1.3.3.3
NZ_CP139300.1,SOI86_RS05880,,SOI86_RS05880,Protein Homology,1009926,1010483,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819195.1,cofactor assembly of complex C subunit B,WP_320680916.1,,,,,SOI86_RS05880,
NZ_CP139300.1,SOI86_RS05885,,SOI86_RS05885,Protein Homology,1010648,1011283,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863687.1,ribonuclease D,WP_320680917.1,,,,,SOI86_RS05885,"3.1.-.-,3.1.13.5"
NZ_CP139300.1,SOI86_RS05890,,SOI86_RS05890,Protein Homology,1011286,1011552,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008473.1,hypothetical protein,WP_320680918.1,,,,,SOI86_RS05890,
NZ_CP139300.1,SOI86_RS05895,,SOI86_RS05895,Protein Homology,1011583,1012812,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008474.1,lipid-A-disaccharide synthase-related protein,WP_320680919.1,,,,,SOI86_RS05895,
NZ_CP139300.1,SOI86_RS05905,,SOI86_RS05905,Protein Homology,1013114,1013422,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377161.1,hypothetical protein,WP_320680920.1,,,,,SOI86_RS05905,
NZ_CP139300.1,SOI86_RS05910,,SOI86_RS05910,Protein Homology,1013999,1014166,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377221.1,hypothetical protein,WP_320680921.1,,,,,SOI86_RS05910,
NZ_CP139300.1,SOI86_RS05915,,SOI86_RS05915,Protein Homology,1014153,1014797,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377222.1,histidine phosphotransferase,WP_320680922.1,,,,,SOI86_RS05915,
NZ_CP139300.1,purM,purM,SOI86_RS05920,Protein Homology,1014932,1015975,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008476.1,phosphoribosylformylglycinamidine cyclo-ligase,WP_320680923.1,"GO:0006189,GO:0004641",,phosphoribosylformylglycinamidine cyclo-ligase activity|0004641||IEA,'de novo' IMP biosynthetic process|0006189||IEA,SOI86_RS05920,6.3.3.1
