Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_1373,Q319L2,Q319L2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1373 PE=4 SV=1,S,,,,Unknown,148,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,2.67,0.04,3.81E-10,1.72E-09
psbM,Q31CL1,PSBM_PROM9 Photosystem II reaction center protein M OS=Prochlorococcus marinus (strain MIT 9312) GN=psbM PE=3 SV=1,S,,,,CytoplasmicMembrane,50,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,2.33,0.04,3.33E-10,1.51E-09
PMT9312_1076,Q31AG0,Q31AG0_PROM9 (1-)4)-alpha-D-glucan branching enzyme OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1076 PE=3 SV=1,G,hydrolase family 57,,K16149,Cytoplasmic,527,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,2,0.03,2.86E-10,1.29E-09
PMT9312_0368,Q31CG6,Q31CG6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0368 PE=4 SV=1,S,,,,Cytoplasmic,303,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,1,0.02,1.43E-10,6.46E-10
hisF,Q31CA5,HIS6_PROM9 Imidazole glycerol phosphate synthase subunit HisF OS=Prochlorococcus marinus (strain MIT 9312) GN=hisF PE=3 SV=1,E,"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02500,Cytoplasmic,256,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,,,,
prs,Q31AE5,Q31AE5_PROM9 Ribose-phosphate pyrophosphokinase OS=Prochlorococcus marinus (strain MIT 9312) GN=prs PE=3 SV=1,F,Phosphoribosyl pyrophosphate synthase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00948,Cytoplasmic,331,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,,,,
PMT9312_0181,Q31D02,"Q31D02_PROM9 Glutaredoxin, GrxC OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0181 PE=4 SV=1",O,Glutaredoxin,,K03676,Cytoplasmic,84,,,,,,,,,12.33,0.25,2.41E-09,1.09E-08,,,,
gpmI,Q318V8,"Q318V8_PROM9 2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Prochlorococcus marinus (strain MIT 9312) GN=gpmI PE=3 SV=1",G,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity),,K15633,Cytoplasmic,540,,,,,,,,,12,0.25,2.35E-09,1.06E-08,3.67,0.06,5.24E-10,2.37E-09
PMT9312_0526,Q31C08,Q31C08_PROM9 Acetolactate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0526 PE=3 SV=1,E,Acetolactate synthase 3 catalytic subunit,,K01652,Cytoplasmic,587,,,,,,,,,12,0.25,2.35E-09,1.06E-08,2,0.03,2.86E-10,1.29E-09
aroB,Q31BK2,AROB_PROM9 3-dehydroquinate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=aroB PE=3 SV=1,E,3-dehydroquinate synthase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01735,Cytoplasmic,363,,,,,,,,,12,0.25,2.35E-09,1.06E-08,1,0.02,1.43E-10,6.46E-10
PMT9312_0052,Q31DD2,Q31DD2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0052 PE=4 SV=1,D,chromosome partitioning,,K03496,Unknown,221,,,,,,,,,12,0.25,2.35E-09,1.06E-08,,,,
PMT9312_1236,Q31A00,Q31A00_PROM9 DNA polymerase I OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1236 PE=3 SV=1,L,DNA polymerase I,,K02335,Cytoplasmic,976,,,,,,,,,12,0.25,2.35E-09,1.06E-08,,,,
PMT9312_1521,Q318W4,Q318W4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1521 PE=4 SV=1,S,Pfam:DUF55,,,Unknown,152,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,11.33,0.17,1.62E-09,7.33E-09
argH,Q31DH2,ARLY_PROM9 Argininosuccinate lyase OS=Prochlorococcus marinus (strain MIT 9312) GN=argH PE=3 SV=1,E,Arginosuccinase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01755,Cytoplasmic,459,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,5.33,0.08,7.62E-10,3.45E-09
PMT9312_1248,Q319Y8,Q319Y8_PROM9 Bacterial translation initiation factor 1 (BIF-1) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1248 PE=3 SV=1,J,"however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K02518,Cytoplasmic,88,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,3.67,0.06,5.24E-10,2.37E-09
PMT9312_0791,Q31B94,Q31B94_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0791 PE=4 SV=1,S,,,,Unknown,130,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,3.67,0.06,5.24E-10,2.37E-09
petD,Q31CK2,PETD_PROM9 Cytochrome b6-f complex subunit 4 OS=Prochlorococcus marinus (strain MIT 9312) GN=petD PE=3 SV=1,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009512,GO:0009579,GO:0016020,GO:0032991,GO:0034357,GO:0042651,GO:0043234,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K02637,CytoplasmicMembrane,160,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,,,,
purT,Q31AM1,PURT_PROM9 Formate-dependent phosphoribosylglycinamide formyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=purT PE=3 SV=1,F,"Catalyzes two reactions the first one is the production of beta-formyl glycinamide ribonucleotide (GAR) from formate, ATP and beta GAR",,K08289,CytoplasmicMembrane,391,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,,,,
der,Q31CE7,DER_PROM9 GTPase Der OS=Prochlorococcus marinus (strain MIT 9312) GN=der PE=3 SV=1,S,GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity),,"K00058,K03977",Cytoplasmic,457,,,,,,,,,11.67,0.24,2.28E-09,1.03E-08,,,,
ndk,Q31DD7,NDK_PROM9 Nucleoside diphosphate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=ndk PE=3 SV=1,F,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00940,Cytoplasmic,152,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,9.33,0.14,1.33E-09,6.03E-09
ndhJ,Q31CP0,Q31CP0_PROM9 NAD(P)H-quinone oxidoreductase subunit J OS=Prochlorococcus marinus (strain MIT 9312) GN=ndhJ PE=3 SV=1,C,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K05581,Cytoplasmic,176,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,6.33,0.1,9.05E-10,4.09E-09
PMT9312_1189,Q31A47,Q31A47_PROM9 Type II secretory pathway ATPase PulE/Tfp pilus assembly pathway ATPase PilB-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1189 PE=4 SV=1,U,type ii secretion system protein e,,,Cytoplasmic,594,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,6,0.09,8.57E-10,3.88E-09
gatC,Q31CU7,Q31CU7_PROM9 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C OS=Prochlorococcus marinus (strain MIT 9312) GN=gatC PE=3 SV=1,J,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity),,K02435,Cytoplasmic,100,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1247,Q319Y9,Q319Y9_PROM9 Thioredoxin reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1247 PE=3 SV=1,O,Thioredoxin reductase,,K00384,Cytoplasmic,458,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,5.33,0.08,7.62E-10,3.45E-09
PMT9312_0808,Q31B77,Q31B77_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0808 PE=4 SV=1,S,,,,Unknown,62,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,1.67,0.03,2.38E-10,1.08E-09
PMT9312_1676,Q318F8,Q318F8_PROM9 3_-5_ exonuclease OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1676 PE=4 SV=1,J,3'-5' exonuclease,,K03684,Cytoplasmic,211,,,,,,,,,11.33,0.23,2.22E-09,1.00E-08,1.33,0.02,1.90E-10,8.62E-10
ndhI,Q31D22,NDHI_PROM9 NAD(P)H-quinone oxidoreductase subunit I OS=Prochlorococcus marinus (strain MIT 9312) GN=ndhI PE=3 SV=1,C,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",K05580,Cytoplasmic,208,,,,,,,,,11,0.23,2.15E-09,9.74E-09,18.33,0.28,2.62E-09,1.19E-08
PMT9312_1062,Q31AH4,Q31AH4_PROM9 Homoserine dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1062 PE=3 SV=1,E,homoserine dehydrogenase,,K00003,Cytoplasmic,433,,,,,,,,,11,0.23,2.15E-09,9.74E-09,9.67,0.15,1.38E-09,6.25E-09
PMT9312_1310,Q319S6,Q319S6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1310 PE=4 SV=1,S,,,,Cytoplasmic,463,,,,,,,,,11,0.23,2.15E-09,9.74E-09,5.67,0.09,8.10E-10,3.66E-09
ycf3,Q31D49,YCF3_PROM9 Photosystem I assembly protein Ycf3 OS=Prochlorococcus marinus (strain MIT 9312) GN=ycf3 PE=3 SV=1,O,Seems to be required for the assembly of the photosystem I complex (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",,Unknown,173,,,,,,,,,11,0.23,2.15E-09,9.74E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0937,Q31AU8,Q31AU8_PROM9 Fusion glycoprotein F0-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0937 PE=4 SV=1,S,,,,CytoplasmicMembrane,103,,,,,,,,,11,0.23,2.15E-09,9.74E-09,4.33,0.07,6.19E-10,2.80E-09
hisD,Q318Q4,HISX_PROM9 Histidinol dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=hisD PE=3 SV=1,E,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity),,K00013,Cytoplasmic,440,,,,,,,,,11,0.23,2.15E-09,9.74E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_1250,Q319Y6,Q319Y6_PROM9 Putative chaperon-like protein for quinone binding in photosystem II OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1250 PE=4 SV=1,G,chaperon-like protein for quinone binding in photosystem II,,,Cytoplasmic,320,,,,,,,,,11,0.23,2.15E-09,9.74E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0643,Q31BP1,Q31BP1_PROM9 Homoserine O-succinyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0643 PE=3 SV=1,E,homoserine O-succinyltransferase (EC 2.3.1.46),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00651,Cytoplasmic,316,,,,,,,,,11,0.23,2.15E-09,9.74E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_1328,Q319Q8,Q319Q8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1328 PE=4 SV=1,S,,,,Cytoplasmic,526,,,,,,,,,11,0.23,2.15E-09,9.74E-09,,,,
PMT9312_0779,Q31BA6,Q31BA6_PROM9 6-phosphogluconolactonase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0779 PE=4 SV=1,G,6-phosphogluconolactonase,,K01057,Unknown,245,,,,,,,,,11,0.23,2.15E-09,9.74E-09,,,,
PMT9312_0588,Q31BU6,Q31BU6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0588 PE=4 SV=1,S,Protein of function (DUF2518),,,Unknown,147,,,,,,,,,11,0.23,2.15E-09,9.74E-09,,,,
PMT9312_0245,Q31CT9,Q31CT9_PROM9 Thymidylate synthase complementing protein ThyX OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0245 PE=4 SV=1,F,FAD-dependent thymidylate synthase (EC 2.1.1.148),,K03465,Cytoplasmic,210,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,8.67,0.13,1.24E-09,5.60E-09
PMT9312_1081,Q31AF5,Q31AF5_PROM9 Farnesyl-diphosphate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1081 PE=3 SV=1,H,geranylgeranyl pyrophosphate synthase,,K13789,Cytoplasmic,300,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,6,0.09,8.57E-10,3.88E-09
PMT9312_1270,Q319W6,Q319W6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1270 PE=4 SV=1,S,Protein of unknown function (DUF3386),,,Cytoplasmic,218,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,5,0.08,7.14E-10,3.23E-09
PMT9312_0957,Q31AS8,Q31AS8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0957 PE=4 SV=1,L,modulator of DNA gyrase,,K03568,Cytoplasmic,474,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,3.67,0.06,5.24E-10,2.37E-09
ispD,Q31C80,ISPD_PROM9 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=ispD PE=3 SV=1,I,Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity),,K00991,Cytoplasmic,226,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,3.33,0.05,4.76E-10,2.15E-09
hisG,Q31BX4,HIS1_PROM9 ATP phosphoribosyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=hisG PE=3 SV=1,E,Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00765,Cytoplasmic,212,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,2.33,0.04,3.33E-10,1.51E-09
trpS,Q31BT6,Q31BT6_PROM9 Tryptophan--tRNA ligase OS=Prochlorococcus marinus (strain MIT 9312) GN=trpS PE=3 SV=1,J,Tryptophanyl-tRNA synthetase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01867,Cytoplasmic,338,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,2.33,0.04,3.33E-10,1.51E-09
leuA,Q31AF9,LEU1_PROM9 2-isopropylmalate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=leuA PE=3 SV=1,E,Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity),,K01649,Cytoplasmic,546,,,,,,,,,10.67,0.22,2.09E-09,9.45E-09,,,,
PMT9312_0396,Q31CD8,Q31CD8_PROM9 SSU ribosomal protein S30P / sigma 54 modulation protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0396 PE=4 SV=1,J,sigma 54 modulation protein ribosomal protein S30EA,,K05808,Cytoplasmic,194,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,12,0.18,1.71E-09,7.76E-09
PMT9312_0905,Q31AY0,Q31AY0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0905 PE=4 SV=1,S,Protein of unknown function (DUF3110),,,Cytoplasmic,126,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,6.67,0.1,9.52E-10,4.31E-09
PMT9312_0286,Q31CP8,Q31CP8_PROM9 Putative pleiotropic regulatory protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0286 PE=3 SV=1,E,Pleiotropic regulatory protein,,,Cytoplasmic,401,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,6,0.09,8.57E-10,3.88E-09
glyQ,Q319X1,Q319X1_PROM9 Glycine--tRNA ligase alpha subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=glyQ PE=3 SV=1,J,"Glycyl-tRNA synthetase, alpha subunit","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01878,Cytoplasmic,270,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,5.33,0.08,7.62E-10,3.45E-09
PMT9312_0979,Q31AQ6,Q31AQ6_PROM9 Asparaginase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0979 PE=4 SV=1,E,L-Asparaginase II,,K01424,Cytoplasmic,321,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,3,0.05,4.29E-10,1.94E-09
dapF,Q31AX3,Q31AX3_PROM9 Diaminopimelate epimerase OS=Prochlorococcus marinus (strain MIT 9312) GN=dapF PE=3 SV=1,E,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01778,Cytoplasmic,286,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,2.67,0.04,3.81E-10,1.72E-09
PMT9312_1433,Q319F2,Q319F2_PROM9 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1433 PE=3 SV=1,M,"Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00677,Cytoplasmic,280,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,2,0.03,2.86E-10,1.29E-09
dapA,Q317Y9,DAPA_PROM9 4-hydroxy-tetrahydrodipicolinate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=dapA PE=3 SV=1,E,Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01714,Cytoplasmic,300,,,,,,,,,10.33,0.21,2.02E-09,9.15E-09,,,,
aroC,Q31CV7,AROC_PROM9 Chorismate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=aroC PE=3 SV=1,E,5-enolpyruvylshikimate-3-phosphate phospholyase,,K01736,Cytoplasmic,365,,,,,,,,,10,0.21,1.96E-09,8.85E-09,10,0.15,1.43E-09,6.46E-09
argG,Q317T4,ASSY_PROM9 Argininosuccinate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=argG PE=3 SV=1,E,Citrulline--aspartate ligase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01940,Cytoplasmic,404,,,,,,,,,10,0.21,1.96E-09,8.85E-09,9.67,0.15,1.38E-09,6.25E-09
PMT9312_1409,Q319H6,"Q319H6_PROM9 Nucleotide binding protein, PINc OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1409 PE=4 SV=1",S,domain protein,,,CytoplasmicMembrane,369,,,,,,,,,10,0.21,1.96E-09,8.85E-09,7.67,0.12,1.10E-09,4.96E-09
PMT9312_1535,Q318V0,"Q318V0_PROM9 Aminopeptidase P, Metallo peptidase, MEROPS family M24B OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1535 PE=3 SV=1",E,Aminopeptidase P,,K01262,Cytoplasmic,441,,,,,,,,,10,0.21,1.96E-09,8.85E-09,6.67,0.1,9.52E-10,4.31E-09
PMT9312_1542,Q318U3,Q318U3_PROM9 Ferredoxin (2Fe-2S) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1542 PE=4 SV=1,C,Ferredoxin,,K02639,Unknown,108,,,,,,,,,10,0.21,1.96E-09,8.85E-09,6.33,0.1,9.05E-10,4.09E-09
PMT9312_1266,Q319X0,Q319X0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1266 PE=4 SV=1,S,Domain of unknown function (DUF1824),,,Unknown,129,,,,,,,,,10,0.21,1.96E-09,8.85E-09,6.33,0.1,9.05E-10,4.09E-09
ychF,Q31A02,Q31A02_PROM9 Ribosome-binding ATPase YchF OS=Prochlorococcus marinus (strain MIT 9312) GN=ychF PE=3 SV=1,J,GTP-dependent nucleic acid-binding protein EngD,,K06942,Cytoplasmic,363,,,,,,,,,10,0.21,1.96E-09,8.85E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0897,Q31AY8,Q31AY8_PROM9 Alkyl hydroperoxide reductase/thiol specific antioxidant/mal allergens family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0897 PE=4 SV=1,O,alkyl hydroperoxide reductase thiol specific antioxidant Mal,,K03564,Cytoplasmic,177,,,,,,,,,10,0.21,1.96E-09,8.85E-09,1.67,0.03,2.38E-10,1.08E-09
proC,Q31CE2,Q31CE2_PROM9 Pyrroline-5-carboxylate reductase OS=Prochlorococcus marinus (strain MIT 9312) GN=proC PE=3 SV=1,E,Pyrroline-5-carboxylate reductase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K00286,Cytoplasmic,270,,,,,,,,,10,0.21,1.96E-09,8.85E-09,,,,
acsF,Q31AS9,ACSF_PROM9 Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase OS=Prochlorococcus marinus (strain MIT 9312) GN=acsF PE=3 SV=1,H,"Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME) (By similarity)",,K04035,Unknown,390,,,,,,,,,10,0.21,1.96E-09,8.85E-09,,,,
PMT9312_1267,Q319W9,Q319W9_PROM9 Macrophage migration inhibitory factor family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1267 PE=4 SV=1,S,macrophage migration inhibitory factor,,,Unknown,110,,,,,,,,,10,0.21,1.96E-09,8.85E-09,,,,
glgA,Q31BS5,GLGA_PROM9 Glycogen synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=glgA PE=3 SV=1,G,"Synthesizes alpha-1,4-glucan chains using ADP-glucose (By similarity)",,K00703,Cytoplasmic,483,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,17.67,0.27,2.52E-09,1.14E-08
PMT9312_0479,Q31C55,Q31C55_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0479 PE=4 SV=1,C,Drtgg domain protein,,K06873,Cytoplasmic,369,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,13.33,0.2,1.90E-09,8.62E-09
PMT9312_0573,Q31BW1,Q31BW1_PROM9 Transcriptional regulator AbrB OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0573 PE=4 SV=1,K,"transcriptional regulator, abrb",,,Cytoplasmic,118,,,,,,,,,9.67,0.2,1.89E-09,8.56E-09,11.33,0.17,1.62E-09,7.33E-09
